[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[00:00:09.438 --> 00:00:10.719]  Thanksgiving is come and gone.
[00:00:10.719 --> 00:00:13.641]  Now we plunge into Christmas and the year 2023.
[00:00:13.641 --> 00:00:16.683]  What a time to be alive.
[00:00:16.683 --> 00:00:19.744]  What a time to be on the front lines, the fight for human liberty.
[00:00:19.744 --> 00:00:27.109]  And I just want listeners again to pull back, take in a deep breath and think about what the world would be like without you.
[00:00:28.246 --> 00:00:31.867]  Because some of the listeners of this show talk about Alex Jones.
[00:00:31.867 --> 00:00:35.208]  And yes, we've pissed off the globalists, and yes, they see us as the number one threat.
[00:00:35.208 --> 00:00:38.608]  But I'm only a small part of this overall organization.
[00:00:38.608 --> 00:00:55.432]  It is the viewers, it is the listeners, it is the word of mouth, it is the guests, it is the callers, it is the special reports, and it's the clips of the globalists and their own criminal statements, past, present, and in the future we're going to be playing, that really is the cherry on top that exposes these people because they're so arrogant
[00:00:56.960 --> 00:01:06.666]  They go out and give speeches, they go out and write books, they put out policy reports, white papers, and then totally contradict what they actually say they're doing when they're around each other to us.
[00:01:06.666 --> 00:01:20.733]  And so that's why they want to silence us is because they don't ever want us to be able to bring context to their overall long-term agenda and what their real goals are of tyranny, post-industrial world, and population collapse.
[00:01:20.733 --> 00:01:23.335]  So they really are absolute
[00:01:24.645 --> 00:01:39.114]  Tyrants, absolute villains by any historical yardstick, and what we do here at InfoWars is promote classical freedom and all the things that make civilization successful and safe and prosperous.
[00:01:39.114 --> 00:01:49.380]  And so, it's not that we're heroes here, it's just that we're common sense and want a livable future where we can raise children and not live in some type of nightmare hellscape.
[00:01:50.561 --> 00:01:52.724]  I'm very thankful I've got Elon Musk attacking me.
[00:01:52.724 --> 00:01:55.307]  I'm very thankful I've got the head of Pfizer, Borla, attacking me.
[00:01:55.307 --> 00:01:57.169]  I'm very thankful I have the ADL, the Democratic Party.
[00:01:58.516 --> 00:02:01.198]  Literally saying I'm the most dangerous evil person in the world.
[00:02:01.198 --> 00:02:03.039]  Everybody who's got a brain knows that's a lie.
[00:02:03.039 --> 00:02:14.228]  But what I am dangerous to is these eugenicists, these transhumanists, these pedophile protectors, these people frying us with deadly 5G and all the poisonous shots and the rest of it.
[00:02:14.228 --> 00:02:16.970]  So I am just honored to be in the position I'm in.
[00:02:16.970 --> 00:02:19.752]  So many people call into the show and also on the street and say, how are you taking it?
[00:02:19.752 --> 00:02:20.653]  We feel so sorry for you.
[00:02:20.653 --> 00:02:22.154]  Listen, I chose this job.
[00:02:23.126 --> 00:02:24.368]  I chose to take them on.
[00:02:24.368 --> 00:02:25.269]  I believe in humanity.
[00:02:25.269 --> 00:02:25.930]  I believe in myself.
[00:02:25.930 --> 00:02:27.312]  I believe in you because I believe in God.
[00:02:27.312 --> 00:02:29.174]  And I believe in common sense and history.
[00:02:29.174 --> 00:02:32.379]  And I had a gut level instinct to just understand and know.
[00:02:33.226 --> 00:02:37.149]  That if we continue to persevere and fight, we would end up winning, and that's starting to happen.
[00:02:37.149 --> 00:02:42.893]  Things are still incredibly negative, but I just want you to remember how incredibly important you are.
[00:02:42.893 --> 00:02:43.914]  You are.
[00:02:43.914 --> 00:02:56.324]  The little actions you take every day to spread the word, or to pray for an awakening, or to support InfoWars, or to just be a good father, a good mother, a good boss, a good employer, a good neighbor, a good farmer, good, you know, a machine worker.
[00:02:57.193 --> 00:02:58.254]  It doesn't matter.
[00:02:58.254 --> 00:03:00.497]  All of you are the little people.
[00:03:00.497 --> 00:03:02.959]  And all of us are little in the scope of things.
[00:03:02.959 --> 00:03:07.103]  But working together, we do massive things together.
[00:03:07.103 --> 00:03:10.607]  So, I want to tell you we've got some big interviews coming up today.
[00:03:10.607 --> 00:03:11.988]  It's a special rebroadcast.
[00:03:11.988 --> 00:03:14.911]  And then I'll be back on Saturday and back on Sunday with live broadcasts.
[00:03:14.911 --> 00:03:16.393]  We've been broadcasting seven days a week.
[00:03:16.933 --> 00:03:21.037]  Live, but I wanted to give our incredible crew off Wednesday, Thursday, and Friday.
[00:03:21.037 --> 00:03:24.239]  Hopefully, when you're listening to this, this is taped.
[00:03:24.239 --> 00:03:26.261]  A nuclear war hasn't started.
[00:03:26.261 --> 00:03:36.189]  They've certainly been trying to do that, but the good news is the AP report and others got fired for lying about Russia supposedly attacking Poland with a missile or missiles.
[00:03:36.189 --> 00:03:37.690]  And there's been a lot of other good news as well.
[00:03:37.690 --> 00:03:41.674]  And our enemy's being forced out in the open because we've been exposing their agenda.
[00:03:41.674 --> 00:03:44.096]  They're now being forced to externalize it and try to spin it.
[00:03:44.952 --> 00:03:46.914]  And sugarcoat it like it's good.
[00:03:46.914 --> 00:03:54.780]  But again, people go back and find the history of this and the present operations and realize what's coming next.
[00:03:54.780 --> 00:03:57.022]  Time is on our side.
[00:03:57.022 --> 00:03:58.563]  Time is not on Satan's time.
[00:03:58.563 --> 00:04:02.766]  That's what the Bible says in Revelation, that the devil sends the beast with wrath.
[00:04:03.487 --> 00:04:06.209]  Because he knows his time is short.
[00:04:06.209 --> 00:04:10.573]  And the time for these people is very, very short, ladies and gentlemen.
[00:04:10.573 --> 00:04:11.834]  So thank you all for your support.
[00:04:11.834 --> 00:04:15.497]  I just want to add that we're going to run the huge blowout sale right through Christmas.
[00:04:15.497 --> 00:04:16.858]  Up 60% off the promo code 1776.
[00:04:16.858 --> 00:04:21.182]  But most of the products are going to be sold out in a few weeks if you want to do Christmas shopping.
[00:04:21.542 --> 00:04:27.684]  Now's the time, and this is the biggest sell of the year, because we've added, until the 1st of December, a free gift with every order.
[00:04:27.684 --> 00:04:32.065]  But the free gifts we've set aside, we estimate will run out by December 1st or so.
[00:04:32.065 --> 00:04:33.066]  So be sure to take advantage.
[00:04:33.066 --> 00:04:38.728]  Double pay 3 points up to 60% off with promo code 7076 and the free gift at infowaretore.com.
[00:04:38.728 --> 00:04:39.748]  Thanks for keeping us on the air.
[00:04:40.288 --> 00:04:47.616]  And thanks for being healthy and boosting your immune system with great products like DNA Force Plus, Vitamineral Fusion, and of course, Body's Ultimate Turmeric Formula.
[00:04:47.616 --> 00:04:50.860]  We're going to go to break, come back with David Icke and so much more today.
[00:04:50.860 --> 00:04:54.084]  Please spread the word because if you're watching and listening, you are the resistance!
[00:05:00.879 --> 00:05:03.061]  We've got some good news and bad news.
[00:05:03.061 --> 00:05:08.266]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[00:05:08.266 --> 00:05:13.811]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[00:05:13.811 --> 00:05:22.339]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[00:05:22.339 --> 00:05:23.700]  X3 sold out.
[00:05:23.700 --> 00:05:24.080]  Our great
[00:05:24.821 --> 00:05:27.664]  American Coffee Blend has sold out.
[00:05:27.664 --> 00:05:29.426]  Biotricillinium has sold out.
[00:05:29.426 --> 00:05:42.439]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[00:05:42.879 --> 00:05:48.423]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[00:05:48.423 --> 00:05:49.423]  Don't fight the crowds.
[00:05:49.423 --> 00:05:50.684]  Don't fight the traffic.
[00:05:50.684 --> 00:05:53.226]  Don't do all your Christmas shopping in a month like a fool.
[00:05:53.226 --> 00:05:54.386]  Do it now.
[00:05:54.386 --> 00:05:55.287]  Get it all over with.
[00:05:55.287 --> 00:05:56.388]  Get a great deal.
[00:05:56.388 --> 00:05:58.709]  Keep InfoWars on the air while empowering your body.
[00:05:58.709 --> 00:06:00.030]  InfoWarsStore.com
[00:06:09.158 --> 00:06:14.180]  Crashing through the lies and disinformation, it's Alex Jones.
[00:06:35.146 --> 00:06:44.331]  We were supposed to already be off the air, and the Deep State threw everything they had at InfoWars in the last five years.
[00:06:44.331 --> 00:06:52.736]  But thanks to you, the listeners and viewers of this transmission, and this great crew, and our amazing guest, and
[00:06:53.676 --> 00:07:10.104]  My determination, given to me by God, my will, given to me by my Heavenly Father, we are still on air and in many ways more influential and more powerful, all glory to God, than we've ever been before.
[00:07:10.104 --> 00:07:15.106]  Woo!
[00:07:15.106 --> 00:07:21.689]  The Republicans would win every Senate seat that's up for a vote right now.
[00:07:21.689 --> 00:07:22.950]  They would win
[00:07:24.673 --> 00:07:28.815]  Basically every House seat if there wasn't systemic fraud that's been documented.
[00:07:28.815 --> 00:07:45.185]  But the red wave is so big, I do predict, even when they try to stop the ballots in the next few weeks and shut things down, that it's not going to work and the Republicans will narrowly take the Senate and we'll get a big win in the House.
[00:07:45.185 --> 00:07:46.906]  Even the Washington Post predicts.
[00:07:50.126 --> 00:07:54.750]  In the Senate, 54 Republican wins against 46 Democrat.
[00:07:54.750 --> 00:08:02.555]  In the House, 246 Republicans versus 189 Democrats.
[00:08:02.555 --> 00:08:07.879]  And I think that is a very conservative estimate if it wasn't for the fraud.
[00:08:07.879 --> 00:08:16.306]  But I think you'll actually see less than this because the power structure is not completely unified.
[00:08:17.093 --> 00:08:22.995]  And there's a lot of Democrats and sitting machines that are going to steal the election, even if the higher-ups aren't wanting that.
[00:08:22.995 --> 00:08:36.138]  And what I'm saying is to be very clear, the deep state doesn't want a big Republican majority, because they want to be able to still control things and run things, and they're scared of a new populist beachhead and caucus forming.
[00:08:36.138 --> 00:08:38.879]  They want to work with the neocons and the deep state Democrats.
[00:08:39.935 --> 00:09:00.171]  And the RINOs, but they don't want too big a Republican victory, but they're going to allow somewhat of a victory, A, because there's such a tsunami it's hard to steal, but B, they want to blame Republicans for the diesel shortages and the power outages and the depression that we are accelerating over the edge into.
[00:09:00.171 --> 00:09:05.014]  So that's my best analysis and calculus of what's about to happen.
[00:09:05.014 --> 00:09:08.357]  If they didn't steal a bunch of the election of different races tonight,
