[00:00.000 --> 00:12.000]  Big Brother mainstream media government cover-ups you want answers well so does he
[00:12.000 --> 00:22.000]  he's Alex Jones on the GCN radio network and now live from Austin Texas Alex Jones
[00:22.000 --> 00:30.000]  we're going to cover the stock markets plunging around the world on fears of dollar devaluation
[00:30.000 --> 00:38.000]  we're going to break down the police state in this country they're now trying to pass legislation to ban family farms and ranches
[00:38.000 --> 00:45.000]  you'll have to have special government license to even grow tomatoes or plums in your backyard
[00:45.000 --> 00:51.000]  natural news is reporting they're very very close to getting that rammed through right now that is all coming up
[00:51.000 --> 00:59.000]  but we're going to continue discussing and now into week number three week number three is almost gone
[00:59.000 --> 01:05.000]  and we've been covering this going back three weeks ago from Wednesday of three weeks ago
[01:05.000 --> 01:15.000]  we're going to continue hammering this drum of the TSA takeover of society we're going to continue pointing this out
[01:15.000 --> 01:25.000]  because the TSA is federalizing society they are giving us training to have the government put their hands on us
[01:25.000 --> 01:34.000]  to condition us that we're all basically prisoners and if they can get away with this they can get away with anything
[01:34.000 --> 01:43.000]  it's also a lesson in brazen government bullying and intimidation
[01:43.000 --> 01:55.000]  we have joining us at about 30 minutes John tiner whose video and audio that was posted Sunday has gone viral with millions of views online
[01:55.000 --> 02:00.000]  he was trying to fly out of southern California to go pheasant hunting on the east coast
[02:00.000 --> 02:08.000]  and he said look you're not going to touch my private parts and so they said well you can leave then so he did try to leave
[02:08.000 --> 02:15.000]  and they said no now we're going to find you for leaving the screening area civilly it's all civil it's all color of law
[02:15.000 --> 02:22.000]  that's how they get away with this and so they've been caught trying to frame him now so he's going to be joining us
[02:22.000 --> 02:31.000]  all of that is now dwarfed by the top story that's up on the drudge report drudgereport.com we have our own report on this going up
[02:31.000 --> 02:37.000]  at prisonplanet.com the next few minutes by Steve Watson that's got some different angles to it
[02:37.000 --> 02:43.000]  but TSA triple X naked body scans leak online
[02:43.000 --> 02:54.000]  well the issue is we already had this happen earlier this year in England when a TV star was going through and they wanted to
[02:54.000 --> 03:04.000]  have him sign a print off of his naked body the women British airport screeners did it's very similar to our TSA
[03:04.000 --> 03:16.000]  well now 100 naked citizens 100 leaked body scans now this is a less powerful system though it is revealing
[03:16.000 --> 03:26.000]  that they use at this particular courthouse federal courthouse in in Florida where they save the 35,000 images
[03:26.000 --> 03:34.000]  and I believe this looks like a Psyop because I've seen the images in the in the test models from even this system they're using
[03:34.000 --> 03:40.000]  and it's more detailed than what they've released here so they're putting this out they're not saying who leaked it
[03:40.000 --> 03:46.000]  saying oh my gosh it shows you know the naked citizens but this is nothing compared to the airport
[03:46.000 --> 03:56.000]  uh scanners but this is from gizmodo and again it's linked up on drudge report the gizmodo investigations revealed 100 of the photographs saved by the gen 2
[03:56.000 --> 04:09.000]  millimeter wave scanner I'll see the airports have an actual x-ray from the brye jot image system ink obtained by a four year request after it was
[04:09.000 --> 04:17.000]  uh recently revealed that the u.s. marshals operating machine in Orlando Florida courthouse had improperly perhaps illegally saved images
[04:17.000 --> 04:28.000]  and that is the big issue here they are saving these and we've got big sis napolitano the head of homeland security running around
[04:28.000 --> 04:36.000]  writing news articles pressure leases for us today and we've got her doing press conferences saying we do not save the images
[04:36.000 --> 04:45.000]  in the manuals for the machines that we published over a year ago state they do save the images so they are saving the images
[04:45.000 --> 04:56.000]  the machines do save the images but there's an even bigger development when we come back but overall the globalists are in trouble
[04:56.000 --> 05:00.000]  the people are learning how to stand up and take action that's scaring the system
[05:00.000 --> 05:08.000]  Alex told you the government announced recently that the recession is over it ended on June of 2009 the millions of Americans unable to find
[05:08.000 --> 05:15.000]  work might not agree perhaps a recession ended for the bankers and government employees but for the rest of us things seem to be getting worse
[05:15.000 --> 05:22.000]  gold and silver haven't heard the news either they've begun their long expected journey to the moon in addition to converting your shrinking
[05:22.000 --> 05:30.000]  dollars into gold and silver you should consider a food savings account from e-foods direct they both make fabulous investments food is our
