[00:00:00.069 --> 00:00:01.591]  I don't think so.
[00:00:30.108 --> 00:00:38.733]  It's hard to believe that it's another live transmission.
[00:00:38.733 --> 00:00:40.474]  And here we are, ladies and gentlemen.
[00:00:40.474 --> 00:00:43.736]  I'm coming to you from deep in the heart of Florida.
[00:00:43.736 --> 00:00:51.041]  Actually, right here in southwestern Florida, in Naples, at Oak Farm's Seat at the Table.
[00:00:51.041 --> 00:00:53.182]  The great Alfie Oaks got us started this.
[00:00:54.145 --> 00:00:55.846]  And I tell you, you can wear a mask if you want.
[00:00:55.846 --> 00:00:57.568]  You don't have to wear a mask if you don't want to.
[00:00:57.568 --> 00:00:59.449]  It's a free country.
[00:00:59.449 --> 00:01:01.450]  Plus, the masks don't protect you, all the science shows.
[00:01:01.450 --> 00:01:05.653]  Plus, the same number of people died in the year 2020 as died in 2019, roughly.
[00:01:05.653 --> 00:01:07.114]  Despite population increases.
[00:01:07.114 --> 00:01:10.877]  So, here we are, what I wish Texas was.
[00:01:10.877 --> 00:01:12.418]  And I love my state.
[00:01:12.418 --> 00:01:16.701]  But hey, the good example of Florida has got Texas doing the right thing now.
[00:01:16.701 --> 00:01:21.925]  And South Dakota, and Mississippi, and Louisiana, and a bunch of other states.
[00:01:23.624 --> 00:01:32.853]  But boy, the leftist control freaks aren't letting people out from under their thumb in California, or in New York, or in New Jersey.
[00:01:32.853 --> 00:01:34.194]  It's scary.
[00:01:34.194 --> 00:01:47.607]  So I hit this last hour, and I don't normally repeat something from show to show, but we have the mainstream media tuning in today, and they were asking if I support violence and if I want to carry out violence against the vaccine pushers.
[00:01:48.254 --> 00:01:54.315]  And all I said is as long as you don't try to force it on me, don't try to assault me with your poison, then I don't need to assault you.
[00:01:54.315 --> 00:01:56.235]  But don't pretend it's not an assault.
[00:01:56.235 --> 00:01:58.596]  Don't pretend it's not a social control.
[00:01:58.596 --> 00:02:02.917]  Don't pretend it's not illegal and experimental and that you're not Joseph Mingala.
[00:02:02.917 --> 00:02:05.477]  That the media that has bought into this isn't Joseph Mingala.
[00:02:05.477 --> 00:02:12.398]  So you're the ones that have become Joseph Mingala and violated every common sense law, the Geneva Convention, and the Nuremberg Code.
[00:02:12.398 --> 00:02:15.119]  So you're the ones that have put us into this world.
[00:02:16.619 --> 00:02:36.323]  I'm just simply pointing out under the rules of common law and the rules of international law and the rules of common sense that tyranny is being implemented through the medical system and that it's big tech merging with it and trying to suppress people criticizing it but they can't hide the truth and a whole bunch of countries have banned these so-called vaccines that aren't even vaccines.
[00:02:36.323 --> 00:02:44.444]  And so everybody that's bought into this, everybody that's selling this agenda, whether they be Bill Gates, whether they be
[00:02:46.536 --> 00:02:53.679]  People like Klaus Schwab and the Nabos Group, they're trying to sign our death warrants.
[00:02:53.679 --> 00:02:59.461]  And they are trying to literally make us permanently ill, so they can control our lives and extract wealth from us.
[00:02:59.461 --> 00:03:04.382]  They're soft-killing the West, looking at what that plan means.
[00:03:04.382 --> 00:03:11.385]  And so, they will be held accountable, one way or another.
[00:03:11.385 --> 00:03:14.886]  I don't care if they get governments to pass laws giving them liability protection.
[00:03:15.478 --> 00:03:17.379]  Those governments are like, why do you want protection?
[00:03:17.379 --> 00:03:19.221]  And why is it causing all this brain damage?
[00:03:19.221 --> 00:03:20.301]  Why is it calling all the celibates?
