[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:40.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:40.000 --> 00:48.000]  Man, I tell you, I have marveled at Ted Cruz, and now he's been hardcore, telling it like it is when faced with real tyranny.
[00:48.000 --> 01:02.000]  And I've been pointing out that Ted Cruz will become the leader of the Republican Party if the neocons aren't able to block him if he continues with a hardcore rhetoric, which is based on what's actually happening.
[01:02.000 --> 01:08.000]  When you're faced with total tyranny and just absolute power grabbing, you have to counter it with what it is.
[01:08.000 --> 01:20.000]  Not be like, well, that sounds a little extreme to say Obama's trying to become a dictator, or stage Benghazi to ship weapons to Al Qaeda, or stage Fast and Furious, or sold out the country to China.
[01:20.000 --> 01:31.000]  But now, this is coming up in the next segment, Rand Paul has demanded Democrats return money raised by, quote, sexual predator Bill Clinton.
[01:31.000 --> 01:34.000]  That's how you take these criminals down.
[01:34.000 --> 01:40.000]  You should get hardcore. And we have the video of Rand Paul saying that.
[01:40.000 --> 01:46.000]  I just, I love it. We're going to have an arms race now of who can turn the rhetoric up.
[01:46.000 --> 01:56.000]  And notice the social engineers and the gatekeepers and the people that try to tell you how to think and what to do with MSNBC and CNN are always, it's just crediting to turn the rhetoric up.
[01:56.000 --> 02:06.000]  It's just crediting to be mean. It's just crediting to, you know, use all these volatile terms while they use, you're a Klan member of your own a gun.
[02:06.000 --> 02:13.000]  If you don't like Obama care, it's because you hate black people. I mean, that's over the top hardcore rhetoric based in lies.
[02:13.000 --> 02:17.000]  But Bill Clinton settled cases.
[02:17.000 --> 02:31.000]  If you followed this back in 95, 96, 97, 98, 99, like I did on radio every day, where he would literally just rape women on a routine basis, break their jaws, beat the living daylights out of them.
[02:31.000 --> 02:38.000]  And he would, he would settle the lawsuits. I'm not going to get into what he did to the women, but it included biting bloody chunks out of them.
[02:38.000 --> 02:44.000]  I mean, we're talking hardcore Ted Bundy, Jeffrey Dahmer type behavior. Okay.
[02:44.000 --> 02:51.000]  And then if people spoke out about it, he'd have their arms broken. I'm telling you, though, I hope they don't blow up Rand Paul's airplane.
[02:51.000 --> 02:55.000]  And, you know, when he's flying or something, because here's the issue.
[02:55.000 --> 03:03.000]  If we get everybody talking like this, they can't kill us all. That's why I love to get other talk show hosts on. I love to, I don't want to walk pointing this thing.
[03:03.000 --> 03:09.000]  It's not because I don't even want to die. I mean, I want to win. We win by getting everybody telling the truth, everybody going public.
[03:09.000 --> 03:18.000]  The story is up on DrudgeReport.com, the place that broke the original Monica Lewinsky story that then opened up all the sexual garbage.
[03:18.000 --> 03:26.000]  By the way, the word is, and I'm going to talk about this later, I've never met Jay Leno, but I know a lot of folks that know Jay Leno have been on this show.
[03:26.000 --> 03:31.000]  And they've told me Jay Leno brings up, you know, hey Alex Jones, you like him? I like his show.
[03:31.000 --> 03:35.000]  And then about a year ago, we got contacted by the Jay Leno people, one of their main producers.
[03:35.000 --> 03:44.000]  They said, well Jay wants to get you on. He listens to the show every day, every day, and we listen all the time and get a lot of material from the show.
[03:44.000 --> 03:52.000]  And I said, really? And they said, no, you'd be surprised. And, but, and then they said, no, it's too political. They won't let him.
[03:52.000 --> 04:01.000]  Well, that's the article out today, infowars.com, was Jay Leno canned by NBC for criticizing Obama?
[04:01.000 --> 04:11.000]  And he would make jokes that were just, I mean, completely obvious that, you know, that, hey, there really is a big bro in Washington, and he really does listen through the NSA to you.
[04:11.000 --> 04:18.000]  And jokes like that. And, hey, you know, he said you could keep your doctor, but now you can't keep it. But he never said you couldn't keep it, even though he said you couldn't keep it.
[04:18.000 --> 04:27.000]  I mean, that's good comic material. And John Stewart's done it some, but his brother's the head of the New York Stock Exchange, and he's really kind of a made man.
[04:27.000 --> 04:34.000]  And everybody's turned against Obama, so he does a little bit of it, but he kind of makes it a joke. Jay Leno, here's the deal in Hollywood.
[04:34.000 --> 04:46.000]  If you're libertarian or conservative, you're gone. And they don't let you do it. See, Stewart's a liberal, so he's been allowed to attack Obama just because Obama's so unpopular.
[04:46.000 --> 04:54.000]  They're deserting the sinking ship. But Jay Leno is a libertarian, is a lifter of the show. And I'm not saying that's the reason he's fired, but that just gives you an example of why they don't like him.
[04:54.000 --> 04:58.000]  Jay Leno's a really good guy from folks I know that know him. We'll be right back.
[05:25.000 --> 05:34.000]  All in one filter element. It is the only one that does it and out of the gates. We have it discounted at 10% off with promo code water.
[05:34.000 --> 05:51.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[05:51.000 --> 06:00.000]  Get your pro pure with a new pro one filter today at infowarstore.com or by calling 888-253-3139.
[06:22.000 --> 06:41.000]  But we can help to get it out of our bodies. I am extremely excited to announce the exclusive info wars life fluoride shield formulation fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[06:41.000 --> 06:53.000]  Let's take a stand against the globalist by blocking their poisons with fluoride shield. I use fluoride shield every day. Secure your fluoride shield and other pioneering formulations at infowarslife.com today.
[06:53.000 --> 07:00.000]  Let's start cleansing our bodies now and support the info war at the same time. That's infowarslife.com.
[07:00.000 --> 07:11.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade.
[07:11.000 --> 07:18.000]  My favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade grown Arabica beans.
[07:18.000 --> 07:30.000]  They now manage to secure these sought after beans in a highly customized blend. Discover and try a bag of the patriot blend 100% organic coffee at infowarslife.com.
[07:30.000 --> 07:37.000]  This coffee gives you a long smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[07:37.000 --> 07:44.000]  Hands down this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[07:44.000 --> 07:51.000]  Try the site today order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[07:51.000 --> 08:15.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee available at infowarslife.com.
