[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[00:30.000 --> 00:43.000]  I'm actually hyperventilating a little bit.
[00:43.000 --> 00:55.000]  The suspense is so incredible. What's on the line is so unspeakably serious.
[00:55.000 --> 01:01.000]  Boy, I've never, never had anxiety like this on air.
[01:01.000 --> 01:05.000]  So much down to the wire. Six days out.
[01:05.000 --> 01:08.000]  What will the globalist deep staters call them?
[01:08.000 --> 01:17.000]  To stop the populist wave worldwide that is red, red blood, of red-blooded humans that want freedom. Brazil.
[01:17.000 --> 01:26.000]  A George Washington-type, elected, pro-gun Christian, Merkel being removed by, quote, far right wing.
[01:26.000 --> 01:34.000]  She's already out of power. She'll still be there as a figurehead until 2021, unless she completely resigned.
[01:34.000 --> 01:42.000]  And everywhere else, they're losing. And they believe, the globalists are enemies, believe, and they are correct,
[01:42.000 --> 02:01.000]  that if they can hold on to the United States, they've got some shot of suppressing nativist, nationalist, independent groups around the world from getting control of their own destinies.
[02:01.000 --> 02:12.000]  It is wickedly authoritarian. And it's authoritarian like an aerospace engineer wants to design an airplane that's aerodynamic.
[02:12.000 --> 02:27.000]  It is the science of dehumanization and control, because that's the only shot the technocrats have of maintaining their illegitimate, bizarre, anti-Renaissance hold.
[02:27.000 --> 02:33.000]  We need to be accelerating technological development. We need to be exploding into space.
[02:33.000 --> 02:37.000]  We need to be innovating at every level if we have a shot to make it out of here.
[02:37.000 --> 02:51.000]  The globalists are attempting to dumb down and then reduce the population in an attempt to control a planetary collapse that in many cases has already begun, and not for the reasons they claim.
[02:51.000 --> 02:59.000]  And in that war, they're going to set up trying to dehumanize the population.
[02:59.000 --> 03:14.000]  That war on humanity, that will create a blowback, feedback, cultural, economic, and psychic spiritual loop that will absolutely have the planet fall to death.
[03:14.000 --> 03:21.000]  So the globalists want to kill the human species and potentiality in an attempt to control it. It's called killing the Golden Gush.
[03:21.000 --> 03:42.000]  They see us, though, that are resisting their program as death, as ignorant sabbages that are going to eat through all the resources, but they're the ones trying to freeze the development and trying to freeze the expansion while actually promoting the stupidest people to have more children.
[03:42.000 --> 03:58.000]  And it's in the Royal Commission, the original eugenics battle plan after World War II. It's all a fact that they claim they're doing this great evil act out of some altruistic great goal, but really it's all about being directed by evil.
[03:58.000 --> 04:07.000]  Now, we have some of the most dramatic footage at infowars.com that is exclusive to infowars.com. As far as I know, we've sent this a drugs report.
[04:07.000 --> 04:13.000]  Don Salazar. When we come back, we're going to roll the footage for you. The radio listeners all describe it.
[04:13.000 --> 04:26.000]  Trump ain't playing. Video shows hundreds of military vehicles, including Abrams, frontline battle tanks being shipped to the border.
[04:26.000 --> 04:43.000]  Footage of train heading southbound. Portally captured in Arizona. And Trump is confirmed he's sending heavy armor. Armored personnel carriers, you name it. Supply vehicles, support vehicles. Everything.
[04:43.000 --> 04:50.000]  Command and control systems. Because let's be honest, this is part of a larger plan to collapse the country and Trump knows it.
[04:50.000 --> 04:56.000]  So Rex-84 is getting implemented. Hold the ride back.
[05:20.000 --> 05:32.000]  Flora Life is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[05:32.000 --> 05:45.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day. These incredible formulas can help keep your body in tip top shape in the fight against stress, age and outside toxins.
[05:45.000 --> 05:51.000]  There's no better time to try Flora Life and carnivore to see how well they can support your body.
[05:51.000 --> 06:18.000]  Don't miss out on the chance to fuel your body and support recovery. Try the Info Wars Life Daily Digestive Pack today.
[06:18.000 --> 06:39.000]  Six days. Six days, ladies and gentlemen, until the most important election in world history, the final big giant juicy domino to fall against the globalist and signify their collapse.
[06:39.000 --> 06:50.000]  It's kind of like once the Nazis got kicked out of North Africa and they went into Russia, they sort of get kicked out of there and the allies landed and there was a turning point after the Battle of the Bulge where we knew they were whipped.
[06:50.000 --> 07:06.000]  But it was going to take some time and some blood. And we're at that Battle of the Bulge moment right now in the allegory and we already are in the battle and we're already smashing their main offensive.
[07:06.000 --> 07:11.000]  But it's on right now. This is the magic moment in history.
[07:11.000 --> 07:19.000]  Now, let's be clear. We lose this midterm, which I don't think we are because of all the indicators.
[07:19.000 --> 07:36.000]  There's a massive, massive landslide where the Republicans would pick up 50 seats in the House, 5, 6, 10 seats in the Senate. There's a total red wave globally of populism.
[07:36.000 --> 08:05.000]  There's such total fraud going on and people who have been dead for decades voting, not just in Chicago, but in Austin, Texas and huge farms of phone banks and people who are filling out the early voter forms and the early voting mail-in forms from Texas to California and they're just shipping them in in mass.
[08:05.000 --> 08:14.000]  They've built a big seawall, a big, blue, stinking, fraudulent wall. And here comes the tsunami.
[08:14.000 --> 08:23.000]  All they got to do is, like a gold post in the NFL or in football, we just got to get that football right between the gold post.
[08:23.000 --> 08:31.000]  It doesn't matter if it shoots all the way up at the top, right through them, it's just got to make it. And right now that ball's, I mean, we're going to see what happens.
[08:31.000 --> 08:53.000]  Here's the blue wall, but the Dems are panicking because they know the internal indices and indicators are just tsunami hammer wave, just like Brazil, where he won by double digits, just like Merkel has been lost every election for six years.
[08:53.000 --> 09:05.000]  But in parliamentary manipulation and having the Muslims all vote in unison for her, she's been able to manipulate the parliament system and stay in power. She's gone now.
[09:05.000 --> 09:13.000]  Notice, as soon as they fall, you don't hear the mainstream media talk about it anymore.
[09:13.000 --> 09:23.000]  Populism, capitalism, the things that work, it's back. And just like Trump's been tweeting, if you let the Democrats in, they're going to take you to the Venezuelan system, that's the model they like.
[09:23.000 --> 09:36.000]  And that's true. They want to make you poor on purpose. They hate your stinking guts.
[09:36.000 --> 09:45.000]  Think about that. Now, here's the big news. It just got linked up on drugreport.com. Don Salazar article. Trump ain't playing.
[09:45.000 --> 09:54.000]  Video shows hundreds of military vehicles being shipped to the border. Footage of train headed southbound captured in Arizona.
[09:54.000 --> 10:00.000]  It's up on infowars.com. Right now it's at newswars.com.
[10:00.000 --> 10:09.000]  And good luck Twitter and Facebook and everybody censoring it. Because the biggest website in the world, the biggest news site in the world just posted it.
[10:09.000 --> 10:14.000]  And ooh, this is going to go real viral.
[10:14.000 --> 10:19.000]  Now, we're going to get more into that in a moment.
[10:19.000 --> 10:26.000]  But here is something that my spidey sense and my common sense tells me is a big problem.
[10:26.000 --> 10:33.000]  Let's do it in a moment. But first, New York Times op-ed brags of replacing in bittered white conservative minority.
[10:33.000 --> 10:40.000]  So it's the open culture of teaching the left to be an anti-white party.
