[00:00.000 --> 00:01.400]  We've got it, Bada.
[00:01.400 --> 00:03.600]  Thank you, space is coming to you.
[00:07.200 --> 00:09.800]  Waging war on corruption.
[00:09.800 --> 00:11.600]  All right, you are in control.
[00:11.600 --> 00:17.800]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:19.800 --> 00:21.600]  And we see the earth.
[00:22.400 --> 00:23.600]  You've got it.
[00:25.400 --> 00:27.600]  And we see the earth now.
[00:27.600 --> 00:29.600]  You've got it, Bada.
[00:31.000 --> 00:33.000]  Now we see the earth.
[00:33.600 --> 00:35.000]  You've got it.
[00:36.600 --> 00:38.600]  Now we see the earth now.
[00:38.600 --> 00:44.000]  We are broadcasting worldwide, blasting out of the AM and FM dial, global shortwave,
[00:44.000 --> 00:51.000]  and of course, satellite number one on the internet at infowars.com and prisonplanet.com for online streaming.
[00:51.000 --> 00:58.000]  And podcast, thank you so much for joining us. You have found it, the tip of the spear of the front line in the Info War.
[00:58.000 --> 01:05.400]  As we attempt, in some cases with great success, to alert free humanity to the dangers of historical tyranny
[01:05.400 --> 01:14.400]  that is now manifesting itself and coming in like a flood against free peoples all over the world, not just here in the United States.
[01:14.400 --> 01:18.400]  We're going to be live here for the next two hours, popping in for a segment or two.
[01:18.400 --> 01:24.800]  The start of the next hour is Aaron Dykes, Aaron and Darren McBreen, two of our great reporters who spent the last few days
[01:24.800 --> 01:31.800]  during a big federal martial law takeover drill that included practicing rounding up citizens and putting them in a nearby sports stadium.
[01:31.800 --> 01:35.800]  We'll tell you the cover story the feds had for that one.
[01:35.800 --> 01:42.800]  He'll be popping in at the start of the next hour, also popping in a witness off and on the last week to the demonstrations
[01:42.800 --> 01:48.800]  in and around Wall Street culminating and people being beat up over the weekend and hundreds being arrested.
[01:48.800 --> 01:56.800]  That is all coming up today with Luke Radowski joining us and reporting for infowars.com from New York City, Lower Manhattan.
[01:56.800 --> 02:06.800]  So that is all coming up today. Obviously, we've got an information overload here and I've not been getting a lot into politics because most of these people
[02:06.800 --> 02:15.800]  are horses owned by the very same stable, owned by the very same operation, the globalists like a Don King boxing match.
[02:15.800 --> 02:21.800]  But we have a real contender in the arena in this rigged game who's not rigged.
[02:21.800 --> 02:25.800]  And so the system is pulling out the stops. Of course, his name is Ron Paul.
[02:25.800 --> 02:35.800]  But I think it's important to just go over a few of the dirty tricks they've run against him and illustrate the fact that even the corporate shill media is admitting that the tea party
[02:35.800 --> 02:40.800]  is destroying people who actually are constitutionalists.
[02:40.800 --> 02:47.800]  The Republicans have basically failed to co-opt it. Rick Perry has failed to co-opt it and the tea party is destroying Rick Perry.
[02:47.800 --> 02:54.800]  He came out of the gates and was the front runner instantly because of media anointing him as the leader.
[02:54.800 --> 03:00.800]  But as soon as myself and Ron Paul and others said, did you know he was Al Gore's chief of staff?
[03:00.800 --> 03:04.800]  Did you know he supported Hillary care? Did you know he went to Bilderberg?
[03:04.800 --> 03:09.800]  Did you know he supports handing over 8,000 miles of Texas roads? Did you know he's for forced inoculation?
[03:09.800 --> 03:16.800]  He has imploded. The problem is, we've not completely destroyed him yet.
[03:16.800 --> 03:25.800]  We've also got to take out politically the other kindle who's just as bad or worse and that's Mitt Twinkle Toe's Romney.
[03:25.800 --> 03:35.800]  He is a clone of Rick Perry except for the fact that he's from Michigan, not from Texas and he has not attended Bilderberg that we know.
[03:35.800 --> 03:42.800]  And he was not a male cheerleader. Normally to be a Republican contender, you've got to be a male cheerleader as of late.
[03:42.800 --> 03:49.800]  Rick Perry, of course, is a male cheerleader like George W. Bush and others and Trent Lott and the rest of them, part of the Twinkle Toe's
[03:49.800 --> 03:58.800]  or the Pillowbiting Club or whatever they're part of. So that's all coming up. We're going to break this down in Time Magazine trying to prop him up.
[03:58.800 --> 04:06.800]  The rise of Rick Perry. Remember, I told you Rick Perry was going to run when he pledged he wouldn't and I told you that all this stuff would come out.
[04:06.800 --> 04:15.800]  That's why he told a Fox News host a year and a half ago that he scared Ron Paul and Alex Jones because he knows we're carrying the data that can bring him down.
[04:15.800 --> 04:24.800]  Same thing on Newt Gennrich, who's not really a contender, but she still needed a discrediting Mr. Carbon Tax, Mr. Global Government.
[04:24.800 --> 04:34.800]  In fact, guys, you Google for me because I've always been to bring in here is actually I actually own the Alvin I.D. Toffler book that he intro recalls for World Government.
[04:34.800 --> 04:42.800]  Something like Newt Gennrich called for global government in Toffler book intro. That should get it.
[04:42.800 --> 04:48.800]  He's also called for implanting the entire population with microchips. Don't believe me, just type in Newt Gennrich, microchips.
