[00:00:02.745 --> 00:00:04.085]  Wow, folks.
[00:00:04.085 --> 00:00:05.286]  Wow.
[00:00:05.286 --> 00:00:07.126]  I am so blown away right now.
[00:00:07.126 --> 00:00:09.367]  Hillary had LeBron James come speak at one of her rallies.
[00:00:09.367 --> 00:00:15.149]  All she got was 700 people that were almost all white, even though they were trying to get black folks to come to it.
[00:00:15.149 --> 00:00:16.609]  And it gets even worse than that.
[00:00:16.609 --> 00:00:20.771]  As you know, she has a Jay-Z concert and 10,000 show up.
[00:00:20.771 --> 00:00:21.691]  I mean, Trump has 20,000, 30,000.
[00:00:21.691 --> 00:00:23.451]  This shows how rigged it is.
[00:00:23.451 --> 00:00:29.553]  We've got incredible news with the FBI coming out and saying, hey, we're not going to go after Hillary on the new emails.
[00:00:29.553 --> 00:00:31.474]  But first, a very powerful John Bowne report.
[00:00:32.566 --> 00:00:46.295]  Marina Abramovich, grandmother of the performance art movement and a modern adherent to ceremonial magic found in Aleister Crowley's religion, Thelema, wrote a very personal email to Tony Podesta, according to WikiLeaks.
[00:00:46.295 --> 00:00:52.179]  It reads, Dear Tony, I am so looking forward to the spirit cooking dinner at my place.
[00:00:52.179 --> 00:00:57.203]  Do you think you will be able to let me know if your brother is joining Tony Podesta?
[00:00:57.483 --> 00:01:10.211]  Regarded as the most powerful lobbyist in Washington, D.C., is a brother to none other than John Podesta, chairman of the Hillary Clinton presidential campaign and counselor to President Obama.
[00:01:10.211 --> 00:01:15.814]  That dinner Abramovich spoke of was nothing less than a thalemic occult ritual.
[00:01:15.814 --> 00:01:25.440]  In spirit cooking, Marina uses pig's blood, which most resembles human blood, as a medium to connect the spirit world with the material world.
[00:01:25.720 --> 00:01:30.225]  The ritual takes place in the kitchen, which is considered to be the heart of the home.
[00:01:30.225 --> 00:01:35.952]  The goal of the ceremony is to convert matter into energy so spirits can feed on it.
[00:01:35.952 --> 00:01:47.004]  Marina derives her inspiration from the popular belief that spirits still need food, even though it is no longer solid but in the form of light, sound, and emotions.
[00:01:47.424 --> 00:01:59.652]  This simple revelation may finally pull back the curtain to the masses on the ugly truth Infowars and others have been desperately trying to tell the masses for years.
[00:01:59.652 --> 00:02:02.814]  The occult is the religion of the elite.
[00:02:02.814 --> 00:02:06.677]  Just research the influence of Lucius Trust in the United Nations.
[00:02:06.957 --> 00:02:09.820]  Or review the 1990 Nebraska U.S.
[00:02:09.820 --> 00:02:19.710]  District Court case between Paul A. Baracki vs. Lawrence E. King, exposing a powerful pedophile ring linked to political figures, high-level U.S.
[00:02:19.710 --> 00:02:22.693]  military commanders, and the intelligence establishment.
[00:02:22.893 --> 00:02:26.794]  All of this overseen by Temple of Set founder and retired U.S.
[00:02:26.794 --> 00:02:29.314]  Army Lieutenant Colonel Michael Aquino.
[00:02:29.314 --> 00:02:33.975]  Bill Clinton and Hillary Clinton live in this dark world.
[00:02:33.975 --> 00:02:50.858]  Bill Clinton wrote in his biography that the brief foray into the world of voodoo furthered his fascination with the way different cultures try to make sense of life, nature, and the virtually universal belief that there is a non-physical spirit force at work in the world.
[00:02:51.078 --> 00:03:05.127]  Back in September 16th, 2016, Fox News posted a letter from hacker Guccifer, claiming the goal of the Guccifer Project failed because he was unable to fully expose the Illuminati, the Council, and their crimes.
[00:03:05.127 --> 00:03:13.432]  He writes, Hillary Rodham Diane Clinton is one of the High Priests, a goddess of this occult, satanic, shadow group.
[00:03:13.432 --> 00:03:18.595]  One must see their evil and profoundly corrupt nature to understand what I am talking about.
[00:03:18.715 --> 00:03:27.840]  Gustafur continues, so I apologize in front of the unknown soldiers who struggle to take this fight against these monsters to a glorious end.
[00:03:27.840 --> 00:03:35.084]  Many of them are risking their lives while doing this behind the computer screens from inside or outside the system.
[00:03:35.084 --> 00:03:45.590]  And now bombshell revelations are surfacing from Anthony Weiner's recovered laptop as the New York Police Department is investigating allegations that Bill Clinton
[00:03:46.010 --> 00:03:51.634]  ...perform sexual acts on underage girls as young as five years old.
[00:03:51.634 --> 00:04:05.463]  In the coming days, right up to the election, Anthony Weiner's laptop will reveal evidence of an international child sex trafficking ring tied to Democratic presidential candidate Hillary Clinton.
[00:04:05.463 --> 00:04:11.807]  She's worked like a demon, as you know, as Secretary of State and as a senator and in the years since.
[00:04:11.807 --> 00:04:13.108]  One thing about Hillary,
[00:04:14.898 --> 00:04:17.782]  They were just a good-timing guy.
[00:04:17.782 --> 00:04:21.826]  But Hillary, she's an animal.
[00:04:21.826 --> 00:04:26.132]  Hillary is the one that I promise you.
[00:04:26.132 --> 00:04:28.254]  She pulls the strings.
[00:04:28.254 --> 00:04:30.577]  She pulled them in Arkansas.
[00:04:30.577 --> 00:04:33.861]  She pulled them in the White House when she was there as the first lady.
[00:04:36.031 --> 00:04:43.139]  And my God, if she gets to be president, what you see out here now is going to change.
[00:04:43.139 --> 00:04:45.202]  We thought it changed with Obama.
[00:04:45.202 --> 00:04:47.925]  There's nothing compared to what's going to happen with Hillary.
[00:04:49.016 --> 00:04:58.045]  If all of this is just a little too much, remember, Benjamin Franklin prophetically said, only a virtuous... Only a virtuous people can run their own affairs.
[00:04:58.045 --> 00:04:58.866]  We'll be back.
[00:04:58.866 --> 00:05:00.588]  I'm Alex Jones with a simple question.
[00:05:00.588 --> 00:05:04.892]  Will you and your family be financially protected if there's another economic meltdown?
