[00:00.000 --> 00:29.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[00:29.000 --> 00:47.000]  InfoWars.com, NewsWars.com, PrisonPlanet.com have got the complete coverage, including our reporters on a kayak in the middle of what is now the Gulf of Houston.
[00:47.000 --> 00:59.000]  I think GrudgeReport.com gets it right, coining the term, the Gulf of Houston, some areas will be uninhabitable for a long period of time, the state of Texas is now saying.
[00:59.000 --> 01:13.000]  You can see on screen of your TV viewer, footage shot by Michael Zimmerman, and more crew that he's recruited, he's got family down in Houston, and I wouldn't actually send reporters into this, so he volunteered on his own and went down there.
[01:13.000 --> 01:19.000]  Owen Schroder was also down there for several days, 15 trillion gallons.
[01:19.000 --> 01:41.000]  And here's the bad news, after 15 trillion gallons dumped on Houston the last three days, the storm has run back out into the Gulf of Mexico and is set to turn back in tomorrow and hit the city again.
[01:41.000 --> 02:00.000]  So again, ladies and gentlemen, after coming in and hitting Rockport, going up the coast, it's gone out to sea and is going to be coming back in to Houston.
[02:00.000 --> 02:12.000]  Unspeakable situation, undoubtedly the storm of the century, they're saying that Texas has never, in about 150 years of accurate recording, since the University of Texas started doing it,
[02:12.000 --> 02:29.000]  Texas has never seen rainfall totals this high, 50 inches on average over the Houston area and many areas of East Texas, many parts of Houston are 20 feet or more below water.
[02:29.000 --> 02:39.000]  Some will argue, like today with New Orleans, why don't you build a mega city down there where things flood, because that's where the rivers are, it's where the state lines are, it's where the ocean is, it's where commerce is.
[02:39.000 --> 02:51.000]  The whole world's a dangerous place, but tectonic plates and earthquakes and tornadoes, it's just part of life, ladies and gentlemen, that this is an ever-changing, dangerous world.
[02:51.000 --> 02:59.000]  Anybody that tries to tell you they can cut out any type of danger in your life is trying to basically turn you into a prisoner.
[02:59.000 --> 03:07.000]  Speaking of prisoner, I've had several members of parliament on from the UK over the years, and both of them that I had on were liberals.
[03:07.000 --> 03:22.000]  But they said that what's happening is the Muslims particularly, also some European immigrants, don't get regular jobs, they become social workers or they become foster parents.
[03:22.000 --> 03:31.000]  And that it's mainly Muslims, and that they actually warehouse the children, and it's come out in the news, children warned of this years ago, no one believed them.
[03:31.000 --> 03:40.000]  In some towns over 5,000 young girls have been kidnapped and raped, and many times in the hands of the foster services.
[03:40.000 --> 03:50.000]  There's a story out of the times of London that absolutely makes me, let's just say, extremely angry.
[03:50.000 --> 04:03.000]  Muslim foster carers told Christian girl 5 that Christmas and Easter are stupid, European women are alcoholics, and this is just the whitewash, and took her cross away,
[04:03.000 --> 04:11.000]  and basically told her she's a Muslim now. She was given to people that don't speak English and wear full burkas,
[04:11.000 --> 04:20.000]  and she cries in bags and the foster services say it's good to learn other cultures, this will teach you not to be a Christian.
[04:20.000 --> 04:26.000]  There's the headline times of London, Christian child forced into Muslim foster care.
[04:26.000 --> 04:30.000]  I'm not laughing at the child, I'm laughing at political correctness.
[04:30.000 --> 04:41.000]  It is designed to destroy the West and Christianity period. You are under attack if you are a Christian period,
[04:41.000 --> 04:47.000]  and they're now beginning through Amazon and other big networks to ban Christians from commerce.
[04:47.000 --> 04:54.000]  Lawsuits have been filed by the D. James Kennedy Center, Family Research Council, and others.
[04:54.000 --> 05:04.000]  This is really happening. The Mark of the Beast is here.
[05:04.000 --> 05:11.000]  We've got great air filters, great water filters, great non-GMO, early on seeds, great books, great films, great patriot apparel to meet like-minded people.
[05:11.000 --> 05:17.000]  We've got a new humongoid sale, not the number of things that are on massive sale, but on what's on sale.
[05:17.000 --> 05:27.000]  For months, not been on sale for months and months, we've never offered super male vitality, non-concentrated herbs, cold pressed, super male vitality, 57% off.
[05:27.000 --> 05:36.000]  It's never been the price. It is right now with 3,596 reviews, 4.6 reviews total by third party sites, unprecedented, and it's cold pressed.
[05:36.000 --> 05:41.000]  That's why super male is so different. People say, well, I know these compounds work because it's admitted to science,
[05:41.000 --> 05:48.000]  but what you sell is already best-selling stuff that's been certified as healthy and good forever. Why these aren't anything new?
[05:48.000 --> 05:52.000]  Because why do something new when you can have the oldest and best butt cold pressed?
[05:52.000 --> 05:59.000]  Do. Do.
[05:59.000 --> 06:04.000]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock.
[06:04.000 --> 06:12.000]  Research across the board is clear. When bacteria infect your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[06:12.000 --> 06:19.000]  That's why the Last Surgeon General's report on oral health warns that your oral health can have a serious impact on your entire body.
[06:19.000 --> 06:26.000]  Super blue fluoride free toothpaste is a groundbreaking new formula. It's loaded with good halogen iodine, some of the bad halogen fluoride.
[06:26.000 --> 06:34.000]  Super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[06:34.000 --> 06:41.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver, and more.
[06:41.000 --> 06:46.000]  Due to requests from listeners who found that spearmint was a little bit too strong for some of their children,
[06:46.000 --> 06:49.000]  we have created the new bubble gum flavored super blue that is spearmint free.
[06:49.000 --> 06:59.000]  Learn more about the new bubble gum flavor super blue toothpaste and more at infowarslife.com and support the info war while you support healthy gums and teeth.
[06:59.000 --> 07:04.000]  You deserve a deep restful sleep with knockout by info wars life.
[07:04.000 --> 07:15.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract, and melatonin.
[07:15.000 --> 07:20.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[07:20.000 --> 07:29.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[07:29.000 --> 07:37.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[07:37.000 --> 07:39.000]  Wake up refreshed and take on the day.
[07:39.000 --> 07:47.000]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[07:47.000 --> 07:51.000]  Get the sleep you deserve and experience the power of knockout.
[07:51.000 --> 08:17.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[08:17.000 --> 08:24.000]  The city of Houston is now the Gulf of Houston.
[08:24.000 --> 08:28.000]  There are many areas under more than 20 feet of water.
[08:28.000 --> 08:36.000]  The devastating record monster demon storm Hurricane Harvey has now basically broken up.
[08:36.000 --> 08:44.000]  Part of it's gone back out to sea and they're saying it may reconstitute by tomorrow and come slamming back into Houston.
[08:44.000 --> 08:56.000]  As well as East Texas, Louisiana, Mississippi, right as President Trump is set to travel to Texas to survey the damage and give federal support.
[08:56.000 --> 09:06.000]  Why is this different though? Why is even local news having to admit that this time the response is the best they've ever seen to a hurricane?
[09:06.000 --> 09:14.000]  It's because Trump ordered FEMA to stay out of the way of the state, the counties, the locals, the individual citizens.
[09:14.000 --> 09:22.000]  And to let the state direct the crisis and to have the feds then be directed by the locals that know where everything is.
[09:22.000 --> 09:32.000]  The reason Katrina was so incredibly horrible was because they ordered a stand down for three days.
[09:32.000 --> 09:42.000]  And FEMA said we're in charge and remember when and cut the police communications radio tower on day two because the police were not following orders.
[09:42.000 --> 09:48.000]  And we're doing things like trying to go to nursing homes to, quote, save their own mamas.
[09:48.000 --> 09:53.000]  Remember when the sheriff broke down because his mama died, he followed the orders, didn't go for three days, she died.
[09:53.000 --> 09:57.000]  Remember that on CBS News?
[09:57.000 --> 10:02.000]  So Trump did a great job on this and I'm not trying to just defend the president.
[10:02.000 --> 10:08.000]  Look up the difference between Bush and saying great job brownie, some guy that owned Arabian horses.
[10:08.000 --> 10:15.000]  So Bush's Islamic donors said put him in charge.
