[00:00:03.010 --> 00:00:18.191]  InfoWars has been banned.
[00:00:20.561 --> 00:00:24.463]  Arrested.
[00:00:24.463 --> 00:00:25.864]  Attacked and threatened.
[00:00:25.864 --> 00:00:28.966]  Because we are effective.
[00:00:28.966 --> 00:00:32.368]  The Great Awakening is here.
[00:00:32.368 --> 00:00:34.029]  Go to band.video.
[00:00:34.029 --> 00:00:38.792]  Download the videos and share.
[00:00:38.792 --> 00:00:46.096]  Support the Information War at infowarestore.com.
[00:00:46.096 --> 00:00:47.837]  And never give up the fight.
[00:01:02.112 --> 00:01:03.273]  What's wrong?
[00:01:03.273 --> 00:01:05.114]  You don't have any black friends?
[00:01:05.114 --> 00:01:09.856]  Do you want everyone to think that you're an ally and not a racist?
[00:01:09.856 --> 00:01:14.699]  Well, now's your chance to get woke with Black Lives Matter!
[00:01:14.699 --> 00:01:21.843]  And we've made it easy in this all-new sensational step-by-step instructional video.
[00:01:21.843 --> 00:01:22.924]  Here's what you'll learn.
[00:01:23.504 --> 00:01:24.924]  How to block traffic.
[00:01:24.924 --> 00:01:27.845]  How to pull down racist statues.
[00:01:27.845 --> 00:01:30.146]  How to burn the American flag.
[00:01:30.146 --> 00:01:31.827]  Harass diners.
[00:01:31.827 --> 00:01:34.627]  How to make a Molotov cocktail.
[00:01:34.627 --> 00:01:38.649]  How to regurgitate CNN talking points.
[00:01:38.649 --> 00:01:43.050]  Learn how to instantly spot a Nazi or white supremacist.
[00:01:44.051 --> 00:01:49.294]  And of course, we'll teach you the best ways to loot and riot.
[00:01:49.294 --> 00:01:52.956]  Plus, learn the basics of identity politics.
[00:01:52.956 --> 00:01:54.917]  Learn how to play the race card.
[00:01:54.917 --> 00:01:58.919]  Learn how to pull BS statistics straight out of your ass.
[00:01:58.919 --> 00:01:59.859]  93% of the protests are peaceful.
[00:02:01.400 --> 00:02:05.644]  Learn how to put the names of criminal thugs on football helmets.
[00:02:05.644 --> 00:02:08.586]  And check out our special bonus feature.
[00:02:08.586 --> 00:02:10.628]  How to fake a hate crime.
[00:02:10.628 --> 00:02:15.472]  With your woke instructors, Bubba Wallace and Jesse Smollett.
[00:02:15.472 --> 00:02:17.073]  What happens if I get caught nudie?
[00:02:17.073 --> 00:02:18.014]  Or destroy property?
[00:02:18.014 --> 00:02:20.816]  Yeah, what happens if they catch me burning this building down?
[00:02:20.816 --> 00:02:21.957]  No problem.
[00:02:21.957 --> 00:02:26.721]  We've got Soros operatives ready to bail you out and set you free.
[00:02:26.721 --> 00:02:27.922]  All charges dropped.
[00:02:28.402 --> 00:02:32.226]  That means we can keep rioting over and over again!
[00:02:32.226 --> 00:02:33.447]  No worries.
[00:02:33.447 --> 00:02:35.008]  No consequences.
[00:02:35.008 --> 00:02:36.449]  No s***.
[00:02:36.449 --> 00:02:51.323]  Just make sure you check out our GPS map included in this video for a complete list of all the Democrat-controlled cities where total anarchy is not only considered peaceful protest, it's also encouraged!
[00:02:51.323 --> 00:02:53.765]  So get woke with Black Lives Matter.
[00:02:55.838 --> 00:02:57.579]  Oh my god!
[00:02:57.579 --> 00:03:00.442]  Burn that mother f***er down!
[00:03:00.442 --> 00:03:02.023]  But wait, there's more.
[00:03:02.023 --> 00:03:08.147]  If you act now, we'll throw in this free CD collection of BLM's greatest hits.
[00:03:08.147 --> 00:03:14.151]  Sing along with all the woke BLM chants like oink oink, bang bang.
[00:03:14.151 --> 00:03:18.595]  No borders, no wall, no USA at all.
[00:03:22.518 --> 00:03:24.220]  Hey man, is that Black Lives Matter?
[00:03:24.220 --> 00:03:25.421]  Hell yeah!
[00:03:25.421 --> 00:03:27.724]  We'll turn it up!
[00:03:27.724 --> 00:03:30.867]  Pigs in a blanket, fry them like bacon.
[00:03:30.867 --> 00:03:33.370]  Pigs in a blanket, fry them like bacon!
[00:03:33.370 --> 00:03:36.894]  In their brand new hit single, F*** Your Jesus.
[00:03:36.894 --> 00:03:38.696]  F*** Your Jesus!
[00:03:38.696 --> 00:03:40.238]  You know the words, sing along!
[00:03:42.560 --> 00:03:47.562]  So order your copy today and get woke with Black Lives Matter.
[00:03:47.562 --> 00:03:54.604]  Now accept the EBT card to order before November 3rd and get this free f*** up t-shirt for toddlers.
[00:03:54.604 --> 00:03:56.585]  Get woke with Black Lives Matter.
[00:04:08.422 --> 00:04:15.247]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:04:15.247 --> 00:04:19.670]  You better believe you got one!
[00:04:19.670 --> 00:04:24.714]  From the front lines of the Information War, it's Alex Jones.
[00:04:59.036 --> 00:05:14.959]  If you pay close attention to what Big Tech is actually saying, and more importantly, what they're actually doing, when they shut down the Hunter Biden laptop story, that was a test to see if they could work in concert to totally suppress information.
[00:05:14.959 --> 00:05:22.521]  Because they've also been on record saying, coming up on election day and thereafter, they're not going to let anyone but, quote, authoritative sources.
[00:05:22.521 --> 00:05:24.341]  That means CNN, New York Times, what a joke.
[00:05:24.941 --> 00:05:27.945]  Come out and say who the real winner is.
