[00:00.000 --> 00:12.000]  Big Brother mainstream media government cover-ups you want answers well so does he
[00:12.000 --> 00:33.000]  he's Alex Jones on the GCN radio network and now live from Austin Texas Alex Jones
[00:42.000 --> 00:56.000]  crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[00:56.000 --> 01:23.000]  there's no question that we have made many important strides in securing our country from terrorism
[01:23.000 --> 01:49.000]  since 9-11 about the threat continues to evolve
[01:49.000 --> 01:57.000]  and in some ways the threat today may be at its most heightened state since the attacks nearly 10 years ago
[01:57.000 --> 02:08.000]  but I think if you just take those three pieces of evidence right there and add two plus two plus two you have the U.S. government letting Mootslap on the plane with an intentionally defective bomb
[02:08.000 --> 02:16.000]  the war on terror is a fraud and it's being used in a manner to take away your rights for whatever reason
[02:16.000 --> 02:24.000]  in addition to the core al-Qaeda group which still represents a threat to the United States despite its diminished capabilities
[02:24.000 --> 02:31.000]  we now face threats from a number of al-Qaeda associates that share its violent extremist ideology
[02:31.000 --> 02:43.000]  among these groups we are also seeing an increased emphasis on recruiting Americans and Westerners to carry out attacks
[02:43.000 --> 02:48.000]  they are also encouraging individuals in the West to carry out their own small scale attacks
[02:48.000 --> 03:02.000]  which require less of the coordination and planning that could raise red flags and lead to an attacks disruption
[03:02.000 --> 03:12.000]  in my 16 years of deep research it has become clear the number one threat to any sovereign free nation is its military
[03:12.000 --> 03:17.000]  look at Nazi Germany look at Latin America look at Asia look at Africa look at Eastern Europe
[03:17.000 --> 03:26.000]  when you build up a giant paramilitary police force it almost always tries to take over the society
[03:26.000 --> 03:33.000]  in the last 12 years we've watched an acceleration of militarization of police we've watched threat fusion centers
[03:33.000 --> 03:39.000]  the 10 FEMA regions expand the governor's council I've been to urban warfare drills
[03:39.000 --> 03:46.000]  where our own military is training to lock down and barricade and blockade US cities and confiscate our firearms
[03:46.000 --> 03:54.000]  this whole program accelerated after 1999 when Congress got rid of the Glass-Steagall Act
[03:54.000 --> 04:02.000]  it allowed private central banks to issue unlimited counterfeit financial instruments known as derivatives
[04:02.000 --> 04:09.000]  and we've heard that oh the military and the police state the TSA it's for al-Qaeda
[04:09.000 --> 04:15.000]  but now we see checkpoints in Tennessee run by the army shutting down highways searching citizens
[04:15.000 --> 04:22.000]  we see them in New York state with x-ray machines we see it all over the nation we see Marines running illegal checkpoints
[04:22.000 --> 04:28.000]  for DUI in California and when the governors and others complain they're told sit down and shut up
[04:28.000 --> 04:33.000]  it's under homeland security it's under continuity of government
[04:33.000 --> 04:41.000]  and now as the world implodes as the derivatives dollar devaluation crisis expands
[04:41.000 --> 05:00.000]  we're seeing the police and military being called out against the general all right that videos from what a couple years ago see the full video online DHS in game we're live it's Friday big show coming up stay with us I'm Alex Jones GCN live.com
[05:00.000 --> 05:11.000]  The Silver Lungs Generator is the only all encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home
[05:11.000 --> 05:22.000]  with recent regulations threatening the sale of silver based supplements now you can secure yourself and your family by producing your own silver solutions anywhere anytime
[05:22.000 --> 05:30.000]  you can have the peace of mind knowing that you can create endless supply of silver anytime anywhere for any application
[05:30.000 --> 05:37.000]  the Silver Lungs Generator is a one time purchase that requires no maintenance nor replacement parts for the life of the unit
[05:37.000 --> 05:42.000]  this product was designed to be an invaluable part of your vital preparations
[05:42.000 --> 05:54.000]  for a detailed report on the differences between ionic silver colloidal silver and what most silver solution manufacturers are producing please visit our website at www.silverlungs.com
[05:54.000 --> 06:13.000]  for more information on why you should be producing your own silver solutions right from your home forever.
[06:25.000 --> 06:34.000]  optional fluoride filters can reduce fluoride up to 95% easy to set up and use doesn't require electricity curate water from lake streams ponds and wells
[06:34.000 --> 06:42.000]  this filter system leaves in beneficial minerals which is key save money by not buying bottled water and avoid BPA that leaches from the plastic
[06:42.000 --> 06:55.000]  propure is the best gravity fed filter out there it's what my family uses info wars.com already has the lowest price on propure but if you add the promo code water at checkout you get an additional 10% off at info wars.com
[06:55.000 --> 07:22.000]  you can also call to order 888-253-3139.
[07:22.000 --> 07:30.000]  they call it a survival seed bank and it can produce an endless supply of nutrient dense food for you and your family
[07:30.000 --> 07:38.000]  and here's the best part these seeds have not been genetically modified in any way and you actually get enough seeds to plant a full acre crisis garden
[07:38.000 --> 07:57.000]  visit them today at survivalseedbank.com that's survivalseedbank.com or give them a call at 877-327-0365 that's 877-327-0365 remember in a real crisis non-hybrid seeds are the ultimate barter item
[07:57.000 --> 08:17.000]  this is Alex Jones for survivalseedbank.com
[08:17.000 --> 08:28.000]  this is the live of the information war it's Alex Jones
[08:28.000 --> 08:48.000]  you see evil has always been in the world but there's always been good as well there's different forces in history and every action we engage in every decision we make affects that some balance of what will control the world good or evil
[08:48.000 --> 09:06.000]  the problem with good is that when you get a good generation that generally defeats certain destruction and tyranny such incredible freedom and liberty brings so much wealth that the population becomes extremely decadent within just a few generations
[09:06.000 --> 09:19.000]  I'm surprised the United States with all of its liberty and freedom and hadn't been perfect but compared to others it's been the best we've ever seen I'm surprised it's gone this long before falling into incredible degradation
[09:19.000 --> 09:38.000]  alright ladies and gentlemen gold is turbo exploding today we're going to be going over some of those numbers here on the air with talk of QE3 and the now big EU bond package plan that we told you years ago is what they would push
[09:38.000 --> 09:57.000]  the very banks that have engineered the collapse of demanded bailout after bailout which they get most the money from while blaming the public for the debt that they've been signed on to and then they come out and sell the idea of a new mega bond
[09:57.000 --> 10:12.000]  which in the bond agreement the nation sign over what little sovereignty they had left in fact it came out earlier this year it's just amazing EU planners at the highest levels of the European central bank said we have to get rid of nationalism entirely
[10:12.000 --> 10:29.000]  if we're going to set up this new government for and by the banks and they and they called it a banker occupation themselves they said we have captured Europe and there were jokes about it Goldman Sachs captures Europe because I need to rub it in your face to make you feel absolutely helpless and hopeless
[10:29.000 --> 10:48.000]  it's just it's it's part of the occupiers domination tactic throughout history and they went on to say that they needed to get rid of Euro sports team names that have associations with French or German Spanish or Portuguese or Dutch or Italian
[10:48.000 --> 11:03.000]  any of it and just to make it about you know oh Euro teams with names like you know T Rex or no cave bear I mean they've actually had examples in there of you know but Titans the
[11:03.000 --> 11:24.000]  more like US sports teams that because we're one nation so then our teams are generally based just around mascots except for places like Texas because it's the you know the the Texas teams the cowboys the Texans this is something
[11:24.000 --> 11:36.000]  this is something that is important guys I think the gate or something's been changed on my microphone I can definitely hear changes I'm sure some stuff went on with the microphones yesterday we need to turn those back to however they were thank you
[11:36.000 --> 11:48.000]  I can just hear the difference I can hear the gate coming in and out on me it's over gating things here on me or this microphone's going out which I love these Neumann microphones but I guess me banging the table and hitting them over the years
[11:48.000 --> 11:57.000]  sometimes they break so this microphone may be going out as well this is one of the repaired ones right from the last time I knocked it off the table on accident that's a brand new one okay well
[11:57.000 --> 12:08.000]  long as everything sounds okay to you in there I know audio fluctuations when I hear it my little ears okay what's coming up here on the broadcast today
[12:08.000 --> 12:25.000]  Lyndon LaRouche will be joining us who I agree with his analysis of the geopolitical lay of the land I don't agree with all of his solutions I wasn't to provide though that because much to do has been made of Alex Jones has Lyndon LaRouche on that means he's a communist
[12:25.000 --> 12:39.000]  and then other publications say Lyndon LaRouche is extremely right wing and Jones is right wing as he has him on Lyndon LaRouche just had his 90th birthday what yesterday and love him or hate him
[12:39.000 --> 12:52.000]  they had a former CIA director call him the person with the most important private intelligence network in the world obviously Lyndon LaRouche knows where a lot of the bodies are buried and is an extremely interesting person
[12:52.000 --> 13:04.000]  and again everybody we have here on the air we have them here not just because I agree with everything they're saying that's not the case in most cases in fact in all cases I don't agree with what anybody says completely
[13:04.000 --> 13:13.000]  including myself sometimes I hear rebroadcast and I think I could have said that better I should have said this way or I don't really agree with what I said now that I've looked at it in hindsight
[13:13.000 --> 13:28.000]  and I'm not like oh some of the neocon groups are liberal groups criticizing for having Lyndon LaRouche on because it affects me I'm just putting it out to show how they try to mentally referee and decide who can cover what who can do what
[13:28.000 --> 13:43.000]  you know the media got criticized well Drudge did Matt Drudge or five years ago for reporting that Prince Harry was in Afghanistan I mean that's newsworthy and the whole media reportedly knew about it but wouldn't report on it and his story was pointing that out
[13:43.000 --> 13:56.000]  and then now it's back in the news that he's back in Afghanistan to play the part of the hero after the origin stuff came out and you know there's still the criticisms of how dare anybody cover this
[13:56.000 --> 14:14.000]  just this idea that you shouldn't have this person on or you shouldn't go on that show or I mean they have Reverend Wright on CNN does that mean CNN agrees with the GD America will probably they actually do but it's a nation state
[14:14.000 --> 14:26.000]  now the point is we're going to get into gold it is economic report later in fact I've got two guests coming up today so can we just go ahead and get Ted Anderson on with a quick report on gold say at 45 after
[14:26.000 --> 14:39.000]  John Harmon see if he's actually there at the office because Ted's been predicting this would start in early September not hard to predict it normally happens especially with talk of quantitative easing three coming up that'll trigger inflation big time
[14:39.000 --> 15:02.000]  we're going to be having Ted come on the broadcast here a little bit later we can get him gold is up to $1736 and 60 cents as we speak that is up with $30 plus $36 just today they had a flood of media saying gold isn't good to buy it's evil it's bad
[15:02.000 --> 15:16.000]  don't buy it George Soros we reported three weeks ago is buying up as much as he can all these other elitists are buying up as much as they can and they've done everything they can with paper in the markets leveraging and naked shorting to try to drive down gold and silver
[15:16.000 --> 15:35.000]  but the laws of finance the laws of nature when it comes to currencies says they can suppress it for a while like holding a beach ball down to bottom of the deep end but pretty soon you're going to have to come up for breath and when you finally let go of the beach ball it's not just going to rise slowly from 10 feet of water it's going to shoot out of the water
[15:35.000 --> 15:53.000]  and they may grab it again try to push to the bottom but each time they push it down they can't push it down as far as the time before that's why gold was $260 11 years ago and now it's 1700 has been as high as almost 2000 because if you look at the graph over 11 years it's going straight up
[15:53.000 --> 16:08.000]  okay it's going up and there's little dips but never down as far as it was before could they pull some incredible scam and drive it down to a thousand bucks maybe but then following these graphs it'll go up to 3000 the next time
