[00:00:00.000 --> 00:00:29.000]  InfoWars, tomorrow's news, today.
[00:00:30.000 --> 00:00:37.000]  It's Sunday, July 16th, 2023.
[00:00:37.000 --> 00:00:38.000]  I'm your host, Alex Jones.
[00:00:38.000 --> 00:00:41.000]  We're going to be here for the next four hours live.
[00:00:41.000 --> 00:00:45.000]  Owen Schroyer takes the baton in two hours.
[00:00:45.000 --> 00:00:48.000]  The Sunday Live.
[00:00:48.000 --> 00:00:51.000]  Well, every broadcast, as I say, is important.
[00:00:51.000 --> 00:00:54.000]  But particular ones are even more important.
[00:00:54.000 --> 00:00:58.000]  And as the world quickens with all the insanity,
[00:00:58.000 --> 00:01:02.000]  and evil really rises, but good to challenge it,
[00:01:02.000 --> 00:01:06.000]  as Newtonian physics and the Bible tells us is true,
[00:01:06.000 --> 00:01:10.000]  for every action there's an opposite and equal reaction,
[00:01:10.000 --> 00:01:15.000]  each successive week and month and year gets more intense.
[00:01:15.000 --> 00:01:21.000]  This really is a quickening or a cascade of many singularities
[00:01:21.000 --> 00:01:26.000]  towards the great singularity, the return of our Lord and Savior, Christ Jesus.
[00:01:26.000 --> 00:01:31.000]  Well, RFK Jr. has come out and talked about something we talked about
[00:01:31.000 --> 00:01:33.000]  two and a half years ago.
[00:01:33.000 --> 00:01:38.000]  Major scientific institutions in Europe, the United States, India, Australia,
[00:01:38.000 --> 00:01:43.000]  and Japan, of all places, they have a lot of great scientists there,
[00:01:43.000 --> 00:01:48.000]  looked at the COVID-19 virus and said it's been made in a lab.
[00:01:48.000 --> 00:01:51.000]  I mean, they said three and a half years ago, the Indians first scanned it,
[00:01:51.000 --> 00:01:54.000]  at their prestigious biomedical university,
[00:01:54.000 --> 00:01:58.000]  where they have a multi-billion dollar gene editing reader computer,
[00:01:58.000 --> 00:02:03.000]  and they said this is man-made, this is five viruses, we know who made it,
[00:02:03.000 --> 00:02:07.000]  and this is what it's been designed to do.
[00:02:07.000 --> 00:02:10.000]  And then they got billions in research funding threatened,
[00:02:10.000 --> 00:02:13.000]  so they pulled their report but didn't say it was false.
[00:02:13.000 --> 00:02:17.000]  Then the French, the discoverer of HIV, Nobel Prize winner,
[00:02:17.000 --> 00:02:21.000]  he ran it through a gene scanner that cost, again, two billion dollars,
[00:02:21.000 --> 00:02:26.000]  just the machine itself, and said, no, this is completely man-made with the HIV delivery system.
[00:02:26.000 --> 00:02:31.000]  And then it took about a year for the scientists to then look at it more closely,
[00:02:31.000 --> 00:02:34.000]  and they said it's designed to hit black people and white people,
[00:02:34.000 --> 00:02:37.000]  it's called a race-specific weapon.
[00:02:37.000 --> 00:02:43.000]  Now, RFK Jr. came out and said this a few days ago at a big dinner conference in New York,
[00:02:43.000 --> 00:02:47.000]  and it became a huge firestorm because he just said what the report said,
[00:02:47.000 --> 00:02:52.000]  that it spares Asians and Ashkenazi Jews,
[00:02:52.000 --> 00:02:56.000]  because Ashkenazi Jews, somewhere back in their lineage,
[00:02:56.000 --> 00:03:02.000]  that's what Arabs really are, is a mix of Caucasian, African, and Asian.
[00:03:02.000 --> 00:03:06.000]  That's really what their genetic type is, so they're a mix of the three.
[00:03:06.000 --> 00:03:11.000]  Just like an indigenous person from Mexico or Guatemala,
[00:03:11.000 --> 00:03:14.000]  if you test their genetics, it's Chinese.
[00:03:14.000 --> 00:03:17.000]  That's where they came from thousands and thousands of years ago.
[00:03:17.000 --> 00:03:19.000]  It's a genetic complete match, Chinese.
[00:03:19.000 --> 00:03:21.000]  They don't really teach that in school, though,
[00:03:21.000 --> 00:03:24.000]  but that's a mainline thing in biosciences.
[00:03:24.000 --> 00:03:30.000]  Spaniards are Germanic and Gaulish until they got invaded
[00:03:30.000 --> 00:03:35.000]  and held for several hundred years by the North African Moors,
[00:03:35.000 --> 00:03:39.000]  who were a mix of African and Arabic.
[00:03:39.000 --> 00:03:43.000]  So that's why you see the change in the Spanish there.
