[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[00:00:20.392 --> 00:00:23.694]  The year is 2020, and we are living in a paradox.
[00:00:23.694 --> 00:00:24.595]  It is the best of times.
[00:00:24.595 --> 00:00:26.317]  It is the worst of times.
[00:00:26.317 --> 00:00:40.469]  We are seeing a planetary awakening to a UN corporate-directed Great Reset that is designed to usher in an end of all Western freedom and its export around the planet.
[00:00:40.469 --> 00:00:41.509]  The end of due process.
[00:00:42.290 --> 00:00:47.354]  The end of the right of assembly, the end of every basic freedom.
[00:00:47.354 --> 00:00:52.238]  That is the goal of the Communist Chinese who are unified with the United Nations in stating.
[00:00:52.238 --> 00:00:58.924]  They even have articles in the LA Times saying Xi Jinping's mission is to crush American system and democracy and our republic.
[00:00:58.924 --> 00:01:00.946]  And that's really the attitude of these corporations.
[00:01:00.946 --> 00:01:03.968]  They are conquering everyone very, very cold-bloodedly.
[00:01:03.968 --> 00:01:05.930]  And now you see the footage of your TV viewers.
[00:01:06.210 --> 00:01:06.691]  We're good to go.
[00:01:32.108 --> 00:01:39.856]  Tyranny of the highest grade, upgraded with a high-tech overload, and this system is the post-industrial world.
[00:01:39.856 --> 00:01:45.481]  And you see the footage coming out of Australia of people that have been locked for weeks, and in some cases months, in hotels.
[00:01:45.481 --> 00:01:50.226]  Tourists that can't get out and aren't even allowed to leave their rooms.
[00:01:50.226 --> 00:01:55.170]  In Australia, people have to have their dogs take a crap inside the house and they throw it out the windows.
[00:01:55.831 --> 00:01:56.972]  This is a lockdown.
[00:01:56.972 --> 00:01:58.253]  This is training us to be prisoners.
[00:01:58.253 --> 00:02:01.455]  And I know as an audience you're amazing people and you get this and you understand it.
[00:02:01.455 --> 00:02:02.516]  I'm on the ground here in Georgia.
[00:02:02.516 --> 00:02:06.579]  We're going to be demonstrating at the Capitol in just a few hours.
[00:02:06.579 --> 00:02:07.740]  Owen Schroeder is about to take over.
[00:02:07.740 --> 00:02:11.123]  We're going to have live feeds from on the ground and so much more.
[00:02:11.123 --> 00:02:16.166]  But it is heartening to see all these different German states saying no to Merkel.
[00:02:16.166 --> 00:02:21.030]  You're basically a dictator that's rigged the elections by manipulating the parliamentary system.
[00:02:21.030 --> 00:02:22.711]  You're nothing but an EU globalist.
[00:02:23.852 --> 00:02:28.278]  You're just trying to bankrupt us and make us dependent on you, and it's insane.
[00:02:28.278 --> 00:02:32.023]  And all the big corporations, they're seen as vital.
[00:02:32.023 --> 00:02:34.266]  They're seen as essential, so they stay open.
[00:02:34.266 --> 00:02:35.347]  All their stock's gone up.
[00:02:35.347 --> 00:02:38.111]  Their profits have gone up, in many cases, 100% in just the last year.
[00:02:40.589 --> 00:02:46.871]  And it was the big tech companies that implemented the first lockdowns that then leftist governments followed suit with.
[00:02:46.871 --> 00:02:55.654]  So this is a global economic siege, a war by the left, by the big corporations, by the Communist Chinese, all lockstep.
[00:02:56.534 --> 00:02:59.855]  To consolidate power, take our freedoms, and bankrupt us.
[00:02:59.855 --> 00:03:07.296]  And the very local governments that are going to see their systems bankrupted by these shutdowns are the ones with the police quote, just following orders.
[00:03:07.296 --> 00:03:12.517]  But that violates the Nuremberg precept of just following orders does not protect you.
[00:03:12.517 --> 00:03:13.878]  It violates the Geneva Convention.
[00:03:13.878 --> 00:03:18.559]  And remember, behind all of this, you can't just submit and get your welfare check now and live in your house.
[00:03:18.559 --> 00:03:19.679]  This is beyond clout and pivot.
[00:03:20.459 --> 00:03:21.660]  They want medical tyranny.
[00:03:21.660 --> 00:03:26.121]  This is about forced inoculations, apps on your phones, tracking everywhere you go and what you do.
[00:03:26.121 --> 00:03:36.865]  And now in California and in places in London and places in Germany, they're all announcing the QR codes to be able to go into businesses that read your phone to prove you've quote been vaccinated.
[00:03:36.865 --> 00:03:40.267]  That's why all the restaurants now have the QR codes and so that they don't have menus.
[00:03:40.267 --> 00:03:45.529]  They're getting you ready to even be able to go and sit down at a restaurant that you've got government pass, you've got government authorization.
[00:03:45.529 --> 00:03:46.009]  This is the
[00:03:46.049 --> 00:03:46.109]  Yes.
[00:04:01.468 --> 00:04:02.789]  Until you say no.
[00:04:02.789 --> 00:04:05.630]  The level of tyranny we'll live under is the level of tyranny you put up with.
[00:04:05.630 --> 00:04:08.911]  So I'm asking everyone, take the live feeds from Bandot Video.
[00:04:08.911 --> 00:04:11.472]  Take the live feeds from Infowars.com forward slash show.
[00:04:11.472 --> 00:04:12.373]  Share them by hand.
[00:04:12.373 --> 00:04:13.093]  Share them on email.
[00:04:13.093 --> 00:04:14.133]  Share them on text.
[00:04:14.133 --> 00:04:15.194]  Tell people on the street.
[00:04:15.194 --> 00:04:16.715]  Put them on the back of business cards.
[00:04:16.715 --> 00:04:18.215]  That's how we're going to override this.
[00:04:18.215 --> 00:04:19.796]  People are really listening right now.
[00:04:19.796 --> 00:04:21.677]  Traffic to Infowars is up like five-fold.
[00:04:21.677 --> 00:04:22.157]  That's great.
[00:04:22.637 --> 00:04:26.482]  The awakening is here, and the system is really revealing itself.
[00:04:26.482 --> 00:04:28.424]  And remember, the globalists aren't God.
[00:04:28.424 --> 00:04:32.589]  God is in charge, and this is a great test, but we're going to come through this together.
[00:04:32.589 --> 00:04:35.313]  But the answer is, stand up and say no.
[00:04:35.313 --> 00:04:38.637]  Owen Schroer is coming up, live feeds on the ground from here in Georgia.
[00:04:38.637 --> 00:04:39.498]  I'm Alex Jones.
[00:04:39.498 --> 00:04:40.039]  Please spread the word.
[00:04:59.079 --> 00:05:03.543]  Two in four best-selling products are now back in stock for being sold out for months.
[00:05:03.543 --> 00:05:09.669]  BioTree Selenium from the mustard seed, essential in all electrochemical activity of the cells in the body.
[00:05:09.669 --> 00:05:11.550]  That's every human activity.
[00:05:11.550 --> 00:05:17.116]  And on top of it, Bobby's Ultimate Turmeric Formula with 95% curcuminoid.
[00:05:17.116 --> 00:05:18.156]  Leading competitors have 3 to 5%
[00:05:19.918 --> 00:05:25.105]  The things that turmeric does, I don't have to tell you, this is the highest quality, the strongest you're going to find.
[00:05:25.105 --> 00:05:30.091]  So both of these are amazing products, and they fund the Info War, which is a 360 win.
[00:05:30.091 --> 00:05:37.581]  On top of it, despite the fact they're in demand, they've been sold out for months, they're both 50% off, triple Patriot points,
[00:05:38.001 --> 00:05:38.361]  Thank you.
[00:06:20.583 --> 00:06:30.751]  Crashing through the lies and disinformation, it's Alex Jones.
[00:06:30.751 --> 00:06:34.454]  Ollie, this is just one example of dozens that have already come out in the last day.
[00:06:34.454 --> 00:06:36.615]  This is just now breaking in Georgia where we are.
[00:06:36.615 --> 00:06:38.857]  Just this morning, it is breaking news.
[00:06:38.857 --> 00:06:42.820]  David Schaffer, the Georgia Republican Party chair, tweets this.
[00:06:42.820 --> 00:06:45.863]  One of our monitors discovered 9,626 vote error in DeKalb County hand count.
[00:06:49.045 --> 00:06:50.565]  That is in Atlanta.
[00:06:50.565 --> 00:06:59.428]  One batch was labeled 10,707 votes for Biden and just 13 for Trump, an improbable margin even for DeKalb standards.
[00:06:59.428 --> 00:07:02.929]  The actual count for the batch was 1,081 for Biden and 13 for Trump.
[00:07:07.270 --> 00:07:16.516]  Have this counting error not been discovered, Biden would have gained enough votes from this one batch alone to cancel out Trump's gains from Fayette County, Floyd and Walton.
[00:07:16.516 --> 00:07:21.280]  Folks, we have to audit the vote and we have to check the signatures in Georgia.
[00:07:21.280 --> 00:07:25.483]  That's why Alex Jones and I are here at Ground Zero Georgia.
[00:07:25.483 --> 00:07:26.223]  Incredible.
[00:07:26.223 --> 00:07:28.445]  Ali, what you're saying is, in that building,
[00:07:29.065 --> 00:07:35.396]  They have now found more scams from the counting of the ballots in that building behind me that just so happens to have CNN on it.
[00:07:35.396 --> 00:07:35.896]  I don't believe it.
[00:07:35.896 --> 00:07:38.360]  There's no way CNN ever does anything criminal.
[00:07:38.360 --> 00:07:39.803]  And there's no way there's a blip right there either.
[00:07:40.865 --> 00:07:46.706]  Well, CNN owns this town, and at the CNN Center is where they counted the Fulton County ballots.
[00:07:46.706 --> 00:07:50.327]  And folks, election night, we didn't know how many ballots there were.
[00:07:50.327 --> 00:07:56.508]  They just kept coming and coming and coming, just like we see out of Broward County, Florida, where we did Stop the Steal 2018.
[00:07:56.508 --> 00:08:00.709]  We warned the Republican Party this was the method.
[00:08:00.709 --> 00:08:02.470]  It's not just the Dominion machines.
[00:08:02.470 --> 00:08:03.370]  It's the mail-in ballots.
[00:08:03.370 --> 00:08:04.730]  It's the absentee ballots.
[00:08:04.730 --> 00:08:06.751]  It's these provisional ballots that show up.
[00:08:06.751 --> 00:08:08.151]  We have to stop the steal.
