[00:00.000 --> 00:12.000]  We are on the march. The empire is on the run. Alex Jones and the GCN radio network.
[00:12.000 --> 00:20.000]  We're living on the edge. We're living on the edge.
[00:20.000 --> 00:27.000]  And we all live this Friday November 20th edition of the Alex Jones show the day after Thanksgiving.
[00:27.000 --> 00:32.000]  Everything of Black Friday madness has descended upon America once again.
[00:32.000 --> 00:35.000]  We're going to talk about that with Mark Dice in the third hour.
[00:35.000 --> 00:42.000]  In the second hour we've got Mike Sernovich coming on to talk about the drama in the alt-right movement.
[00:42.000 --> 00:47.000]  We had the Atlantic basically go to a neo-Nazi conference last weekend.
[00:47.000 --> 00:53.000]  They threw up sig, hail, hand salutes and basically now the alt-right is neo-Nazis.
[00:53.000 --> 00:56.000]  They've completely demonized it. Will this split up the alt-right?
[00:56.000 --> 00:59.000]  You can see the video there. We're going to play it again in full later.
[00:59.000 --> 01:07.000]  Will this split the alt-right? Will this end the alt-right? Is this a huge victory for the mainstream media, for fake news?
[01:07.000 --> 01:14.000]  Or can we recover from this? Can we delineate what represents the true alt-right, the true Trump movement?
[01:14.000 --> 01:19.000]  Given that Donald Trump has now disavowed at least this individual group.
[01:19.000 --> 01:22.000]  We're going to talk about that with Mike Sernovich.
[01:22.000 --> 01:28.000]  Alex Jones will be joining us provisionally at the bottom of the hour. He's got a lot of things to discuss.
[01:28.000 --> 01:33.000]  Of course, they're talking about Mitt Romney still being Secretary of State.
[01:33.000 --> 01:40.000]  This is floating around. We had Kellyanne Conway kind of disavow that yesterday, suggesting that it wouldn't happen.
[01:40.000 --> 01:47.000]  But it's still floating around there. Some people on the Trump train say they're going to get off if Mitt Romney is announced as Secretary of State.
[01:47.000 --> 01:52.000]  Not because of his insults, because he insulted Donald Trump on the campaign trail,
[01:52.000 --> 01:57.000]  but because of his record, because of the fact that he basically led the Never Trump movement.
[01:57.000 --> 02:00.000]  So we're going to get into all that. We're going to get into.
[02:00.000 --> 02:05.000]  The Washington Post has come out once again and said the Infowars is fake news.
[02:05.000 --> 02:13.000]  But not only that, they're now saying that all these fake news websites, including Infowars, including Zero Hedge, including Breitbart,
[02:13.000 --> 02:22.000]  are all run from the Kremlin and that the entire fake news scandal is a contrivance of the Russian government.
[02:22.000 --> 02:28.000]  Massive Washington Post article, we're going to completely eviscerate it here in the first hour.
[02:28.000 --> 02:37.000]  But first, this is the crucial news. And it's kind of interesting because a lot of Trump supporters are very laid back over this.
[02:37.000 --> 02:46.000]  They don't really see it as a problem. They see it as theater. And that is Jill Stein of the Green Party has basically raised the money at this point.
[02:46.000 --> 02:52.000]  She's announced, in fact, AP just reported Jill Stein will request recount in Wisconsin.
[02:52.000 --> 02:58.000]  A local party official says the Green Party presidential candidate Jill Stein will request a recount in Wisconsin.
