[00:00:04.333 --> 00:00:05.654]  Big Brother.
[00:00:05.654 --> 00:00:07.415]  Mainstream media.
[00:00:07.415 --> 00:00:09.197]  Government cover-ups.
[00:00:09.197 --> 00:00:10.758]  You want answers?
[00:00:10.758 --> 00:00:12.320]  Well, so does he.
[00:00:12.320 --> 00:00:16.503]  He's Alex Jones on the GCN Radio Network.
[00:00:16.503 --> 00:00:20.627]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.882 --> 00:00:30.689]  Alright, John, and Rob, and Wyatt, and Joe, and many others that are patiently holding.
[00:00:30.689 --> 00:00:33.692]  Your calls are coming up, probably in this segment.
[00:00:33.692 --> 00:00:44.742]  I just talked to our guest during the break, and we'll probably hold him over somewhat into the hour, next hour, let him ride shotgun with us, so I go to calls earlier in this hour and kind of space out the information.
[00:00:44.742 --> 00:00:47.544]  He's written a powerful book called The Silent Invasion.
[00:00:49.073 --> 00:00:50.154]  Scott Gulbranson.
[00:00:50.154 --> 00:00:52.095]  If I'm pronouncing that correctly.
[00:00:52.095 --> 00:00:54.136]  I always pronounce names wrong even on my own.
[00:00:54.136 --> 00:00:55.076]  I'm from Texas, folks.
[00:00:55.076 --> 00:00:56.377]  I'm just joking.
[00:00:56.377 --> 00:00:58.298]  Scott Gulbranson.
[00:00:58.298 --> 00:01:00.139]  And it gets into foreign troops.
[00:01:00.139 --> 00:01:01.100]  It's well-documented.
[00:01:01.100 --> 00:01:02.641]  He's done a lot of original research.
[00:01:02.641 --> 00:01:05.422]  It gets into the New World Order.
[00:01:05.422 --> 00:01:09.464]  Last year, I have the AP and Reuters and Toronto Star articles.
[00:01:09.464 --> 00:01:14.607]  They've signed a deal to bring in Canadian and Mexican troops to, quote, deal with American terrorists.
[00:01:14.607 --> 00:01:15.528]  And for peacekeeping.
[00:01:15.528 --> 00:01:16.868]  They use their exact terms.
[00:01:16.868 --> 00:01:17.709]  They have said that
[00:01:19.281 --> 00:01:21.324]  They also used U.N.
[00:01:21.324 --> 00:01:24.668]  troops three and a half years ago fighting the wildfires out west.
[00:01:24.668 --> 00:01:31.456]  The Feds admitted that they set an incredible crisis creation.
