[00:00:00.000 --> 00:00:20.000]  InfoWars, tomorrow's news today.
[00:00:20.000 --> 00:00:33.640]  We have a big broadcast lined up for you on this Friday edition, June 30th, 2023.
[00:00:33.640 --> 00:00:39.720]  Roseanne Barr is going to be in studio in Austin, Texas, and I'll be interviewing her
[00:00:39.720 --> 00:00:44.800]  from the studio that I'm in, in Omaha, Nebraska.
[00:00:44.800 --> 00:00:51.360]  My father-in-law had some serious heart issues, and they were saying he could go bye-bye.
[00:00:51.360 --> 00:01:00.480]  But thanks to your prayers and medical intervention, he has bounced back mightily and made me out
[00:01:00.480 --> 00:01:02.520]  of the hospital as early as Monday.
[00:01:02.520 --> 00:01:05.160]  So I'll be back Sunday in the ATX.
[00:01:05.160 --> 00:01:09.440]  I want to thank everybody and the crew that has helped me while I've been out of town.
[00:01:09.440 --> 00:01:14.680]  We've had a really interesting trip in Florida with Pastor Rodney Howard Brown of the River
[00:01:14.680 --> 00:01:22.200]  Church at Revival.com, and also with Patrick David and his Valuetainment broadcast.
[00:01:22.200 --> 00:01:23.200]  That went super viral.
[00:01:23.200 --> 00:01:27.520]  I had some other podcasts I was going to do while I was in Florida, but I just got too
[00:01:27.520 --> 00:01:32.640]  busy with all the other news and developments to be able to do that, but definitely look
[00:01:32.640 --> 00:01:34.960]  for a lot of that to be unfolding as well.
[00:01:35.120 --> 00:01:44.400]  Okay, Roseanne Barr, as I said, on the heels of this Holocaust controversy, will be on
[00:01:44.400 --> 00:01:48.040]  the air to clarify what she actually said.
[00:01:48.040 --> 00:01:52.280]  We're going to play in total what she said versus the edited clip.
[00:01:52.280 --> 00:01:57.960]  And as soon as I saw the clip, I could see that it was jump cuts back and forth to other
[00:01:57.960 --> 00:02:01.240]  shots, and I called her.
[00:02:01.240 --> 00:02:02.120]  I said, is this accurate?
[00:02:02.120 --> 00:02:04.200]  She said, no, it's out of context.
[00:02:04.240 --> 00:02:09.160]  So did the comedian Theo Vaughn, who they're trying to demonize right now and trying to
[00:02:09.160 --> 00:02:10.160]  cancel.
