[00:00.000 --> 00:05.280]  A4.
[00:05.280 --> 00:15.280]  Try Headache Stay Gone risk-free by calling 1-800-327-0727 or visit www.headachestagon.com.
[00:15.280 --> 00:22.600]  Again that's 1-800-327-0727 and don't forget to ask about your risk-free trial today.
[00:22.600 --> 00:23.600]  Call now.
[00:23.600 --> 00:30.600]  Live in life without the headaches.
[00:53.600 --> 01:06.600]  Live from Austin, Texas, Alex Jones.
[01:06.600 --> 01:09.600]  We have a very important guest joining us today.
[01:09.600 --> 01:19.600]  He's a father of a serviceman who has refused to be redeployed to Iraq because he's stating on the record that he will not follow illegal orders.
[01:19.600 --> 01:23.600]  And so we'll be talking to the serviceman's father coming up in the second hour.
[01:23.600 --> 01:35.600]  In the meantime, I want to play an O'Reilly factor clip to break down and analyze the low-grade, moron-level propaganda that O'Reilly uses.
[01:35.600 --> 01:38.600]  But that's why he's so effective.
[01:38.600 --> 01:48.600]  He's playing to that 40-50% of the American population who literally are mind-numbed robots.
[01:48.600 --> 01:56.600]  They literally just watch television, go to work, and believe whatever the media and the government say.
[01:56.600 --> 02:03.600]  I don't watch a lot of television, but I do watch little news clips of key commentators and track the information.
[02:03.600 --> 02:11.600]  So I watch a few clips of O'Reilly every week and he's getting more and more mindless, more and more simplistic.
[02:11.600 --> 02:21.600]  I mean, they could basically have a robot doll that would just sit there and say, you're an idiot, you're a kook, you're a minority, and no one agrees with you.
[02:21.600 --> 02:30.600]  You're a kook, you're an idiot, you're a moron, you're a very small group, the American people hate you, you're a terrorist, you support terrorists.
[02:30.600 --> 02:33.600]  That's all he says.
[02:33.600 --> 02:39.600]  What's he get paid like $10 million a year to just sit there and repeat that?
[02:39.600 --> 02:41.600]  It's unbelievable.
[02:41.600 --> 02:51.600]  Then we have another clip, Lou Dobbs on fire last night saying they're bringing in one world government, that it's a new world order, and the destruction of the U.S.
[02:51.600 --> 02:58.600]  Because a new report was issued yesterday by the globalists saying we're not done with the North American Union.
[02:58.600 --> 03:01.600]  They want to go ahead and merge it now into the Pan-American Union.
[03:01.600 --> 03:05.600]  So for a year and a half, we've been inside the North American Union.
[03:05.600 --> 03:14.600]  Now they're already trying to merge it into the Pan-American Union, but they've got to kill Hugo Chavez first, which they've been trying to do, so we'll see what happens there.
[03:14.600 --> 03:25.600]  But I'll tell you, it feels really good to have major newspapers and people like Lou Dobbs reporting the truth because it's shocking and amazing mind-numbed robots.
[03:25.600 --> 03:32.600]  The brainwash type out there who believe whatever is on TV just not anything we talk about isn't true.
[03:32.600 --> 03:35.600]  Okay, but as soon as it's on television, it must be true.
[03:35.600 --> 03:42.600]  And they're literally having problems computing right now because the White House admits we're in the North American Union.
[03:42.600 --> 03:45.600]  The documents are there and available.
[03:45.600 --> 03:52.600]  It is now getting out to the public, and it is making people out there take a double take because they're going, wait a minute.
[03:52.600 --> 03:55.600]  He told the truth about the Amnesty program.
[03:55.600 --> 03:57.600]  He told the truth about the North American Union.
[03:57.600 --> 04:05.600]  He told the truth about so many other issues, and now he's telling the truth about this.
[04:05.600 --> 04:09.600]  You see, so many people won't check out my claims.
[04:09.600 --> 04:13.600]  And so for years, they'll just think I'm up here making this stuff up.
[04:13.600 --> 04:18.600]  Believe me, I wish every day that I was making this up.
[04:18.600 --> 04:19.600]  We're not.
[04:19.600 --> 04:22.600]  We don't have words to describe how serious it is.
[04:22.600 --> 04:28.600]  The Neocons attacked Somalia yesterday. Anybody they attack is called Al-Qaeda.
[04:28.600 --> 04:35.600]  Also, a really scary report here out of the Austin American statesman that I missed, and it was also picked up by UPI.
[04:35.600 --> 04:41.600]  This came out a few weeks ago, and it's up on prisonplanet.com.
[04:41.600 --> 04:45.600]  A headline, mishap in dismantling nuclear warhead.
[04:45.600 --> 04:50.600]  Warhead almost detonates in Texas.
[04:50.600 --> 04:57.600]  Again, none of us can track or follow all the news, and you can vet your bottom dollar.
[04:57.600 --> 05:06.600]  When there is a mishap in a nuclear plant or at a nuclear weapons facility, it's going to be blamed on shadowy Al-Qaeda groups when it's an accident.
[05:06.600 --> 05:12.600]  That's a whole other level of tyranny.
[05:12.600 --> 05:16.600]  The Democrats are not really challenging Bush's expansion war plan.
[05:16.600 --> 05:19.600]  We'll break that down.
[05:19.600 --> 05:23.600]  It's a very important broadcast that we have lined up for you today.
[05:23.600 --> 05:25.600]  I really hope you'll stay with us.
[05:25.600 --> 05:31.600]  Don't forget you can now subscribe daily to the free podcast of the entire show for free.
[05:31.600 --> 06:00.600]  Just click subscribe in FullWars.gov.
[06:01.600 --> 06:11.600]  We'll see you in the next one.
[06:31.600 --> 06:35.600]  We're watching it right now online at prisonplanet.tv.
