[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:11.000]  It's Alex Jones and the GCN Radio Network.
[00:15.000 --> 00:18.000]  We're live, ladies and gentlemen. Thank you so much for joining us.
[00:18.000 --> 00:23.000]  It is Sunday, the 21st of February, 2010.
[00:23.000 --> 00:28.000]  We're going to be live here for the next two hours.
[00:28.000 --> 00:37.000]  And the news every week just gets heavier and more serious and more examples of just off the charts.
[00:37.000 --> 00:45.000]  Big Brother, 1984, Brave New World type society.
[00:45.000 --> 00:48.000]  It's unspeakable. I am shocked.
[00:48.000 --> 00:54.000]  Alex Jones, who lives this constantly, cannot believe how fast this is all moving.
[00:54.000 --> 00:57.000]  Here are the stacks.
[00:57.000 --> 01:05.000]  Back from the dead, Democrats vowed to roam Emmanuel through health care.
[01:05.000 --> 01:13.000]  I have a huge stack of government sponsored terror news that has been declassified nine months before Operation Northwoods.
[01:13.000 --> 01:20.000]  Government leaders suggested false flag terror in Dominican Republic to bomb our own embassy to blame it on them.
[01:20.000 --> 01:34.000]  That's coming up. A lot of new developments with Joe Stack and the Kamikaze attack Thursday in Austin, Texas against the IRS slash FBI building in the echelon office building complex.
[01:34.000 --> 01:43.000]  Stack's family has told the AP that it sounds nothing like him and the writing doesn't sound like him from the suicide note.
[01:43.000 --> 01:50.000]  Also, we've been covering this since last Wednesday, but it's just now really hit national news.
[01:50.000 --> 01:57.000]  And yes, it's true. And yes, it's happening everywhere that we know everywhere you spot check.
[01:57.000 --> 02:10.000]  We discovered six years ago that public schools were giving laptops all over the Western world, giving you pay for it in tax money to the students.
[02:10.000 --> 02:17.000]  For several reasons, several surveillance reasons, everything they write, they say they do.
[02:17.000 --> 02:31.000]  The English class, the history class lessons, everything is written. The health class is set up so that the articles you write that you're ordered to write are really dossiers on your family.
[02:31.000 --> 02:41.000]  That's been in the mainstream news, but only here and there. And that also not so much the video camera in the last five, six years that are in all the new laptops.
[02:41.000 --> 02:46.000]  They're using that to watch you as well. And that's now confirmed.
[02:46.000 --> 02:51.000]  It's the audio. They're recording everything. So just be aware of that.
[02:51.000 --> 02:56.000]  And it's built into the cell phones, the laptops, the computers, everything.
[02:56.000 --> 03:01.000]  The switch happened about six years ago and this is all declassified.
[03:01.000 --> 03:08.000]  It's just the average person when you tell them this can't believe it, but we'll break it down.
[03:08.000 --> 03:14.000]  And now the FBI is investigating. Give me a break. They're the ones behind it all.
[03:14.000 --> 03:17.000]  So that is coming up today.
[03:17.000 --> 03:24.000]  Also, Ron poll won the presidential straw poll at CPAC, the big, all important Republican conference they have every year.
[03:24.000 --> 03:31.000]  He got the biggest standing ovation a year ago. This time he won the straw poll against Mitt Romney, Sarah Palin, all of them.
[03:31.000 --> 03:39.000]  Well, of course he did. And every time he gets up and gives an anti-war speech in front of Republicans, the whole house almost falls down.
[03:39.000 --> 03:47.000]  It's an illusion. It's a hoax that conservatives want war. It's a lie. It's a fraud.
[03:47.000 --> 03:55.000]  Are there some morons out there? Obviously. There's some Democrats out there that want war. But the majority of real conservatives don't want it.
[03:55.000 --> 04:00.000]  And understand that it's bankrupting this country. So that's coming up as well.
[04:00.000 --> 04:06.000]  Also, it's not hard to predict. I mean, we know their methodology.
[04:06.000 --> 04:11.000]  But I predicted in the last six months with the cyber security legislation.
[04:11.000 --> 04:17.000]  It's now passed the house. It's in the Senate that the government would stage massive cyber attacks against themselves and others.
[04:17.000 --> 04:24.000]  They've now done that on the heels of the CNN special that aired last night and they're about to ram through the Senate.
[04:24.000 --> 04:29.000]  And they admit on CNN they're going to take over the web, shut it down during emergencies. The Pentagon will run everything.
[04:29.000 --> 04:33.000]  They're already setting up the grid before they even passed the law.
[04:33.000 --> 04:46.000]  A very important radio broadcast lined up for you today. And we'll start breaking these stories down one after the other on the other side of this quick one minute break.
[04:46.000 --> 04:53.000]  The websites are info wars.com and prisonplanet.com. Visit them while you still can.
[04:53.000 --> 04:59.000]  Now, there is a chance we can educate the public and stop this takeover of the web. But that's up to you.
[04:59.000 --> 05:07.000]  Hello, this is Alex Jones with some important questions. If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
