[00:00.000 --> 00:20.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[00:20.000 --> 00:23.000]  The fire of Providence is in our hands.
[00:23.000 --> 00:35.000]  The great destiny of humanity lays before us if we only take it in our hands.
[00:35.000 --> 00:42.000]  Ladies and gentlemen, it is the 21st day of November 2016.
[00:42.000 --> 00:45.000]  We're going to be here for the next four hours.
[00:45.000 --> 00:52.000]  And this is one of those opportunities sometimes when I have the rare instance of being someone under the weather.
[00:52.000 --> 00:54.000]  Kind of like a sinus infection or something.
[00:54.000 --> 00:58.000]  I haven't even gotten around to pumping colloidal silver through my nitty pot yet.
[00:58.000 --> 01:02.000]  It just hit me like over the weekend and I kind of ignored it till this morning.
[01:02.000 --> 01:07.000]  But when I am a little bit under the weather sometimes it kind of takes the edge off and that's when I have my better broadcast.
[01:07.000 --> 01:12.000]  Because it just seems to be more calm.
[01:12.000 --> 01:16.000]  And we're going to break down just incredibly important information as we do every day here.
[01:16.000 --> 01:24.000]  But there's just a lot of developments unfolding that really crystallize exactly where we are historically.
[01:24.000 --> 01:38.000]  The president every day now comes out at press conferences in Greece, in Germany, in Latin America in his latest speech.
[01:38.000 --> 01:44.000]  And badmouths while he's down in Peru, fake news.
[01:44.000 --> 01:47.000]  Now have you ever wondered how they would come after free speech?
[01:47.000 --> 01:49.000]  Well, they call it conspiracy theory.
[01:49.000 --> 01:51.000]  We've got to shut off conspiracy theorists.
[01:51.000 --> 01:53.000]  But that's been so overused now.
[01:53.000 --> 01:56.000]  They now are calling it fake news.
[01:56.000 --> 01:58.000]  And there's a total war.
[01:58.000 --> 02:00.000]  I mean, I clearly saw them when they lost the election.
[02:00.000 --> 02:05.000]  Three, four days went by and then all of a sudden, boom, fake news.
[02:05.000 --> 02:06.000]  That's the new agenda.
[02:06.000 --> 02:11.000]  And the president almost every day, fake news, fake news, fake news last 10 days.
[02:11.000 --> 02:13.000]  So that's where they're going.
[02:13.000 --> 02:15.000]  That's their entire system.
[02:15.000 --> 02:18.000]  That's what they are promoting.
[02:18.000 --> 02:20.000]  And it just shows how incredibly desperate they are.
[02:20.000 --> 02:34.000]  But it also shows these people are real authoritarians and they mean business to shut us down because we're kicking their butts up and down the block.
[02:34.000 --> 02:43.000]  And we better be kicking their butts. These are horrible, evil, degenerate authoritarians who can only get away with this if the public's not paying attention.
[02:43.000 --> 02:44.000]  But let me tell you something.
[02:44.000 --> 02:54.000]  Their constituents, even though they don't really even get anything from the system, think they're part of it with reflected glory and are crazed.
[02:54.000 --> 02:58.000]  Like red-eyed weasels trying to just bring the country down.
[02:58.000 --> 03:04.000]  They have true enmity towards their fellow humans. They have serious class envy.
[03:04.000 --> 03:10.000]  And I mean, the richest ones do. They don't want anybody having wealth, but them.
[03:10.000 --> 03:21.000]  It is a motley crew of just despicable degenerates that call us despicable.
[03:21.000 --> 03:31.000]  Now, we have Marine Le Pen, who is set to win the presidency over in France.
[03:31.000 --> 03:34.000]  She's way ahead in the polls. They'll try to steal it.
