[00:00:03.922 --> 00:00:04.683]  Just checking in.
[00:00:04.683 --> 00:00:06.565]  We got you.
[00:00:06.565 --> 00:00:13.492]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:13.492 --> 00:00:17.796]  You better believe you got one!
[00:00:17.796 --> 00:00:23.042]  From the front lines of the information war, it's Alex Jones.
[00:00:28.743 --> 00:00:31.828]  Hard to believe it's already August 30th, 2017 on this Wednesday Global Edition.
[00:00:36.479 --> 00:00:50.804]  We're going to have our intrepid reporter who just spent three days down there on the alligators and the fish swimming through the houses and with the rest of our team rescuing more than 40 people out of their submerged houses yesterday.
[00:00:50.804 --> 00:00:58.327]  That's why we didn't have Michael Zimmerman on yesterday and many videos didn't get uploaded because he had to abandon that just to help save the people.
[00:00:58.327 --> 00:00:59.548]  It is a catastrophe.
[00:01:00.228 --> 00:01:08.230]  Houston mayor orders curfew to prevent mass looting, warns bridges and roads are starting to fail.
[00:01:08.230 --> 00:01:20.333]  You tie that together with hell freezing over, Berkeley police arrest 13 protesters in connection to anti-fascist attacks on peaceful prayer vigil.
[00:01:20.333 --> 00:01:23.934]  As long as they scream Nazi, it was okay to hit folks in the head with clubs and bike locks.
[00:01:24.614 --> 00:01:29.698]  And Pelosi's had to come out because they realize this is hurting them bad with their focus groups.
[00:01:29.698 --> 00:01:32.700]  Their little revolution has blown up in their face.
[00:01:32.700 --> 00:01:40.887]  Thank God Trump pointed out that Antifa was worse than the Nazis because the white supremacists weren't actually attacking people first.
[00:01:40.887 --> 00:01:41.728]  Then it escalated.
[00:01:41.728 --> 00:01:42.668]  It was horrible what happened.
[00:01:42.668 --> 00:01:43.709]  Both sides are bad.
[00:01:43.709 --> 00:01:47.112]  But the people that attacked first are the bad guys.
[00:01:47.112 --> 00:01:49.554]  You're allowed to be a moron Nazi in America.
[00:01:50.034 --> 00:02:01.972]  You're allowed to be a moron, Mexican racist or black racist, but you're not allowed to just beat up whoever you want because they've got a bald head, so they must be a Nazi.
[00:02:01.972 --> 00:02:04.736]  All that said, it is total information overload.
[00:02:07.170 --> 00:02:11.933]  As sick leftists celebrate Hurricane as a victory over conservative white Americans.
[00:02:11.933 --> 00:02:18.477]  Big story from Dan Lyman chronicling it on newswars.com and infowars.com.
[00:02:18.477 --> 00:02:20.458]  For TV viewers, we'll go over some of that coming up.
[00:02:20.458 --> 00:02:22.579]  But here is the big news.
[00:02:22.579 --> 00:02:30.583]  So big that I'm mad at myself that I haven't been following this more than the last few weeks because I want it to go away.
[00:02:30.583 --> 00:02:32.905]  And I'm not the type of person that ignores something.
[00:02:34.284 --> 00:02:53.163]  I'm not the type of person that sweeps stuff under the rug, but I realized, I psychoanalyzed myself and realized that this is so out of our hands to a great extent that I catch myself doing the ostrich head in the sand situation.
[00:02:53.163 --> 00:02:54.444]  Ostriches don't really do that.
[00:02:54.444 --> 00:02:57.888]  They stick their head in the sand to turn their eggs once a day, but regardless,
[00:03:00.080 --> 00:03:01.580]  Because what do you do?
[00:03:01.580 --> 00:03:06.681]  We're still at war with Korea since 1953 and the ceasefire armistice.
[00:03:06.681 --> 00:03:09.922]  And they've been firing all these missiles over Japan.
[00:03:09.922 --> 00:03:13.083]  Trump said if you fire them at Guam, near Guam, we're going to attack you.
[00:03:13.083 --> 00:03:14.543]  So they backed off there.
[00:03:14.543 --> 00:03:21.025]  But now they've come back saying we're going to go ahead and fire missiles off towards Guam, Alaska, you name it, get ready.
[00:03:21.025 --> 00:03:24.765]  And our military and our president will be forced to respond.
[00:03:24.765 --> 00:03:26.946]  So again, the nightmare of another addled
[00:03:28.100 --> 00:03:34.367]  Pot-bellied weakling communist Kim Jong-un threatens all of the earth.
[00:03:34.367 --> 00:03:36.089]  And here's the big news.
[00:03:36.089 --> 00:03:42.496]  Russia orders mass evacuation out of the east of Russia.
[00:03:42.496 --> 00:03:45.220]  They've never done that over North Korea missile launch.
[00:03:46.288 --> 00:03:52.734]  And that tells you back channels, they've told the Russians, we're going in, we're going to use nuclear weapons to take everything out.
[00:03:52.734 --> 00:03:56.077]  Because believe me, you can't hit North Korea and not hit them with nuclear weapons.
[00:03:56.077 --> 00:03:58.979]  They've got 100,000 pieces of artillery.
[00:03:58.979 --> 00:04:01.441]  They've got tens of thousands of rockets already loaded.
[00:04:02.262 --> 00:04:07.587]  They've got nerve gas, they've got everything, and they've got a little demonic goblin running their country.
[00:04:07.587 --> 00:04:18.556]  So, if he's going to do this, and he's gone completely megalomaniac, you've got to preemptively hit him, and you've got to wipe out the entire DMZ and their main cities.
[00:04:18.556 --> 00:04:20.257]  Or they'll have retaliatory power.
[00:04:20.257 --> 00:04:24.441]  And if China doesn't stand down, and if Russia doesn't stand down, we go to WW3.
[00:04:24.441 --> 00:04:28.684]  Thermal nuclear, just like that.
[00:04:28.684 --> 00:04:29.005]  Russia,
[00:04:30.299 --> 00:04:36.680]  Orders mass evacuation over North Korea missile launch.
[00:04:36.680 --> 00:04:37.741]  Trump on North Korea.
[00:04:37.741 --> 00:04:39.881]  All options are on the table.
[00:04:39.881 --> 00:04:42.322]  North Korea threatens more ballistic tests over Japan.
[00:04:42.322 --> 00:04:45.402]  That's Mikhail Thelen, InfoWars.com.
[00:04:45.402 --> 00:04:46.823]  The other's The Hill.
[00:04:46.823 --> 00:04:48.363]  Here's a Paul Joseph Watson article.
[00:04:48.363 --> 00:04:50.484]  You might want to read it at NewsWars.com.
[00:04:50.484 --> 00:04:52.064]  Top forecaster predicts U.S.
[00:04:52.064 --> 00:04:54.965]  confrontation with North Korea by September 12th.
[00:04:54.965 --> 00:04:56.225]  That means war!
[00:05:03.598 --> 00:05:10.423]  We've got great air filters, great water filters, great non-GMO heirloom seeds, great books, great films, great Patriot apparel to meet like-minded people.
[00:05:10.423 --> 00:05:12.965]  And we've got a new humongoid sale.
[00:05:12.965 --> 00:05:16.428]  Not the number of things that are on massive sale, but on what's on sale.
[00:05:16.428 --> 00:05:18.629]  Out for months, not been on sale for months and months.
[00:05:18.629 --> 00:05:23.453]  We've never offered Super Mel Vitality non-concentrated herbs, cold-pressed.
[00:05:23.453 --> 00:05:26.335]  Super Mel Vitality, 57% off.
[00:05:26.335 --> 00:05:29.317]  It's never been the price it is right now, with 3,596 reviews.
[00:05:29.317 --> 00:05:30.558]  4.6 reviews total by third-party sites.
[00:05:33.440 --> 00:05:34.341]  Unprecedented.
[00:05:34.341 --> 00:05:35.563]  And it's cold-pressed.
[00:05:35.563 --> 00:05:37.505]  That's why Super Mayo is so different.
[00:05:37.505 --> 00:05:43.853]  People say, well, I know these compounds work because it's admitted in science and these are other... What you sell, like BuzzFeed said, is already best-selling stuff.
[00:05:43.853 --> 00:05:45.915]  It's been certified as healthy and good forever.
[00:05:45.915 --> 00:05:47.116]  Why these aren't anything new?
[00:05:47.116 --> 00:05:51.161]  Because why do something new when you can have the oldest and best, but cold-pressed?
[00:05:51.161 --> 00:05:51.381]  Duh!
[00:05:51.381 --> 00:05:51.762]  Duh!
[00:05:59.258 --> 00:05:59.418]  Most of
[00:06:14.426 --> 00:06:16.728]  Much better nutrition than we do today.
[00:06:16.728 --> 00:06:23.374]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[00:06:23.374 --> 00:06:25.936]  And so I set out to develop Caveman.
[00:06:25.936 --> 00:06:32.562]  But to not just have concentrated bone broth from chicken, but seven other superfood ingredients.
[00:06:33.022 --> 00:06:33.743]  We're good to go.
[00:06:59.918 --> 00:07:04.621]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:07:04.621 --> 00:07:15.048]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:07:15.948 --> 00:07:20.753]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:07:20.753 --> 00:07:29.142]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:07:29.142 --> 00:07:36.870]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:07:36.870 --> 00:07:38.812]  Wake up refreshed and take on the day.
[00:07:39.292 --> 00:07:47.242]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:07:47.242 --> 00:07:50.927]  Get the sleep you deserve and experience the power of knockout.
[00:07:50.927 --> 00:07:55.293]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:07:55.293 --> 00:07:56.735]  That's InfoWarsLife.com
