[00:00:01.318 --> 00:00:02.899]  Or less than 10 minutes, I guess.
[00:00:02.899 --> 00:00:08.404]  Paul, from the United Kingdom, joining us, author of Order Out of Chaos that I've published.
[00:00:08.404 --> 00:00:18.973]  Paul, listening to the show today, it's... I mean, how do you handle this psychologically, with dealing with the facts and knowing this is documented?
[00:00:18.973 --> 00:00:21.255]  Well, thanks for having me on the air again, Alex.
[00:00:21.255 --> 00:00:21.515]  You bet.
[00:00:22.415 --> 00:00:32.179]  Handling it is very difficult and I've been listening to the show for the past hour or so and you've been talking a lot about education and the control of education.
[00:00:32.179 --> 00:00:46.204]  It's interesting to look back at how the idea of compulsory schooling actually began and we can track this right back to the Napoleonic Wars.
[00:00:46.204 --> 00:00:50.626]  Compulsory schooling was basically born on the battlefield
[00:00:52.072 --> 00:01:00.181]  In, I think it was 1806, or around that time, the actual Prussian army was defeated by Napoleon.
[00:01:00.181 --> 00:01:05.887]  And then Prussia had to work out how they were being defeated because at the time... Kindergarten!
[00:01:05.887 --> 00:01:09.271]  They began kindergarten, or intense brainwashing of the children.
[00:01:10.043 --> 00:01:16.069]  Yeah, they had to work out how on Earth they were losing every battle because they had the superior army.
[00:01:16.069 --> 00:01:26.658]  And so they came to the conclusion that their defeat in the battle with Napoleon was caused by the natural human instinct not to kill other humans.
[00:01:26.658 --> 00:01:31.343]  And this was boiled down to the fact that their soldiers were actually thinking for themselves.
[00:01:32.023 --> 00:01:40.369]  So they looked into the psychology behind this and came to the conclusion that free will was actually an inconvenience.
[00:01:40.369 --> 00:01:48.395]  So, I mean, they hired people like Wilhelm Wundt, who was a top Illuminati programmer at the time, very early on.
[00:01:49.385 --> 00:01:58.754]  And they worked with him to program students in a compulsory schooling system to develop a sort of hive mind.
[00:01:58.754 --> 00:02:01.516]  And hence the Prussians became the best soldiers in the world.
[00:02:01.516 --> 00:02:03.678]  We adopted it here in the Marine Corps and the rest of it.
[00:02:03.678 --> 00:02:06.400]  Shapeheads chanting, brainwashing.
[00:02:06.400 --> 00:02:07.441]  And folks, that's brainwashing.
[00:02:07.441 --> 00:02:08.842]  That's what cults do.
[00:02:08.842 --> 00:02:10.684]  And it's giant cult programming.
[00:02:10.684 --> 00:02:12.746]  And your cops are all cult programmed.
[00:02:12.746 --> 00:02:14.427]  I mean, we're living in a giant cult.
[00:02:15.428 --> 00:02:19.352]  Yeah, and you can trace it back right to the origins of mandatory schooling.
[00:02:19.352 --> 00:02:21.555]  By the way, this is in the encyclopedia, Paul.
[00:02:21.555 --> 00:02:25.099]  This isn't like, you know, something far out you're telling people.
[00:02:25.099 --> 00:02:34.489]  It's basic history, and they use the same people that program their soldiers to develop this hive mind, which would make them successful in battle.
[00:02:35.536 --> 00:02:43.062]  And the origin of public schooling is military-grade, battlefield-based, and so that's why we have to be wary of it today.
[00:02:43.062 --> 00:02:48.406]  The news, everything, is mechanized, military-run, mind control.
[00:02:48.406 --> 00:02:52.069]  We're under a military psychological warfare dictatorship.
[00:02:52.069 --> 00:02:52.930]  What do we do, Paul?
[00:02:52.930 --> 00:02:55.392]  How do we break out of this?
[00:02:55.392 --> 00:03:01.457]  Well, obviously the biggest thing is to expose the main planks of the attacking army and their propaganda.
[00:03:02.370 --> 00:03:05.453]  And obviously we're going to go on to talk about this.
[00:03:05.453 --> 00:03:12.300]  The main issue at the moment, as it has been for the past two or three years, is government sponsored terrorism.
[00:03:12.300 --> 00:03:17.505]  And there's been a flood of articles out of the British press mainly over the past six months about
[00:03:18.274 --> 00:03:29.863]  How the British establishment themselves are funding, training, bringing into the country the so-called Al-Qaeda cells to carry out attacks and obviously we'll go on to talk about that.
[00:03:29.863 --> 00:03:37.489]  And now they've got the drills going on, the condition you're saying the massive attack is about to come, by the way you better pass the Euro, this will keep you safe.
[00:03:37.489 --> 00:03:39.271]  The terrorists will get you if you don't give your rights up.
[00:03:40.380 --> 00:03:52.489]  Yeah, we need to preface this basically by trying to understand why the British Government need to capitalise on a staged terrorist attack at this particular time.
[00:03:52.489 --> 00:03:59.754]  Many of you listeners will notice that every surveillance or police state programme that the British Government are trying to introduce at the moment
[00:04:00.487 --> 00:04:06.751]  He's encountering fierce opposition on both sides of the political spectrum.
[00:04:06.751 --> 00:04:14.857]  We got the mandatory national ID card which was initially scheduled to be entered into British legislation this past summer.
