[00:00.000 --> 00:20.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:20.000 --> 00:35.000]  Well, I was not raptured. You were not raptured. My crew was not raptured. Even though much of my crew were devout Christians, I guess that means we weren't Christian. We're devils.
[00:35.000 --> 00:53.000]  Of course, the head of the group that previously, back in 94, said it was the end of the world, the Christian radio network, family stations. He wasn't raptured either. But the end of the world has now begun.
[00:53.000 --> 01:05.000]  It's the end of the world as we know it. We're going to be breaking some of that down. Meanwhile, folks aren't ever worried about real threats. They're not worried about things that actually will affect them and their family.
[01:05.000 --> 01:18.000]  But a lot of the Muslim groups think it's the end of the world. A lot of Christian groups are constantly thinking that. A lot of the secular folks who are secular believe a misinterpreted Mayan prediction.
[01:18.000 --> 01:36.000]  The report I got was the Mayans got tired of carving those stone calendars. I just ripped off Jaren's joke. But I didn't rip it off. Oh my gosh, there is so much news here. This happens more and more. I read news all weekend. I get in.
[01:36.000 --> 01:45.000]  The guys print all the news off Info Wars, Prison Planet, DrudgeReport.com, countless other sites. I get in here and I'm just like, how am I ever going to cover this?
[01:45.000 --> 01:57.000]  There is so much news and information here. First off, I told you last week that this has been done many times by other presidents. We need to go back to the 1967 maps of Israel with Palestine.
[01:57.000 --> 02:09.000]  And then now Obama has come out and said, well, those 67 lines aren't the new 67 lines. I'm not kidding. That's the new statement. We knew that was coming. It's all just form over substance.
[02:09.000 --> 02:22.000]  Just like Obama went back on every campaign promise he made, or it's admitted that Iraq didn't have WMDs, but still upwards of half of so-called conservatives think Saddam was found with nuclear weapons.
[02:22.000 --> 02:31.000]  This is all designed for the weak-minded. As Joseph Kerbal said, the Nazi propaganda minister, good propaganda has to be targeted at the lowest common denominator.
[02:31.000 --> 02:44.000]  Our belief is the opposite. We want to give people wide-spectrum analysis of the truth in a historical, geopolitical, psychological view from anthropology, sociology,
[02:44.000 --> 02:54.000]  because we know that the folks out there that don't know the three branches of government and don't know which end is up and don't care are never going to be in the fight.
[02:54.000 --> 03:01.000]  We know the Revolutionary War here, 3% started at 5% wanted, and it's been similar in every other case in society.
[03:01.000 --> 03:10.000]  Evil people come and take over, small minority, good minority defeats them, or is defeated by them, or vice versa. That's history.
[03:10.000 --> 03:21.000]  So we don't, we're not targeting the dumb-down masses here. They'll wake up later down the road when they don't have enough money to have cable TV and watch their favorite sporting events.
[03:21.000 --> 03:29.000]  So we have a lot of news and information here. Also, AP reports gold-silver coins to be legal currency in Utah.
[03:29.000 --> 03:42.000]  This is why the government went after Bernard von Notaus for legally putting out his own silver coins that openly talked bad about the U.S. government private fellow reserve-issued currency.
[03:42.000 --> 03:58.000]  But more and more state governments are moving to do this. Meanwhile, a pile of debt would stretch beyond stratosphere. Back in Ronald Reagan's day in 81, it would stack 60 plus miles in the air, 67 miles.
[03:58.000 --> 04:08.000]  Today, it would reach more than 900 miles tall. That's out of Reuters. Also, Blagojevich's trial to resume, I'm sorry, what Blagojevich did is child's play.
[04:08.000 --> 04:14.000]  And I say thromb and prison. They've got these audio recordings. They won't play all of them, though. Only select clips for the juries.
[04:14.000 --> 04:24.000]  He's been found not guilty once, so they're going to go back again. Because in America, you're supposed to be tried with the same crime over and over again until found guilty.
[04:24.000 --> 04:29.000]  You're like, no, you're not. That's right. You're innocent until proven guilty, not guilty until proven innocent.
[04:29.000 --> 04:40.000]  The cops all over the country pull over old ladies and take the cash out of their purse. And you're not supposed to have double jeopardy. But hey, who needs that stinking Constitution and Bill of Rights?
[04:40.000 --> 04:47.000]  Got more news on it. The 20 million Americans overcharged by AT&T for data usage. This has been happening to me.
[04:47.000 --> 05:00.000]  I mean, they'll be charging me for data usage at 5 a.m. on my bill, and I'm not awake at 5 a.m. My phone's turned off. But hey, so what? It's freedom. We'll be right back. Stay with us.
[05:00.000 --> 05:08.000]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history.
[05:08.000 --> 05:13.000]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[05:13.000 --> 05:19.000]  I've turned a tremendous influence on our president in Congress, and they really are calling the shots.
[05:19.000 --> 05:24.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[05:24.000 --> 05:34.000]  Full of the Republic identifies the enemies of our nation. The criminal offshore cartel held bent on destroying sovereignty and on its ashes, constructing world government.
[05:34.000 --> 05:41.000]  Tim Geithner, Bernanke, and arsonists, they're asking for more matches. And the Congress is saying, who do we make the check out to?
[05:41.000 --> 05:48.000]  Today seems like nobody does care. And right now in Washington, D.C., we have seen a fall of the Republic.
[05:48.000 --> 06:12.000]  Get your copy of Full of the Republic on DVD at infowars.com or watch it online right now at superhighqualityatprisonplanet.tv.
[06:18.000 --> 06:35.000]  So-called Christian groups every few years run TV, radio ads, billboards, telling the general public that the world is going to end on a certain date.
[06:35.000 --> 06:50.000]  I remember in 87, it was all over Dallas Billboards where I was growing up. I remember back in 94, the same guy that just did it. The signal world was over. Crank it up.
[06:50.000 --> 07:12.000]  It's the end of the world. And I feel fine. And the Austin American statesman yesterday and a lot of other newspapers and TV stations around the country and the world,
[07:12.000 --> 07:29.000]  indicted Christians period and said that we're all a bunch of moron idiots because of these groups out there that are running around saying that the world is going to end and of course they're never right.
[07:29.000 --> 07:43.000]  And back on Friday, I actually read from Matthew 24-36, but of that day and hour, no with no man, no, not the angels of heaven, but only my father.
[07:43.000 --> 07:56.000]  And I went through some of the other translations. That's the King James. Here's a new international version in 1984. No man knows about that day or hour, not even the angels in heaven, nor the son but only the father.
[07:56.000 --> 08:10.000]  And it also acts 1-7 cross reference. He said to them, it is not for you to know the time or dates the father has set by his own authority.
[08:10.000 --> 08:32.000]  But hey, you don't want to tell these preachers that. The main ringleader of telling us that the world was going to end yesterday on the 21st day of May, 2011, is Harold Camping, 89, previously made a failed prediction that Jesus would return to earth in 1994.
[08:32.000 --> 08:49.000]  Oh yes, and there's lots of other groups doing this. The head of the Christian Radio Network Family Stations, Inc. says that he is sure an earthquake will shake the earth on May 21, sweeping true believers to heaven and leaving others behind to be engulfed in the world's destruction over a few months.
[08:49.000 --> 09:05.000]  Mr. Harold Camping was not teleported to the enterprise, though. And teleportation to the cloud base, cloud city with Lando Calrissian, is not in the Bible. But don't tell them that.
[09:05.000 --> 09:19.000]  But the Bible does say they're not supposed to say when Jesus is going to return, so that's why they say they do know. Because the Bible says they don't. Because they're such followers of the Bible.
[09:19.000 --> 09:26.000]  Are these groups financed to do this perpetually, the same people over and over again to discredit Christianity? You've got to wonder sometimes.
[09:26.000 --> 09:43.000]  It was only until about 150 years ago that this whole rapture cult thing got set up. Sure, after Christ returns in revelations, then the dead in Christ rise to meet Christ in the sky, their spirits, and then they're given heavenly bodies.
[09:43.000 --> 09:58.000]  But that's the Bible. Who wants to listen to that? No, they teach Christians. And this is why it's important whether you're an atheist, a Christian, a Muslim, an agnostic, a animist, a worshipper of Kebler elves, the clockwork elves.
[09:58.000 --> 10:20.000]  It doesn't matter intellectually. The overarching issue here is that Christians who make up the majority of this country and most other Western nations, if you look at the poll numbers, 80 plus percent of Americans call them Christians, something like half of Europeans.
[10:20.000 --> 10:37.000]  England's a little bit lower now. It is now a Christian dogma. It is now a Christian belief, the modern Christian belief, only 150 years old now, to lay down to evil because it's the end of the world as we know it.
[10:37.000 --> 10:50.000]  Praise the Lord, the government's tracking everybody and wants us to thumb print and face scan to buy and sell and that companies are pushing implantable microchips and the Mexican Attorney General has made his employees taking implantable chips.
[10:50.000 --> 10:58.000]  There's no reason to speak out against 50 plus million abortions in the U.S. There's no reason to get involved in any sort of corruption.
[10:58.000 --> 11:08.000]  Christians don't need to be against slavery like they were in 1800, a small minority of Christians against it by the 1860s, the majority against it.
[11:08.000 --> 11:20.000]  No, Christians don't need to lead the way against tyranny or corruption as they did in 1776 with the pastors leading the way at Lexington and Concord and Bunker Hill and on and on and on.
[11:20.000 --> 11:28.000]  But now Christians quote to you Romans 13, render unto Caesar the things that are Caesar's and the things to God that are God's.
[11:28.000 --> 11:35.000]  That was Hitler's favorite Bible quote that was on billboards all over Germany broadcast on radio played on the newsreels.
[11:35.000 --> 11:41.000]  He quoted it generally every week in his weekly pure radio transmission.
[11:41.000 --> 11:46.000]  Do Christians do what the Bible says do what your leader says.
[11:46.000 --> 11:54.000]  Of course if you read the entire chapter it says the opposite of that that you should follow just leaders and just laws but if they're evil it is your job to stand up against them.
[11:54.000 --> 11:59.000]  Christ was killed for not following the Jewish leaders and the Roman leaders orders.
[11:59.000 --> 12:02.000]  Almost all the disciples were killed.
[12:02.000 --> 12:07.000]  Guess you just tuned into the Alex Jones radio program normally not a religious show.
[12:07.000 --> 12:14.000]  The point is I've actually studied the Bible, studied Christianity, studied the contemporary Roman and Greek history and Jewish histories.
[12:14.000 --> 12:18.000]  And our entire society is based on this whether you believe in it or not.
[12:18.000 --> 12:20.000]  You need to understand it is unbiblical.
[12:20.000 --> 12:26.000]  It is un-Christian to say that you a know when the end of the world's coming and to be say I'm not getting involved.
[12:26.000 --> 12:30.000]  It's the end of the world or soon we're going to have the tribulation.
[12:30.000 --> 12:36.000]  It is your job if you see evil as a Christian to go out and speak out against it.
[12:36.000 --> 12:37.000]  Now we got secret documents.
[12:37.000 --> 12:42.000]  I don't know now six years ago now a few years later it came out on national and local television.
[12:42.000 --> 12:48.000]  We played the clip. She searched the term clergy response teams a secret government program now over a hundred thousand.
[12:48.000 --> 12:58.000]  I mean it was two or three years ago when I last saw a newscast admitting the numbers of pastors being secretly approached by homeland security to spy on their flocks.
