[00:00.000 --> 00:15.000]  Oh oppression, you prey on us when we sleep
[00:15.000 --> 00:21.000]  Oh oppression, you chase after the tired all the week
[00:21.000 --> 00:28.000]  Oh oppression, you know you mean only harm
[00:28.000 --> 00:34.000]  Oh oppression, you reach out with your long heart
[00:34.000 --> 00:39.000]  But oppression, I won't let you near me
[00:39.000 --> 00:46.000]  Oh no, oppression, you shall learn to fear me
[00:46.000 --> 00:54.000]  Yes you will, oppression, you seek population control
[00:54.000 --> 01:00.000]  Oh oppression, to divide and to conquer is your goal
[01:00.000 --> 01:07.000]  Oh oppression, I swear that hatred is your home
[01:07.000 --> 01:13.000]  Oh oppression, you just won't leave bad enough alone
[01:13.000 --> 01:22.000]  Ladies and gentlemen, we are live. It is Sunday, the 7th day of November, 2010
[01:22.000 --> 01:30.000]  We're going to be live here for the next two hours. Thank you so much for joining us.
[01:30.000 --> 01:37.000]  Later in the second hour, I'm going to get into the huge developments dealing with dollar devaluation.
[01:37.000 --> 01:49.000]  It's already affecting the value of the currency and the T-bills that are sold to all of these foreign corporations, individuals and mainly governments.
[01:49.000 --> 01:59.000]  They have to destroy our dollar before they can put us on to the new SDR system and that's what the quantitative easing is all about.
[01:59.000 --> 02:13.000]  It also makes the big private central banks that have engineered this crisis flush with trillions of dollars of more money as it's being devalued so that they can purchase real assets, stocks and bonds, companies, media, you name it.
[02:13.000 --> 02:21.000]  Then we have to pay taxes back to the bankers for our money that they get to use against us.
[02:21.000 --> 02:30.000]  That is all coming up. We'll also look at the imperial presidency of the puppet Barack Obama on his Asia trip.
[02:30.000 --> 02:38.000]  He's going to be in Seoul, South Korea in the next few days, part of his 10-day trip then on to Indonesia and Japan.
[02:38.000 --> 02:50.000]  There is a big revolt going on by China and others openly saying that they are very angry about the decision to devalue the dollar that they hold over a trillion, $200 billion of.
[02:50.000 --> 03:02.000]  The next biggest owner, of course, of the private debt that the private banks have created, that they try to foist on us, is the Federal Reserve.
[03:02.000 --> 03:05.000]  So that is coming up as well.
[03:05.000 --> 03:10.000]  I also saw several articles today about taser deaths.
[03:10.000 --> 03:14.000]  More people being tasered and dying. The system just doesn't care.
[03:14.000 --> 03:20.000]  Just like they don't care if the troops are dead and dying from the depleted uranium.
[03:20.000 --> 03:30.000]  This is a group of eugenicists. That's why they're caught all the time testing chemicals, biologicals, radiologicals on men, women and children.
[03:30.000 --> 03:37.000]  All over the world shooting people up with live polio or live syphilis.
[03:37.000 --> 03:44.000]  They're doing this by design for population control and to test it and see if they can get away with it.
[03:44.000 --> 03:52.000]  So we're going to be discussing that and how it shows how the precedent has just been set that our lives don't have value.
[03:52.000 --> 04:02.000]  Former Bart Kopp gets two years in Oscar Grant killing. The minimum sentence shot him in the back execution style.
[04:02.000 --> 04:08.000]  Then they kind of roughed him up after they shot him in the back, grabbed him, said, you know, get up. How dare you be shot in the back?
[04:08.000 --> 04:11.000]  It's all your fault. The guy was in handcuffs. They lied about that.
[04:11.000 --> 04:20.000]  They tried to confiscate the video cameras from people that were there on the deck at the train station.
[04:20.000 --> 04:25.000]  But another train had stopped and got video. So there's also the attempted cover up there.
[04:25.000 --> 04:33.000]  We'll be looking at that. But the first thing I want to hit is the police state control grid, namely naked body scanners.
[04:33.000 --> 04:41.000]  For two days, the dredge report, one of its top links has been our video. TSA fondles women and children refusing airport naked body scanners.
[04:41.000 --> 04:49.000]  And some people are in denial about this. We're going to cover the facts when we come back. Stay with us.
[04:49.000 --> 04:55.000]  Alex told you the government announced recently that the recession is over. It ended on June of 2009.
[04:55.000 --> 05:02.000]  The millions of Americans unable to find work might not agree. Perhaps the recession ended for the bankers and government employees,
[05:02.000 --> 05:07.000]  but for the rest of us, things seemed to be getting worse. Gold and silver haven't heard the news either.
[05:07.000 --> 05:13.000]  They've begun their long expected journey to the moon. In addition to converting your shrinking dollars into gold and silver,
[05:13.000 --> 05:19.000]  you should consider a food savings account from eFoodsDirect. They both make fabulous investments.
[05:19.000 --> 05:24.000]  Food is our greatest dependency and we know it will be more precious than any financial resource.
[05:24.000 --> 05:29.000]  You and your family need food to survive a crisis, and you can't eat paper, stocks or metals.
[05:29.000 --> 05:35.000]  Alex has been urging you to invest in delicious, easy fix meals to enjoy now or save for long term.
[05:35.000 --> 05:44.000]  You'll freeze the cost of your food while you can still afford it. Visit eFoodsDirect.com on the internet or call 800-409-5633.
[05:44.000 --> 06:09.000]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[06:09.000 --> 06:20.000]  This is going to be an extremely important transmission today. It is vital that you listen very carefully to the information I'm about to cover,
[06:20.000 --> 06:28.000]  that you take notes on everything I talk about and that you check it out for yourself.
[06:28.000 --> 06:39.000]  It has been declassified over 200 times, including army field manuals that are supposed government.
[06:39.000 --> 06:47.000]  Stages, terrorist attacks in this country and other nations as a pretext to expand their agenda.
[06:47.000 --> 06:55.000]  And what is their agenda? The United States since 1913 has been seized by the private Federal Reserve.
[06:55.000 --> 07:03.000]  But they haven't had total control of this country's economic and political policy, but for the last 40 or so.
[07:03.000 --> 07:14.000]  We have been used to build up the private global corporate government. We have been indebted. We have been hated worldwide because of it.
[07:14.000 --> 07:24.000]  Domestic propaganda has basically brainwashed much of the public to go along with this and to think that, quote, we are the good guys.
[07:24.000 --> 07:31.000]  Well, the average American is good and does mean well and is frankly quite naive and sappy.
[07:31.000 --> 07:45.000]  But the major power players in both parties and the CIA and the FBI at the highest levels have been caught engaged in every form of institutional corruption, you can imagine.
[07:45.000 --> 07:55.000]  It was declassified in 96. They had C-SPAN hearings in Congress where the CIA Inspector General admitted the CIA ships in cocaine and heroin.
[07:55.000 --> 08:03.000]  Now it's on Fox News that, yes, our government helps grow the opium in Afghanistan. It's at record levels, but it's a good thing to do.
[08:03.000 --> 08:08.000]  The CIA now admits they created fake bin Laden videos.
[08:08.000 --> 08:21.000]  The government now admits that they signed a secret deal 11 years ago to take the death benefits of 6 million dead and dying veterans from World War II right through to Desert Storm.
[08:21.000 --> 08:24.000]  That's Bloomberg.
[08:24.000 --> 08:41.000]  We have people more corrupt than Ken Lay, more corrupt than the Gambino crime family, more corrupt than people like Bernie Madoff running our society and our major courts, and they get away with murder.
[08:41.000 --> 08:59.000]  Simultaneously, all of these draconian laws are being passed to basically criminalize the entire population of the United States to institutionalize us. If they can't bankrupt us or get us in the mental health system, they want to get us in the criminal justice system.
[08:59.000 --> 09:07.000]  They want you under their control. America went bad. Most other countries in history go bad.
[09:07.000 --> 09:17.000]  And when people can't recognize evil anymore, when people can't face evil, societies degenerate into total tyranny.
[09:17.000 --> 09:29.000]  Now the good news is, according to every poll, every study out there, the population of this country is starting to awaken. The sleeping giant is beginning to awaken, and that's very positive.
[09:29.000 --> 09:37.000]  All right, I want to give you a preview of what's coming up today. And then I'm going to launch into it. Okay?
[09:37.000 --> 09:52.000]  Everything we're going to cover is at infowars.com and prisonplanet.com and is direct links to mainstream news, government legislation, and mainline corporate trade publications.
[09:52.000 --> 10:05.000]  100% of what we're going to cover today is all documented and on record. And more than that, I'm not just going to cover all these news articles and back up everything I say.
[10:05.000 --> 10:24.000]  We are streaming live video at prisonplanet.tv. We're not just on the radio, where when I say I have a New York Times article, or when I say I have a CNBC article, or when I say I have the Patriot Act in front of me, I have it in front of me.
[10:24.000 --> 10:37.000]  And you will be able to see the news articles because I'm always blown away by the intense level of denial.
[10:37.000 --> 10:50.000]  When I talk about government-sponsored terror, and this is coming up later in the hour, I have read to you the scores of Republican analysts in newspaper articles saying
[10:50.000 --> 11:00.000]  that to continue the war on terror and to take people's rights and to continue the elite's agenda, there needs to be giant terror attacks in America.
[11:00.000 --> 11:17.000]  I have the September 20, 2000 PNAC documents. You can go to their own website and read them written by Dick Cheney, where they said we need 3,000 dead at least, a new Pearl Harbor type event to galvanize the American people to fund this world government empire.
[11:17.000 --> 11:33.000]  Now, in the last three months, I've been warning people that Obama's controllers are going to stage events as a pretext for us to give up our liberties and to see the government as our protectors while they rob us blind and devalue the dollar.
[11:33.000 --> 11:49.000]  Last week I covered financial times of London. Obama faces growing credibility crisis. Quote, the bottom line here is that Americans don't believe in President Obama's leadership, says Robert Shapiro, former Clinton official and supporter and advisor of Obama.
[11:49.000 --> 11:56.000]  He has defined some way between now and November of demonstrating that he is a leader who can command confidence.
[11:56.000 --> 12:09.000]  And short of a new 9-11 event or an Oklahoma City bombing, I can't think of how he can do that. And then we wrote an article about it at prisonplanet.com going through all the other Obama advisors and minions saying the same thing.
[12:09.000 --> 12:32.000]  Here's a new one today that's in the AP Raw Story, MSNBC, CNN, and infowars.com. And I'll show you a document cam shot of this. X Clinton strategist, Obama needs event similar to OKC to reconnect with voters.
[12:32.000 --> 12:39.000]  Now I'm not just going to read the quote, I'm going to play you the MSNBC video clip of him saying it.
[12:39.000 --> 12:54.000]  Now do you understand that WikiLeaks released in 2007 a 2004 Army manual for black op commander captains and above where it teaches them how to stage terror attacks and blaming on foreign enemies overseas.
[12:54.000 --> 13:04.000]  It's the oldest trick in the book. You go kill a village, blame it on your enemy. The way they tried our military to do it is they said, look, the communists do it, we've got to do it.
[13:04.000 --> 13:12.000]  Fight fire with fire. And the minute you do that, the minute you torture people because other countries torture, you lose your soul.
[13:12.000 --> 13:19.000]  Here's the infowars.com article. Clintonite, Obama needs OKC bombing to reconnect with the American people. That's a quote.
[13:19.000 --> 13:30.000]  Now, that said, we just had the one year anniversary Friday of Major Hassan murdering 13 people.
[13:30.000 --> 13:39.000]  We reported at the time that Major Hassan was videotaped with another shooter. That's what eyewitnesses told us, including sources inside Fort Hood.
[13:39.000 --> 13:42.000]  I'll leave it at that. It's now been admitted in the court trial. That was true.
[13:42.000 --> 13:49.000]  It also came out at the time that for two years he was in contact with Anwar Aulalaki, now the number one in Al Qaeda worldwide.
[13:49.000 --> 13:55.000]  Number one on the rendition list, the killer capture list. Number one.
[13:55.000 --> 14:03.000]  For two years, he planned the attack with Anwar Aulalaki, and it turned out the Pentagon was tracking it with the CIA the entire time that's admitted.
[14:03.000 --> 14:10.000]  But Congress has been barred. Our elected representatives, the real government, from being able to see all those emails and hear those phone calls.
[14:10.000 --> 14:20.000]  Here's Fox News two weeks ago. Exclusive Al Qaeda leader dined at the Pentagon just months after 9-11 when he was the number three in Al Qaeda.
[14:20.000 --> 14:28.000]  On the news is the number three in Al Qaeda. Two months later, he's hanging out secretly at the Pentagon. That's Fox News. That's confirmed.
[14:28.000 --> 14:32.000]  The Pentagon says they're going to prosecute whoever leaked this to Fox News.
[14:32.000 --> 14:38.000]  The Pentagon doesn't deny the Army manual on how to blow up schools and blame it on foreign enemies.
[14:38.000 --> 14:41.000]  Okay? You're like, well, I support the military. You don't knock them.
[14:41.000 --> 14:50.000]  Well, then you should get control of your government, American people, and make sure the military is trained to be evil.
[14:50.000 --> 14:57.000]  And the Pentagon doesn't deny this stuff about Anwar Aulalaki. They responded and said, well, we're not going to really talk about it, but we're concerned.
[14:57.000 --> 15:01.000]  And we're also going to find out who released this and prosecute them.
[15:01.000 --> 15:10.000]  The number one leader of Al Qaeda works for the stinking bankers that run our Pentagon.
[15:10.000 --> 15:14.000]  Who grows the opium, the Pentagon?
[15:14.000 --> 15:17.000]  I've got the congressional hearings. You can just search.
[15:17.000 --> 15:26.000]  Congressional hearing, trillions missing from Pentagon. You'll get AP, Oregonian, video clips on YouTube.
