[00:00:00.369 --> 00:00:03.510]  We've got it, brother.
[00:00:03.510 --> 00:00:07.471]  The transmission is coming to you.
[00:00:07.471 --> 00:00:11.853]  Waging war on corruption.
[00:00:11.853 --> 00:00:17.555]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:27.464 --> 00:00:30.647]  It is Sunday, the 21st day of August, 2011.
[00:00:30.647 --> 00:00:38.052]  We're going to be live here for the next two hours.
[00:00:38.052 --> 00:00:54.886]  Coming up, at around 20 after, I'm going to present a live report to you, breaking down the fact that the military industrial complex, itself owned by offshore banks,
[00:00:55.606 --> 00:01:20.994]  Has not just conquered most of the world, but is also trying to conquer free humanity, trying to eradicate the family, trying to eradicate all forms of independence, which this corporate borg sees as a threat to its absolute, eternal domination over humanity, what the social engineers now, for over 80 years, have called the final revolution against humanity.
[00:01:22.162 --> 00:01:24.903]  This is the control freak revolution.
[00:01:24.903 --> 00:01:30.285]  Obviously, the reports have gotten a lot of attention up at InfoWars.com and PrisonPlanet.com.
[00:01:30.285 --> 00:01:36.548]  Ron Paul, they're setting the stage for violence in this country.
[00:01:36.548 --> 00:01:38.789]  That is one of the headlines.
[00:01:38.789 --> 00:01:51.334]  Robert Wannick, who's reported for InfoWars.com, also a great reporter with We Are Change Minnesota, did a video interview with Ron Paul and said, are we in danger with these FEMA camps?
[00:01:52.679 --> 00:01:56.000]  Emergency Centers Establishment Act.
[00:01:56.000 --> 00:01:58.842]  And Ron Paul said, absolutely.
[00:01:58.842 --> 00:02:00.862]  That's what the establishment wants.
[00:02:00.862 --> 00:02:02.243]  They want to create violence.
[00:02:02.243 --> 00:02:03.723]  That's their plan.
[00:02:03.723 --> 00:02:06.525]  Very, very powerful information.
[00:02:06.525 --> 00:02:12.607]  So I thought that I would just give you a snapshot look at FEMA camps in this country.
[00:02:12.607 --> 00:02:17.169]  And remember, we already have the biggest prison population in the world.
[00:02:18.134 --> 00:02:22.216]  We already have a military budget bigger than all other governments combined.
[00:02:22.216 --> 00:02:30.001]  We have congressional reports of plans to expand the already existing internment facilities.
[00:02:30.001 --> 00:02:44.109]  Now the mainstream media is reporting on this more, but saying, oh, they're just now deciding to get ready for this because of the depression, or the greatest recession, as Geithner has called it.
[00:02:44.109 --> 00:02:45.950]  Well, we've told you for over
[00:02:47.242 --> 00:02:56.449]  Sixteen years now, but intensely for ten, that with the end of the Glass-Steagall Act and the derivatives bubble, that this was their plan.
[00:02:56.449 --> 00:03:06.736]  So they're economically destroying us, posing as our saviors, and as society begins to break down and unravel, many people are going to beg for the military to be used.
[00:03:06.736 --> 00:03:09.138]  The military will be used.
[00:03:09.138 --> 00:03:12.941]  They will do their job and shut down the rioting.
[00:03:12.941 --> 00:03:15.023]  Then there'll be terror attacks.
[00:03:16.365 --> 00:03:19.507]  Which are blamed on domestic groups.
[00:03:19.507 --> 00:03:27.331]  So the public will say, well, the army already dealt with the rioting thugs.
[00:03:27.331 --> 00:03:30.833]  So it's reasonable that they're going after other troublemakers.
