[00:00.000 --> 00:14.280]  Big Brother mainstream media government cover-ups you want answers well so does he he's Alex Jones
[00:14.280 --> 00:40.840]  on the GCN radio network and now live from Austin Texas Alex Jones
[00:44.280 --> 01:08.040]  Well I won't back down no I won't back down you can stand me up at the gates of hell but I won't back down
[01:08.040 --> 01:22.080]  no I'll stand my ground won't be turned around and I'll keep this world from dragging me down
[01:22.080 --> 01:50.800]  I'm gonna stand my ground and I won't back down hey baby there ain't no easy way I'm gonna stand my ground and I won't back down
[01:50.800 --> 02:12.880]  well I know what's right I got just one line in a world that keeps on pushing me around but I'll stand my ground and I won't back down
[02:12.880 --> 02:31.840]  hey baby there ain't no easy way I'm gonna stand my ground and I won't back down
[02:31.840 --> 02:58.640]  well we've got another super packed transmission lined up for you today we have a top professor joining us who is amongst many an academia warning of the fact that it is a probability that artificial intelligence from machines will dominate our society and will end up
[02:58.640 --> 03:24.640]  enslaving humanity it is a hundred percent certainty that the global technocratic engineers are attempting to establish a technocracy in their own words over this using technology to track trace and control everything we're doing and that by building that system they'll probably fall into the pit that they've dug for us so that is coming up here was one
[03:24.640 --> 03:50.640]  of the articles in MSNBC last week control dangerous AI before it controls us experts sets and it's that professor that will be joining us good job of the crew getting them lined up for the show one of his papers is leak proofing the singularity artificial intelligence confinement problem
[03:50.640 --> 04:14.640]  we had all the AI and a lot of this stuff is already artificial intelligence to a certain degree it's question is it's self aware doesn't matter if a drone's launched and goes around killing certain targets making its own decisions that's been going on for 20 years they just now announced it last year to the slaves it is autonomous it is artificial intelligence flying around killing people on its own under its own
[04:14.640 --> 04:30.640]  programming it's been programmed but it's like a wind up toy you you turn it loose and so the very architecture of this system is a skynet type scenario where it launches a big attack on humanity so this is an area I'm obviously very concerned with I hope you're concerned with it
[04:30.640 --> 04:51.640]  we'll be breaking that down on the other side of this quick break and then I told you it was going to happen but I didn't know it was going to happen this quick I'm just been proven absolutely correct yet again not really hard to do the Congress is moving for a full African invasion continent wide and
[04:51.640 --> 05:00.640]  Angela Angelina Jolie is at the world criminal court worshipping it saying this is her g-hod for global government that's all coming up
[05:00.640 --> 05:22.640]  hi this is Alex Jones did you know that the global elite are now storing non-hybrid seeds and secret storage vaults near the Arctic Circle did you know that in a real meltdown non-hybrid seeds could become more valuable than silver or gold it's true seeds have outperformed even gold and silver before in this country and it's possible that could even happen again so our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds
[05:22.640 --> 05:37.640]  they call it a survival seed bank and it can produce an endless supply of nutrient dense food for you and your family and here's the best part these seeds have not been genetically modified in any way and you actually get enough seeds to plant a full acre crisis garden
[05:37.640 --> 05:59.640]  so visit them today at survivalseedbank.com that's survivalseedbank.com or give them a call at 877-327-0365 that's 877-327-0365 remember in a real crisis non-hybrid seeds are the ultimate barter item this is Alex Jones for survivalseedbank.com
[05:59.640 --> 06:17.640]  folks Iran and the Mideast nuclear mess is already ballooning our gas prices whether you're struggling with food costs which are being blown up by gas costs now or know that when the Mideast showdown explodes whatever food supply you have is all you'll get because of huge panic demand
[06:17.640 --> 06:35.640]  eFoods Direct Family Packs are the answer now the most affordable best food is saving you up to 50% compared to other poor quality food companies the new Alex Jones Quick Fixed Family Pack save you so much money the savings from eating this food will actually help you pay your other bills
[06:35.640 --> 06:53.640]  no matter what effect the Mideast crisis or the crashing economy have you'll have food as delicious tonight as 25 years from now order now for 50% savings and free shipping on these affordable family packs call 800-409-5633 or eFoodsDirect.com slash Alex
[06:53.640 --> 07:13.640]  when you're out on the road the last place you want to be is on the road but if the unfortunate happens you'll be glad you were wearing diamond gussets
[07:13.640 --> 07:39.640]  they tend to say well they make blue diamond gusset jeans they so pride in every stitch guarantee you love the way they fit they put a diamond gusset in the crotch where you need it most blue diamond gussets got it others don't
[07:39.640 --> 07:59.640]  turn jeans inside out diamond gusset jeans made in the USA with unparalleled quality our defender motorcycle jeans combined gusset comfort with Kevlar protection so you can ride all day with confidence order yours at gusset.com diamond gusset jeans got it others don't
[08:09.640 --> 08:27.640]  welcome ladies and gentlemen welcome and thank you so much for joining us today
[08:27.640 --> 08:45.640]  as we kick off this worldwide transmission against tyranny it is the 14th day of March 2012 and we're going to be live here for the next three hours
[08:45.640 --> 09:00.640]  and we do have a professor and expert in artificial intelligence who's warning the public that a technocratic systems being built that will basically give rise to a computer artificially intelligent dictatorship
[09:00.640 --> 09:19.640]  and he will be joining us coming up in the second hour also we may have a surprise guest in the third hour or I may just do it in the TV studio that the interview tonight I'm not sure exactly which is going to happen but it's of Dave Mustaine level
[09:19.640 --> 09:38.640]  and by the way the Dave Mustaine interview that we shot last week is going to air tomorrow night in place of info wars nightly news and I'm very glad that info wars nightly news is so popular I've had quite a few complaints pouring in from prisonplanet.tv viewers
[09:38.640 --> 09:57.640]  that hey Alex we want fresh news shows every night at seven you know I plan to do the news for a few months straight beta testing I said this was beta because you know prisonplanet.tv has all of my films now nine years of material coming up April 12 when we launched it
[09:57.640 --> 10:20.640]  all those years ago I guess nine years ago and we are about to launch a new contest that'll be $5,000 for male reporters $5,000 for female reporters and then you get a shot at being an info wars reporter and anchor
[10:20.640 --> 10:38.640]  and reaching an audience of three million people a day so I meant to launch this three four months ago and I'm so busy and my skeleton crew is so busy just trying to get the nightly news on every night and doing investigative reports and going out on the street
[10:38.640 --> 10:53.640]  we've only got a team of like five people we've got to hire three or four more people and we've got to put in a bunch of new upgrades and equipment we've got a lot of stuff a lot of graphics we're going through upgrading things so I'll tell you now
[10:53.640 --> 11:06.640]  I meant to go two or three months straight and then have like a week or two hiatus as I announced eight months ago and I just went eight months and never stopped never got off the treadmill so we're going to go again for another week and a half with a Dave Mustaine
[11:06.640 --> 11:27.640]  exclusive interview tomorrow my two hour speech in Orlando next week some other special reports some nights it'll be new stuff but a few nights were not because I have to drop some things because I can't cut a promo video about the contest for hiring reporters
[11:27.640 --> 11:47.640]  if I'm busy trying to do the nightly news or my crew is I can't cut a new promo video for prison planet dog TV I can't go over all the resumes we've already got for video editors writers researchers investigative reporters when we've got hundreds of them already that I am literally
[11:47.640 --> 12:03.640]  in an ocean of and so we've had incredible success and I appreciate your support but I will probably in four or five months again after these reporters are hired trained in place the new equipment sin we have the new sharing upload system to deliver the show to television
[12:03.640 --> 12:21.640]  see another thing is the show is already getting picked up by different cable systems broadcast TV big national British basic cable does a two hour compilation I've got to create a list of the stations were already on I mean we're already getting on in Europe and England and areas of the US without even trying
[12:21.640 --> 12:36.640]  you know we just get emailed by cable system hey can we pick the show up I'm like yeah boom hit it I mean there's just there's so much going on around here that I've got to jump off the treadmill for five seconds just just so I can try to let the dust halfway
[12:36.640 --> 12:56.640]  settle and in between that I've got 50 other irons in the fire and big breaking news and all this coming on and so I did make the announcement on Monday that we were going to have you know two week hiatus with some new shows and special events
[12:56.640 --> 13:12.640]  for viewers but I'm really heartened by folks saying hey we want the news we're addicted to this you know there are about 50,000 people a night which is tiny compared to the radio audience that tune into prison planet dot TV throughout the first airing of the show at seven central
[13:12.640 --> 13:28.640]  and then the re streaming of it until the next day and then the archiving of it and of course we do allow each membership is really six memberships each membership with the same username and passcode that you create
[13:28.640 --> 13:42.640]  we were six people can be logged in simultaneously so it's really six memberships for 15 cents a day and I am glad that people are sharing their memberships we've got a lot better servers now we're almost never has problems
[13:42.640 --> 13:59.640]  streaming there's been a lot going into this because we're doing it from the ground floor up we never had the money to hire big consultants and big companies or try to have a big official studio put in I could have never built this we've done it from the ground up on a shoestring budget
[13:59.640 --> 14:15.640]  and now we're getting to really try to go to the next level and bloom but it takes a lot and we couldn't have done it without you and then it looks like for the nightly news we're going to have another big interview for you next week
[14:15.640 --> 14:31.640]  because I went to dinner with a well-known individual who's shown that they're very awake to what's going on in the world and invited him to come in and they're like well I'm not sure you know I don't know how much I'll end up saying
[14:31.640 --> 14:53.640]  I said okay whatever you want to do and they contacted me this morning I need to get back in touch with them they want to come in so that's another big interview we've just got a lot going on here and I need to get the new people hired trained in place so that we've got enough people to basically hit the balls that are coming at us
[14:53.640 --> 15:12.640]  it's kind of like I got four or five guys lined up with their baseball bats and there's 20 machine pitchers out there pitching machines shooting fastballs at us
[15:12.640 --> 15:23.640]  and we're hitting a lot of home runs here but I realize I need to get more people out front on my team so they can really start knocking home runs and try to hit every one of those balls
[15:23.640 --> 15:34.640]  I mean I need to hire three or four people just to go through the email every day don't have the money I need to hire people just to moderate the comments of the message boards because you can get sued all day for that stuff
[15:34.640 --> 15:44.640]  people posting copyright stuff people posting phone numbers people saying go kill this person you know I've got to get more than just part time moderators in there
[15:44.640 --> 15:56.640]  there's just I'm finally getting ready to launch the social network after you know years of being on the treadmill and just I'm always running so fast on the treadmill here with the syndicated radio show and the rest of it
[15:56.640 --> 16:07.640]  the radio show reaches around 3 million people a day 15 million a week conservatively the nightly news only reaches about 50,000 a day that are watching on prisonplanet.tv
[16:07.640 --> 16:21.640]  but then it gets posted to our YouTube channel and hundreds of others and a conservative estimate is the nightly news gets watched by about 2 million people a week just on YouTube and a few other video systems
[16:21.640 --> 16:34.640]  like I said it's on the basic cable England wide through an organization group that has a channel that has a couple hundred thousand viewers we've looked at the ratings when the show airs every what Sunday evening
[16:34.640 --> 16:46.640]  and there's all sorts of TV stations around the country picking it up and cable systems I mean it's crazy what's happening so when we finally put out a honed one hour show this is all just been beta testing right now
[16:46.640 --> 16:59.640]  when we finally do put this out and and to be able to put out the official show quicker there may be a few times in the next six months where I have to get pulling for a pit stop and get new tires new gas in the engine
[16:59.640 --> 17:12.640]  you know some oil shot into the engine so that I can really then race back out there on the track and go 300 and defeat the globalist and we're doing it all together
[17:12.640 --> 17:29.640]  okay there's some basic program notes for you today when we come back I'm very disgusted by this I am basically distraught over this subject again we've been proven absolutely devastatingly accurate
[17:29.640 --> 17:45.640]  and you would think that I'd be happy about that no no it only makes me sad for basic humankind how gullible we become how one dimensional the general public has become either you're waking up and becoming enlightened or you're getting more into a trance
[17:45.640 --> 18:01.640]  we're in a narcoleptic state that is the best way to describe it last night I was sitting there for like 10 minutes having dinner with a very interesting individual and I was trying to describe they're in a trance they're under a spell it's like they're not awake the brainwaves
[18:01.640 --> 18:24.640]  he goes yeah no it's an artificially induced narcoleptic state and that's what it is and I'm here to try to get people out of their narcoleptic state sure I'm abrasive I'm obnoxious I'm all of those things but you know what no one has been as effective as I have with my crew and you supporting us
[18:24.640 --> 18:34.640]  and so anytime I get down on my shelf because believe me I'm my worst critic I realize hey you're doing the best job you can so stop getting down on yourself
[18:34.640 --> 18:43.640]  because believe me my biggest hurdle is a shelf loathing that I'm not doing enough and then I'm not fighting hard enough
[18:43.640 --> 18:54.640]  that's why people call in and say how great I am or people on the street tell me how great I am it's like punching me in the stomach and I don't know how to explain it because I feel like I'm doing the bare minimum
[18:54.640 --> 19:05.640]  I should be doing I don't know how to it's just I just I just have a responsibility and I don't understand how other people don't have a feeling of responsibility to fight these murdering scum
[19:05.640 --> 19:18.640]  it's not I'm not a hero I'm not a good guy I'm none of those things it's basic survival ladies and gentlemen we've got to get past this idea that it's exceptional to fight evil
[19:18.640 --> 19:30.640]  we have evil running wild all over us because we believe fighting evil is exceptional fighting evil is the bare minimum resistance to tyrants is obedience to God
[19:30.640 --> 19:38.640]  and my whole body my whole spirit is do more because I understand the threat
[19:38.640 --> 19:45.640]  now I told you it was coming the Congress is moving for an African-wide invasion their words not mine
[19:45.640 --> 19:53.640]  with a complete blank check for Scorched Earth everywhere the UN is involved in genocide all over Africa from Uganda to Ivory Coast right now
[19:53.640 --> 20:00.640]  Angelina Jolie has gone to the world court to basically call for global government everything I said is now about to expand
[20:00.640 --> 20:07.640]  Hi this is Alex Jones did you know that the global elite are now storing non-hybrid seeds and secret storage vaults near the Arctic Circle
[20:07.640 --> 20:12.640]  did you know that in a real meltdown non-hybrid seeds can become more valuable than silver or gold
[20:12.640 --> 20:17.640]  it's true seeds have outperformed even gold and silver before in this country and it's possible that could even happen again
[20:17.640 --> 20:25.640]  so our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds they call it a survival seed bank
[20:25.640 --> 20:31.640]  and it can produce an endless supply of nutrient dense food for you and your family and here's the best part
[20:31.640 --> 20:37.640]  these seeds have not been genetically modified in any way and you actually get enough seeds to plant a full acre crisis garden
[20:37.640 --> 20:47.640]  so visit them today at survivalseedbank.com that's survivalseedbank.com or give them a call at 877-327-0365
[20:47.640 --> 20:56.640]  that's 877-327-0365 remember in a real crisis non-hybrid seeds are the ultimate barter item
[20:56.640 --> 21:08.640]  this is Alex Jones for survivalseedbank.com
[21:27.640 --> 21:35.640]  hi this is Ted Anderson have you ever wondered why bank stock workers investment advisors won't talk about gold IRAs
[21:35.640 --> 21:41.640]  they've been available since 1986 yet the financial industry won't recognize the value of gold for your retirement
[21:41.640 --> 21:45.640]  gold has outperformed paper investments yet no word about IRAs
[21:45.640 --> 21:50.640]  if you would like to have gold for your retirement call 800-686-2237
[21:50.640 --> 21:56.640]  get left behind by rising inflation and low returns call 800-686-2237
[21:56.640 --> 22:00.640]  secure your future and call 1-800-686-2237
[22:00.640 --> 22:03.640]  hey there you've reached Claire leave me a message
[22:03.640 --> 22:08.640]  Claire it's Anne hey you know that hormone balancing product we talked about before the all natural one
[22:08.640 --> 22:15.640]  Ambron well I gotta tell you this not only did Ambron stop my hot flashes but since I started the Ambron program
[22:15.640 --> 22:19.640]  I have lost so much weight seriously even my belly fat it's gone
[22:19.640 --> 22:23.640]  I haven't been this thin in years I feel great give me a call
[22:23.640 --> 22:27.640]  the leading cause of weight gain in women over 40 is hormonal imbalance
[22:27.640 --> 22:31.640]  until you balance your hormones it can be practically impossible to lose weight
[22:31.640 --> 22:35.640]  Ambron restores hormonal balance naturally so the weight can just fall off
[22:35.640 --> 22:40.640]  yes even that stubborn belly fat plus Ambron eliminates other symptoms of hormonal aging too
[22:40.640 --> 22:45.640]  so with your hormones in balance you can feel great and finally lose the weight
[22:45.640 --> 22:49.640]  be one of the first 50 callers right now and they'll send you a complimentary risk-free trial
[22:49.640 --> 22:56.640]  with a 30 day supply free call 1-800-408-1130 that's 1-800-408-1130
[22:56.640 --> 22:59.640]  1-800-408-1130
[22:59.640 --> 23:05.640]  what you're about to hear will help you remember where to find the best water filter products at the best prices on the web
[23:05.640 --> 23:07.640]  there did you hear it?
[23:07.640 --> 23:16.640]  Birkishop.com with the newest Birky products in stock the best prices on Birky products anywhere fast free shipping and the most amazing customer service
[23:16.640 --> 23:21.640]  Birkishop.com home of all Birky water filter products like the big Birky
[23:21.640 --> 23:26.640]  for producing clean drinking water by removing contaminants chemicals heavy metals and even fluoride
[23:26.640 --> 23:33.640]  call 1-888-6-BIRKY to get your Birky water filter perfect for home travel camping or disasters
[23:33.640 --> 23:41.640]  and Birkishop.com is the perfect site to get your Birky because we're open 24-7 with free shipping and no sales tax
[23:41.640 --> 23:48.640]  even celebrities and NFL athletes shop at Birkishop.com call 1-888-6-BIRKY to order your Birky products
[23:48.640 --> 23:54.640]  that's 888-6-B-E-R-K-E-Y or go to Birkishop.com
[23:54.640 --> 24:04.640]  for everything Birky shop Birkishop.com
[24:24.640 --> 24:34.640]  I can see a day coming when even having your own home garden is going to be against the law
[24:34.640 --> 24:44.640]  by the way the Secretary of Defense was arriving in Afghanistan and a big car bomb went off
[24:44.640 --> 24:50.640]  who knows if that's them bombing themselves to try to you know make the war look legitimate and
[24:50.640 --> 24:58.640]  you had this military man reportedly go in and now kill 18 people at like 3 a.m. in Afghanistan
[24:58.640 --> 25:03.640]  inside their houses women and children and the media is like why would a soldier do that
[25:03.640 --> 25:11.640]  I don't know you serve five six tours one out of a hundred sometimes more are going to go crazy
[25:11.640 --> 25:18.640]  and they're going to go crazy on top the UT Tower they're going to go crazy in your house
[25:18.640 --> 25:23.640]  and when it happens they're going to demonize 99% of the veterans that aren't like that
[25:23.640 --> 25:28.640]  but the system knows that by overworking the troops putting them in immoral combat
[25:28.640 --> 25:36.640]  they know back to World War one they're going to get these type of mass murder events
[25:36.640 --> 25:40.640]  and then they're going to use it to take the rights of all veterans across the board
[25:40.640 --> 25:44.640]  and make you quote the number one enemy of Homeland Security the number one threat
[25:44.640 --> 25:53.640]  which of course you're not but in it is the kernel of truth that they will end up using
[25:53.640 --> 26:00.640]  but it is scary when some crazed veteran cop pulls you over and is in some type of murderous rage
[26:00.640 --> 26:07.640]  and I've seen the videos online of it for no reason and just starts beating people up or shoots them
[26:07.640 --> 26:13.640]  you know sometimes you turn somebody into a killing machine they don't know how to turn it off
[26:13.640 --> 26:16.640]  I mean I don't think of myself as the toughest baddest guy on the block
[26:16.640 --> 26:22.640]  but my problem is when people start fights with me my problem is I want to get in a fight
[26:22.640 --> 26:26.640]  and I'm older and realize that's weakness so I know I've learned how to control myself
[26:26.640 --> 26:31.640]  but I can't imagine if I'd been trained to be a soldier admitted in five six tours of combat
[26:31.640 --> 26:34.640]  and was just used to killing people all the time what that would be like
[26:34.640 --> 26:43.640]  shooting somebody's like punching somebody in the nose when you've done it that long from veterans I've talked to
[26:43.640 --> 26:47.640]  alright I've already digressed
