[00:00:04.588 --> 00:00:09.410]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.410 --> 00:00:10.991]  You want answers?
[00:00:10.991 --> 00:00:12.532]  Well, so does he.
[00:00:12.532 --> 00:00:16.734]  He's Alex Jones on the GCN Radio Network.
[00:00:16.734 --> 00:00:20.816]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.310 --> 00:00:28.872]  And happy Friday!
[00:00:28.872 --> 00:00:32.276]  Alex Jones Show, Katherine Albrecht filling in for Alex.
[00:00:32.276 --> 00:00:34.479]  I want to stay here with you guys.
[00:00:34.479 --> 00:00:40.747]  What a delight to be part of the Alex Jones Freedom Empire, making its way across the globe here.
[00:00:41.232 --> 00:00:50.654]  I've been hearing from people in New Zealand, I've been hearing from people across Europe, I've been hearing from people in South America, amazing how this freedom message, we here in the U.S.
[00:00:50.654 --> 00:01:05.997]  think that we're kind of the epicenter of freedom, and I think in a lot of ways we are, especially if you're in a place like North Korea, you're probably looking out at the shining beacon of the U.S., but people are waking up to this message all over the globe, in large measure because of programs like this one.
[00:01:06.477 --> 00:01:11.521]  In large measure because of the internet, which is enabling us to get this message out.
[00:01:11.521 --> 00:01:15.165]  And, you know, I really think we have a brief window of time to do it, too.
[00:01:15.165 --> 00:01:17.987]  Because you know that the globalists have their plan.
[00:01:17.987 --> 00:01:21.290]  The government would very much like to shut all of this down.
[00:01:21.610 --> 00:01:23.972]  You know, no more of that conversing.
[00:01:23.972 --> 00:01:33.117]  You know, I have this book on my floor-to-ceiling bookshelf of 20th century history, and it is all about the laws that were enacted in the Soviet Union.
[00:01:33.117 --> 00:01:34.338]  It's a really boring book.
[00:01:34.338 --> 00:01:42.964]  You know, it's just page after page of legal... It's translated in English, but it was a Russian law book or a Soviet law book in the Cold War.
[00:01:43.824 --> 00:01:58.045]  And in there, do you know that the Soviets actually required, back in the day when they had mimeograph machines and they were first coming out with photocopiers, that you had to get a permit in order to make copies of just a piece of paper?
[00:01:59.068 --> 00:02:04.513]  I'm looking at that going, okay, well, that's some serious top-down control there.
[00:02:04.513 --> 00:02:13.781]  Because they didn't want, in the same way that the British back in the days of the Founding Fathers of the U.S., they didn't want more than a couple of people gathering at a time.
[00:02:13.781 --> 00:02:16.543]  That's why that particular right is right there in the U.S.
[00:02:16.543 --> 00:02:18.284]  Constitution, in the Bill of Rights.
[00:02:18.284 --> 00:02:20.106]  They don't want people getting together.
[00:02:20.106 --> 00:02:22.148]  They don't want people disseminating information.
[00:02:23.028 --> 00:02:30.856]  Because if they can control all the information, and of course in the Soviet Union, they controlled the newspapers, they controlled the radio, they controlled the television, they were it!
[00:02:30.856 --> 00:02:33.578]  You had your state-controlled media and that was all there was.
[00:02:33.578 --> 00:02:37.142]  And they didn't want people even making mimeographed copies.
[00:02:37.142 --> 00:02:44.809]  Anybody old enough to remember in the 60s and 70s those drum roller machines with the purple ink that would be all fuzzy?
[00:02:44.809 --> 00:02:47.472]  Your teacher would give you a handout and it'd still be wet.
[00:02:48.032 --> 00:02:50.075]  It'd be like damp from the roller thing.
[00:02:50.075 --> 00:02:52.439]  And they had a particular smell about them.
