[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:32.000]  Ladies and gentlemen, it is Sunday, the 10th day of February 2013. I am your host, Alex Jones, and Lord Willing.
[00:32.000 --> 00:39.000]  We'll be here for the next two hours as we are every Sunday, four to six p.m. Central Standard Time.
[00:39.000 --> 00:50.000]  Okay, it is a big broadcast, obviously, as the world just gets crazier by the minute. In the second hour, I will open the phones up for the families of veterans who have committed suicide.
[00:50.000 --> 01:07.000]  It's 22 a day and growing. It's growing every month, unfortunately, and we're going to look at why this phenomenon is exploding to epic and pandemic proportions.
[01:07.000 --> 01:17.000]  Because the establishment wants to only focus on violence when they can get some power out of it and use the crisis to take basic liberties.
[01:17.000 --> 01:26.000]  They want it swept under the rug dealing with not just suicide of the troops, but what you guys print me, suicide now number one cause of unnatural death in the U.S.
[01:26.000 --> 01:37.000]  Print me that in the 22 a day dead. Thank you because I'll need that in the second hour. I forgot to have those exhibits for people, for the TV viewers and radio listeners.
[01:37.000 --> 01:43.000]  We are streaming video at infowarsnews.com and prisonplanet.tv.
[01:43.000 --> 01:49.000]  Okay, where to start today?
[01:49.000 --> 02:01.000]  Let me just go over the headlines. In fact, I intended to come today to talk about the police state drones, expanded war in the Middle East, Israel strike in Syria, maybe first in the series, Washington Post.
[02:01.000 --> 02:09.000]  But last night and this morning, I watched several times the video that Paul Watson's posting right now at infowars.com and prisonplanet.com.
[02:09.000 --> 02:19.000]  World Banker makes stunning confession. And it's James Wolftensen, but it has a couple clips off financial channels, TV as well.
[02:19.000 --> 02:27.000]  Something he said two years ago that we covered at the time, but I was reminded of it where they talked about how most of the West is going to be poor in the next decade.
[02:27.000 --> 02:30.000]  Now the middle class is going to disappear.
[02:30.000 --> 02:47.000]  And he was telling top PhD students this here in the United States. What was it? Stanford Research Institute, which is about as high level as it gets in actual technocratic training.
[02:47.000 --> 02:52.000]  And I just wanted to point out that this is all an engineered program on record.
[02:52.000 --> 03:01.000]  And I'm going to write an article tomorrow. I'll have to write it tonight with Paul Watson and then he'll finish it up in the morning that's going to be published at infowars.com.
[03:01.000 --> 03:11.000]  If not tomorrow, Tuesday, but if I procrastinate, it will never get done. Just showing where the globalists admit this is by design because this doesn't have to happen.
[03:11.000 --> 03:22.000]  And I saw that video and it reminded me, I did some more research last night and sure enough, I go to drudgereport.com probably 15 times a day.
[03:22.000 --> 03:30.000]  Like I do infowars.com and realize about the two sites now it's, I got a wired some two and a couple other CNET.
[03:30.000 --> 03:52.000]  But and I saw these headlines out of Bloomberg, China eclipses US is biggest trading nation measured in goods. And then I saw this other one Fed holdings of US government debt hit 1.696.691 trillion up 257% under Obama.
[03:52.000 --> 04:04.000]  And I thought I would break this down today. I was already planning it and I'm glad that drudge is concerned about it because this is not a big enough issue out there.
[04:04.000 --> 04:16.000]  I mean, it's not even on the radar screen for more stuff for most people. How did we even allow the communist dictatorial Chinese to own our debt and what is this part of in the future?
[04:16.000 --> 04:33.000]  And again, it's really not our debt. Most of it is derivatives we've signed on to. So I'm going to be breaking down this fact again and more detail today because being aware of this is what is going to allow ourselves to extricate ourselves from this engineered system.
[04:33.000 --> 04:49.000]  The globalists have decided to transfer everything to India and China and the third world. They've and it's not going to benefit their people either. They've decided to impoverish us as a tool of political control. All this and a lot more a new cybersecurity power grab as well.
[04:49.000 --> 04:59.000]  It's all coming up. I'm Alex Jones transmitting worldwide. You are listening to the voice of the resistance.
[04:59.000 --> 05:11.000]  It's no secret that pathogens such as bacteria, viruses, moles and fungus can inflict severe damage in the human body. Fortunately, a new and vastly improved silver solution has been developed.
[05:11.000 --> 05:31.000]  Supernatural silver is a revolutionary broad spectrum, antibacterial, antiviral, antifungal solution that can be used inside the body as well as on the skin. Supernatural silver is unique and superior to colloidal and ionic silvers using a patented technology that is highly effective against colds,
[05:31.000 --> 05:44.000]  blues, infections, food poisoning and yeast in addition to many other pathogens. Supernatural silver is scientifically supported, extremely safe and is the number one choice of thousands of people for immune system support.
[05:44.000 --> 06:02.000]  Find out how supernatural silver could change your life. Go to supernaturalsilver.com and use the promo code healthy for 20% off. That's supernaturalsilver.com and like us on Facebook.
[06:02.000 --> 06:20.000]  I have sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man. Thomas Jefferson. It's Alex Jones on the GCN Radio Network.
[06:20.000 --> 06:42.000]  I'd love to open the broadcast, especially on the Sunday transmission with the words of Thomas Jefferson. It's like dumping an ocean of holy water on Count Dracula. It is to the order of 10, the equivalent of drawing your fingernails across a chalkboard for authoritarian control freak,
[06:42.000 --> 07:00.000]  sycophants worldwide. Ladies and gentlemen, I want to thank you all for joining us on this Sunday, February 10, 2013 global transmission. We have a very important broadcast lined up for you yet again today.
[07:00.000 --> 07:15.000]  For all of our AM and FM affiliates across the United States and people listening to the internet streams at infowars.com and prisonplanet.com as well as viewers at infowarsnews.com. Thank you so much for tuning in today.
[07:15.000 --> 07:35.000]  All right, let me just do this. Let me just try to just go over some headlines for you and then dive in to the top stories that are military, economic and authoritarian in nature, dealing with domestic drones, Pentagon drones being used now in the manhunt for the reported rampaging
[07:35.000 --> 07:48.000]  former cop who's shooting people. And then the police are keep shooting vehicles that aren't even the same color or make a model. They've now attacked and shot up. They're seeing a second. But from my reading, it's the third vehicle that looks nothing like it.
[07:48.000 --> 08:03.000]  I mean, you could be driving a, you could be driving a unicycle and they'd go crazy. What is behind this hysteria? The wicked flea when none pursue. I think it's a Bible verse. I'm not saying the LAPD are all wicked, but this, this is a hysterical activity.
[08:03.000 --> 08:20.000]  Coming up, huge asteroid will miss by 15 minutes. That's what NASA says using a timing of the fact that it was at its speed of 17,000 miles an hour. That's about 15 minutes away from the earth or inside the main belt of satellites.
[08:20.000 --> 08:35.000]  But the asteroid is also 17,000 miles away when it passes, not just moving that fast. So NASA says everything's going to be absolutely a okay. And I tend to believe them because if a real asteroid was going to be hitting us, they wouldn't be telling us about it.
