[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[00:17.440 --> 00:24.760]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting
[00:24.760 --> 00:30.760]  worldwide, you're listening to the voice of human resistance against the technotronic
[00:30.760 --> 00:33.760]  technocracy tank-over.
[00:33.760 --> 00:39.760]  You're listening to Alex Jones.
[00:39.760 --> 00:43.760]  Ladies and gentlemen, you cannot make this up.
[00:43.760 --> 00:47.760]  The globalist must destroy the Renaissance and Western civilization.
[00:47.760 --> 00:52.760]  It was all about overthrowing feudalism, because globalism is modern feudalism.
[00:52.760 --> 00:58.760]  That's what technocracy is, so all language, all symbols must be changed to be race-based
[00:58.760 --> 01:01.760]  so that everyone can be manipulated against each other.
[01:01.760 --> 01:06.760]  It's like a mentally ill person seeing monsters in the clouds and the sky.
[01:06.760 --> 01:10.760]  The Atlantic has come out and said that the eclipse is racist.
[01:10.760 --> 01:15.760]  Yes, ladies and gentlemen, we haven't seen one like it since 1776.
[01:15.760 --> 01:18.760]  Is it an omen of the rebirth of the Republic?
[01:18.760 --> 01:23.760]  Here are some unbound reports.
[01:48.760 --> 01:53.760]  It's a golden-dale observatory, and it's showing the eclipse of the sun over Portland, Oregon.
[01:53.760 --> 01:58.760]  It is approximately 75% or so of totality.
[01:58.760 --> 02:21.760]  In 13 minutes, it will be total over Portland, and we'll show you a fantastic sight then.
[02:21.760 --> 02:30.760]  Here's a picture of the solar eclipse.
[02:30.760 --> 02:32.760]  Founding fathers Samuel Adams said,
[02:32.760 --> 02:58.760]  Numerous have been the manifestations of God's providence in sustaining us.
[02:58.760 --> 03:06.760]  Retired NASA astrophysicist and photographer Fred Espinak, a.k.a. Mr. Eclipse, told ABC,
[03:06.760 --> 03:14.760]  the total solar eclipse on August 21 is particularly rare because it's the first time the path of totality
[03:14.760 --> 03:21.760]  exclusively crosses the continental United States from coast to coast since June 8, 1918.
[03:21.760 --> 03:34.760]  It's also the first continent-wide eclipse to be visible only from the United States since 1776.
[03:34.760 --> 03:38.760]  That's the really unique thing Espinak told ABC News.
[03:38.760 --> 03:41.760]  It's not a particularly long total eclipse.
[03:41.760 --> 03:47.760]  It's not an especially wide path of totality, but it crosses the U.S. and no other country.
[03:47.760 --> 03:54.760]  The greatest eclipse is a point along the eclipse path that's determined by the axis of the moon's shadow.
[03:54.760 --> 04:03.760]  The axis of that shadow, if you could imagine that axis piercing the Earth as the moon sweeps across the planet,
[04:03.760 --> 04:08.760]  is the instant when that axis passes closest to the very center of the Earth.
[04:08.760 --> 04:17.760]  In terms of looking at the alignment of the Earth, moon, and sun, it's when that alignment becomes as close as it's going to get during that particular eclipse.
[04:17.760 --> 04:24.760]  And as this epochal event, which has not been experienced since the year of the United States' birth in 1776,
[04:24.760 --> 04:32.760]  returns in its continental entirety singling out the United States, it allows Americans to reflect on the stark contrast
[04:32.760 --> 04:39.760]  the bureaucratic federal government has become when compared to the days of the implementation of our founding principles.
[04:39.760 --> 04:44.760]  Liberals, isn't it obvious even the universe disagrees with you?
[04:44.760 --> 04:54.760]  Will you order a Mueller special prosecution against the sun and the moon as you pointlessly shake your fist at the sky with all the hubris you can muster?
[04:54.760 --> 05:03.760]  John Bowne, reporting for Infowars.com. Powerful.
[05:24.760 --> 05:35.760]  Please, we only have a limited supply of this. I want to get your reviews on what you have to say.
[05:35.760 --> 05:51.760]  MycoZX, Antifungal, Antifungus, Anties, get it today, limited around, we'll be months and we'll get more. Infowarsstore.com and ForwardsLive.com are AAA2533139. I cannot sell something unless it helps somebody.
[05:51.760 --> 06:00.760]  And you can't support an organization that didn't fight harder. Look at the response we're getting. We were changed the world together. You are the Infowar. God bless you all.
[06:00.760 --> 06:06.760]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back in stock at Infowarsstore.com.
[06:06.760 --> 06:13.760]  Research across the board is clear. When bacteria infect your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[06:13.760 --> 06:20.760]  That's why the last Surgeon General's report on oral health warns that your oral health can have a serious impact on your entire body.
[06:20.760 --> 06:34.760]  Super Blue fluoride-free toothpaste is a groundbreaking new formula. It's loaded with good halogen iodine, some of the bad halogen fluoride. Super Blue contains natural oils and ingredients used since Biblical times to help wipe out bad bacteria and eliminate bad breath.
[06:34.760 --> 06:42.760]  Just some of the ingredients in Super Blue, chosen by our dental experts include xylitol, peppermint oil, iodine, nano-silver and more.
[06:42.760 --> 06:51.760]  Due to requests from listeners who found that spearmint was a little bit too strong for some of their children, we have created the new Bubble Gum flavored Super Blue that is spearmint-free.
[06:51.760 --> 07:00.760]  Learn more about the new Bubble Gum flavored Super Blue toothpaste and more at Infowarslife.com and support the Infowar while you support healthy gums and teeth.
[07:00.760 --> 07:13.760]  Protect Your Skin with SPF 30 Sunscreen Lotion by EmRick's Essentials. Perfect for face and body, this natural, unscented sunscreen can be worn at all times of the day whenever you need sun protection.
[07:13.760 --> 07:27.760]  We source ingredients from nature, producing a product free of harmful chemicals and toxins. This natural lotion contains 21% zinc oxide, which is the largest particle size used and we do not use nanoparticles.
[07:27.760 --> 07:35.760]  The larger the particle, the safer it is for your body. The organic oils help hydrate the skin, leaving it nice and smooth.
[07:35.760 --> 07:45.760]  The truly natural fragrance-free sunscreen for the most sensitive skin. EmRick's Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[07:45.760 --> 08:00.760]  Naturally protect your skin with SPF 30 Sunscreen Lotion by EmRick's Essentials. Stop exposing yourself and your family to toxic ingredients. Visit Infowarsstore.com and learn more about the new SPF 30 Sunscreen Lotion.
[08:15.760 --> 08:20.760]  Welcome to the front lines of the Infowars.
[08:46.760 --> 08:57.760]  It's hard to believe that there has not been a total eclipse of the sun by the moon that sweeps across the United States across North America since 1776.
[08:57.760 --> 09:14.760]  It was seen by the founders as Providence and as a sign, but undoubtedly, ladies and gentlemen, the social engineers that wish to steal the secret of the Renaissance transmute through their satanic alchemy
[09:14.760 --> 09:21.760]  everything into a race-based, mindless, idiotic system.
[09:21.760 --> 09:29.760]  The story is from the Daily Caller. It is reporting on the Atlantic Monthly, one of the top globalist anti-human publications.
[09:29.760 --> 09:33.760]  The folks are trying to organize a violent coup of the president.
[09:33.760 --> 09:45.760]  The eclipse is racist because it fails to affect enough black people the Atlantic suggests, as if the elites and the billionaires care about anybody but themselves.
[09:45.760 --> 09:53.760]  But then everything is this virtue signal as they hobble the minds of the public.
[09:53.760 --> 10:04.760]  Last night, Owen Schreuer had seen on the news that they had just announced they were going to take down Confederate statues at the University of Texas overnight.
[10:04.760 --> 10:13.760]  And so he went down there and there are two lengthy videos on Infowars.com that are expletive laden.
[10:13.760 --> 10:22.760]  And if you were white down there and you're trying to cover it, people march over and say, why are you here?
[10:22.760 --> 10:31.760]  And Owen says, well, I'm a journalist. This is very interesting that in the dead of night they're removing these and then the people start screaming.
[10:31.760 --> 10:39.760]  We hate America and start chanting death to America and screaming and howling and freaking out.
[10:39.760 --> 10:45.760]  And you hear the hysterical voices on these tapes we're going to be playing.
[10:45.760 --> 10:53.760]  Owen's going to be in studio at the bottom of the hour and it is just mental illness.
[10:53.760 --> 10:58.760]  My ancestors were persecuted by these people.
[10:58.760 --> 11:06.760]  I mean, I could dig back and find anything you can want has gone on to my ancestors and I like feel some psychic wound and I'm a loser and then you're guilty.
[11:06.760 --> 11:12.760]  This is total scientific hobbling.
[11:12.760 --> 11:22.760]  This is people having their Achilles tendons culturally sliced so that you're just a walking basket case.
[11:22.760 --> 11:29.760]  Look at what Charles Barkley said. He said, I don't even know who these people are on these statues and never even hardly seen one or been affected by it.
[11:29.760 --> 11:41.760]  Quit letting people manipulate you into stirring up a fight. That's all this is is a bunch of craziness.
[11:41.760 --> 11:45.760]  And then people pulling them down think they're like defeating somebody.
[11:45.760 --> 11:52.760]  This is all part of the power structure wanting to set the precedent to be able to remove whatever they want, whenever they want.
[11:52.760 --> 11:59.760]  And of course now they're going after Thomas Jefferson and George Washington.
[11:59.760 --> 12:03.760]  Does it matter they were born into a system that was going on all over the world?
[12:03.760 --> 12:12.760]  Doesn't matter that England and then Europe and then the United States led the world in ending slavery. You go to the college or you watch TV.
[12:12.760 --> 12:28.760]  You'd never know that even though it's a scientific fact that the UK back in England, the British Empire went to war with more than 50 countries to end the slave trade.
[12:28.760 --> 12:35.760]  We had a war in 1812 with them over it.
[12:35.760 --> 12:40.760]  But do you think over in England that they teach them over there that they invented slavery?
[12:40.760 --> 12:45.760]  Hell, the Britons used to be slaves under the Romans.
[12:45.760 --> 12:51.760]  Total upside down crazy town world.
[12:51.760 --> 13:01.760]  And you've got a bunch of people going to college being given worthless degrees for worthless futures and they psychologically poison them.
[13:01.760 --> 13:09.760]  And they psychologically brainwash them where you're not getting a real degree for a real future because the future doesn't need you.
[13:09.760 --> 13:12.760]  The robots are taken over. That's all admitted.
[13:12.760 --> 13:23.760]  But first we've got a disease your mind with a chip on your shoulder where all you see is racial stuff where all over the United States they've banned the term lynch off of halls, libraries, you name it.
[13:23.760 --> 13:32.760]  And then they're even talking about not letting folks be on the faculty name lynch because it's an Irish name.
[13:32.760 --> 13:42.760]  And there was the lynch trials 200 plus years ago where a father and son hung the other son because they thought he committed a crime.
[13:42.760 --> 13:47.760]  And there was a famous trial called the lynch trial.
[13:47.760 --> 13:52.760]  I mean, if somebody's at the last name Simpson, that's associated with OJ trial, you banned the name Simpson.
[13:52.760 --> 13:56.760]  This is banning words catering to the mental illness.
[13:56.760 --> 14:03.760]  Oh, we got Play-Doh for you to come play with. If you're upset, you hear about the Constitution.
[14:03.760 --> 14:11.760]  We've got videos at colleges where folks see a Constitution and they get so triggered they go in and cry and they say, come in here, we have Play-Doh for you.
[14:11.760 --> 14:22.760]  We have collars, we have crayons and you sit there at a little table that's a foot high with your legs crossed like a baby and they go, aren't you a good mental patient?
[14:22.760 --> 14:28.760]  So Atlantic Monthly and others are saying it's racist. The eclipse is racist.
[14:28.760 --> 14:33.760]  Just everything has to be hijacked with garbage.
[14:33.760 --> 14:42.760]  American blackout, a tour of the solar eclipse path reveals a nation that fought to maintain a different sort of totality.
[14:42.760 --> 14:43.760]  What?
[14:43.760 --> 14:57.760]  Meanwhile, because they're teaching people that see the imaginary racism everywhere, then have chips on your shoulders, then wonder why folks are scared of you or don't want to work with you, and then it becomes a self-fulfilling prophecy.
[14:57.760 --> 15:02.760]  It's like a schizophrenic seeing the clouds and thinking their monster is coming to get them.
[15:02.760 --> 15:13.760]  One time I had a homeless person stumble up to me on the street and say, look, look, it's falling me and it was the sun and there's more of them. It was pointing at clouds.
[15:13.760 --> 15:19.760]  This person was a full-on schizophrenic out of their bonkers mind. Same deal.
[15:19.760 --> 15:24.760]  But they're imposing it. Colorado man stabbed because of his neo-Nazi haircut.
[15:24.760 --> 15:30.760]  Look, even Yahoo legitimizes it well like maybe he deserves it.
[15:30.760 --> 15:35.760]  New York Post got it right. Man stabbed at her haircut gets him mistaken for a neo-Nazi.
[15:35.760 --> 15:39.760]  He pulls up at a fast food place to go in and get a shake.
[15:39.760 --> 15:42.760]  Shake and steak in Denver, Colorado.
[15:42.760 --> 15:54.760]  And a guy runs up screaming, you're one of them Nazis and tries to stab him in the neck, but he blocks it and almost chops his fingers off.
[15:54.760 --> 16:05.760]  And then I saw people on Twitter going, yeah, kill him. He deserves it. Doesn't matter that most of the basketball players you see who happen to be black have the same haircut or David Beckham or anybody else.
[16:05.760 --> 16:13.760]  It doesn't matter. You need to find that racism in the eclipse, in a guy's short haircut, in whatever it is.
[16:13.760 --> 16:16.760]  You've got to find it. It's got to be there.
[16:16.760 --> 16:30.760]  So that's why I've issued a travel advisory for the United States for white folks going to places like Denver, Detroit, places like Chicago, places like Seattle.
[16:30.760 --> 16:35.760]  Because I've been to these towns and I've experienced it and I've got some of the statistics here.
[16:35.760 --> 16:46.760]  Black Lives Matter supporters have to grapple with this chart and it shows that I kept saying 10 times more likely for whites to be attacked by blacks.
[16:46.760 --> 16:51.760]  That's a water number. It's 25 times more likely for the Bureau of Statistics at the FBI.
[16:51.760 --> 16:58.760]  25 times more likely if you're white to be attacked by a black person than vice versa.
[16:58.760 --> 17:06.760]  You can just type into Google before they change this, I'm sure. Black on white crime.
[17:06.760 --> 17:14.760]  And we'll put up some of those graphics. 25 to 1 physical attack homicides.
[17:14.760 --> 17:18.760]  Blacks killed by whites, 2%. Blacks killed by police, 1%.
[17:18.760 --> 17:22.760]  Whites killed by police, 3%. Whites killed by whites, 16%.
[17:22.760 --> 17:29.760]  Whites killed by blacks, 81%. Of whites killed is by blacks.
[17:29.760 --> 17:35.760]  Blacks killed by blacks, 97%.
[17:35.760 --> 17:39.760]  Those statistics are from 2015, they're always two years behind.
[17:39.760 --> 17:41.760]  And this was not happening 50 years ago.
[17:41.760 --> 17:50.760]  In fact, illegitimacy in the black community in most areas was lower than the white areas because they were predominantly very serious Christians.
[17:50.760 --> 17:55.760]  But they brought the social engineers in, in the 50s and 60s, the Democratic Party did.
