[00:00:05.854 --> 00:00:06.654]  Sign up.
[00:00:06.654 --> 00:00:08.055]  The address is simple.
[00:00:08.055 --> 00:00:10.456]  AmericanFreePress.net.
[00:00:10.456 --> 00:00:12.156]  It's just like it sounds.
[00:00:12.156 --> 00:00:15.598]  AmericanFreePress, all one word, dot net.
[00:00:15.598 --> 00:00:18.939]  Once again, that's AmericanFreePress.net.
[00:00:18.939 --> 00:00:24.201]  American Free Press, the voice of the Second American Revolution.
[00:00:24.201 --> 00:00:26.762]  About 70 local employers.
[00:00:26.762 --> 00:00:31.524]  You're listening to GCN, the world leader in independent talk radio.
[00:00:31.524 --> 00:00:32.244]  Radio 590 KLB.
[00:00:37.046 --> 00:00:39.688]  IRN USA Radio News, I'm Jason Walker.
[00:00:39.688 --> 00:00:49.595]  A new poll finds Americans support fundamental changes in a health care system and the creation of a government-run insurance plan to compete with private insurers.
[00:00:49.595 --> 00:00:56.840]  Respondents believe Uncle Sam could do a better job of holding down health care costs than a private sector driven by profit incentives.
[00:00:56.840 --> 00:01:01.964]  In the meantime, health care the focus Saturday in the Republicans' weekly radio address.
[00:01:01.964 --> 00:01:03.465]  Americans want health care reform.
[00:01:04.125 --> 00:01:11.009]  But they want the right health care reform, and that means taking the time and the care necessary to get it right.
[00:01:11.009 --> 00:01:14.912]  Against Republican advice, they rush the stimulus.
[00:01:14.912 --> 00:01:20.195]  We shouldn't rush again on something as important and costly as health care.
[00:01:20.195 --> 00:01:22.737]  Kentucky GOP Senator Mitch McConnell.
[00:01:22.737 --> 00:01:26.939]  Apple's CEO Steve Jobs reportedly receiving a liver transplant.
[00:01:26.939 --> 00:01:29.921]  Two months ago, he is reportedly doing very well.
[00:01:29.921 --> 00:01:32.203]  This is IRN USA Radio News.
[00:01:33.956 --> 00:01:36.998]  You've heard about the amazing health benefits of Beta Prostate.
[00:01:36.998 --> 00:01:40.200]  Now you can have a 30-day supply sent to your home for free.
[00:01:40.200 --> 00:01:47.745]  For a limited time only, New Vitality has set aside 500 bottles of the popular supplement Beta Prostate just for new customers.
[00:01:47.745 --> 00:01:52.508]  An unhealthy prostate can affect the quality of your life, your bathroom trips, your sleeping habits,
[00:01:52.848 --> 00:01:54.530]  Even your emotional well-being.
[00:01:54.530 --> 00:02:01.176]  Beta Prostate gives your body nutrition that targets the prostate, supporting healthy urine flow and healthy sleeping habits.
[00:02:01.176 --> 00:02:09.765]  So if you've been hearing about Beta Prostate and you still haven't given it a try, call now because the next 500 new customers will get a bottle free.
[00:02:09.765 --> 00:02:11.306]  All you pay is shipping and handling.
[00:02:11.306 --> 00:02:14.069]  That's how confident we are that you'll love Beta Prostate.
[00:02:14.269 --> 00:02:14.729]  Call 1-888-233-0820.
[00:02:14.729 --> 00:02:20.292]  That's 1-888-233-0820.
[00:02:20.292 --> 00:02:22.693]  Free offers like this don't come along every day.
[00:02:22.693 --> 00:02:26.755]  So call now for your free 30-day supply of Beta Prostate.
[00:02:26.755 --> 00:02:27.215]  Call 1-888-233-0820.
[00:02:27.215 --> 00:02:27.575]  That's 1-888-233-0820.
[00:02:34.045 --> 00:02:41.392]  The Justice Department announcing charges against Texas billionaire Alan Stanford and four others in a $7 billion scheme.
[00:02:41.392 --> 00:02:49.078]  Federal grand jury in Texas indicting the group on 21 charges of fraud and obstruction stemming from a bank in Antigua.
[00:02:49.078 --> 00:02:55.184]  Assistant Attorney General Lanny Brewer details some of the fraud Stanford and his group allegedly perpetrated.
[00:02:55.384 --> 00:03:12.183]  Stanford and his co-defendants allegedly misused and misappropriated most of those investment assets, including diverting at least $1.6 billion into undisclosed personal loans to Stanford himself.
