[00:00.000 --> 00:05.000]  You're listening to GCN, the world leader in independent talk radio.
[00:12.000 --> 00:16.000]  Big brother. Mainstream media. Government cover-ups.
[00:17.000 --> 00:19.000]  You want answers? Well, so does he.
[00:20.000 --> 00:23.000]  He's Alex Jones on the GCN Radio Network.
[00:23.000 --> 00:29.000]  And now, live from Austin, Texas, Alex Jones.
[00:39.000 --> 00:41.000]  Strap yourselves in, my friends.
[00:42.000 --> 00:47.000]  It is already Wednesday, the 15th day of May, 2013.
[00:48.000 --> 00:50.000]  Hard to believe we're almost halfway into 2013.
[00:50.000 --> 00:52.000]  Halfway into the rest of our lives.
[00:53.000 --> 00:55.000]  It is an adventure, and there is no turning back.
[00:56.000 --> 01:03.000]  So embrace it, live it with gusto, and leave your mark for liberty and freedom and constructive development for human society.
[01:04.000 --> 01:13.000]  That's what marks a human being from a globalist animal who is out of control, operating as a cancer on the face of this globe.
[01:13.000 --> 01:35.000]  Well, it's information overload as the quickening accelerates, as more and more happens across the world, and as the absurdist whitewashing of the corporatist press and of the White House intensifies, trying to make excuses for the manifest lying that's going on.
[01:35.000 --> 01:42.000]  And there's a Hill article, you know, talking about the fact of why is the press all starting to turn against Obama?
[01:43.000 --> 01:49.000]  It's because they realize that they have no relevance if they don't.
[01:50.000 --> 02:02.000]  They already realize they've lost relevance, and the article goes into how Drudge is able to focus on the White House corruption, and so the media then follows that.
[02:02.000 --> 02:13.000]  What Drudge is able to do, what Infowars is able to do, what any other real media is able to do, is show you what they said a month ago versus what they're saying now.
[02:14.000 --> 02:20.000]  And then we'll show you what they say tomorrow in context right next to each other.
[02:21.000 --> 02:27.000]  The headline is, Obama needs a Drudge.
[02:27.000 --> 02:41.000]  But Obama doesn't want a Drudge because Drudge is showing how Obama changes his story and gets caught lying every day.
[02:42.000 --> 02:55.000]  It's like a time capsule or something, and all they do at Drudge and all we do at Infowars and all you do out there in your own life is have a memory and go, wait a minute.
[02:55.000 --> 03:04.000]  They admitted they were going after libertarian and conservative tax-free groups three years ago.
[03:05.000 --> 03:21.000]  They've had MSNBC call for a purge, but now America, because of all the other Benghazi gates and everything else, and breaking into the media and spying on the media and persecuting whistle-blowers,
[03:21.000 --> 03:27.000]  now the public is ready to see it in the light for which it really is out of control.
[03:28.000 --> 03:30.000]  Extremely dangerous, authoritarian.
[03:31.000 --> 03:41.000]  So that is just some of the news that we are going to be covering and going over today.
[03:41.000 --> 03:54.000]  And Infowars.com has been having intermittent issues. A few weeks ago we were being hacked or attacked different ways, and right now we can punch it up on screen.
[03:55.000 --> 03:58.000]  We need to let IT know. They probably never will. I'm being sarcastic.
[03:59.000 --> 04:07.000]  Service unavailable. This server temporarily unable to service your request due to maintenance downtime or capacity problems. Please try again later.
