[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:19.000 --> 00:24.000]  It is Sunday, the 14th day of November 2010.
[00:24.000 --> 00:27.000]  We're going to be here live for the next two hours.
[00:27.000 --> 00:32.000]  I say this more and more, almost every broadcast now, or at least once a week,
[00:32.000 --> 00:36.000]  but everything's accelerating, intensifying, there's a quickening happening.
[00:36.000 --> 00:48.000]  The news today all put together is the craziest, most over-the-top information that we have ever covered.
[00:48.000 --> 00:52.000]  And we're going to be going over all of it today.
[00:52.000 --> 00:58.000]  You know earlier in the week, Glenn Beck came out and said the government may stage an Oklahoma City to blame it on the patriot movement.
[00:58.000 --> 01:04.000]  Of course, he said himself, but in their demonization reports from George Soros' outfits like Media Matters,
[01:04.000 --> 01:06.000]  they're saying Glenn Beck and Alex Jones.
[01:06.000 --> 01:14.000]  He's about 70% of the demonization and about 30%, but I'm lumped in there as one of the smaller demon heads of the Hydra.
[01:14.000 --> 01:20.000]  And so, yes, Glenn, I've been breaking this down for years that they've been setting yours truly up in the patriot movement.
[01:20.000 --> 01:26.000]  You're now considered to be in that by George Soros, the puppet master of the progressives, as you call him,
[01:26.000 --> 01:29.000]  not the highest level puppet master, but certainly a puppet master.
[01:29.000 --> 01:31.000]  And so, welcome to the club.
[01:31.000 --> 01:37.000]  As Wayne Madsen said on the show Friday, oh, come on in the water's warm, it's just the truth.
[01:37.000 --> 01:41.000]  On the heels of that, Geraldo Rivera.
[01:41.000 --> 01:44.000]  You know, he's on Saturday and Sunday nights on Fox.
[01:44.000 --> 01:47.000]  Well, Geraldo at large.
[01:47.000 --> 01:54.000]  He had Bob McElvane and folks from Architects and Engineers for 9-11 Truth that we've had on many times.
[01:54.000 --> 01:56.000]  In fact, you as listeners donated.
[01:56.000 --> 01:58.000]  We had building what?
[01:58.000 --> 02:04.000]  Fund raising effort to put on the TV ads, building what?
[02:04.000 --> 02:08.000]  To talk about building seven that most Americans don't know blew up that day.
[02:08.000 --> 02:16.000]  Geraldo Rivera had him on and changed his mind on Architects and Engineers for 9-11 Truth and building seven.
[02:16.000 --> 02:19.000]  This is a major change.
[02:19.000 --> 02:21.000]  They are starting to capitulate.
[02:21.000 --> 02:26.000]  Glenn Beck's talking about the government blowing up federal buildings and blaming it on Patriots.
[02:26.000 --> 02:28.000]  And that's what they're looking at doing right now.
[02:28.000 --> 02:29.000]  And he's right.
[02:29.000 --> 02:32.000]  I'm not saying I trust Geraldo Rivera or Beck.
[02:32.000 --> 02:34.000]  The point is, you've got to point out this is happening.
[02:34.000 --> 02:42.000]  This is big because this signifies major fissures in the power structure.
[02:42.000 --> 02:52.000]  So we're going to be getting into Glenn Beck and going over what that means that he's come out and talked about government-sponsored terrorism.
[02:52.000 --> 02:57.000]  And it's been so taboo in mainstream media and of all places it's Fox now doing it.
[02:57.000 --> 03:09.000]  And then we're going to get into Geraldo Rivera talking about building seven inside job with guest who, by the way, we already have coming on tomorrow, strangely enough, who Geraldo had on Saturday.
[03:09.000 --> 03:15.000]  We've got the international studies group on 9-11 that soon got all this new video.
[03:15.000 --> 03:26.000]  And that's what's really forcing Geraldo and others to say, I guess there is some evidence of inside job because it's the videos of them blowing the buildings up and the countdown and the firemen and police talking about it as it's happening.
[03:26.000 --> 03:31.000]  I mean, NIST tried to suppress this for nine years.
[03:31.000 --> 03:32.000]  And now we know why.
[03:32.000 --> 03:35.000]  It's not like they suppressed it and we got the video and it was nothing.
[03:35.000 --> 03:36.000]  They suppressed it.
[03:36.000 --> 03:37.000]  We got it and it's bombshell.
[03:37.000 --> 03:38.000]  It's off the charts.
[03:38.000 --> 03:41.000]  So that's coming up.
[03:41.000 --> 03:43.000]  And I'm going to recap this when we come back from break.
[03:43.000 --> 03:46.000]  Some stations don't carry the first five minutes.
[03:46.000 --> 03:50.000]  But first I'm getting into Jesse Ventura's conspiracy theory.
[03:50.000 --> 03:58.000]  You know, I think they've had some great episodes and some episodes that are informative, but not as good as they could be.
[03:58.000 --> 04:01.000]  And I consulted heavily.
[04:01.000 --> 04:06.000]  In fact, the episode that aired Friday night, that's my blueprint.
[04:06.000 --> 04:08.000]  I laid it all out for them.
[04:08.000 --> 04:10.000]  They went and checked it, found out it was true.
[04:10.000 --> 04:28.000]  And it covers the whole waterfront, the whole spectrum of concentration camps in America and the larger governors, regional control, the governor's council that's been set up by FEMA through the 10 FEMA regions.
