[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[00:00:12.199 --> 00:00:16.640]  You are listening to an InfoWars.com frontline report.
[00:00:16.640 --> 00:00:18.180]  It's Alex Jones.
[00:00:18.180 --> 00:00:28.844]  All right, we are live on this October 14th Friday broadcast and we have got an incredible broadcast lined up for you today.
[00:00:28.844 --> 00:00:33.705]  The inventor of podcasting, one of the smartest people out there, about the whole New World Order, Adam Curry,
[00:00:35.117 --> 00:00:39.079]  We'll be joining us, David Icke's joining us, and so much more.
[00:00:39.079 --> 00:00:40.920]  But wow!
[00:00:40.920 --> 00:00:46.323]  Man, the nuclear war clock just went seconds closer to midnight.
[00:00:46.323 --> 00:00:53.167]  You've got leftist eco-terrorists attacking one of the most famous paintings in the world, sunflowers.
[00:00:53.167 --> 00:01:00.271]  We've got that insanity just showing how they're totally trying to pull down civilization and society like demonic zombies.
[00:01:01.570 --> 00:01:10.433]  We have got massive news dealing with it coming out that Pfizer didn't just know the shot didn't work, but they knew it hurt people.
[00:01:10.433 --> 00:01:13.454]  That's coming out.
[00:01:13.454 --> 00:01:15.975]  It's insane.
[00:01:15.975 --> 00:01:20.336]  Absolutely insane what is going on.
[00:01:20.336 --> 00:01:23.957]  And then, yeah, January 6, we know, was a provocateur operation.
[00:01:23.957 --> 00:01:28.558]  We all know Roger Stone and Steve Bannon and everybody are innocent of trying to have an overthrow.
[00:01:28.558 --> 00:01:29.819]  You don't attack the Capitol to do that.
[00:01:30.987 --> 00:01:35.988]  But they're now going into overdrive, literally trying to outlaw their political opposition.
[00:01:35.988 --> 00:01:37.269]  25 days out for the midterms.
[00:01:37.269 --> 00:01:41.070]  Roger pops in at the bottom of the hour.
[00:01:41.070 --> 00:01:46.651]  All the broadcasts were important, but this one I'm particularly proud of that we have got lined up for you today.
[00:01:46.651 --> 00:01:55.673]  And then separately, I can't announce it yet, but man, behind the scenes, what they're doing to me, what they're trying to do to you, it's next level because they're desperate.
[00:01:55.673 --> 00:01:57.574]  They know the world's turning against them.
[00:01:57.574 --> 00:01:58.574]  The world's waking up.
[00:01:59.881 --> 00:02:01.521]  It is just insane what's going down.
[00:02:01.521 --> 00:02:05.762]  It is totally insane what is unfolding.
[00:02:05.762 --> 00:02:10.863]  And the good news is we have God on our side and we're going to make it through this together.
[00:02:10.863 --> 00:02:15.064]  But I just cannot, I cannot thank you as the viewers and listeners enough.
[00:02:15.064 --> 00:02:21.405]  I mean, there's nothing I want more in the world than to defeat tyranny.
[00:02:21.405 --> 00:02:24.045]  It's like a sheepdog wants to attack wolves.
[00:02:24.045 --> 00:02:25.866]  It's not like even a desire.
[00:02:25.866 --> 00:02:27.446]  It's not even a drive.
[00:02:27.446 --> 00:02:28.206]  It is an order.
[00:02:29.335 --> 00:02:32.179]  And it's only you that keeps me in the fight.
[00:02:32.179 --> 00:02:35.523]  So I don't worship you, but almost do.
[00:02:35.523 --> 00:02:37.726]  I worship God.
[00:02:37.726 --> 00:02:41.411]  But that's why when you call in praising me, I'm just like, stop.
[00:02:41.411 --> 00:02:42.813]  Do you understand we're in this together?
[00:02:42.813 --> 00:02:44.696]  I love you.
[00:02:44.696 --> 00:02:45.196]  Thank you.
[00:02:45.196 --> 00:02:46.258]  Just help me fight, please.
[00:02:47.810 --> 00:02:47.950]  This
[00:03:06.843 --> 00:03:08.264]  I have no more fear.
[00:03:08.264 --> 00:03:20.570]  I never had a lot of fear but I would get trepidation and get upset and be frustrated and be angry and now I just have peace because I know there's a real God that made us and I know there's a real devil who will be defeated and I know we're gonna make it through this.
[00:03:22.401 --> 00:03:23.202]  Together.
