[00:00:00.470 --> 00:00:02.451]  We've got to stay on the street.
[00:00:02.451 --> 00:00:04.612]  And we've got to get more active.
[00:00:04.612 --> 00:00:07.353]  We've got to get more confrontational.
[00:00:07.353 --> 00:00:23.839]  We've got to make sure that they know that we mean business.
[00:00:23.839 --> 00:00:24.919]  InfoWars.
[00:00:24.919 --> 00:00:26.120]  Tomorrow's news.
[00:00:26.120 --> 00:00:26.480]  Today.
[00:00:28.223 --> 00:00:39.775]  It's Sunday, April 18th, the year is 2021, and Maxine Waters, along with major CNN hosts and others, are calling for violence and calling for dead white people.
[00:00:39.775 --> 00:00:48.364]  That's right, Cuomo said we need dead young white people before we hear about the pandemic of police shooting black people, which doesn't exist.
[00:00:48.364 --> 00:00:49.646]  This is the mainstream media
[00:00:50.834 --> 00:00:51.134]  I think?
[00:01:09.409 --> 00:01:15.256]  And then she's the same person that says everybody should be charged with terrorism that entered the Capitol, most of them peacefully.
[00:01:15.256 --> 00:01:16.497]  This is so hypocritical.
[00:01:16.497 --> 00:01:17.418]  It's total fraud.
[00:01:17.418 --> 00:01:20.181]  We decry all of this offense of violence.
[00:01:20.181 --> 00:01:25.087]  But we have multinational corporations that are dividing and conquering this country right now.
[00:01:25.965 --> 00:01:32.531]  And they want to distract us from destroying our borders, from destroying our dollar, from selling us out to China, from the slave camps that Apple runs in China.
[00:01:32.531 --> 00:01:39.636]  And that's why all the big corporations have given $10.6 million the last year to Black Lives Matter to make that the huge issue.
[00:01:39.636 --> 00:01:47.022]  And within hours of Maxine Waters calling for violence, the National Guard and police just got shot at in Minnesota and were almost killed.
[00:01:47.022 --> 00:01:51.686]  This is a designed civil war they're trying to trigger and we've got to stop it.
[00:01:51.686 --> 00:01:53.668]  So on this live special,
[00:01:54.634 --> 00:01:56.235]  Sunday night broadcast.
[00:01:56.235 --> 00:02:01.239]  Constitutional lawyer Robert Barnes, who's an expert on this, is going to be co-hosting with Owen Schroer.
[00:02:01.239 --> 00:02:04.941]  I'm going to be popping in with special reports for the next four hours.
[00:02:04.941 --> 00:02:08.164]  The Alex Jones Show into Sunday live with Owen Schroer tonight.
[00:02:09.326 --> 00:02:23.957]  To watch Cuomo say this, to watch Maxine Waters say this, while they activate the CIA illegally, domestically against Trump supporters, because a few hundred people went in the Capitol and a few hundred people might have gotten in a fistfight with the cops.
[00:02:23.957 --> 00:02:38.247]  Now all of us are guilty while they've burned down cities, police stations all across the country last summer, and now we're heating up to do it again, to hold the cities hostage until local governments, this is the key, turn control of their police departments over to George Soros,
[00:02:38.607 --> 00:02:54.333]  Who already has most of the DAs, who already has most of the blue city mayors, who already has many of the state's attorney generals, who will then prosecute police officers who make a mistake or who are outnumbered and get attacked to then bully them.
[00:02:55.154 --> 00:02:55.314]  I think?
[00:03:15.994 --> 00:03:18.197]  And said they're turning America over to the UN.
[00:03:18.197 --> 00:03:21.642]  The UN's in charge of our immigration laws, of the refugee laws.
[00:03:21.642 --> 00:03:30.313]  And when Biden first got in via election theft, they had a UN meeting with all of them up there officially turning power over to the UN.
[00:03:30.313 --> 00:03:31.295]  How do they win this?
[00:03:31.295 --> 00:03:31.956]  How do they win this war?
[00:03:32.964 --> 00:03:42.049]  By causing a race war here, ladies and gentlemen, and they are literally activating so many groups of racist black people to go out and start fights with whites, to kill whites, and the media tries to cover it up.
[00:03:42.049 --> 00:03:44.190]  The average black person is involved in this.
[00:03:44.190 --> 00:03:47.952]  But this is still so sad, and all people, whether you're black or white, doesn't matter.
[00:03:47.952 --> 00:03:52.215]  You've got to decry racial violence or offensive violence of any type.
[00:03:52.215 --> 00:03:57.718]  So, Robert Barnes coming up, Owen Sawyer coming up, a lot of exclusive footage we haven't aired from the border coming up.
[00:03:58.398 --> 00:04:01.240]  Bill Maher coming out and the wheels are coming off the COVID hoax.
[00:04:01.240 --> 00:04:02.081]  He's come out against it.
[00:04:02.081 --> 00:04:03.322]  So is Thurgood Carlson.
[00:04:03.322 --> 00:04:08.765]  The truth is coming out, but only because we're still on the air, only because you're taking action.
[00:04:08.765 --> 00:04:12.568]  Don't underestimate how important you are and don't ever underestimate how
[00:04:13.575 --> 00:04:14.675]  What should protesters do?
[00:04:39.385 --> 00:04:43.507]  Well, we've got to stay on the street, and we've got to get more active.
[00:04:43.507 --> 00:04:46.609]  We've got to get more confrontational.
[00:04:46.609 --> 00:04:49.990]  We've got to make sure that they know that we mean business.
[00:04:49.990 --> 00:04:51.051]  Granny Do-Right.
[00:04:51.051 --> 00:05:01.456]  Granny Do-Right.
[00:05:01.456 --> 00:05:05.518]  Thanks for holding her on.
[00:05:10.380 --> 00:05:11.762]  I love your products.
[00:05:11.762 --> 00:05:22.492]  I am a granny, and for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots, or age spots, as they're lovingly called.
[00:05:22.492 --> 00:05:28.477]  But since taking Urex 2 for the last couple of years, my skin is just really gorgeous, actually.
[00:05:28.477 --> 00:05:29.498]  People think I'm 55 years old.
[00:05:31.760 --> 00:05:39.482]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[00:05:39.482 --> 00:05:48.244]  But when I started taking it, I mean, it doesn't happen immediately, but, you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[00:05:48.244 --> 00:05:49.064]  This is working.
[00:05:49.064 --> 00:05:50.045]  This is wonderful.
[00:05:50.045 --> 00:05:54.586]  You know, I don't, I don't have to put on Dermablend anymore, you know.
[00:05:54.586 --> 00:05:59.227]  So anyway, it worked wonderfully, and it really has totally cleared up my skin.
[00:06:11.745 --> 00:06:12.865]  Big Brother.
[00:06:12.865 --> 00:06:14.666]  Mainstream media.
[00:06:14.666 --> 00:06:16.546]  Government cover-ups.
[00:06:16.546 --> 00:06:18.247]  You want to stop tyranny?
[00:06:18.247 --> 00:06:19.927]  Well, so does he.
[00:06:19.927 --> 00:06:24.609]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:27.401 --> 00:06:30.965]  Ladies and gentlemen, it's Sunday, April 18th, 2021.
[00:06:30.965 --> 00:06:32.666]  This is the Alex Jones Show.
