[00:00:01.000 --> 00:00:16.000]  Intro
[00:00:16.000 --> 00:00:21.000]  InfoWars, the most banned network in the world.
[00:00:30.000 --> 00:00:37.000]  It's Wednesday, April 12th, 2023.
[00:00:37.000 --> 00:00:45.000]  I'm your host, Alex Jones.
[00:00:45.000 --> 00:00:59.000]  Steve Bannon is joining us with really important information and intelligence in 15 minutes.
[00:00:59.000 --> 00:01:02.000]  We have more guests as well, I'll tell you about.
[00:01:02.000 --> 00:01:05.000]  This news is so big that I'm not going to say it with a bunch of excitement.
[00:01:05.000 --> 00:01:08.000]  I'm just going to say it very calmly.
[00:01:08.000 --> 00:01:11.000]  We are kicking New World Order ass right now.
[00:01:11.000 --> 00:01:17.000]  But they are trying to openly, as you already know, get us deeper into what's already begun, World War III.
[00:01:17.000 --> 00:01:21.000]  Because they are that desperate, they're in that much trouble.
[00:01:21.000 --> 00:01:41.000]  But I was looking at the news this morning and last night, and it really dawned on me that we need to put a compilation together of Trump, Robert Kennedy Jr., and Ron Paul, and Elon Musk, and the list goes on and on.
[00:01:41.000 --> 00:01:58.000]  Bolsonaro, Viktor Orban, all coming out and saying there is a global corporate system establishing a worldwide tyranny allied with China, and it's at war with us, and it is a coup.
[00:01:59.000 --> 00:02:27.000]  Just today, you have Trump saying it again, you have Ron Paul, you have Robert Kennedy Jr., all giving speeches saying we have a globalist dictatorship running America,
[00:02:27.000 --> 00:02:29.000]  and it's already started World War III.
[00:02:29.000 --> 00:02:36.000]  Now, I know you as an audience already know this, and this coup has been ongoing for a while.
[00:02:37.048 --> 00:02:45.048]  But, I've said this probably 5,000 times until your ears bled, and I don't apologize for it.
[00:02:45.048 --> 00:02:49.048]  Because I'm not just here to entertain people. I'm here as an emergency beacon.
[00:02:49.048 --> 00:02:53.048]  So, you may have already gotten the message, or you already knew about it before you ever listened to me.
[00:02:53.048 --> 00:02:56.048]  That's fine. You already are on the team.
[00:02:56.048 --> 00:03:03.048]  We're trying to reach people that aren't aware of what's going on, because the psyche is very fertile right now for people to really wake up.
[00:03:03.048 --> 00:03:13.048]  So, we're a beacon that goes bzzz, bzzz, bzzz, bzzz, bzzz, and sends out that transmission to people to understand what's going on.
[00:03:13.048 --> 00:03:16.048]  So, you've heard me say this literally thousands of times.
[00:03:16.048 --> 00:03:24.048]  When we identify the globalists, and that they're criminal, and they're illegitimate, and they're eugenicists, depopulationists, who are completely psychotic,
[00:03:25.048 --> 00:03:32.048]  and believe they're going to become God-men that merge with machines, Homo sapiens 2.0,
[00:03:32.048 --> 00:03:37.048]  you realize, my gosh, all we can do is resist these people. There's not even a debate about it.
[00:03:37.048 --> 00:03:41.048]  They're coming after 99.99999% of us.
[00:03:41.048 --> 00:03:46.048]  And when we just recognize the elephant in the room, that this is not our government at the top,
[00:03:46.048 --> 00:03:51.048]  and that the bureaucracy has hijacked things and is stealing elections, it's game over.
[00:03:51.048 --> 00:03:53.048]  This is an illegitimate government.
[00:03:53.048 --> 00:03:58.048]  And they're even weaponizing local jurisdictions and making them illegitimate.
[00:03:58.048 --> 00:04:05.048]  And there's a process the globalists talk about of discrediting nation-states while they use the nation-states to build globalism.
[00:04:05.048 --> 00:04:11.048]  The globalists admit Schwab gives endless speeches, Larry Fink of BlackRock gives endless speeches, we played them here,
[00:04:11.048 --> 00:04:16.048]  of how they're going to use the nation-states to carry out their goals and operations.
[00:04:16.048 --> 00:04:20.048]  There's going to be a time of great anger and upheaval and collapse.
[00:04:20.048 --> 00:04:27.048]  And then they ride in on their white horse as the savior to bring in the new system that's ten times worse.
[00:04:28.015 --> 00:04:32.015]  But they sit up there like we're not watching and listening to them like we're idiots.
[00:04:32.015 --> 00:04:35.015]  And they've always had disdain for the public, but the public can't figure that out.
[00:04:35.015 --> 00:04:39.015]  Well, guess what? The public's not as stupid as you thought we were.
[00:04:39.015 --> 00:04:42.015]  And so, now, you're unclothed.
[00:04:42.015 --> 00:04:44.015]  We see you. You're naked, Jack.
[00:04:44.015 --> 00:04:47.015]  And you're in a lot of trouble.
[00:04:47.015 --> 00:04:51.015]  So you better stop with the World War crap, stop with the poison shots,
[00:04:51.015 --> 00:04:56.015]  or I'm telling you, I'm telling you, you can see where this leads.
[00:04:57.015 --> 00:04:58.015]  I'm telling you.
[00:04:57.823 --> 00:05:05.703]  They decided to not perp-walking, not put him in handcuffs, not do a mugshot, because
[00:05:05.703 --> 00:05:07.222]  they knew that that would help Trump.
[00:05:07.222 --> 00:05:09.462]  Didn't they know this would backfire?
[00:05:09.462 --> 00:05:10.943]  We were waiting for the mugshot.
[00:05:10.943 --> 00:05:13.423]  We learned today they wouldn't have it, so we've made our own.
[00:05:13.423 --> 00:05:18.503]  And it says political prisoner with an image of President Trump.
[00:05:18.503 --> 00:05:20.943]  The shirt is being printed now in Texas.
[00:05:20.943 --> 00:05:23.543]  It'll be shipping out to you in one week.
[00:05:23.543 --> 00:05:29.743]  Political prisoner with Trump on the front there in a mugshot jail background.
[00:05:29.743 --> 00:05:30.743]  It's a fundraiser shirt.
[00:05:30.743 --> 00:05:34.863]  It says InfoWars.com on the back of the shirt.
[00:05:34.863 --> 00:05:36.102]  We also have Alex Yoves for President.
[00:05:36.102 --> 00:05:37.503]  No, I'm not running for president.
[00:05:37.503 --> 00:05:41.143]  It's a really nice navy blue, high quality shirt, red, white, and blue, Alex Yoves for
[00:05:41.143 --> 00:05:42.663]  President 2024.
[00:05:42.663 --> 00:05:47.143]  It's a fun conversational piece and a limited edition shirt, great way to fund the operation.
[00:05:47.143 --> 00:05:55.143]  So get your Alex Yoves for President and Trump mugshot shirts at InfoWarsStore.com
[00:05:55.143 --> 00:05:59.143]  or by calling toll free 888-253-3139.
[00:06:11.143 --> 00:06:15.143]  Live from the InfoWars.com studios,
[00:06:15.143 --> 00:06:19.143]  you're listening to The Alex Jones Show.
[00:06:19.143 --> 00:06:24.143]  Well, I'm taking a moment right now to be thankful to God and thankful to all of you
[00:06:24.143 --> 00:06:25.143]  and our great crew.
[00:06:25.143 --> 00:06:29.143]  And I'm not doing a victory lap here because we're in the middle of a war, but I said two
[00:06:29.143 --> 00:06:34.143]  months ago my primary mission of identifying the New World Order before it launched operations
[00:06:34.143 --> 00:06:38.143]  so people would know that they were the ones doing all these horrible things so they couldn't
[00:06:38.143 --> 00:06:39.143]  pose as saviors.
[00:06:39.143 --> 00:06:43.143]  That's been my primary mission for 29 years on air.
[00:06:43.143 --> 00:06:51.143]  Twenty nine years on air in a few days was to get people ready so that we'd have a resistance
[00:06:51.143 --> 00:06:54.143]  movement and an alternate to this New World Order plan.
[00:06:54.143 --> 00:06:58.143]  We have now reached that thanks to all of you.
[00:06:58.143 --> 00:07:00.143]  And so I salute you and I thank you.
[00:07:00.143 --> 00:07:03.143]  We're now not being caught flat footed.
[00:07:03.143 --> 00:07:09.143]  We are on our toes and we are in fighting stance and we are accelerating our resistance
[00:07:09.143 --> 00:07:11.143]  to victory.
[00:07:11.143 --> 00:07:12.143]  You can feel it.
[00:07:12.143 --> 00:07:13.143]  You can see it.
[00:07:13.143 --> 00:07:16.143]  Now, that doesn't mean the enemy isn't going to launch a nuclear war, turn off the power,
[00:07:16.143 --> 00:07:17.143]  God knows what.
[00:07:17.143 --> 00:07:19.143]  But we know they're behind it too.
[00:07:19.143 --> 00:07:20.143]  They're going to pay one way or another.
[00:07:20.143 --> 00:07:23.143]  They can back off or they can keep pushing it.
[00:07:23.143 --> 00:07:25.143]  But either way, they're going down.
[00:07:25.143 --> 00:07:27.143]  They can do it the easy way or they can do it the hard way.
[00:07:27.143 --> 00:07:29.143]  They will not suppress humanity more.
[00:07:29.143 --> 00:07:31.143]  Their New World Order plan is dead on arrival.
[00:07:31.143 --> 00:07:35.143]  So I want to play Robert Kennedy Jr. coming out and saying there's been a coup, CIA, New
[00:07:35.143 --> 00:07:36.143]  World Order.
[00:07:36.143 --> 00:07:37.143]  I want to play Ron Paul saying it.
[00:07:37.143 --> 00:07:39.143]  I want to play Trump saying it.
[00:07:39.143 --> 00:07:42.143]  I got a bunch of other Elon Musk world leaders saying it.
[00:07:42.143 --> 00:07:43.143]  It's out in the open.
[00:07:43.143 --> 00:07:45.143]  We have an illegitimate hijacked government.
[00:07:45.143 --> 00:07:47.143]  I'm going to put a compilation together.
