[00:00:04.929 --> 00:00:06.350]  Welcome, welcome, welcome.
[00:00:06.350 --> 00:00:07.970]  Today's date is September 16th, 2014.
[00:00:34.346 --> 00:00:36.027]  This is the Alex Jones Show.
[00:00:36.027 --> 00:00:39.550]  We're going to be here live from 11 a.m.
[00:00:39.550 --> 00:00:40.871]  just right now to 2 p.m.
[00:00:40.871 --> 00:00:41.812]  Central.
[00:00:41.812 --> 00:00:42.652]  Thank you for joining us.
[00:00:42.652 --> 00:00:43.813]  I'm your host Rob Due.
[00:00:43.813 --> 00:00:46.635]  It's a pleasure to be with you today.
[00:00:46.635 --> 00:00:49.157]  We have a lot of big news coming up.
[00:00:49.157 --> 00:00:57.824]  We're going to recap some Ebola news that we, that if you were listening to the Sunday show, I went over with Paul Joseph Watson, plus some new news.
[00:00:57.824 --> 00:01:00.206]  We are now deploying troops to the area.
[00:01:01.912 --> 00:01:03.813]  Of course, it's just for everybody's safety.
[00:01:03.813 --> 00:01:08.314]  That's why you deploy troops to areas like this.
[00:01:08.314 --> 00:01:11.135]  Usually to take them over and grab people's resources.
[00:01:11.135 --> 00:01:13.055]  But here we're going to be building hospitals.
[00:01:13.055 --> 00:01:15.316]  We're going on humanitarian missions.
[00:01:15.316 --> 00:01:19.697]  That's the mail-on-line US to send 3,000 troops to Ebola danger zone.
[00:01:21.138 --> 00:01:24.722]  That's going to be, we're going to get into that coming up.
[00:01:24.722 --> 00:01:32.032]  At the bottom of this hour, we're going to premiere a video which is going viral on the Alex Jones channel right now.
[00:01:32.032 --> 00:01:34.895]  And it's, when we send our crew, I have that up right there guys.
[00:01:34.895 --> 00:01:35.656]  Y'all can pull that up.
[00:01:37.278 --> 00:01:43.562]  9-11 firefighter blows WTC cover-up wide open this is an amazing interview with firefighter Rudy Dent and he was there he actually saw
[00:01:55.905 --> 00:01:57.806]  World Trade Center 7.
[00:01:57.806 --> 00:02:00.787]  He saw the explosions before it collapsed.
[00:02:00.787 --> 00:02:02.708]  And he got there after the towers collapsed.
[00:02:02.708 --> 00:02:07.770]  So he wasn't really in... He was in the fog of war, but not so much as, well...
[00:02:08.846 --> 00:02:10.367]  You know, covered in World Trade Center dust.
[00:02:10.367 --> 00:02:11.868]  He got there after it had happened.
[00:02:11.868 --> 00:02:14.009]  That happened to be his day off.
[00:02:14.009 --> 00:02:15.630]  He's got an amazing story.
[00:02:15.630 --> 00:02:24.875]  And then in studio, we're going to have Leanne McAdoo and Joe Biggs talking about what they saw in New York City, all the different things.
[00:02:24.875 --> 00:02:29.857]  They were covering a lot of different subjects, but mainly, you know, talking to the 9-11 folks that were there.
[00:02:29.857 --> 00:02:33.099]  People still bringing it to the table, trying to wake people up.
[00:02:34.562 --> 00:02:41.949]  And I think one of the amazing things during this interview, you see a lot of people in the background, and it really is the perfect picture of our society.
[00:02:41.949 --> 00:02:48.495]  Haha, a lot of people just hanging out, taking photographs, you know, high-fiving.
[00:02:48.495 --> 00:02:54.000]  And here's a guy talking about witnessing one of the worst false flag terror attacks that we've ever had.
[00:02:56.468 --> 00:02:58.550]  And our country basically brought us into two wars.
[00:02:58.550 --> 00:03:08.418]  We've had, I think we've had our own lost decade of time where, you know, it seemed up till 9-11 we were making progress of waking people up to the left-right paradigm.
[00:03:08.418 --> 00:03:19.447]  And after that, boy, it's, it's caught, you know, go to more wars, raise more taxes, have more government, fear the citizens.
[00:03:19.447 --> 00:03:20.668]  That's what we've come to.
[00:03:20.668 --> 00:03:21.949]  That's the place we're at now.
[00:03:23.325 --> 00:03:31.070]  And we have senators saying that if we put any kind of restraints on the NSA, well, that's going to help ISIS.
[00:03:31.070 --> 00:03:43.939]  And we have reports that ISIS may be down at the border, but the government's saying no, that's not happening, even though we've had groups like Judicial Watch sue and get the documents saying they're concerned about ISIS at the border.
[00:03:43.939 --> 00:03:47.122]  There's an article, Feds find 9-11 terror message on border fence.
[00:03:48.477 --> 00:03:56.980]  And in the second hour, we're going to have Lord Christopher Mocton coming on, talking about the independence movement that's going on in Scotland.
[00:03:56.980 --> 00:04:02.423]  What it means for the UK, what it means for all of us.
[00:04:02.423 --> 00:04:06.224]  He's also going to be talking about the latest news in climate change.
[00:04:06.224 --> 00:04:12.807]  There's an article on Drudge where Obama's going after a new coolant, because that is now the scourge.
[00:04:14.255 --> 00:04:23.102]  It is really interesting how these control freaks, they always try to find one thing and go, this is the problem, this is the problem with everything, and if we stop this, we'll be okay.
[00:04:23.102 --> 00:04:27.445]  But then, they want to grab something else, and something else, and then they control everything.
[00:04:27.445 --> 00:04:31.288]  It's all about putting, they say, the camel's nose under the tent.
[00:04:31.288 --> 00:04:33.169]  That's what we're dealing with right now.
[00:04:33.169 --> 00:04:35.791]  So we got a big show, and we're also going to take your calls in the third hour.
[00:04:35.791 --> 00:04:36.412]  I'm excited.
[00:04:38.502 --> 00:04:39.803]  It is the InfoWars.com.
[00:04:39.803 --> 00:04:41.265]  This is the Alex Jones Show.
[00:04:41.265 --> 00:04:44.648]  You can find more and watch us live on PrisonPlanet.tv.
[00:04:44.648 --> 00:04:48.793]  We'll be right back.
[00:04:58.783 --> 00:05:03.426]  Tell folks how you got introduced to Super Male, and then when Super Female came out, tell us what happened.
[00:05:03.426 --> 00:05:08.210]  After I saw such a huge positive change in my husband, I had to try it for myself.
[00:05:08.210 --> 00:05:09.531]  Talk about the effects.
[00:05:09.531 --> 00:05:11.052]  I feel great when I wake up in the morning.
[00:05:11.052 --> 00:05:12.973]  I have drive to go to the gym.
[00:05:12.973 --> 00:05:14.074]  I feel like I look better.
[00:05:14.074 --> 00:05:14.794]  I feel better.
[00:05:14.794 --> 00:05:15.855]  I feel sexier.
[00:05:15.855 --> 00:05:16.816]  I love it.
[00:05:16.816 --> 00:05:19.818]  Even if you don't believe in supplements, take the challenge.
[00:05:19.818 --> 00:05:22.740]  Get a bottle of Super Male, a bottle of Super Female.
[00:05:22.740 --> 00:05:23.821]  Check it out for yourself.
[00:05:23.821 --> 00:05:25.002]  Consult your physician.
[00:05:25.002 --> 00:05:27.383]  Visit InfoWarsLife.com today.
[00:05:27.383 --> 00:05:28.304]  This is life changing.
[00:05:28.844 --> 00:05:32.507]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:32.507 --> 00:05:36.789]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:36.789 --> 00:05:38.571]  Can you put two and two together?
[00:05:38.571 --> 00:05:46.436]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:46.436 --> 00:05:47.577]  But for how long?
[00:05:47.577 --> 00:05:54.201]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:54.201 --> 00:05:57.023]  Infidel Body Armor just won't quit.
[00:05:58.755 --> 00:06:04.881]  What do you think about the FBI saying that there's a terror alert on Monday about a potential forklift situation?
[00:06:04.881 --> 00:06:08.184]  The police are shoving people, shoving Alex, shoving the crowd.
[00:06:08.184 --> 00:06:09.986]  Here we go, folks, I'm being assaulted!
[00:06:09.986 --> 00:06:16.332]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:06:16.332 --> 00:06:22.238]  Is this another false flag stage attack to take our civil liberties and promote homeless security by sticking our hands down on the streets?
[00:06:22.378 --> 00:06:26.339]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:06:26.339 --> 00:06:29.280]  And that's what PrisonPlanet.TV is designed to do.
[00:06:29.280 --> 00:06:37.683]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:06:37.683 --> 00:06:39.784]  What we see now is a war against reality.
[00:06:39.784 --> 00:06:40.804]  It's a war against the truth.
[00:06:41.184 --> 00:06:50.128]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:06:50.128 --> 00:06:52.790]  Visit InfoWarsNews.com today.
[00:06:52.790 --> 00:06:57.092]  Become a member, share your membership, and help take the info war to the next level.
[00:06:59.210 --> 00:07:00.711]  Open your eyes.
[00:07:00.711 --> 00:07:04.134]  It's time to give your eyes a powerful nutritional boost.
[00:07:04.134 --> 00:07:10.618]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
