whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20151029_Thu_Alex.wav' (229100983 samples, 14318.8 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:02.000]   [tires screeching]
[00:00:02.000 --> 00:00:03.000]   [explosion]
[00:00:03.000 --> 00:00:07.000]   [triumphant music]
[00:00:07.000 --> 00:00:10.000]   Do you want to kill Nazis?
[00:00:10.000 --> 00:00:12.000]   I don't want to kill anyone.
[00:00:12.000 --> 00:00:14.000]   I don't like bullies.
[00:00:14.000 --> 00:00:16.000]   I don't care where they're from.
[00:00:16.000 --> 00:00:19.000]   I believe Captain America was a composite character
[00:00:19.000 --> 00:00:22.000]   that really kind of captured the essence of that generation.
[00:00:22.000 --> 00:00:25.000]   There's another analogy to be taken from Captain America,
[00:00:25.000 --> 00:00:29.000]   and that is that that generation, and America in general,
[00:00:29.000 --> 00:00:31.000]   has essentially fallen asleep by Captain America dead.
[00:00:31.000 --> 00:00:35.000]   As you see him wake up in the second Captain America movie
[00:00:35.000 --> 00:00:38.000]   to find that he's living in an authoritarian police state.
[00:00:38.000 --> 00:00:41.000]   For a second day in a row, a group of World War II vets
[00:00:41.000 --> 00:00:43.000]   literally took down a barrier
[00:00:43.000 --> 00:00:46.000]   blocking off the World War II memorial in Washington, D.C.
[00:00:46.000 --> 00:00:48.000]   There he is, he's barricaded back!
[00:00:48.000 --> 00:00:49.000]   [tires screeching]
[00:00:49.000 --> 00:00:51.000]   Well, you seem pretty chipper
[00:00:51.000 --> 00:00:53.000]   for someone who just found out they died for nothing.
[00:00:53.000 --> 00:00:54.000]   Wow.
[00:00:54.000 --> 00:00:56.000]   I go protect Iraqis in Iraq,
[00:00:56.000 --> 00:00:58.000]   and I come back and I find that my fellow Americans
[00:00:58.000 --> 00:01:00.000]   are being attacked by police.
[00:01:00.000 --> 00:01:02.000]   [sirens wailing]
[00:01:02.000 --> 00:01:05.000]   [indistinct chatter]
[00:01:05.000 --> 00:01:07.000]   I'm well aware of the danger.
[00:01:07.000 --> 00:01:09.000]   I've spent eight years in combat.
[00:01:09.000 --> 00:01:11.000]   For once, we're way ahead of the curve
