[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:18.000 --> 00:36.000]  Ladies and gentlemen, we are live and we're broadcasting worldwide on this Sunday, the 29th day of July 2012.
[00:36.000 --> 00:46.000]  We have quite a studio audience this evening. I'll just leave it at that here at the Info Wars Command Center in South Austin.
[00:46.000 --> 01:00.000]  I was at Barnes & Noble yesterday out on a date with my wife when I walked up to the cash register and saw the New Time magazine, How Guns Won, Why Americans Have Turned Against Gun Control by Joe Klein.
[01:00.000 --> 01:18.000]  There's a member of the Council on Fine Relations and an Avowed Globalist. You can go up to infowars.com right now on the front page and feature stories. It's the image we have there. We have an arrow pointing down. It says, We woke up to the fact that you are control freak tyrants who want disarmed slaves.
[01:18.000 --> 01:29.000]  You can have your way with infowars.com and we answer the question. He says how it happened and how terrible it is.
[01:29.000 --> 01:47.000]  And as soon as I saw this, I bought four or five copies because I had been in a meeting Friday, no, no, Thursday in this studio after the show with some prominent Second Amendment people. I'll just leave it at that who were visiting the studio.
[01:47.000 --> 01:53.000]  And I said look, we've won with the hearts and minds. We've won.
[01:53.000 --> 02:08.000]  I've seen a lot of the polls out there. Over 70% are now pro-gun. Back in the 60s, it was 50-50. We're winning on abortion now, especially with young people. Over 80% many polls are against it. Those numbers have flipped the last 40 years since Roe v. Wade.
[02:08.000 --> 02:27.000]  So all of this is going on. All of this is happening. But I went on to tell my wife and also the cashier at Barnes & Nobles and then some listeners later at the grocery store who I was talking to that just because we've won the hearts and minds doesn't mean we've won the war.
[02:27.000 --> 02:34.000]  Because the system doesn't care at many levels. If we don't like what they're doing, they're going to go ahead with it.
[02:34.000 --> 02:48.000]  Now, it's good to have people awakening. They're not awake fully. They're awakening. That's a huge victory. We are in the fight. We're not in a coma being fed on by these globalist vampires.
[02:48.000 --> 02:57.000]  But they are now going to come down with both feet. They're going to come down with both feet on top of us.
[02:57.000 --> 03:10.000]  And that's why I announced you will see the conservative leadership who aren't really conservatives. They've been having to play the conservative leadership so they can control the globalist game along with their counterparts, the so-called liberals.
[03:10.000 --> 03:32.000]  You are now going to see, well, we've seen Bill Crystal come out on Fox and say ban all semi-autos. We've seen Rupert Murdoch come out and call for gun restrictions banning all semi-auto.
[03:32.000 --> 03:47.000]  We've seen Justice Scalia come out and say, oh, well, our ruling. And I pointed this out a few years ago with the ruling. I said, folks, it says in the ruling you have a right to keep their arms, but that they can restrict it.
[03:47.000 --> 03:59.000]  That they can define what that right is. So they can say you have a right to own a gun on a blue moon if you're standing on top of the outhouse with your thumbs up your nose while whistling Dixie.
[03:59.000 --> 04:12.000]  And that's basically what he said. So get ready because they've got the entire power structure panicking right now. They've committed all these criminal actions, all these takeovers.
[04:12.000 --> 04:25.000]  And they know you're awake and they know you're getting armed and they're coming for the guns. Now, I've also seen this disinfo meme out there that we've defeated the UN gun restriction.
[04:25.000 --> 04:42.000]  Just like we had defeated the NDAA and the Patriot Act and everything else. No, they have not agreed upon the language of it yet because it did state in Article 15 he is foreign troops in states that don't disarm.
[04:42.000 --> 04:58.000]  So that's not dead either. They're simply playing possum. We're going to break all this down. It's a very important transmission. Stay with us. The good news and the bad news straight ahead. I'm Alex Jones.
[04:58.000 --> 05:16.000]  Sick of the globalist eugenesis control freaks adding poison to your water and laughing as you get sick and die. Start purifying your water with ProPure. My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at infowars.com.
[05:16.000 --> 05:33.000]  Its filters are silver and pregnant to prevent bacterial growth. There's no priming required. It's NSF 42 certified optional fluoride filters can reduce fluoride up to 95% easy to set up and use doesn't require electricity purify water from lake streams ponds and wells.
[05:33.000 --> 05:48.000]  This filter system leaves in beneficial minerals which is key. Save money by not buying bottled water and avoid BPA that leaches from the plastic. ProPure is the best gravity fed filter out there. It's what my family uses infowars.com already has the lowest price on ProPure.
[05:48.000 --> 05:58.000]  But if you add the promo code water at checkout, you get an additional 10% off at infowars.com. You can also call to order 888-253-3139.
[05:58.000 --> 06:13.000]  You are listening to an infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[06:13.000 --> 06:29.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:29.000 --> 06:51.000]  Ladies and gentlemen, thank you so much for joining us on this live Sunday transmission. It is the 29th day of July 2012 year of our Lord. We're going to be here on this Sunday for the next two hours and we'll have open phones coming up later in this hour.
[06:51.000 --> 07:12.000]  What an incredibly important transmission. It's days like this. I'm glad that I'm on air six days a week with the weekday show, noon to three eastern and then infowars nightly news, 8 o'clock eastern, 7 o'clock central, and then of course the Sunday transmission, 4 to 6 central, because there is so much incredible news breaking.
[07:12.000 --> 07:26.000]  Just last Thursday, I was having a meeting here in this broadcast studio with some visitors about a second amendment television program we're developing. It's titled Brothers in Arms.
[07:26.000 --> 07:43.000]  And I made the declaration that the only thing left intact to the Bill of Rights and Constitution, the only thing left to a great extent is the second amendment. It's the mark of a free person.
[07:43.000 --> 08:01.000]  And I made the declaration that the power structure that's hijacked this country has lost, has failed. I made that declaration to the visitors that were here in my studio and they agreed knowing that gun culture is spreading everywhere.
[08:01.000 --> 08:17.000]  And it's something that brings together old, young, north, south, east, west, black, white, Hispanic, Asian, Christian, Muslim, Jewish, agnostic, atheist, people get it that having a gun protects you from criminals.
[08:17.000 --> 08:31.000]  It makes you sleep good at night. It's not the big scary thing the media tells us about. Statistically, you've got on average, what is it, 12 times of the chance, look it up yourself in the World Almanac to die in a car wreck, then from a gun.
[08:31.000 --> 08:46.000]  It's way down the line for things that are dangerous. Mass shootings in the last 20 years, we have the statistics up at infowars.com from the Justice Department, an article Kurt Nemo wrote, establishment media circles the wagons on gun control.
[08:46.000 --> 09:04.000]  The fact that mass shootings are flat in the last 20 years, and that overall crime has gone down when we're talking about muggings and aggravated assaults and home invasions, because criminals know that a woman jogging has probably got a 25 caliber little handgun.
[09:04.000 --> 09:18.000]  They know if they bust in most people's houses, they're dead, except for New York and Chicago that have total gun bans and have crime literally off the charts. In some cases, it's more than six, seven, eight, nine, 10 times.
[09:18.000 --> 09:31.000]  Muggings, I've seen numbers are over 20 times higher in New York than anywhere else in the country. And why is that? I mean, I've been on the New York subway, and I don't look like a wimp, I weigh 240 pounds.
[09:31.000 --> 09:42.000]  Come over and try to intimidate me like that's a nice watch what you got in your wallet, and you say I'm about to stomp your head in they leave you alone, but most people get scared and just give it to them and they can say, Oh, it's not a theft.
[09:42.000 --> 09:48.000]  You just gave it to me.
[09:48.000 --> 09:53.000]  But literally you say you can have this watch over my dead body. How about I stomp your head in right now.
[09:53.000 --> 10:03.000]  Hey, man, I just wanted to know about your watch. Rob Jacobson, who grew up in New York, born in New York, he was going to college every day and arrived the subway 7am in the morning.
[10:03.000 --> 10:13.000]  And he had people almost every time try to take his watch until he just stopped wearing it because he had to fight for the watch his parents had given him at his high school graduation.
[10:13.000 --> 10:23.000]  I don't want to live like that and you don't want to live like that either. And so this is bringing us together, just as it did to 1776.
[10:23.000 --> 10:32.000]  When the Redcoats came to confiscate the legally owned firearms of British citizens and they said so what if we're in colonies, we're British citizens.
[10:32.000 --> 10:43.000]  They had a right to keep their arms over in England. They'd fought in the Magna Carta in 1215 over and over again for the right to keep their arms. It didn't originate here.
[10:43.000 --> 10:48.000]  It originated in Switzerland, in the Netherlands and in England. And let me tell you, it's revolutionary.
[10:48.000 --> 10:55.000]  Three men can have swords and muskets and whatever weapons the system has.
[10:55.000 --> 11:03.000]  Three men. The first gun laws in this country of the Civil War. Blacks were getting guns. Blacks were defending themselves.
[11:03.000 --> 11:07.000]  The Ku Klux Klan just couldn't just come to their house and burn it down anymore.
[11:07.000 --> 11:16.000]  They were met by black free people with shotguns. And believe me, they didn't like it. So they passed laws to restrict their right.
[11:16.000 --> 11:23.000]  That's where gun control came from. And if you look at the history of gun control worldwide, it is incredible.
[11:23.000 --> 11:32.000]  Millions of millions killed in the last century after governments take their guns, look up democide, death by government.
[11:32.000 --> 11:43.000]  This is about tyranny. And if you go to infowars.com, we have a photo shot of the latest time magazine, August 6th issue.
[11:43.000 --> 11:55.000]  And it says how guns won, why Americans have turned against gun control by anti-American, anti-freedom, and pro-victim disarmament,
[11:55.000 --> 12:02.000]  tyrant Joe Klein, Mr. CFR, a group sworn to destroy U.S. sovereignty. And under it, I put the little caption,
[12:02.000 --> 12:06.000]  we woke up to the fact you are control freak tyrants who want disarmed slaves.
[12:06.000 --> 12:15.000]  Because they ask the question, how guns won? Well, the answer is, we woke up. We get it. It isn't about our safety.
[12:15.000 --> 12:21.000]  It isn't about, we saw Katrina high and dry, the military commanded by the feds to come take guns.
[12:21.000 --> 12:29.000]  We see the urban warfare drills. We get it. We understand it. We don't call a cop. We call Smith and Wesson.
[12:29.000 --> 12:36.000]  People get it. They understand it. I'm a public figure. You think I'm worried about somebody coming after me around here?
[12:36.000 --> 12:41.000]  I got a firearm right underneath this desk, ladies and gentlemen. People that have to still carry us around here in our train, say bring them.
[12:41.000 --> 12:49.000]  We live in a safe environment, safer. We don't live in fear. You come and start busing in my house, you're dead.
[12:49.000 --> 12:58.000]  Instant access pistol safe in every major room. Boom. One second, I'm locked and loaded. You are going to be breathing out a more than one hole.
[12:58.000 --> 13:08.000]  You got that? You try to tread on me? You think you're going to roll over me? It isn't going to happen.
[13:08.000 --> 13:17.000]  Find somebody else to go feed on, like in North Korea and Mexico, where they have total victim disarmament and look at the hell holes they are.
[13:17.000 --> 13:28.000]  Look at England, where they have muggings off the chart as bad as New York or Chicago. Their crime rate is way above ours since they took guns 16 years ago.
[13:28.000 --> 13:34.000]  They import all these people from violent Third World countries and the Brits who've been trained to lay down a tyranny.
[13:34.000 --> 13:41.000]  They prosecute you if you defend yourself in your own home with your fists while your wife's being raped, while you're being attacked.
[13:41.000 --> 13:50.000]  Look it up. They've had people who grabbed a guy off his wife's raping her and throws the guy and he falls out a window and the police come arrest him.
[13:50.000 --> 13:59.000]  The state doesn't want you defending yourself because it's run by criminals. It's a criminal class now at the top that wants to feed on the people.
[13:59.000 --> 14:05.000]  So what's my big announcement? Why is this show so important today when we come back from break in a moment?
[14:05.000 --> 14:13.000]  Get your patent paper ready. Your pen and paper ready. Just stand by to write down and take notes, folks, because I'm going to give you the proof.
[14:13.000 --> 14:20.000]  Let me tell you, when they announce how guns won, look out because that's the good news.
[14:20.000 --> 14:33.000]  The good news is, yes, we're winning the intellectual fight. The good news is we're winning on abortion. The numbers have flipped since Roe v. Wade in 1973, 39 years ago.
[14:33.000 --> 14:42.000]  Almost 40 years ago. People are now anti-abortion. They know it's a human. They know it's destructive. They know it's not just some choice.
[14:42.000 --> 14:50.000]  They understand it's dehumanizing. They understand it's barbarous. They understand Planned Parenthood's a eugenicist's front. They know.
[14:50.000 --> 15:04.000]  Upwards of 80% of young people, especially your anti-abortion now, you failed. You failed New World Order. You're failing. You have a 9% approval rating, Congress. All of your programs are unpopular now.
[15:04.000 --> 15:15.000]  No matter how many foreigners you bring in and try to get on the government dole, get on the government mammary wagon, gravy train, no matter what you do, you are failing right now.
[15:15.000 --> 15:27.000]  But the bad news, I will give you when we get back. We're winning the intellectual battle. But I'll give you the bad news when we come back from break and it's bad.
[15:27.000 --> 15:37.000]  But the good news is we're winning the hearts and minds, the bad news straight ahead. Oh, and I've got the bad news. But to defeat the globalists, we've got to know the bad news.
[15:37.000 --> 15:50.000]  Ignoring the bad news, ignoring the problem got us where we're at today. Waking up to the problem, not compromising, getting aggressive, getting in the tyrant's faces is going to haul us out of the fire.
[15:50.000 --> 16:08.000]  It's going to haul our bacon. It's time to haul our bacon out of the New World Order. Stay with me.
[16:20.000 --> 16:30.000]  Together, the perfect mix of non-hybrid seeds. They call it a survival seed bank and it can produce an endless supply of nutrient dense food for you and your family.
