[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:30.000 --> 00:46.000]  Ladies and gentlemen, thank you for joining us on this live Sunday transmission. We are going to be here for the next two hours.
[00:46.000 --> 01:14.000]  The news websites are infowars.com and prisonplanet.com and we are going to be joined as well coming up in the second hour by investigative journalist John Rappaport going over, well, the New York Times and hundreds of other newspapers out with the disgusting talking point
[01:14.000 --> 01:29.000]  that we need to just drug all children that drugs, Rital and Prozac, you name it, actually makes their brains work better. So it's not just for ADHD kids, it's for everybody.
[01:29.000 --> 01:44.000]  In fact, the New York Times has written five articles I've seen the last three days or so, drugs to improve learning, attention disorder or not pills to help in school, whether without attention deficit, this helps them learn, they all need it.
[01:44.000 --> 01:52.000]  That's the new freedom initiative. Instead of just saying half or mentally ill, look at this poor kid they've got on speed type drugs and they say, look how much it's helping him.
[01:52.000 --> 02:03.000]  And you look at the color photo of me looks like a zombie poor child. The pills boost focus and impulse control in children. Ah, and that they all need it now.
[02:03.000 --> 02:18.000]  Here's another one. Risky rise of the good grade pill. That's actually New York Times article critical of it, but they've got many, many others. It is a full court press coming out with the whole new freedom initiative.
[02:18.000 --> 02:35.000]  And so we're going to be breaking all of that down here today. In fact, guys, my clock fell off the wall. I'm noticing and I guess I've gotten obsessive compulsive about things that I'm so used to be able to look at with the clock and the date and all that.
[02:35.000 --> 02:48.000]  I must have, it was on the floor and I couldn't read it. So I put it up there and it's behind there. It's, it's behind here. I'll show you. I'll just come over there. It must be behind that television. You know, you can walk in front of it.
[02:48.000 --> 02:56.000]  No, no, no, it's fine. I've got, I've got to have it. I've just absolutely got to have it. Do you walk in front of it? It's all right. Yeah, I must have fallen off the wall.
[02:56.000 --> 03:09.000]  And there it is hiding back there. So when we go to break, we're going to come back and we'll read that coming up in the second hour here. I love it so much. I can just thank you. I can just have it right there. There you go.
[03:09.000 --> 03:19.000]  Mine. Now I feel good. I tell you, it's weird. I'm smiling. Go speak to 10,000 people, not even get upset or have butterflies anymore. I can go on national TV. They totally calm.
[03:19.000 --> 03:33.000]  And I've never really been an obsessive compulsive type person, but so many thousands of times looking at the camera, talking into the microphone and having the clock on the wall. I absolutely could not continue on. It's like the lucky rabbit foot or something.
[03:33.000 --> 03:44.000]  I didn't realize that to look over there and it wasn't there. And I just knew it had fallen behind. You see there and it was, it was, I even knew it was resting over there behind that big giant television.
[03:44.000 --> 03:55.000]  We use as a computer monitor so I can see the calls and stuff that are coming in. So it is October 14th, 2012, and it is a 403 and 53 seconds.
[03:55.000 --> 04:03.000]  We will officially start the broadcast when we come back in the next segment now that I have my, my teddy.
[04:03.000 --> 04:16.000]  Lovey, I need my clock. First and howl the third. What do you expect me to do? A radio show without my, without my trusty clock? Who's got the, it's even got the weather on it.
[04:16.000 --> 04:26.000]  Did I hit the programming button? How else do we get reports from the mainland? Here on Gilligan's Island. First and howl the third.
[04:26.000 --> 04:36.000]  Okay, we're going to come right back after this quick break. I think the new thing I'm going to do is just have it right here with me while I broadcast this right next to me.
[04:36.000 --> 04:56.000]  All right, I'm going to get serious. Hey, race riots, are they coming? Thomas Sowell and many others say yes, and Twitter and Facebook are alive, flooded with threats that America will burn if Barry Citerro, aka Barack Obama, is unelected our savior.
[04:56.000 --> 05:07.000]  And it looks bad because Romney's pulled ahead. Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die? Start purifying your water with ProPure.
[05:07.000 --> 05:16.000]  My friends, I've done a lot of research and the best gravity filter out there, Bar Nun, is ProPure and it's available discounted at infowars.com.
