[00:00.000 --> 00:29.960]  Just how much of the Great Reset has already dug its blood-soaked talons into modern civilization?
[00:29.960 --> 00:35.460]  Standing up for our people in Canada, we will have a government under my leadership that works for Canadians
[00:35.460 --> 00:39.460]  and I will ban all blind ministers or any involvement in the world I've not been born in.
[00:39.460 --> 00:44.960]  I've got a message for all illegals. If you don't want to be pushed back, if you don't want to be arrested,
[00:44.960 --> 00:51.960]  if you don't want to be shot, don't come to our borders. Do not come to the Polish border. Then you're safe.
[00:51.960 --> 01:00.960]  It's not us, it's not our police who came up to beat you up, to push you, or to arrest you. It's you who tried to break the law on our land.
[01:00.960 --> 01:07.960]  Even though churches, gyms, schools, weddings, funerals, stay-at-home orders, curfews, mask mandates, vax mandates,
[01:07.960 --> 01:12.960]  and every business closed except big corporate chains like Walmart and Big Tech Thriving and the Biggest Transfer,
[01:12.960 --> 01:19.960]  well, they'll credibly say we would never actually really lock down. Then they're redefining it in real time as we speak.
[01:19.960 --> 01:28.960]  The signs of sabotage are numerous and widespread as the vultures of great reset tyranny circle a sickened and angered populace
[01:28.960 --> 01:33.960]  that is on track for a mass starvation event in the very near future.
[01:33.960 --> 01:41.960]  It was an article on the UN website. On the further UN, about 860 million people could starve to death in the next 24 months, almost a billion.
[01:41.960 --> 01:43.960]  In the next 24 months?
[01:43.960 --> 01:57.960]  Yeah. People depend on you for what's left of the food. You control them. Where food is abundant and cheap, you do not control them.
[01:57.960 --> 02:06.960]  Where energy is cheap and abundant, you do not control them. Scarcity equals dependency, equals control.
[02:06.960 --> 02:12.960]  And that's why they're targeting the food chain, they're targeting them. Energy supply, they're targeting everything.
[02:12.960 --> 02:20.960]  The French President Emmanuel Macron's country has been flooded with the United Nations self-proclaimed replacement migration,
[02:20.960 --> 02:25.960]  regardless of what the propaganda denying its existence would have you believe.
[02:25.960 --> 02:36.960]  Macron is now priming the pump for energy crises and food shortages as the World Economic Forum once again tightens its grip on the neck of the French people.
[02:36.960 --> 02:46.960]  What we are living through is a time of great upheaval. Firstly, because we are witnessing, and not just since this summer,
[02:46.960 --> 02:51.960]  but over the past few years, the end of what we might have seen as abundance.
[02:51.960 --> 03:09.960]  The disgraced California Governor Gavin Newsom has said the quiet part out loud, pushing California towards a goal of zero emissions by 2035, and 30% or 14 million of California's drivers into electric vehicles within four years.
[03:09.960 --> 03:17.960]  Currently, there are roughly just a mere one million driving electric vehicles in the Golden State of liberal lunacy.
[03:17.960 --> 03:24.960]  In the next 15 years, we will eliminate in the state of California the sales of internal combustion engines.
[03:24.960 --> 03:35.960]  Extreme heat will grip much of the state through the Labor Day weekend. This morning, Governor Gavin Newsom is laying out ways you can stay safe and prevent putting a strain on the electrical grid over the upcoming days.
[03:35.960 --> 03:36.960]  Let's listen in.
[03:36.960 --> 04:05.960]  When Biden himself has blazed an unprecedented trail torching our constitutional republic.
[04:05.960 --> 04:13.960]  The task we have now is to actually create a new world order.
[04:13.960 --> 04:22.960]  For those brave right-wing Americans to say it's all about keeping America, keeping America as independent and safe.
[04:22.960 --> 04:28.960]  If you want to fight against the country, you need an F-15. You need something a little more than a gun.
[04:28.960 --> 04:37.960]  We are watching right now a very radical and extreme Republican party mirror what we have seen in other places like Nazi Germany, like other places like the Bolsheviks.
[04:37.960 --> 04:57.960]  If we are not able to ask skeptical questions to interrogate those who tell us that something is true, to be skeptical of those in authority, then we're up for grabs for the next charlatan, political or religious who comes ambling along.
[04:57.960 --> 04:59.960]  This is John Bown reporting.
[05:27.960 --> 05:32.960]  Regular low-grade fish oil in all the studies does outstanding things.
[05:32.960 --> 05:40.960]  This is the highest grade and it's not been pasteurized, it's not been boiled, so it has its original effects intact.
[05:40.960 --> 05:49.960]  Ladies and gentlemen, everybody should visit mfoldworkstore.com today and get ultimate fish oil finally back at stock for 15% off.
[05:49.960 --> 05:53.960]  For our regular fans, they're big supporters, you're going to love it, you already know how great it is.
[05:53.960 --> 06:00.960]  Just sit on the fence, experience ultimate fish oil for yourself, try taking some before bedtime and see what happens with your dream.
[06:48.960 --> 06:52.960]  We'll be discussing that and more a little bit later in the show.
