[00:00.000 --> 00:08.000]  He's the T-Rex of political talk. Alex Jones on the GCN radio network.
[00:11.000 --> 00:15.000]  Alright folks, we've got a jam-packed third hour here and a lot of callers.
[00:15.000 --> 00:20.000]  Dave, Craig, Lewis, Charles, everybody stay right there. Your calls are coming up here.
[00:20.000 --> 00:25.000]  And we've got Clay Douglas joining us. I'm just going to throw out news stories for Clay to comment on.
[00:25.000 --> 00:28.000]  That way we can have Clay as a guest and get this news covered.
[00:28.000 --> 00:33.000]  Clay's got the big preparedness expo coming up in Atlanta, outside Atlanta this weekend.
[00:33.000 --> 00:37.000]  I can't make it. I wish I could. I was sent it up just a month ago, but I can't make it.
[00:37.000 --> 00:41.000]  I'm just perusing on other projects here, making a new film and writing a new book.
[00:41.000 --> 00:47.000]  Clay, it is great to have you on the show. Of course, Clay Douglas, publisher of the Free American news magazine.
[00:47.000 --> 00:54.000]  He's put on another successful expo that I did attend earlier this year in Mesquite, outside Dallas, Texas.
[00:54.000 --> 00:56.000]  Welcome to the Airwaves, Clay. How are you doing?
[00:56.000 --> 01:03.000]  I'm doing fine, Alex. We're really going to miss you at the show, though. But, hey, I know you've got your plate full.
[01:03.000 --> 01:12.000]  Now, Clay, we have people that call in that deny that the government has a stated public plan to put satellite trackers in all the cars.
[01:12.000 --> 01:15.000]  You already have the software and hardware in the ignition systems.
[01:15.000 --> 01:20.000]  Alex, we've already got that. You've got it in your pocket. It's called a cell phone.
[01:20.000 --> 01:25.000]  The Israelis have been using that to assassinate Palestinians for the last couple of years.
[01:25.000 --> 01:31.000]  Also, I want to add a caveat. Five years ago, this was agreed on by the telecommunications industry.
[01:31.000 --> 01:38.000]  They were paid $8 billion to do it. And starting October 1st of last year, very convenient timing.
[01:38.000 --> 01:45.000]  Had it set for five years before. All satellite cell phones are now satellite triangulated off the cell towers down to five feet.
[01:45.000 --> 01:48.000]  Oh, but that guy would deny that, too, wouldn't he?
[01:48.000 --> 01:59.000]  Well, that's an actual fact. That's true. They can do that. Just look at the assassinations that they used them for in Israel.
[01:59.000 --> 02:03.000]  But, Clay, I don't have to have any facts. I can just say you're making that up.
[02:03.000 --> 02:08.000]  It doesn't matter if it was in 500 newspapers last October that were all being tracked. You're just making that up.
[02:08.000 --> 02:13.000]  People are in denial. They might as well go ahead and stick their head in the sand. That's happening.
[02:13.000 --> 02:30.000]  Of course, you know, in L.A.'s Sunday L.A. Times, they described Donald Rumsfeld's plan to create a superintelligence support activity to bring together the CIA military covert action, information warfare, intelligence, and cover and deception.
[02:30.000 --> 02:37.000]  Domestically, with CIA offices running the FBI in 56 cities, according to the Washington Post.
[02:37.000 --> 02:45.000]  And they're also talking about to perform secret operations so as to stimulate reactions by terrorist groups.
[02:45.000 --> 02:51.000]  And, of course, remember a terrorist group is anybody that the administration says is a terrorist group.
[02:51.000 --> 02:57.000]  You know, that's a report I covered just a few days ago. Why don't you elaborate and give folks that L.A. Times date again?
[02:57.000 --> 03:07.000]  Well, it was last Sunday in the L.A. Times, and the thing is called Proactive Preemptive Operations Group, P2OG.
[03:07.000 --> 03:11.000]  You know, they brought the CIA in. We've got the spy planes flying over us.
[03:11.000 --> 03:21.000]  I just wonder if it's the, I'm sure it's the same predator spy plane that just assassinated people in a foreign country, not our country.
[03:21.000 --> 03:28.000]  You know, and they came out of the U.S.A. today even and said the United States assassinated a carload of people.
[03:28.000 --> 03:31.000]  And we think we got one of some of bin Laden's guys.
[03:31.000 --> 03:34.000]  Oh yeah, when he's CIA.
[03:34.000 --> 03:41.000]  Clay, let me hit this. Army secret people zapper plans, we know this was used in the Gulf War.
