[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[00:28.000 --> 00:34.000]  deep behind enemy lines, in occupied Texas, broadcasting worldwide.
[00:34.000 --> 00:42.000]  You're listening to the voice of human resistance against the technotronic technocracy tank-over.
[00:42.000 --> 00:45.000]  You're listening to Alex Jones.
[00:45.000 --> 01:04.000]  If you want it, baby, you're about to get it.
[01:04.000 --> 01:19.000]  On bad Khan Rahami, born in Afghanistan, was a Black Lives Matter supporter, hated the police, had filed reports that the police had not been nice to him.
[01:19.000 --> 01:22.000]  He is now in custody after a reported shootout.
[01:22.000 --> 01:30.000]  NBC News, New York is reporting. We do not have details, but he supposedly is in custody. We don't know what condition.
[01:30.000 --> 01:35.000]  We're going to put up on screen for TV viewers the little angel.
[01:35.000 --> 01:45.000]  This had nothing to do with Islam, nothing to do with Muslims, nothing to do with ISIS, even though ISIS took credit Saturday right after it happened.
[01:45.000 --> 01:54.000]  And of course, the stabbing of nine people in rural Minnesota while a man screamed Allah Akbar and asked, are you Muslim?
[01:54.000 --> 02:05.000]  That had nothing to do with Islam. And Hillary Clinton came out and lectured everyone on Sunday that this is not Islam, this is not a bombing.
[02:05.000 --> 02:09.000]  In fact, she says, yes, I was made aware of both bombings in New York and New Jersey.
[02:09.000 --> 02:17.000]  And then the CNN script, I guess, from her bosses came out and they said, ma'am, what about his, you know, compulsiveness, Trump saying it was a bombing?
[02:17.000 --> 02:21.000]  She said, it's terrible. This is the type of horrible things he does.
[02:21.000 --> 02:28.000]  In the same minute, 30 seconds, we have the unedited clip coming up. This is incredible.
[02:28.000 --> 02:31.000]  We covered this yesterday on The Sunday Show.
[02:31.000 --> 02:38.000]  Trump was on Fox News this morning pointing it out how disgusting and despicable and sickening these people are.
[02:38.000 --> 02:41.000]  I mean, this is an occupied, globalist force.
[02:41.000 --> 02:53.000]  And have you ever thought that I was kidding around when I broke down the emails of George Soros that WikiLeaks and others have released along with DCLeaks where he openly said we want to destroy Europe and get rid of Europeans?
[02:53.000 --> 02:59.000]  We now have a TV ad from Germany saying how great it is to wear the hajib for German women.
[02:59.000 --> 03:06.000]  But it gets worse. We now have Swedish TV coming up produced by the government.
[03:06.000 --> 03:14.000]  So is the German ad by the UN where it says Sweden is over. It's got subtitles. This is the end.
[03:14.000 --> 03:21.000]  And then a woman in a hajib looks up and says, get used to it. Quote. Let me give you the exact quote.
[03:21.000 --> 03:28.000]  This is the new country. Sweden is old. You are gone. We are the future.
[03:28.000 --> 03:40.000]  This from the Swedish government officially. This is an official battle plan.
[03:40.000 --> 03:51.000]  It's happening. Now you have to understand, ladies and gentlemen, that they're bringing in the most radical Muslims because they're incompatible even in their own countries.
[03:51.000 --> 03:59.000]  The Wahhabist. And they're now selling women wearing full burkas as a woman's right when these women are prisoners.
[03:59.000 --> 04:10.000]  So you've got that whole issue and you've got the mainstream media falling on its sword in delusion committing suicide in front of everyone politically.
[04:10.000 --> 04:17.000]  Saying that Donald Trump is wrong to come out and say there's been bombings when it was a bombing.
[04:17.000 --> 04:23.000]  Being decisive is now being compulsive. Then Hillary comes out, says it's a bomb. They say, no man, you don't say that.
[04:23.000 --> 04:36.000]  Trump says it. Oh, you're right. He's bad for saying it's a bomb. In the same sentence, then CNN and others edit the video in the same minute and a half to have her criticizing him for saying bomb.
[04:36.000 --> 04:44.000]  This is actually incredible comedy. This is the most hilarious. I mean, this is very funny if it wasn't so serious.
[04:44.000 --> 04:52.000]  These people are crazy. This is them, of course, fresh off of telling you Hillary isn't falling down. Hillary doesn't have epilepsy.
[04:52.000 --> 05:00.000]  Alex Jones is a big fat liar. Matt Drudge is a big fat liar. And then a week later, she collapses in front of everybody and the media tries to cover that up too.
[05:00.000 --> 05:05.000]  CNN has been caught in yet another scandal that exposes its pro establishment bias.
[05:05.000 --> 05:12.000]  And now we're getting it out. Hillary Clinton calling the New York attack a bombing during a press conference in which she criticized Donald Trump for using the same term.
