[00:00.000 --> 00:01.600]  We've got it, son.
[00:01.600 --> 00:03.600]  The biggest fan is coming now.
[00:07.200 --> 00:10.000]  Waging war on corruption.
[00:10.000 --> 00:11.600]  Oh, hey, you aren't golden.
[00:11.600 --> 00:18.000]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:20.000 --> 00:22.000]  Now we see the iron.
[00:22.000 --> 00:24.000]  You've got it, son.
[00:26.000 --> 00:27.000]  We got Obama folk.
[00:27.000 --> 00:31.000]  Yes, everybody in Cleveland, low minority, got Obama folk.
[00:31.000 --> 00:33.000]  Keep Obama in president, you know?
[00:33.000 --> 00:35.000]  He gave us a phone.
[00:35.000 --> 00:36.000]  He gave you a phone.
[00:36.000 --> 00:37.000]  How do you give you a phone?
[00:37.000 --> 00:38.000]  You sign up.
[00:38.000 --> 00:41.000]  If you're on full stamps, you're on social security.
[00:41.000 --> 00:44.000]  You got low income, you get disability.
[00:44.000 --> 00:45.000]  Hey, I have a question.
[00:45.000 --> 00:46.000]  Okay, what's wrong with Rami again?
[00:46.000 --> 00:48.000]  Rami, he sucks.
[00:48.000 --> 00:49.000]  Hey!
[00:52.000 --> 00:55.000]  Ladies and gentlemen, we are live here.
[00:55.000 --> 01:01.000]  It is Sunday, and it is the 30th day of September 2012,
[01:01.000 --> 01:04.000]  and Lord Willem will be here for the next two hours.
[01:04.000 --> 01:11.000]  We are simulcasting the radio transmission at prisonplanet.tv,
[01:11.000 --> 01:14.000]  and I don't know, we've had prisonplanet.tv for nine and a half years.
[01:14.000 --> 01:18.000]  For about six years, I've been simulcasting video during the radio show,
[01:18.000 --> 01:22.000]  but we're putting in more soundproofing and new cameras and some other equipment
[01:22.000 --> 01:26.000]  and some soundproof doors that they started last weekend.
[01:26.000 --> 01:28.000]  That's why I didn't do last Sunday's show live,
[01:28.000 --> 01:32.000]  and they've just got a few things to finish up today, maybe tomorrow,
[01:32.000 --> 01:33.000]  but there will be video.
[01:33.000 --> 01:36.000]  There will be video today when Dr. Glitten's on with us.
[01:36.000 --> 01:39.000]  There are documents and articles we'll be showing.
[01:39.000 --> 01:41.000]  It's just that a bunch of the studio's torn up,
[01:41.000 --> 01:47.000]  so we are not going to be showing you my ugly pumpkin head today.
[01:47.000 --> 01:50.000]  So I think everybody will survive,
[01:50.000 --> 01:56.000]  but there are a lot of reasons to be logged in over at infowarsnews.com right now
[01:56.000 --> 02:02.000]  or prisonplanet.tv because you can again see the video,
[02:02.000 --> 02:04.000]  see the documents, see the articles,
[02:04.000 --> 02:07.000]  and see our guest that is going to be coming up joining us via video.
[02:07.000 --> 02:11.000]  Skype adds a whole other dimension to it.
[02:11.000 --> 02:15.000]  I just want to say the crew, on top of training in the ways of info wars,
[02:15.000 --> 02:20.000]  six new reporters, and doing the nightly news and everything else they do
[02:20.000 --> 02:23.000]  have done a great job working with the construction crew last weekend
[02:23.000 --> 02:27.000]  and now some this weekend to try to get the studio up to speed,
[02:27.000 --> 02:30.000]  because when I built this into this little office place
[02:30.000 --> 02:32.000]  we have five and a half years ago when I moved over here,
[02:32.000 --> 02:36.000]  I never really properly designed it.
[02:36.000 --> 02:37.000]  I designed it.
[02:37.000 --> 02:38.000]  That was the problem.
[02:38.000 --> 02:42.000]  We now had professionals in to soundproof it a little bit better.
[02:42.000 --> 02:45.000]  It's a side issue. I've now belabored that point.
[02:45.000 --> 02:48.000]  I always give too much information on things that don't matter.
[02:48.000 --> 02:53.000]  Look, I intro things with the Obama phone lady here today
[02:53.000 --> 02:57.000]  because, well, the Washington Post is saying it's racist.
[02:57.000 --> 03:02.000]  It's racist to show someone who's been victimized and domesticated by big government.
[03:02.000 --> 03:09.000]  You're not supposed to show the, well, the ugly face of dependency.
[03:09.000 --> 03:12.000]  So I thought, well, wait a minute, since the media,
[03:12.000 --> 03:14.000]  the corporate media that has almost no viewers or readers now,
[03:14.000 --> 03:16.000]  but still is so self-important.
[03:16.000 --> 03:18.000]  They lecture us all on how things really work.
[03:18.000 --> 03:21.000]  I thought since they're saying this is out of context
[03:21.000 --> 03:25.000]  and not indicative of many Obama domesticated supporters,
[03:25.000 --> 03:28.000]  when this only validates, I'm not defending him overall,
[03:28.000 --> 03:32.000]  but validates what Mitt Romney said about 47% are totally dependent
[03:32.000 --> 03:37.000]  and would vote for the government to basically feed the rest of us into a meat grinder.
[03:37.000 --> 03:41.000]  For the government bureaucrats and for the big banks that feed off of us
[03:41.000 --> 03:47.000]  and for the welfare hordes, those of us that produce are the food.
[03:47.000 --> 03:51.000]  We're the food. We're the milk cows.
[03:51.000 --> 03:53.000]  And they get tired of just milking us.
[03:53.000 --> 03:56.000]  They actually use us up.
[03:56.000 --> 03:59.000]  And the empire uses up our young men in all these wars.
[03:59.000 --> 04:04.000]  So I've put together with the crew a compilation.
[04:04.000 --> 04:07.000]  There's even more tomorrow. There's so many of these that we haven't even had time
[04:07.000 --> 04:10.000]  to download them all and get them all ready for air.
[04:10.000 --> 04:13.000]  I don't know. There's seven, eight clips coming up after the break
[04:13.000 --> 04:15.000]  that we're going to show you here.
[04:15.000 --> 04:19.000]  And these are domesticated people, some black, some white, some Hispanic.
[04:19.000 --> 04:25.000]  But this is what the system has turned us into.
[04:25.000 --> 04:27.000]  And this is the plan. It's not my opinion.
[04:27.000 --> 04:31.000]  It's in the big social engineer handbooks and things that are out there.
[04:31.000 --> 04:34.000]  It's in the 21. So we're going to get into that.
[04:34.000 --> 04:39.000]  We're going to get into a bunch of economic news and incredible police state news.
[04:39.000 --> 04:43.000]  You know, we reported over a year ago the federal government funding street lights
[04:43.000 --> 04:46.000]  that watch and listen to you while they've come to the town where I live.
[04:46.000 --> 04:50.000]  So this country is deep down the rat hole of tyranny.
[04:50.000 --> 04:52.000]  That's coming up as well. Strap yourselves in.
[04:52.000 --> 04:57.000]  Back in 60 seconds, the news websites are prisonplanet.com and infowars.com.
[04:57.000 --> 05:00.000]  You found the tip of the spear.
[05:00.000 --> 05:04.000]  Silver Lungs Generator is the only all encompassing professional class product
[05:04.000 --> 05:10.000]  for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[05:10.000 --> 05:14.000]  With recent regulations threatening the sale of silver-based supplements,
[05:14.000 --> 05:21.000]  now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[05:21.000 --> 05:29.000]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere for any application.
[05:29.000 --> 05:33.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance
[05:33.000 --> 05:36.000]  nor replacement parts for the life of the unit.
[05:36.000 --> 05:41.000]  This product was designed to be an invaluable part of your vital preparations.
[05:41.000 --> 05:45.000]  For a detailed report on the differences between ionic silver, colloidal silver
[05:45.000 --> 05:53.000]  and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com
[05:53.000 --> 05:59.000]  for more information on why you should be producing your own silver solutions right from your home forever.
[06:24.000 --> 06:39.000]  Well, I am extremely thankful and glad and humbled by the fact that millions of people
[06:39.000 --> 06:46.000]  don't just join me every weekday, 12 noon to 3 p.m. Eastern, on over 120 AM and FM affiliates,
[06:46.000 --> 06:53.000]  including in big cities like Chicago and Dallas, Texas, Chicago, Illinois and Dallas, Texas, also XM Channel 166.
[06:53.000 --> 06:58.000]  I am very honored and blessed that millions of people, over a million and a half a day,
[06:58.000 --> 07:03.000]  visit infowars.com and prisonplanet.com respectfully.
[07:03.000 --> 07:12.000]  And we are here again on the Sunday transmission, the 30th day of September 2012.
[07:12.000 --> 07:17.000]  We are here every Sunday, so I am live on the radio, 6 days a week.
[07:17.000 --> 07:24.000]  We are also streaming a channel casting video at prisonplanet.tv right now of myself,
[07:24.000 --> 07:28.000]  the documents, the articles and the guests that is coming up in the next hour.
[07:28.000 --> 07:35.000]  Speaking of the next hour, GMO victory within reach, Proposition 37 is likely to pass,
[07:35.000 --> 07:43.000]  it declares LA Times, that will simply ask that all the food be labeled if it has genetically modified organisms in it.
[07:43.000 --> 07:47.000]  And that means basically cross species chimeras.
[07:47.000 --> 07:53.000]  It's one thing to breed plants and to even hybridize them with other similar species,
[07:53.000 --> 08:01.000]  but to put, say, insect genes into them or to add pesticide into it where the plant grows a pesticide so bugs can't eat it.
[08:01.000 --> 08:05.000]  If they do, they die, but then you eat it. I mean, no wonder in all the lab studies,
[08:05.000 --> 08:11.000]  the rats are dying of being poisoned and getting cancer and dying young and becoming sterile.
[08:11.000 --> 08:13.000]  And there's literally hundreds of big studies.
[08:13.000 --> 08:16.000]  And this is all coming to a head right now.
[08:16.000 --> 08:25.000]  We'll be talking, coming up for part of the next hour with Dr. Peter Glidden, always informative.
