[00:00.000 --> 00:20.000]  If you are receiving this transmission, you are the resistance.
[00:20.000 --> 00:28.000]  Live from the Infowars.com Studios, it's Alex Jones.
[00:28.000 --> 00:34.000]  Imagine that it's 1987.
[00:34.000 --> 00:42.000]  You go watch a science fiction movie at the theater, and in the film based on a dystopic future,
[00:42.000 --> 00:49.000]  these are the fictitious headlines, the fictional headlines.
[00:49.000 --> 01:00.000]  Top Democrats in Chicago and in Cook County call for UN troops on the ground, and the UN troops are already in talks ready to move in.
[01:00.000 --> 01:05.000]  That's Infowars.com, Paul Joseph Watson. It's a real headline. It's happening.
[01:05.000 --> 01:07.000]  And then I have all the articles where we warn you.
[01:07.000 --> 01:12.000]  Obama administration and UN announced global police force to fight extremism in the U.S.
[01:12.000 --> 01:26.000]  John Bown, Infowars.com, Special Report, Strong Cities Network, Euphemism for Neural Order Police Force, and UN troops in our cities and federalization under the UN directive of our police.
[01:26.000 --> 01:33.000]  Loretta Lynch said that last year. Literally. There's video. We played it like 20 times.
[01:33.000 --> 01:39.000]  Strong Cities Network planned for globally controlled police force.
[01:39.000 --> 01:45.000]  This is from the Justice Department, launch of Strong Cities Network to strengthen community reliance against violent extremism.
[01:45.000 --> 01:48.000]  Godowners, conservatives, libertarians, nationalists.
[01:48.000 --> 01:54.000]  But where are the Strong Cities Network, says the New American magazine, John F. McManus.
[01:54.000 --> 01:59.000]  It's here. They were planning all this when Hillary got in.
[01:59.000 --> 02:12.000]  In the next phase, they said they were the censorship, the control, the internet handed over to the UN, all of it. But now it's being derailed because of our nationalist movement against the globalists.
[02:12.000 --> 02:16.000]  This is so huge. That's one stack of the news.
[02:16.000 --> 02:24.000]  Then intercontinental ballistic missile intercepted over Riyadh, the capital Saudi Arabia, shaggots before slamming into the royal palace.
[02:24.000 --> 02:31.000]  It was on target and blew up right above the palace.
[02:31.000 --> 02:34.000]  That's just the explosion point and the pieces rained down.
[02:34.000 --> 02:39.000]  I mean, this is getting crazier and crazier by the moment.
[02:39.000 --> 02:47.000]  Mueller has come out and announced or they're set to announce another year because now their investigation is derailed.
[02:47.000 --> 02:50.000]  They don't want to admit that it's been derailed.
[02:50.000 --> 02:59.000]  I mean, there is just so much, so much going on. This is such a crazy time, such an insane time to be alive.
[02:59.000 --> 03:04.000]  And it boggles the mind of how crazy all of this is.
[03:04.000 --> 03:09.000]  And then it gets even worse when we come back from break.
[03:09.000 --> 03:15.000]  We've all seen the knockout game footage on WorldStarHipHop.
[03:15.000 --> 03:29.000]  But now they've passed laws in certain countries in Europe that outlaw showing footage of black people or Arabs attacking, beating and killing white people.
[03:29.000 --> 03:33.000]  They're now passing laws. We cannot say the race of who did it.
[03:33.000 --> 03:36.000]  And Google and Facebook are now removing the videos.
[03:36.000 --> 03:40.000]  The video we're showing you right now in our own streams at infowars.com.
[03:40.000 --> 03:51.000]  They will undoubtedly try to censor because they are covering up the vicious, vicious explosion of rapes and racial attacks under the leftist system
[03:51.000 --> 03:58.000]  where they have told the minorities who are the majority worldwide to attack and take out white people.
[03:58.000 --> 04:02.000]  French mayors panic as migrants overwhelm cities, beg, macrone for help.
[04:02.000 --> 04:05.000]  Just massive fires every night, attacks, deaths.
[04:05.000 --> 04:11.000]  Sweden, migrants charged with ruthless gang rape of women. Walk free.
[04:11.000 --> 04:22.000]  Swedish police banned from describing criminals anymore in cases if they sound racist.
[04:22.000 --> 04:25.000]  Attack in Nuremberg.
[04:25.000 --> 04:28.000]  Man collapses.
[04:28.000 --> 04:40.000]  Pensioner on the street, the man's fighting for his life, totally knocked out, 70-something-year-old retiree, then his head stomped by a guy that looks like Muhammad Ali.
[04:40.000 --> 04:43.000]  There's an old man, guys walk around all crazy in his underwear.
[04:43.000 --> 04:51.000]  That's how it is with, I mean, it's just giant third world populations that never even had toilets from mud huts, just running around.
[04:51.000 --> 04:57.000]  A lot of them had bones in their noses just six months ago and now they're here just killing because that's what tribes do, is kill each other.
[04:57.000 --> 05:03.000]  Fuel your body with carnivore, the new digestive enzyme product by InfoWars Life.
[05:03.000 --> 05:11.000]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[05:11.000 --> 05:16.000]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[05:16.000 --> 05:23.000]  Digestive enzyme production declines as we age. Carnivore is filled with digestive enzymes like those naturally present in the body.
[05:23.000 --> 05:26.000]  Enjoy the full potential of protein rich foods again.
[05:26.000 --> 05:33.000]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[05:33.000 --> 05:41.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[05:41.000 --> 05:49.000]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[05:49.000 --> 05:53.000]  Don't let a meal go to waste. Use carnivore by InfoWars Life.
[05:53.000 --> 05:59.000]  Head to InfoWarsLife.com and secure your bottle now. That's InfoWarsLife.com.
[06:23.000 --> 06:34.000]  FEMA Region 6, Austin, Texas. Transmitting worldwide, it's Alex Jones.
[06:34.000 --> 06:47.000]  An ICBM was fired today and detonated above the Royal Palace in Riyadh, Saudi Arabia.
[06:47.000 --> 06:53.000]  Undoubtedly, that has to do with the ongoing Chiite Sunni Civil War in the region.
[06:53.000 --> 06:58.000]  It was probably fired from the place the last missile came from.
[06:58.000 --> 07:01.000]  We're going to be getting to that incredible information.
[07:01.000 --> 07:08.000]  We're also going to be getting into this bomb shell. They're actually doing it.
[07:08.000 --> 07:15.000]  They actually did it.
[07:15.000 --> 07:30.000]  The United Nations is working, as we speak, with Chicago Democrats to bring you in troops onto the streets of Chicago.
[07:30.000 --> 07:36.000]  We're going to get into that entire plan.
[07:36.000 --> 07:46.000]  Now Mueller's talking about extending his probe into the end of next year because they found nothing.
[07:46.000 --> 07:50.000]  McMaster, the National Security Advisors on Chances of War with North Korea.
[07:50.000 --> 07:58.000]  All options are on the table as they now claim that North Korea launched a sophisticated ransomware attack on the West.
[07:58.000 --> 08:03.000]  The problem is, and I'm not defending North Korea, and they certainly do bad things.
[08:03.000 --> 08:12.000]  They're very brazen. The problem is, we have the data dumps of Vault 7 and Vault 8 where the CIA documents show
[08:12.000 --> 08:17.000]  that they busily frame foreign countries and have the software to do it.
[08:17.000 --> 08:28.000]  So that has to be looked at.
[08:28.000 --> 08:37.000]  The big news, ladies and gentlemen, that you're about to see and you're about to hear
[08:37.000 --> 08:54.000]  deals with the premeditated, organized United Nations global program to end all nation states and all cultures
[08:54.000 --> 09:00.000]  on the planet that would conflict with a private global corporate world government.
[09:00.000 --> 09:16.000]  As we speak, Cook County and the city of Chicago are publicly in talks to put armed UN peacekeepers on the streets of Cook County and Chicago.
[09:16.000 --> 09:29.000]  That now ties in to this censored information that Paul Watson has it all detailed on infowars.com and on newswars.com.
[09:29.000 --> 09:37.000]  Now, in Europe, the invasion to destabilize things, to have the pretext to have an EU army takeover with UN backing,
[09:37.000 --> 09:48.000]  is 10 million Islamists at least brought in the last five years, 80% or more military age men engaging in mass gang raping,
[09:48.000 --> 09:54.000]  murders, killings, mass fires in every country, every night.
[09:54.000 --> 09:58.000]  Paul Watson's family worked in the steel mills.
[09:58.000 --> 10:11.000]  Those got shut down, deindustrialized. They were with property costs there. They were able to sell their houses and move to France a decade ago.
[10:11.000 --> 10:19.000]  They just left France. It's even in small towns. There's just Muslims running around, burning things, murdering people, hitting people on the back of the head.
[10:19.000 --> 10:24.000]  And the police don't even know what to do because the prisons are all full. They're bringing in more.
[10:24.000 --> 10:33.000]  Paris has 80% or 90% depending on the month. Tourism down. There's just feces everywhere and giant shanty towns and people robbing, raping, killing.
[10:33.000 --> 10:41.000]  Every day new videos come out of the darling little migrants savagely beating, stomping and killing mainly old people.
[10:41.000 --> 10:46.000]  And how does Google, Facebook and Twitter respond?
[10:46.000 --> 10:51.000]  The new video came out just a few days ago and it's been removed everywhere it's posted.
[10:51.000 --> 10:59.000]  German government statements have stated and have chastised local news for showing it.
[10:59.000 --> 11:08.000]  I have a printout from the local news. They're told you're not supposed to show that. They could show any other crime.
[11:08.000 --> 11:19.000]  But you don't show a black migrant walk over to an old person on the side of the street and cold cocky knockout game.
[11:19.000 --> 11:25.000]  His head hits the pavement and then his head is further curb stomped and the man is fighting for his life.
[11:25.000 --> 11:34.000]  There are literally hundreds of fires a night. Major highways are shut down. They have a civil emergency.
[11:34.000 --> 11:47.000]  There are videos in Germany and in France of trees being blocked in front of the road like something on a day of the dead and hundreds of Arab men run out and drag families out of their cars into the night.
[11:47.000 --> 11:56.000]  Rates, deaths, everything. French mayors panic as migrants overwhelm cities, beg Macron for help.
[11:56.000 --> 11:58.000]  Zero hedge. It's up on infowords.com.
[11:58.000 --> 12:06.000]  Sweden, migrants charged with ruthless gang rape of women walk free.
[12:06.000 --> 12:12.000]  That's right. I see these cases every day just like in San Francisco.
[12:12.000 --> 12:28.000]  Oh, you shoot the woman in the back for no reason. She dies. She's white. We're going to let you go because this is part of an operation directed by liberal socialist white people who want to help her skelter race war and who are trying to detonate it.
[12:28.000 --> 12:36.000]  This is just today's news. Swedish police banned from describing criminals race because they could be called racist.
[12:36.000 --> 12:42.000]  And again, Sweden is actually passing laws. So is Germany. And here's the article out of focus.
[12:42.000 --> 12:50.000]  Attack in Nuremberg collapses pensioner on the street. He's in critical condition fighting for his life.
