[00:00.000 --> 00:29.640]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:29.640 --> 00:39.640]  I hope you're locked and loaded for another live transmission. It is the 21st day of July, 2013.
[00:39.640 --> 00:44.640]  I am your host, Alex Jones, and we're going to be here for the next two hours.
[00:44.640 --> 00:54.640]  We have an individual who's always informative and thought-provoking, Pastor David Manning, will be joining us.
[00:54.640 --> 01:04.640]  Coming up in the second hour, he said quite a bit to say about the whole Trayvon Martin situation.
[01:04.640 --> 01:11.640]  James David Manning will be joining us in the second hour today.
[01:11.640 --> 01:21.640]  And I'll be focusing in on the whole situation with Trayvon Martin and George Zimmerman in the context of how it's being used as social control.
[01:21.640 --> 01:28.640]  Because if I just covered it and debated it, that would kind of feed into the whole divide and conquer distraction that it is.
[01:28.640 --> 01:41.640]  But if we use it as a teaching tool while the public is captivated with the ongoing distraction, then it can be certainly enlightening on many different fronts.
[01:41.640 --> 01:47.640]  So that is coming up today here on this live, worldwide broadcast.
[01:47.640 --> 01:52.640]  I want to thank David Knight and the crew for doing a great job on Thursday and Friday.
[01:52.640 --> 01:55.640]  I want to take a few days off with the family.
[01:55.640 --> 02:03.640]  I actually take off a record low amount of vacation, and I end up working always when I'm on the road.
[02:03.640 --> 02:09.640]  Some of those videos were just posted up on infowars.com, and I tend to not take long vacations.
[02:09.640 --> 02:19.640]  I tend to break them up into shorter little snippets or they're working vacations like when I went to cover Bilderberg a few months ago in England.
[02:19.640 --> 02:28.640]  But some of those videos from the vacation, the short little vacation down to the Texas coast, are up on infowars.com.
[02:28.640 --> 02:35.640]  I visited Gonzales, the birthplace of Texas Independence, where they have big murals and flags saying come and take it.
[02:35.640 --> 02:40.640]  Try to confiscate our firearms. You'll get a new 1776.
[02:40.640 --> 02:54.640]  And I also have a satire group of videos up on infowars.com that just got posted titled Obama Creates Giant Rainbow After Catching Huge Fish.
[02:54.640 --> 02:57.640]  And there's two videos I shot on the coast.
[02:57.640 --> 03:02.640]  One of the smaller alligator guards was only 60 pounds that we caught.
[03:02.640 --> 03:05.640]  We make the joke that Obama really caught it.
[03:05.640 --> 03:12.640]  And then also a rainbow that I shot some video of that we point out that Obama says that he made because God doesn't exist.
[03:12.640 --> 03:18.640]  And so the government must have made it the state as God, and certainly he even shot the video of it.
[03:18.640 --> 03:22.640]  So President Obama was down there with me on the vacation doing all the work.
[03:22.640 --> 03:31.640]  And I just keep bringing back the whole you didn't build it thing because it illustrates the mindset of what this tyrant has been pushing.
[03:31.640 --> 03:37.640]  Now, all of that aside, I haven't even mentioned the big news that's coming up after the break.
[03:37.640 --> 03:41.640]  But also before I forget, it came out three days ago.
[03:41.640 --> 03:43.640]  We premiered it on info wars nightly news.
[03:43.640 --> 03:45.640]  It's got about 150,000 views.
[03:45.640 --> 03:50.640]  It needs to get about 5 million views in the next week to really have an effect.
[03:50.640 --> 03:52.640]  And that is the documentary that I'm in.
[03:52.640 --> 03:56.640]  And there's a lot of other really interesting and informative people in it.
[03:56.640 --> 04:09.640]  State of mind, the psychology of control goes viral, the video in full in HD that premiered on prisonplanet.tv is available to everybody right now at infowars.com.
[04:09.640 --> 04:19.640]  And prisonplanet.com, please take that page and email it, Facebook it, tweet it out to everyone you know.
[04:19.640 --> 04:33.640]  And we can really use the power of the millions of listeners that this broadcast has to launch this film and wake people up to the basics of how they're being manipulated with the history of mind control, the present and the future.
[04:33.640 --> 04:40.640]  Speaking of mind control coming up in the London independent of all places inside Google's HQ.
[04:40.640 --> 04:49.640]  They're planned to put brain chips in you and your family. That is the plan. It's really a globalist plan. I told you about it 15 years ago, but now here it is.
[04:49.640 --> 04:58.640]  We're also going to get into masses of doctors quitting over Obamacare and how that dwarfs the NSA spying system and more.
[04:58.640 --> 05:02.640]  Are we choosing our own destiny or has it been pre-selected for us?
[05:02.640 --> 05:08.640]  As we've moved through history, every great leader has had to understand the potential of information.
[05:08.640 --> 05:16.640]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[05:16.640 --> 05:25.640]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[05:25.640 --> 05:32.640]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[05:32.640 --> 05:35.640]  All of this is happening so fast, you need to be ahead of the game.
[05:35.640 --> 05:42.640]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[05:42.640 --> 06:06.640]  State of mind because there's a war on for your mind. Get your copy of State of Mind the Movie at infowars.com and remember every order at infowarsstore.com receives a free citizen rulebook.
[06:06.640 --> 06:17.640]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[06:36.640 --> 06:49.640]  I want to thank you for joining us on this live Sunday transmission, the 21st day of July 2013.
[06:49.640 --> 07:03.640]  Pastor James David Manning, who runs a big successful church up in the New York area in Harlem and has one of the biggest private programs feeding young, mainly black people up there.
[07:03.640 --> 07:13.640]  He's going to be joining us. He has a lot to say about the whole Trayvon Martin George Zimmerman tragedy and the distraction.
[07:13.640 --> 07:20.640]  We're also going to play that clip where Charles Barkley came out and basically said he agreed with the verdict.
[07:20.640 --> 07:25.640]  We've also seen Jimmy Carter come out and say the verdict was the right thing.
[07:25.640 --> 07:36.640]  I've had a lot of liberal former prosecutors on as well who have agreed with the verdict because there was reasonable doubt.
[07:36.640 --> 07:47.640]  And I know we're eight days after the verdict, but there have been giant demonstrations all over the country, racial attacks from Chicago to New York, from Miami to Los Angeles.
[07:47.640 --> 07:57.640]  Just stacks of reports where whites are being beaten up and rolled. They're being robbed because they're white and they deserve it.
[07:57.640 --> 08:11.640]  And that's like the old days and it still goes on. Some were gay people would be robbed outside of their homes or their neighborhoods or the clubs they would frequent because while they're gay, so they deserve to be beaten up.
[08:11.640 --> 08:19.640]  According to the people that would go and beat them up, really it was an excuse to rob them.
[08:19.640 --> 08:24.640]  And folks have pointed out whether you agree with that lifestyle or not, that is a wrong thing to do.
[08:24.640 --> 08:42.640]  Well, now the media has sold the establishment dinosaur media the idea that it is okay to beat up white people because after all they're racist and they deserve it.
[08:42.640 --> 09:00.640]  And this is what's been sold. And so we're going to be looking at the no exaggeration scores of reports every day confirmed racial attacks across this country and how it has been sold as something that is a good idea.
[09:00.640 --> 09:16.640]  And on that front here are some of the headlines we'll cover more detail next hour. LA joins nationwide protest against Zimmerman acquittal. I wish folks would protest about the foreign banks draining us each and every week of tens of billions of dollars,
[09:16.640 --> 09:28.640]  $85 billion a month given to foreign offshore banks. I certainly wish that people would be concerned about the loss of liberties for all Americans but no, the media knows how to divide and conquer.
[09:28.640 --> 09:38.640]  Also we'll be getting into this report that's up on infowars.com. George Zimmerman and Barack Obama share the same disapproval rating.
[09:38.640 --> 09:51.640]  That's just a classic. Also Trayvon's parents are leading the Zimmerman protest all over the country calling for the Justice Department to come in and persecute him more.
[09:51.640 --> 10:01.640]  There are about six dead 17 wounded in shootings since Friday night in Chicago. The Chicago Sun Times reports mainly black on black violence.
[10:01.640 --> 10:10.640]  There won't be any demonstrations over that calling for the people of Chicago to be able to be armed to protect themselves from the criminals.
