[00:00:15.756 --> 00:00:17.263]  Tomorrow's news, today.
[00:00:50.740 --> 00:00:52.881]  My friends, we are live.
[00:00:52.881 --> 00:01:00.005]  Thank you for joining us on this Thursday, December 2nd broadcast.
[00:01:00.005 --> 00:01:02.486]  I am your host, Alex Jones.
[00:01:02.486 --> 00:01:07.969]  We are going to be live here for the next four hours.
[00:01:07.969 --> 00:01:10.650]  Well, we are truly living shelf of heaven now.
[00:01:14.642 --> 00:01:40.037]  Just yesterday, we broke down the propaganda around the Western world, from Australia to the United States, from Germany to England, from Scotland to Spain, with all the paid pundits saying, the time for forced injections has come, we're going to come to your house and forcibly inject you, and if you resist us, the army will kill you!
[00:01:40.037 --> 00:01:43.039]  Everybody from Howard Stern to Cramer on CNBC.
[00:01:45.393 --> 00:01:58.946]  And of course that was lockstep with the unelected president of the European Union Commission that actually runs the EU, set up in 1956 in the Treaty of Rome.
[00:01:58.946 --> 00:02:01.749]  Look it up.
[00:02:01.749 --> 00:02:07.334]  The entire group running it are literally Austrian-Hungarian Empire royalty.
[00:02:07.334 --> 00:02:08.955]  But they of course got rid of their titles.
[00:02:10.745 --> 00:02:14.787]  The last head of it was in the family, the new head of it is connected to that.
[00:02:14.787 --> 00:02:26.773]  And literal royal Germans are announcing that they've taken over the European Union and that forced injections are about to begin.
[00:02:26.773 --> 00:02:33.136]  I told you to expect Germany within a week to announce forced inoculations door-to-door with the military.
[00:02:33.136 --> 00:02:39.059]  This will be shown all over the news worldwide like it's normal, so it can then be brought here.
[00:02:39.059 --> 00:02:39.740]  And sure as hell,
[00:02:41.510 --> 00:02:45.851]  The dictator Merkel, who's staged elections.
[00:02:45.851 --> 00:02:51.333]  The communist, the globalist Merkel has handed power over the new puppet government.
[00:02:51.333 --> 00:02:56.294]  And they have announced February 1st, door-to-door forced injections to begin.
[00:02:56.294 --> 00:02:58.215]  A civil war will break out.
[00:02:58.215 --> 00:03:01.756]  Even 1% of the Germans that are not injected fight back.
[00:03:01.756 --> 00:03:03.437]  It will be catastrophic.
[00:03:03.437 --> 00:03:04.797]  But they have no other choice now.
[00:03:06.897 --> 00:03:17.360]  If Hitler would have just said there was a disease and he had a vaccine, and he was invading countries to save them, he probably would have won World War II.
[00:03:17.360 --> 00:03:29.642]  The globalists have bought up the media, the globalists have bought up the academia, the globalists have set up big tech to censor and control, and now they are making their move.
[00:03:29.642 --> 00:03:31.383]  And it's being reported by Fox News,
[00:03:32.520 --> 00:03:35.981]  By Peter Doocy, who's a Doocy of a reporter.
[00:03:35.981 --> 00:03:37.242]  He's amazing.
[00:03:37.242 --> 00:03:41.783]  Does more than all the other corporate media in the field together.
[00:03:41.783 --> 00:03:51.867]  Biden is set to announce in a few hours draconian controls and threaten the public that anyone that is not vaccinated will be locked in their houses in blue cities.
[00:03:51.867 --> 00:03:59.769]  So everything you see in Germany, everything you see in Australia, everything you see in Spain is coming here if you put up with it.
[00:03:59.769 --> 00:04:01.110]  Thomas Jefferson was once asked,
[00:04:02.113 --> 00:04:03.614]  In a letter.
[00:04:03.614 --> 00:04:09.377]  What is the level of tyranny in which humans will accept?
[00:04:09.377 --> 00:04:11.679]  Which mankind will accept and live?
[00:04:11.679 --> 00:04:16.942]  And he said, it is the exact level that you will accept.
[00:04:16.942 --> 00:04:19.744]  Whatever level you will accommodate.
[00:04:19.744 --> 00:04:20.544]  That's really true.
[00:04:20.544 --> 00:04:25.267]  You see, there's not a vacuum in nature.
[00:04:25.267 --> 00:04:31.091]  So when you don't stand up for your freedoms and you don't care about your freedoms, bad people will come in and fill the vacuum and you will end up a slave.
[00:04:32.213 --> 00:04:36.174]  And maybe the first managers, you know, aren't that bad, but they always get replaced by worse people.
[00:04:36.174 --> 00:04:39.254]  And finally, you end up with pure evil.
[00:04:39.254 --> 00:04:44.035]  People that want to roast your children on a spit and eat them in front of you.
[00:04:44.035 --> 00:04:48.336]  Ladies and gentlemen, it's on.
[00:04:48.336 --> 00:04:54.258]  Global corporate exterminist operation using COVID-19 as a pretext to establish total martial law.
[00:04:54.258 --> 00:04:55.778]  And the killing's just getting started.
[00:04:59.324 --> 00:05:09.773]  InfoWars, we have launched the most important sale of the year because now we've got a bunch of great products that have been sold out for months and months and months back in stock.
[00:05:09.773 --> 00:05:18.300]  So right now, the real Black Friday sale is beginning and it's only going to run until the end of the month.
[00:05:18.300 --> 00:05:21.562]  And that's now only six, seven days.
[00:05:21.562 --> 00:05:25.505]  InfoWars store official Black Friday special has arrived.
[00:05:26.326 --> 00:05:27.927]  Ladies and gentlemen, people love it.
[00:05:27.927 --> 00:05:30.867]  It's our bestseller, Vitamin Mineral Fusion.
[00:05:30.867 --> 00:05:40.210]  All the vitamins, all the minerals, all the key amino acids, everything you need for your immune system and your body, and it tastes great, and it funds the InfoWar.
