[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[00:29.920 --> 00:34.920]  Behind Enemy Lines in Occupied Texas, Broadcasting Worldwide.
[00:34.920 --> 00:42.920]  You're listening to the voice of human resistance against the Technotronic Technocracy Cancoper.
[00:42.920 --> 00:45.920]  You're listening to Alex Jones.
[00:45.920 --> 01:02.920]  You want it baby, you're about to get it.
[01:02.920 --> 01:20.920]  Ladies and gentlemen, it is January 26, 2017.
[01:20.920 --> 01:21.920]  I'm your host Alex Jones.
[01:21.920 --> 01:23.920]  We're going to be here for the next four hours.
[01:23.920 --> 01:27.920]  We have another incredibly important transmission lined up.
[01:27.920 --> 01:38.920]  Trump is now synonymous with telling the truth, keeping his promises, and delivering in Blitzkrieg fashion a lightning war against the tyrants.
[01:38.920 --> 01:44.920]  But that's about the only, I guess, German or Nazi connotation you could make that would have any reality based in it.
[01:44.920 --> 01:51.920]  But MSM is saying the stock market, I've been using a number from about a week ago.
[01:51.920 --> 01:56.920]  Excuse me, I have to correct myself because that number is about a week old.
[01:56.920 --> 02:02.920]  Bloomberg is reporting that the stock market has gained $2 trillion.
[02:02.920 --> 02:06.920]  I've been saying $1 trillion, $1.2, $1.3.
[02:06.920 --> 02:08.920]  It hadn't looked the numbers up in a week.
[02:08.920 --> 02:10.920]  It was like $1.7 last week.
[02:10.920 --> 02:15.920]  It's $2 trillion.
[02:15.920 --> 02:22.920]  And MSM, you name it, are running around saying this is like Hitler.
[02:22.920 --> 02:35.920]  Meanwhile, the Mexican president is saying that he may not come next week to a visit with President Trump now because he said in Spanish, we're going to play it in a moment, we do not have walls in Mexico.
[02:35.920 --> 02:38.920]  Well, believe me, you deserve to have one with Guatemala.
[02:38.920 --> 02:41.920]  Guatemala basically is what Mexico has become.
[02:41.920 --> 02:44.920]  It collapsed third world country.
[02:44.920 --> 02:49.920]  And it's a good thing you have a wall down there or it would be total bedlam.
[02:49.920 --> 02:52.920]  But now he says he won't attend.
[02:52.920 --> 02:54.920]  Oh, so it was a rumor this morning.
[02:54.920 --> 03:05.920]  Now it's official just came out that he will not attend now because Trump would dare build a wall even though all these other countries have walls breaking the wall.
[03:05.920 --> 03:08.920]  Mexico pulls out of the Trump meet.
[03:08.920 --> 03:10.920]  So that's breaking right now on Drudge.
[03:10.920 --> 03:13.920]  Let's go ahead and play the president though, saying that there are no walls.
[03:13.920 --> 03:14.920]  Here it is.
[03:14.920 --> 03:18.920]  That is where we should be.
[03:18.920 --> 03:31.920]  I regret and disapprove of the decision by the United States to continue with the construction of the wall, which has for years far from uniting us divided us.
[03:31.920 --> 03:35.920]  Mexico does not believe in walls.
[03:35.920 --> 03:37.920]  I've said time and time again.
[03:37.920 --> 03:40.920]  Well, not pay for a wall.
[03:40.920 --> 03:51.920]  All it means is pennies, charged for people, wiring money would pay for it, pennies.
[03:51.920 --> 04:03.920]  Eight to fourteen billion dollars is nothing but a drop in the bucket when you talk about money transfers to Mexico and back and forth.
[04:03.920 --> 04:05.920]  Okay, that's good.
[04:05.920 --> 04:10.920]  So he goes on to say, you know, a negotiation is good for us to have, but now he's pulled out of the negotiation.
[04:10.920 --> 04:14.920]  So now Trump is going to run over Mexico.
[04:14.920 --> 04:15.920]  We deserve to have a wall.
[04:15.920 --> 04:22.920]  Mexico has collapsed into tyranny under previous globalist policies and we can have a wall.
[04:22.920 --> 04:34.920]  Quite frankly, it's not going to completely stop anybody, but it's an act of sovereignty and will slow down just complete criminal lawlessness where the Mexican drug trucks just drive right over and right back over the border.
[04:34.920 --> 04:45.920]  And large parts of Arizona are basically off limits unless you're a drug cartel and you've got the coyotes in there murdering and killing the people coming across the border.
[04:45.920 --> 04:47.920]  Oh, it's the coyotes doing the murdering.
