[00:00.000 --> 00:19.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[00:19.000 --> 00:28.000]  Welcome to the Alex Jones Show. I'm David Knight, your host today in Austin on this Sunday, November 23, 2014.
[00:28.000 --> 00:37.000]  Now we've had Obamacare, we've had Obama phones, and now we're going to have Obama law, it appears, because he's going to do more.
[00:37.000 --> 00:48.000]  He has already said, even before he made his executive order, his rule by fiat on illegal immigration, he said he was going to move ahead with climate change as well.
[00:48.000 --> 00:54.000]  And he didn't think that the Republican Congress, even with their majority, could stop him.
[00:54.000 --> 00:59.000]  Of course, what he really should have said is that they don't have the will to stop him.
[00:59.000 --> 01:07.000]  We're going to take a look at the true consequences of what he's done, and we're also going to look at the reactions to it from the GOP.
[01:07.000 --> 01:16.000]  As they go on vacation and go home, they've had some in their number get on and make some kind of, I think, very weak suggestions.
[01:16.000 --> 01:25.000]  Sadly, even Papu Cannon on the Sunday show talked about how what Obama did is an impeachable act, and then he goes on to say, but we shouldn't impeach him.
[01:25.000 --> 01:30.000]  Why? Why would we not impeach a president for an impeachable act?
[01:30.000 --> 01:37.000]  Well, the only reason is because of politics, because of selfish gain, and that's the point that we've gotten to now.
[01:37.000 --> 01:40.000]  So we're going to take a look at what the GOP reaction is, we're going to take a look at the press.
[01:40.000 --> 01:44.000]  Even Saturday Night Live was mocking Obama, we're going to take a look at that.
[01:44.000 --> 01:47.000]  And then we want to get your reactions, your solutions.
[01:47.000 --> 01:53.000]  And the number on Sunday is a little bit different number. It's 877-789-2539.
[01:53.000 --> 01:55.000]  That's 877-789-ALIX.
[01:55.000 --> 01:59.000]  We're also going to check in with our InfoWars reporters in Ferguson.
[01:59.000 --> 02:05.000]  And of course, in related aspects, there's been a couple of shootings over the weekend.
[02:05.000 --> 02:08.000]  One in, I think it was in Ohio.
[02:08.000 --> 02:15.000]  It was a young man who was, yeah, Cleveland, Ohio, a young man, a 12-year-old, was shot because he had a BB gun in his hand.
[02:15.000 --> 02:16.000]  So we're going to take a look at that.
[02:16.000 --> 02:21.000]  That may not be an unjustified shooting, depending on how this came down.
[02:21.000 --> 02:26.000]  And at first it looked like the police were going to stonewall people like that in Ferguson, but then they came out with an explanation.
[02:26.000 --> 02:30.000]  But then there was something far more troubling that happened this weekend in New York,
[02:30.000 --> 02:35.000]  a man walking up stairways in a project's building that was being patrolled by the police.
[02:35.000 --> 02:40.000]  He was shot in the stairwell. They shot him in the chest and he was killed.
[02:40.000 --> 02:46.000]  And now the police have very quickly come out and said it doesn't look like he was doing anything illegal.
[02:46.000 --> 02:49.000]  He didn't have any weapons. There was no reason for it.
[02:49.000 --> 02:56.000]  Coldly, the police did not even call for an ambulance there. They just left him there to die.
[02:56.000 --> 03:04.000]  But in related information this week, we had someone who was a whistleblower in the police department claiming
[03:04.000 --> 03:12.000]  that the police commissioner had essentially fudged the data on excessive force, essentially doing a gruber.
[03:12.000 --> 03:18.000]  I think we need to take Jonathan Gruber's experience. I think we need to make a verb out of him.
[03:18.000 --> 03:20.000]  So we're going to take a look at that.
[03:20.000 --> 03:24.000]  And also in some news, we've got another secret order from Obama.
[03:24.000 --> 03:26.000]  We've got a story up on infowars.com.
[03:26.000 --> 03:29.000]  Obama secretly extends U.S. combat operations in Afghanistan.
[03:29.000 --> 03:34.000]  He hasn't talked about that executive order, but that's going to have some big consequences.
[03:34.000 --> 03:41.000]  Something else being done in secret, of course, although it's been reported many times how those in the upper echelons of power
[03:41.000 --> 03:45.000]  have been involved in pedophile rings in both the United States as well as in Britain.
[03:45.000 --> 03:48.000]  Now we see it yet again. And this is not the Savile case.
[03:48.000 --> 03:52.000]  This is another case where they shut down reporters.
[03:52.000 --> 03:57.000]  It was a pedophile ring of politicians. They said it was a matter of national security.
[03:57.000 --> 04:01.000]  There's also a story that's up on infowars.com. We'll be talking about that.
[04:01.000 --> 04:09.000]  We also have a Texas representative who's introduced a bill to nullify all federal gun control regulations within the state of Texas
[04:09.000 --> 04:13.000]  if they conflict with the plain writing of the Second Amendment.
[04:13.000 --> 04:17.000]  That is the rightful way, I believe, for us to stand this down.
