[00:00.000 --> 00:10.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:30.000 --> 00:44.000]  Ladies and gentlemen, thank you for joining us on this live 8th day of December 2013 Sunday edition.
[00:44.000 --> 00:50.000]  And we're going to be here for the next two hours as we are every Sunday. Lord willing.
[00:50.000 --> 01:19.000]  And we will open the phones up as well. My biggest problem is getting on air and actually covering all the news and analysis and not just going back to the basics that we have a tyrannical planetary world government that has been established and pointed directly at humanity.
[01:19.000 --> 01:33.000]  This only happens occasionally where I'll go on air right at first and start talking and then my throat is just incredibly dry and I'm on the verge of going into a giant hacking fit.
[01:33.000 --> 01:56.000]  But nevertheless, I will break down. Just forgot to bring less water in here. Nevertheless, I will break everything down here today. The good news is a lot of people are waking up to the fact that we are facing a planetary scientifically orchestrated tyranny.
[01:56.000 --> 02:06.000]  By a collection of criminals, but they all basically leave the growing tyranny in place because they all seek to control it.
[02:06.000 --> 02:17.000]  So there are many spiders and many webs, but they are all of one spirit and one mind, one mind at the bottom of the pit.
[02:17.000 --> 02:30.000]  They are birds of a feather that flock together. And so today when we kick off the official transmission at the start of the next segment, some stations don't carry this first five minutes.
[02:30.000 --> 02:41.000]  We will go into all of the news. Here are just some of the stacks. New York City. It's not just New York City. The Daily Caller got it partially right. It's all of New York State.
[02:41.000 --> 02:49.000]  It's all against confiscating firearms that were previously registered. So that's why they use the registration and purchase records.
[02:49.000 --> 02:54.000]  That ties into Republicans tout campaign to blunt Obama's executive powers.
[02:54.000 --> 03:09.000]  Maybe like a 1940 headline saying, oh, the German Reichstag is trying to blunt the Führer's powers. How dare of them? Because the article basically makes light of it. Like, well, they won't get anything done. So Obama's got to be a dictator. Very disgusting.
[03:09.000 --> 03:19.000]  How our liberty goes out with a whimper, not with a bang. The illegal immigrants are seeking in-state tuition all over the country and getting it thanks to judges.
[03:19.000 --> 03:28.000]  Can I go to Mexico and get in-state tuition? No, I can get thrown in a dirt floor jail and get my teeth knocked out, but that's okay. Nobody wants to report on that when that happens.
[03:28.000 --> 03:42.000]  Continuing, we're going to get into the really serious news. Detroit ruling opens the door to pension cuts across the nation. They've slashed pensions by 80% now in Detroit, and Rand Paul has a plan he thinks to fix it.
[03:42.000 --> 03:53.000]  We're going to talk about that. Thousands seek refuge at Central African Airport, where the Muslim minority brought in by the West, and in the past backed by the West.
[03:53.000 --> 04:06.000]  They've now turned Libya over to these folks to use that as a conduit to pump them into the rest of Africa. They're killing the Christians en masse, just like the UN always sponsors the Muslims, animus, and others to do.
[04:06.000 --> 04:18.000]  That's in the Associated Press, but you will not be hearing about that really on the news much here, because when blacks kill blacks, by the millions, it's a non-issue.
[04:18.000 --> 04:30.000]  Only white evil is exposed in Africa, because then it's always used politically for a new group of white people to come in and take over and enslave everyone even worse.
[04:30.000 --> 04:38.000]  That's just generally how it works. Also, Mark Fauber, Financial Crisis, don't happen accidentally. They are inevitable.
[04:38.000 --> 04:51.000]  Hong Kong quarantines 19 people over its second bird flu case. A big stack of NSA police state spy grid news, as basically everything we've talked about over the years is admitted mainstream news.
[04:51.000 --> 04:59.000]  We're going to be getting into that, and we're going to get into record cold temperatures, because Al Gore said we're having warming, and penguins can't swim.
[04:59.000 --> 05:02.000]  Alex Jones here with a very important announcement for truth seekers.
[05:02.000 --> 05:08.000]  We've carried a lot of amazing films and books over the years on the online video bookstore at infowars.com.
[05:08.000 --> 05:15.000]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[05:15.000 --> 05:20.000]  And that's Dreams From My Real Father by Joel Gilbert, available at infowars.com.
[05:20.000 --> 05:24.000]  This film exposes the fraud that Obama is like nothing I've seen.
[05:24.000 --> 05:32.000]  If you want to know who Obama's real daddy is, this is the film for you. Don't forget, your purchase supports our broadcast and our growing media network.
[05:32.000 --> 05:39.000]  You'll also find it at infowarshop.com. None dare call a conspiracy by Gary Allen, the book that woke me up.
[05:39.000 --> 05:43.000]  We're also carrying behind the green mask, You in Agenda 21 by Rosa Corey.
[05:43.000 --> 05:46.000]  This book is coffin nails to the globalist takeover.
[05:46.000 --> 05:53.000]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[05:53.000 --> 05:58.000]  These titles and a lot more are all available at infowarshop.com.
[06:23.000 --> 06:29.000]  The first reports say that President Kennedy has been seriously wounded by the shooting.
[06:29.000 --> 06:33.000]  It is a big idea. A neutral order.
[06:36.000 --> 06:41.000]  It was almost as if it were planned in motion. It's just pancake.
[06:41.000 --> 06:51.000]  Either you were with us, or you were with the terrorists.
[07:00.000 --> 07:10.000]  But I also believe a lot of gun owners would agree that AK-47s belong in hands of soldiers not in the hands of criminals.
[07:10.000 --> 07:19.000]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[07:19.000 --> 07:23.000]  Global governance at last. Is it one world? The central bank is in charge.
[07:23.000 --> 07:27.000]  But aren't we all just living and dying for what the central banks do?
[07:27.000 --> 07:41.000]  For me, give me liberty or give me death!
[07:58.000 --> 08:04.000]  Broadcasting worldwide on the AM and FM dial, global shortwave, satellite, internet, the podcast.
[08:04.000 --> 08:07.000]  All of it is there at infowars.com.
[08:07.000 --> 08:17.000]  Our PrisonPlanet.com and the Listen pages are on our Facebook pages or real Alex Jones on Twitter if you'd like to follow us there.
[08:17.000 --> 08:21.000]  This news is so important. I've absolutely got to cover all of it today.
[08:21.000 --> 08:34.000]  Here's what we've got. A big stack of naked, beyond 1984 police state measures that are targeted at the American people and are openly, completely illegal.
[08:34.000 --> 08:46.000]  We're going to get into that stack of news here today. First off, then we're going to get into some amazing science and technology discoveries that are really interesting.
[08:46.000 --> 08:53.000]  And so many of these discoveries are actually just reconformations or expansion of knowledge of what we already knew.
[08:53.000 --> 09:00.000]  Things like vast freshwater reserves discovered under the ocean floor, which could supply future generations.
[09:00.000 --> 09:06.000]  That's right. There's two different oceans. There's a freshwater ocean under the saltwater ocean.
[09:06.000 --> 09:12.000]  Unbelievably important information. That's just some of the technology news and science news.
[09:12.000 --> 09:21.000]  Of course, the big news is in California, Oregon, New York state, you name it.
[09:21.000 --> 09:32.000]  They are confiscating almost all the firearms and using interpretations that aren't even in the unconstitutional legislation that has been passed.
[09:32.000 --> 09:46.000]  And they are using gun purchase records and threatening people. We're going to show you the letter that goes out where they say rifle and shotgun, you know, basically turn them all in.
[09:46.000 --> 09:52.000]  And my point is, is they're always saying that, oh, we don't want your guns. Just register them.
[09:52.000 --> 09:56.000]  And then the first thing they do is move to take your guns.
[09:56.000 --> 10:05.000]  And they've got every couple days a new army colonel, because that's a little used for propaganda or lieutenant colonel.
[10:05.000 --> 10:11.000]  They've got them at Texas A&M University. They've got them at West Point. They've got them. This guy's at West Point.
[10:11.000 --> 10:17.000]  This latest one published in Esquire saying, quote, we'll take your gun from your cold dead hand.
[10:17.000 --> 10:21.000]  And then other quotes about he's sorry what has to happen to us now.
[10:21.000 --> 10:29.000]  I mean, it is creepy. And they've got all these other army colonels coming out saying we're bringing in world government.
[10:29.000 --> 10:33.000]  We're preparing for war with the Tea Party.
[10:33.000 --> 10:41.000]  We're going to take your guns. Only the state can have force. I mean, this is Stalin talk.
[10:41.000 --> 10:49.000]  Can't we have just one country where they haven't socialized everything and made everybody slaves and taken the guns and where the state is God.
[10:49.000 --> 10:54.000]  I mean, and I thought America was supposed to be about the family and private property and guns.
[10:54.000 --> 10:58.000]  And that made us the richest country in the world. And now we're going the opposite direction.
[10:58.000 --> 11:07.000]  And a bunch of offshore fat cats have written the battle plan and the kleptocratic government goes along with it.
[11:07.000 --> 11:14.000]  The prostitute media goes along with it. And now we're in deep trouble.
[11:14.000 --> 11:19.000]  And their answer is more tyranny will fix things.
[11:19.000 --> 11:27.000]  So I've got that stack of news. I've got this really important article because it illustrates everything I'm talking about.
[11:27.000 --> 11:30.000]  I keep wondering where's mainstream media.
[11:30.000 --> 11:41.000]  When the last three weeks they've had multiple House and Senate hearings about how Obama is officially a dictator now, officially.
[11:41.000 --> 11:48.000]  Now, that doesn't mean he won't leave office, but he's turned the office itself into a classical dictatorial system.
[11:48.000 --> 11:56.000]  Forget the three branches of government now. It's it's one and the erosion as Jonathan Turley, who's really a classical liberal.
[11:56.000 --> 12:01.000]  He testified to Congress and said, we're in deep trouble. And we play this report last week.
[12:01.000 --> 12:09.000]  We played clips from Congress where he and other top lawyers on the left and the right, but also members of Congress said, well, yeah, Obama.
[12:09.000 --> 12:17.000]  He is implementing total amnesty by fiat.
[12:17.000 --> 12:24.000]  He doesn't even sign executive orders now. He just tells ice and the federal departments just to do it.
[12:24.000 --> 12:28.000]  He's saying he'll change Obamacare without changing the law.
[12:28.000 --> 12:34.000]  I mean, even the former Heather Democratic National Committee, Howard Dean came out a few weeks ago and said, he can't do that.
[12:34.000 --> 12:41.000]  That's dictatorial. And the Democratic Party came out and said, oh, no, this is how he fixes it.
[12:41.000 --> 12:50.000]  So on shutting down power plants that aren't owned by his insider buddies like General Electric, he's not even using executive orders.
[12:50.000 --> 12:55.000]  He's just doing it. He raised carbon taxes this year without even an executive order, which is unconstitutional.
[12:55.000 --> 13:03.000]  He just spoke to a bureaucrat and then it was added into a directive that was in the news.
[13:03.000 --> 13:09.000]  But only in a regulatory publication that covered regulations.
[13:09.000 --> 13:13.000]  Now he just speaks like he's an ancient king or something.
[13:13.000 --> 13:15.000]  So let it be written. So let it be done.
[13:15.000 --> 13:18.000]  That the great emperor has spoken Kim Jong-un.
[13:18.000 --> 13:21.000]  Even Kim Jong-un puts it down on paper.
[13:21.000 --> 13:25.000]  So on guns, they're using executive power outside of Congress.
[13:25.000 --> 13:32.000]  They put our military under NATO UN command and Obama sent a letter to Congress and they complained last year and this year.
[13:32.000 --> 13:37.000]  Three different hearings and said, I'm allowed to do whatever I want. Here's a letter.
[13:37.000 --> 13:39.000]  I inherently can do this.
[13:39.000 --> 13:51.000]  So the military, energy, just basically everything, guns, right, self-defense, states, rights, you name it.
[13:51.000 --> 13:56.000]  Across the board, they just do whatever they want now.
[13:56.000 --> 13:58.000]  And here is a Hill article.
[13:58.000 --> 14:04.000]  If I could just cover this down and go to break and come back with the NSAIN-ish, Republicans tout campaign to blunt Obama's executive powers.
[14:04.000 --> 14:18.000]  So I kept wondering, how will the dinosaur state run media, the lapdog media, how will they deal with this?
[14:18.000 --> 14:25.000]  Because there's just no coverage unless you're at infowars.com or prisonbunna.com or drudgerport.com.
[14:25.000 --> 14:30.000]  It links to a congressional testimony and you watch a 30-minute video.
[14:30.000 --> 14:33.000]  No one is talking about this.
[14:33.000 --> 14:36.000]  No one is talking about this.
[14:36.000 --> 14:40.000]  And so I've been asking for three weeks. They're actually having hearings. Good job, Congress.
[14:40.000 --> 14:42.000]  But they're very milk toast.
[14:42.000 --> 14:51.000]  Well, it is dictatorial. It is dangerous and we've seen the last six years it go from unprecedented executive power grabs to just outriding.
[14:51.000 --> 14:58.000]  You know, this is dictatorial now and can overthrow the government, all these top constitutional lawyers, and we're really in trouble.
[14:58.000 --> 15:04.000]  And the public really has a right to revolt physically against this or in the Declaration of Independence.
[15:04.000 --> 15:10.000]  And everybody's looking like the canary, you know, the cat that's just eaten the canary.
[15:10.000 --> 15:12.000]  It's just bizarre.
[15:12.000 --> 15:15.000]  And I'm like, wow, this is really encouraging. But where's the media?
[15:15.000 --> 15:18.000]  I mean, even if they're lapdogs, they've got to report on this.
[15:18.000 --> 15:24.000]  So the Hill comes out with an article, Republicans tout campaign to blunt Obama's executive powers.
[15:24.000 --> 15:33.000]  To blunt his executive powers? It's to blunt a classical dictatorial, totally unconstitutional power grab.
[15:33.000 --> 15:35.000]  No debating. No debating.
[15:35.000 --> 15:39.000]  Congress says do not implement carbon taxes. He does it.
[15:39.000 --> 15:44.000]  He says he'll decide with the tax Obamacare what to implement, what not to.
[15:44.000 --> 15:47.000]  The president doesn't decide taxes. Congress does. He executes it.
[15:47.000 --> 15:55.000]  It goes on and on. And when we come back, I'll finish up with this article because they basically criticize the Republicans for daring to question Obama.
[15:55.000 --> 16:18.000]  After all, he's just trying to fix things and help us.
[16:25.000 --> 16:33.000]  And the results are on record, reports documented, a 15 point IQ increase in areas that had previously been deficient in iodine.
[16:33.000 --> 16:42.000]  Bottom line, iodine is important. Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[16:42.000 --> 16:47.000]  You will find Survival Shield nascent iodine exclusively at infowarslife.com.
[16:47.000 --> 16:59.000]  Infowars life, Survival Shield nascent iodine isn't just for emergencies. I take it every day. That's infowarslife.com or call toll 3-888-253-3139.
[16:59.000 --> 17:03.000]  Alex Jones here with a message to fellow freedom lovers.
[17:03.000 --> 17:08.000]  The prognosis for the entire planetary economic system runs from bad to worse.
[17:08.000 --> 17:15.000]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[17:15.000 --> 17:21.000]  That's why we've assembled the most vital and important preparedness items at infowarshop.com.
[17:21.000 --> 17:25.000]  These are items that I did research on that I personally use.
[17:25.000 --> 17:30.000]  You've got the life straw so you can turn fetid water into safe water anywhere you go.
[17:30.000 --> 17:35.000]  The K-Tor hand crank generator to charge up key equipment during power outages or out in the field.
[17:35.000 --> 17:45.000]  Strategic relocation third edition by Joel Scousum. When disaster strikes by Matthew Stein. They're a safe used by Homeland Security to protect yourself during any radiological event.
[17:45.000 --> 17:48.000]  Hand crank shortwave AMFM radios.
