[00:00:02.336 --> 00:00:07.884]  Waging war on corruption.
[00:00:07.884 --> 00:00:13.472]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:13.472 --> 00:00:16.376]  And now, your host, Owen Troyer.
[00:00:20.755 --> 00:00:23.097]  Absolutely huge breaking news today.
[00:00:23.097 --> 00:00:25.499]  Stacks of news today.
[00:00:25.499 --> 00:00:29.421]  You've got Seattle going full libtard.
[00:00:29.421 --> 00:00:35.286]  A judge saying that your car is now your home so it can't be impounded so just park it anywhere.
[00:00:35.286 --> 00:00:37.647]  They're confiscating guns in Seattle now.
[00:00:37.647 --> 00:00:41.891]  If somebody calls the cops and says you look weird, you've got a teenager
[00:00:42.691 --> 00:00:48.196]  In Utah, who tried to detonate a bomb at Pineview School.
[00:00:48.196 --> 00:00:52.099]  And you've got Attorney General Jeff Sessions with a pulse all of a sudden.
[00:00:52.099 --> 00:00:53.880]  Somebody shocked him back to life.
[00:00:53.880 --> 00:00:56.963]  And he's calling out sanctuary cities as they are now being sued.
[00:00:58.066 --> 00:01:01.368]  With interference over immigration enforcement.
[00:01:01.368 --> 00:01:04.470]  Now, Alex, you've got all of these stacks of news going on.
[00:01:04.470 --> 00:01:12.135]  Meanwhile, the fake news, CNN, continues to desperately try to attack President Trump with lies.
[00:01:12.135 --> 00:01:16.517]  They bring some drunk on air to try to use him as a story maker.
[00:01:16.517 --> 00:01:22.061]  I mean, the desperation right now from the fake news and the deep state is really starting to show itself.
[00:01:23.339 --> 00:01:35.303]  Well I gotta tell you, overall we're winning trying to bring prosperity and basic justice back, but throwing out the globalists and their minions really has made me sick and let me know that they're worse than I even thought they were.
[00:01:35.303 --> 00:01:43.126]  And the disease that was in the head of the fish has now reached all the way down to the tail, and we are just up against incredible times.
[00:01:43.126 --> 00:01:47.408]  You know, if the Democrats think that these
[00:01:48.380 --> 00:01:51.921]  Moderate trade sanctions are going to destroy Trump.
[00:01:51.921 --> 00:01:54.042]  Well, then they would be all for it.
[00:01:54.042 --> 00:01:57.343]  They wouldn't be breathlessly fighting it as hard as they could.
[00:01:57.343 --> 00:02:02.145]  But they know that Europe has unfair internal tariffs against us, regulatory tariffs.
[00:02:02.145 --> 00:02:05.026]  They know that China has them.
[00:02:05.026 --> 00:02:06.987]  They know that Japan has gotten better.
[00:02:06.987 --> 00:02:08.407]  They've made a lot of good deals with the U.S.
[00:02:08.407 --> 00:02:12.749]  They've moved a lot of big factories here because they understand that they need a market to trade with.
[00:02:12.749 --> 00:02:14.229]  The Japanese get it.
[00:02:14.229 --> 00:02:15.710]  China's being very, very adversarial.
[00:02:17.157 --> 00:02:18.117]  So is Mexico.
[00:02:18.117 --> 00:02:24.218]  These are all one-sided deals designed to geld, designed to castrate the United States.
[00:02:24.218 --> 00:02:27.179]  So you've got Cohn leaving.
[00:02:27.179 --> 00:02:28.399]  Well, look, we got the tax cuts.
[00:02:28.399 --> 00:02:28.919]  That's done.
[00:02:28.919 --> 00:02:30.140]  He's gone.
[00:02:30.140 --> 00:02:31.780]  But they are trying to destabilize the White House.
[00:02:31.780 --> 00:02:36.221]  I think the White House, for the first time in 14, 15 months, is in crisis.
[00:02:36.221 --> 00:02:44.162]  And we'll talk about some of that coming up with Stormy Daniels and all the things going on with that and with all the different moles that are inside there.
[00:02:44.162 --> 00:02:46.643]  But it is just a crazy time.
[00:02:47.406 --> 00:02:59.698]  To be alive and to see CNN and to see all these Democratic Party groups and all these organizations coming after free speech, trying to shut us down.
[00:02:59.698 --> 00:03:01.579]  It shows you what authoritarians they are.
[00:03:01.579 --> 00:03:06.604]  And it's very, very sad that this is the awful truth that we face.
[00:03:06.604 --> 00:03:07.305]  And when they fail,
[00:03:08.180 --> 00:03:10.381]  To remove our channel after four false strikes.
[00:03:10.381 --> 00:03:13.942]  There's still one on there that's frozen us being able to do live streams from that account.
[00:03:13.942 --> 00:03:17.923]  They then say it's all a hoax in the Washington Post.
[00:03:17.923 --> 00:03:24.605]  And they say Jones shot videos from his home to make it look like he couldn't work from a studio, but it's all fake.
[00:03:24.605 --> 00:03:26.326]  No one's trying to shut him down.
[00:03:26.326 --> 00:03:34.968]  With the lawsuits and CNN saying take down our channels and Pepe the Frog lawsuit and the Real News situation and on and on and on.
[00:03:34.968 --> 00:03:36.389]  The Communist Party suing us.
[00:03:37.401 --> 00:03:46.203]  You cannot make this up, so the listeners know that we're good, we're honest, we're decent, we're trying to build a better future just like they are, and that's why we're all under attack.
[00:03:46.203 --> 00:03:55.464]  But realize, we're under attack because we echo the sentiment of the American people, who are basic good Christians, are free market folks, and that's why we're under attack.
[00:03:55.464 --> 00:04:02.946]  So I'm very, very honored with you, I want the rest of the crew to be in this position, but this is a very, very serious situation, and they are so angry the economy is coming back.
[00:04:02.946 --> 00:04:05.406]  We have a record Democrat turnout.
[00:04:06.332 --> 00:04:06.612]  I think so.
[00:04:21.548 --> 00:04:26.030]  And we know they brought in Democrats from all over to vote off voter registration rolls.
[00:04:26.030 --> 00:04:33.854]  So if your grandmother or grandfather or father or mother or brother or sister recently died, you've got to go through the procedure to get them off the voting rolls.
[00:04:33.854 --> 00:04:35.355]  You've got to talk to the county.
[00:04:35.355 --> 00:04:40.377]  You've got to go make sure that no one votes in their name this year to seal their names on the roll.
[00:04:40.377 --> 00:04:40.998]  You've got to go.
[00:04:40.998 --> 00:04:44.539]  I'm not saying Republicans should go vote in the name of their dead family member.
[00:04:44.539 --> 00:04:47.481]  I'm just saying the Democrats are having people vote on average.
[00:04:47.481 --> 00:04:49.082]  Project Veritas caught this 10 times.
[00:04:51.143 --> 00:04:53.865]  They said on average that they had people vote ten times.
[00:04:53.865 --> 00:04:55.726]  They caught them five times on tape.
[00:04:55.726 --> 00:04:58.167]  So this is massive news and information.
[00:04:58.167 --> 00:05:00.989]  Straight ahead on the other side, I've got a whole raft of issues here.
[00:05:00.989 --> 00:05:01.790]  I'm so excited.
[00:05:01.790 --> 00:05:10.335]  The new product at Infowarslife.com, in a glass bottle, two month servings, filled to the brim, filled to the absolute top.
[00:05:10.335 --> 00:05:11.916]  The Real Red Pill.
[00:05:11.916 --> 00:05:14.018]  This is a heart and brain pill.
[00:05:14.898 --> 00:05:20.424]  A nootropic doesn't have any stimulus in it, but boy does it stimulate, because it's beyond that.
[00:05:20.424 --> 00:05:29.214]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[00:05:31.308 --> 00:05:41.571]  For the formulae, and I came up with our own formula, working with some scientists and developers, non-GMO, made right here in America, 120 capsules.
[00:05:41.571 --> 00:05:50.894]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[00:05:50.894 --> 00:05:53.575]  It is amazing!
[00:05:53.575 --> 00:05:58.537]  Red Pill, now available at InfoWarsTore.com, and your purchase funds the operation.
