[00:00:02.867 --> 00:00:03.467]  I'm David Knight.
[00:00:03.467 --> 00:00:06.388]  We're live this Sunday, August 28, 2016.
[00:00:06.388 --> 00:00:13.071]  But first, an important message from Alex Jones.
[00:00:13.071 --> 00:00:16.552]  Welcome, my friends, to the Sunday edition of this worldwide broadcast.
[00:00:16.552 --> 00:00:20.874]  David Knight is going to be anchoring and hosting the broadcast today.
[00:00:20.874 --> 00:00:29.757]  But I spent much of yesterday in the office shooting a special report that's going to air at the bottom of this hour.
[00:00:31.672 --> 00:00:46.435]  By the time you are tuning in to the broadcast, we should also be able to post the report on InfoWars.com and PrisonPlanet.com so that you can send it on to warn your friends, your family, your neighbors, and others.
[00:00:46.435 --> 00:00:51.316]  The dire straits this country and the rest of the planet is in is unprecedented in our history.
[00:00:51.316 --> 00:00:52.717]  I don't think anybody can deny that.
[00:00:52.717 --> 00:00:55.777]  It's a prima facie fact on its face.
[00:00:55.777 --> 00:00:58.258]  We are in the midst of a global transformation
[00:01:00.385 --> 00:01:15.378]  From once quasi-free societies to scientific tyrannies, the globalists are dismantling every form of basic human liberty and in its place, installing a technocracy.
[00:01:15.378 --> 00:01:24.866]  Even well-meaning liberals that I know, when they read the New York Times or look at CNN.com and see, no exaggeration, 60, 70, 80
[00:01:28.004 --> 00:01:41.570]  Articles about Trump and every single one of them is anti-Trump totally hateful all the rules of objective journalism dropped by the wayside It shakes them to their core and more and more of them are saying my god.
[00:01:41.570 --> 00:01:54.516]  He must be good If this big establishment, we've always known to be corrupt is so against him The truth is ladies and gentlemen the United States is in the final phases being turned over to multinational corporations.
[00:01:54.516 --> 00:01:55.256]  We have been conquered
[00:01:56.141 --> 00:01:58.582]  And Donald Trump is trying to block that.
[00:01:58.582 --> 00:02:00.542]  That's why they're panicking.
[00:02:00.542 --> 00:02:04.523]  That's why they are going after him with everything they've got.
[00:02:04.523 --> 00:02:15.726]  The only risk in Trump is that he could be a super predator who has been planning this for decades and who is coming in to steal the New World Order main command base, the United States, from them.
[00:02:15.726 --> 00:02:16.906]  I don't believe that's the case.
[00:02:16.906 --> 00:02:18.306]  The evidence doesn't show that.
[00:02:18.306 --> 00:02:20.187]  But regardless, that is the only downside.
[00:02:21.613 --> 00:02:23.795]  When he says, what do you have to lose voting for me?
[00:02:23.795 --> 00:02:25.596]  He's absolutely on target.
[00:02:25.596 --> 00:02:28.018]  Because you have nothing to lose.
[00:02:28.018 --> 00:02:29.759]  Because he is the anti-globalist.
[00:02:29.759 --> 00:02:32.582]  We know what we get with Hillary Clinton.
[00:02:32.582 --> 00:02:40.888]  And we've never seen all these foreign leaders and the Communist Chinese and the Pope and everybody else coming out against someone anywhere close to this.
[00:02:40.888 --> 00:02:43.490]  Their panic is real and palpable.
[00:02:43.490 --> 00:02:49.775]  Now the special report coming up at the bottom of the hour is undoubtedly the most important I've ever issued.
[00:02:51.002 --> 00:02:57.024]  And undoubtedly I will issue more in the near future that are even more important than that because we're entering this quickening phase.
[00:02:57.024 --> 00:03:03.626]  And it deals with the fact that I have become too comfortable with living next to evil.
[00:03:03.626 --> 00:03:06.247]  I have become acclimated to it to a great extent.
[00:03:06.247 --> 00:03:08.868]  I've become punch drunk.
[00:03:08.868 --> 00:03:17.551]  Sitting back this weekend thinking about what a on record war criminal mass murderer Hillary Clinton is and the fact that she's saying I have a dark heart.
[00:03:18.676 --> 00:03:27.079]  And going after me in the national press really hit home just how much danger I'm in and just how much danger you're in.
[00:03:27.079 --> 00:03:33.541]  These megalomaniacs have already brought us to war and they're bringing us to the brink of a new global war.
[00:03:33.541 --> 00:03:43.725]  And so we put on the evidence in this special report coming up at the bottom of the hour that she is a bloodthirsty monster who revels in those that she's killed.
[00:03:44.779 --> 00:03:49.942]  That she is a grasping person completely turned over to evil.
[00:03:49.942 --> 00:03:59.427]  And that she has giant throngs of domesticated zombies that basically serve her every beck and call like she's the Queen Bee or the Queen Ant.
[00:03:59.427 --> 00:04:06.891]  And that the reason I'm standing up against her so boldly and taking her on at the risk of my name, my life, my treasure, my family.
[00:04:07.962 --> 00:04:14.308]  Is because there is no future, very soon, if this paradigm of evil is allowed to continue to expand.
[00:04:14.308 --> 00:04:21.434]  My very instincts, my very spirit, my very guts demand that I stand up against Hillary and the New World Order.
[00:04:21.434 --> 00:04:23.776]  And that's why I'm doing this today.
[00:04:23.776 --> 00:04:25.497]  That's why I'm taking action.
[00:04:25.497 --> 00:04:35.906]  And that's why I'm asking you to pray for Infowars and myself, but also pray for peace and pray for the light of truth to come into the world with more and more of these WikiLeaks and other information.
[00:04:36.642 --> 00:04:39.384]  We're seeing Google censoring the WikiLeaks.
[00:04:39.384 --> 00:04:41.806]  We're seeing Google censor the DC links.
[00:04:41.806 --> 00:04:47.169]  We're seeing DC links being taken down to try to stop you from knowing what George Soros and Hillary are up to.
[00:04:47.169 --> 00:04:49.251]  But the truth is, nothing will stop the signal.
[00:04:49.251 --> 00:04:51.272]  Nothing will stop the truth from coming out.
[00:04:51.272 --> 00:04:53.694]  We'll be right back with David Knight.
