[00:00:00.000 --> 00:00:28.000]  InfoWars, tomorrow's news, today.
[00:00:28.000 --> 00:00:31.000]  All right, the live hearing is going on now.
[00:00:31.000 --> 00:00:35.000]  This is some of the most riveting, insane footage.
[00:00:35.000 --> 00:00:39.000]  Well, I mean, it tops anything I've ever seen, actually, in Congress.
[00:00:39.000 --> 00:00:43.000]  It's... I'm almost speechless right now.
[00:00:43.000 --> 00:00:46.000]  In fact, I'm torn between whether to go to the committee hearing live,
[00:00:46.000 --> 00:00:48.000]  which I have people grabbing clips out and watching,
[00:00:48.000 --> 00:00:53.000]  or whether we should just play the highlights.
[00:00:53.000 --> 00:00:57.000]  Oh, they're going to recess, so that fixes that problem.
[00:00:57.000 --> 00:01:00.000]  So before they come back after lunch in an hour,
[00:01:00.000 --> 00:01:03.000]  we will play the clips in the interim,
[00:01:03.000 --> 00:01:07.000]  and then we'll go back to it live at noon central, 1 p.m. Eastern.
[00:01:07.000 --> 00:01:15.000]  I'm talking about the censorship, weaponization of censorship hearings
[00:01:15.000 --> 00:01:18.000]  that they've been having for several months.
[00:01:18.000 --> 00:01:23.000]  This is the fourth hearing, and RFK Jr. just came and spoke.
[00:01:24.000 --> 00:01:28.000]  And the Democrats tried to censor him from the beginning
[00:01:28.000 --> 00:01:31.000]  for things he had not yet said.
[00:01:31.000 --> 00:01:33.000]  This is beyond Orwellian.
[00:01:33.000 --> 00:01:37.000]  This is Orwellian to the next level, to the next power, perhaps 10 powers.
[00:01:37.000 --> 00:01:39.000]  Let me say this again.
[00:01:39.000 --> 00:01:46.000]  They tried to censor him to not be able to speak at a censorship hearing
[00:01:46.000 --> 00:01:49.000]  about government covertly censoring people,
[00:01:49.000 --> 00:01:55.000]  and they tried to censor him by putting out a bunch of false things he never said,
[00:01:55.000 --> 00:02:00.000]  defaming him, and then saying he's censored and not able to speak,
[00:02:00.000 --> 00:02:04.000]  but they didn't control the House committee, and so he went ahead and spoke.
[00:02:04.000 --> 00:02:09.000]  Then they began to interrupt him over and over and over again.
[00:02:09.000 --> 00:02:13.000]  I mean, this is what it looks like when the establishment collapses.
[00:02:13.000 --> 00:02:16.000]  This is insane.
[00:02:16.000 --> 00:02:19.000]  So I was just watching it before I ran in here out of my office.
[00:02:19.000 --> 00:02:22.000]  That's why I was huffing and puffing.
[00:02:22.000 --> 00:02:26.000]  It hit me right before we went live two and a half minutes ago.
[00:02:26.000 --> 00:02:30.000]  All we've got to do is not get in a shooting war and not get violent, and we win.
[00:02:30.000 --> 00:02:32.000]  These people are destroying themselves.
[00:02:32.000 --> 00:02:35.000]  They are insane.
[00:02:35.000 --> 00:02:38.000]  They are absolutely gone off the deep end.
[00:02:38.000 --> 00:02:40.000]  They are crazy.
[00:02:40.000 --> 00:02:43.000]  They didn't just call for him to not be able to speak.
[00:02:43.000 --> 00:02:46.000]  They then told lies of why he shouldn't speak,
[00:02:46.000 --> 00:02:51.000]  and under the law you have to say these things in Congress to then be censored,
[00:02:51.000 --> 00:02:55.000]  and you've got to be a member of Congress to do it, and it's within the body.
[00:02:55.000 --> 00:02:58.000]  So there's not even such a mechanism.
[00:02:58.000 --> 00:03:01.000]  They're trying to censor him for things he didn't say.
[00:03:01.000 --> 00:03:02.000]  He points that out.
[00:03:02.000 --> 00:03:04.000]  They do it before the hearing starts.
[00:03:04.000 --> 00:03:07.000]  So that's like before an NFL game starts, saying, you know what?
[00:03:07.000 --> 00:03:10.000]  The other team loses because during the game,
[00:03:10.000 --> 00:03:17.000]  the quarterback had done some illegal moves,
[00:03:17.000 --> 00:03:22.000]  or we are shutting down the Super Bowl before the game even begins
[00:03:22.000 --> 00:03:25.000]  because in the third quarter,
[00:03:25.000 --> 00:03:33.000]  one of the linebackers illegally speared the quarterback in the third quarter,
[00:03:33.000 --> 00:03:35.000]  and you're like, the third quarter hasn't begun.
[00:03:35.000 --> 00:03:36.000]  The game hasn't begun.
[00:03:36.000 --> 00:03:37.000]  It doesn't matter.
[00:03:37.000 --> 00:03:40.000]  I mean this is murdering logic.
[00:03:40.000 --> 00:03:43.000]  So you wonder why they murder logic and go against logic.
[00:03:43.000 --> 00:03:45.000]  The left is about inverting reality, but you have to understand,
[00:03:45.000 --> 00:03:48.000]  when these Satanists, that's what they basically are,
[00:03:48.000 --> 00:03:50.000]  some practicing, some not even aware they're Satanists,
[00:03:50.000 --> 00:03:51.000]  but they are Satanists.
[00:03:51.000 --> 00:03:53.000]  That's their operating system.
[00:03:53.000 --> 00:03:57.000]  They just drink their own Kool-Aid until they completely go insane.
[00:03:57.000 --> 00:04:01.000]  I mean this is insanity.
[00:04:01.000 --> 00:04:04.000]  So as much as I want to sit here and babble about it,
[00:04:04.000 --> 00:04:05.000]  we're going to go on a break.
