[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[00:00:03.151 --> 00:00:04.133]  Stay with us.
[00:00:14.753 --> 00:00:36.799]  When you have a society that has become decoupled from each other and has free-floating anxiety in a sense that things don't make sense, we can't understand it, and then their attention gets focused by a leader or series of events on one small point, just like hypnosis, they literally become hypnotized and can be led anywhere.
[00:00:37.887 --> 00:00:46.456]  Mass psychosis, also known as group mind, mob mentality, or herd mentality.
[00:00:46.456 --> 00:00:54.305]  Before modern civilization, we lived in herds, and in order to survive in the herd, we conformed to the herd.
[00:00:54.305 --> 00:00:56.627]  This is where mass psychosis all stems from.
[00:00:57.972 --> 00:01:05.018]  The most popular examples of explaining mass psychosis are typically angry mobs and violent riots.
[00:01:05.018 --> 00:01:07.620]  But these are merely the end results.
[00:01:07.620 --> 00:01:15.266]  Mass psychosis begins when the individual mind starts to identify as a member of a group based on any unifying factor.
[00:01:16.147 --> 00:01:19.250]  The unifying factor doesn't even need to make sense.
[00:01:19.250 --> 00:01:23.014]  For many people, the feeling of unity is enough.
[00:01:23.014 --> 00:01:32.122]  Our ego mind innately craves acceptance and by default will instinctively conform to whatever group it perceives to be the majority.
[00:01:32.122 --> 00:01:39.790]  In order to successfully conform to the group, the individual must put aside personal intuition and follow the guidance of the group.
[00:01:41.192 --> 00:01:49.247]  This makes a person highly controllable and spiritually stifles the individual which causes them to crave group acceptance even more.
[00:01:50.666 --> 00:01:59.133]  Man's disposition for mass psychosis has been written about for millennia, most notably in ancient scripture and philosophy.
[00:01:59.133 --> 00:02:04.357]  And we all experience this as human beings, whether we reflect upon it or not.
[00:02:04.357 --> 00:02:11.023]  Plato argued that due to the nature of group mind, democracy always leads to tyranny and subjugation.
[00:02:11.023 --> 00:02:16.187]  His concern was the lack of good leadership, and philosophized on ways of solving this.
[00:02:17.248 --> 00:02:25.913]  In 1895, Gustav Le Bon published The Crowd, wherein he explains the key processes for cultivating mass psychosis.
[00:02:25.913 --> 00:02:29.456]  Anonymity, contagion, and suggestibility.
[00:02:29.456 --> 00:02:38.041]  This work is known to have influenced world leaders, businesses, and tyrants, of which the ethics has been written about for decades.
[00:02:39.269 --> 00:02:58.680]  And yet, AP and Reuters outrageously claim that mass psychosis does not exist, when it is in fact the corporate media apparatus to which they belong that makes this all possible, waging psychological warfare against a group of the population who believes the media would never lie to them.
[00:02:59.648 --> 00:03:07.752]  This is why the term mass psychosis is arguably a better term than group mind or mob mentality.
[00:03:07.752 --> 00:03:10.873]  A change in the field of consciousness occurs.
[00:03:10.873 --> 00:03:19.357]  A devolution from divine inspiration into primitive hierarchy, which has no place in a civilized society.
[00:03:19.357 --> 00:03:20.798]  And yet, here we are.
[00:03:21.938 --> 00:03:26.602]  Without mass psychosis, today's leaders would have no power.
[00:03:26.602 --> 00:03:32.447]  Just like advertising, everything about politics is about cultivating mass psychosis.
[00:03:33.860 --> 00:03:50.271]  Whereas the individual pursuit of happiness has inevitably led to beauty and innovation, creating and controlling groups of people, which has been the biggest power play on earth for all of recorded history, almost always leads to death and destruction.
[00:03:50.271 --> 00:03:59.178]  The science and study of mass psychosis could be used to enlighten humanity by educating the individual about the power and potential of the human mind.
[00:04:00.231 --> 00:04:09.467]  But today, the very same corrupt media being used by wealthy elites to divide and enslave us, says there is no such thing as mass psychosis.
[00:04:10.788 --> 00:04:14.770]  Mass psychosis is humanity's burden to outgrow.
[00:04:14.770 --> 00:04:17.931]  It is why we accept the lesser of two evils.
[00:04:17.931 --> 00:04:22.633]  Many of us are well aware of the frailty of man and the civilized world.
[00:04:22.633 --> 00:04:30.937]  The great psychologist Carl Jung's warning to the world was that the individual must come face to face with their own shadow.
[00:04:30.937 --> 00:04:36.039]  In order to accomplish this, one must liberate themselves from the collective.
[00:04:36.039 --> 00:04:37.260]  And until enough of us do,
[00:04:38.340 --> 00:04:43.825]  Society will continue to be led by tyrants and ignorant mobs.
[00:04:43.825 --> 00:04:48.248]  Reporting for InfoWars, this is Greg Reese.
[00:04:48.248 --> 00:04:53.773]  Ladies and gentlemen, InfoWars is leading the way to expose the globalists.
[00:04:53.773 --> 00:04:55.214]  Tell everyone you know, tune in now.
[00:04:55.214 --> 00:04:57.115]  The main transmission starts in 60 seconds.
