[00:00:00.891 --> 00:00:02.612]  We're live, October 31st.
[00:00:02.612 --> 00:00:12.360]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:12.360 --> 00:00:16.783]  You better believe you got one!
[00:00:16.783 --> 00:00:21.687]  From the front lines of the Information War, it's Alex Jones.
[00:00:25.899 --> 00:00:34.643]  Dr. Fauci is all over the place now, for one of the very first times in our last year and a half, with some negative publicity.
[00:00:34.643 --> 00:00:38.045]  Negative publicity that's going viral, whether the mainstream media like it or not.
[00:00:38.045 --> 00:00:53.473]  He was taking scalps from fetuses, from fully developed fetuses, and removing the scalps, the skin from the top of the heads of fetuses, and
[00:00:54.980 --> 00:00:58.341]  Transplanting it upon dehumanized rats.
[00:00:58.341 --> 00:01:02.022]  If you don't protect yourself, you really do deserve to die.
[00:01:02.022 --> 00:01:05.023]  But, but, but, the children.
[00:01:05.023 --> 00:01:08.083]  They don't deserve this, and that's why it's the Rubicon.
[00:01:08.083 --> 00:01:10.084]  See, evil can't help it, it's gotta go for the children.
[00:01:10.084 --> 00:01:16.285]  So don't think this is the authority, don't think it's gonna succeed, don't think any of that, because it will fail, but probably in a giant war.
[00:01:16.285 --> 00:01:22.527]  And we were all of a consensus that this is gonna end in just a gigantic, massive war.
[00:01:23.800 --> 00:01:24.921]  And Billions dead.
[00:01:24.921 --> 00:01:29.063]  There's no argument over the choice between peace and war.
[00:01:29.063 --> 00:01:34.406]  But there's only one guaranteed way you can have peace and you can have it in the next second.
[00:01:34.406 --> 00:01:35.387]  Surrender.
[00:01:35.387 --> 00:01:40.269]  But every lesson in history tells us that the greater risk lies in appeasement.
[00:01:40.269 --> 00:01:44.431]  And this is the specter our well-meaning Christian liberal friends refuse to face.
[00:01:44.431 --> 00:01:48.233]  Our priests, our pastors, and now sadly even our Pope.
[00:01:48.233 --> 00:01:50.935]  That his policy of accommodation is appeasement.
[00:01:51.661 --> 00:01:55.103]  And it gives us no choice between peace and war.
[00:01:55.103 --> 00:01:57.164]  Only between fight and surrender.
[00:01:57.164 --> 00:02:04.348]  If we continue to accommodate, continue to back and retreat, eventually we will have to face the final demand, the final ultimatum.
[00:02:04.348 --> 00:02:05.829]  And what then?
[00:02:05.829 --> 00:02:09.932]  When Satan has told his own, he knows what our answer is going to be.
[00:02:09.932 --> 00:02:17.556]  He has told them that we're retreating under the pressure of his Cold War and someday when the time is right, to deliver his final ultimatum.
[00:02:18.937 --> 00:02:24.240]  Our surrender will be voluntary because you see by them we will have been so weakened from within.
[00:02:24.240 --> 00:02:26.181]  Spiritually, morally, economically.
[00:02:26.181 --> 00:02:32.505]  He believes this because from our side he's heard voices pleading for peace at any price.
[00:02:32.505 --> 00:02:38.249]  Or better red than dead, or as one commentator put it, he'd rather live on his knees with his mask on than die on his feet.
[00:02:38.249 --> 00:02:40.730]  And therein lies the road to war.
[00:02:40.730 --> 00:02:43.632]  Because those voices don't speak for the rest of us.
[00:02:43.632 --> 00:02:47.294]  If nothing in life is worth dying for, well when did this begin?
[00:02:48.030 --> 00:02:49.371]  Just in the face of this enemy?
[00:02:49.371 --> 00:02:55.676]  Or should Moses have told the children of Israel to live in slavery under the pharaohs?
[00:02:55.676 --> 00:02:58.057]  Should Christ have refused the cross?
[00:02:58.057 --> 00:03:03.722]  Should the patriots at Concord Bridge have thrown down their guns and refused to fire the shot heard around the world?
[00:03:03.722 --> 00:03:06.484]  The martyrs of history were not fools.
[00:03:06.484 --> 00:03:11.907]  And our beloved dead, who gave their lives to stop the advance of the Nazis, did not die in vain.
[00:03:11.907 --> 00:03:14.469]  Where then lies the road to peace, you say?
[00:03:14.469 --> 00:03:15.350]  Well, it's a simple answer.
