[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[00:11.000 --> 00:20.000]  My mind always swims through the data and I get very, very frustrated sometimes for days, weeks or even months.
[00:20.000 --> 00:43.000]  And then, the big picture, the end game, the master plan, the destination that I think we should go, winning the war, crystallizes before my eyes.
[00:43.000 --> 00:52.000]  We cannot lose the fight for populism, capitalism, for real freedom, for true classical liberalism, not modern leftist fascism.
[00:52.000 --> 01:01.000]  If we understand that no matter what the globalists pull or what they do, if we don't give up and if we don't give in,
[01:01.000 --> 01:14.000]  we keep identifying who they are and attacking them from their soft flank, the fact that their tax exempt, mega-millionaires who don't pay taxes but then lobby for communism and socialism against the general public to control them.
[01:14.000 --> 01:22.000]  If we do that, the point that their world government is unelected and out of control, they will fail no matter what they do.
[01:22.000 --> 01:31.000]  Now that said, I have done a lot of thinking, a lot of cogitating today about different permutations, different outcomes, different scenarios.
[01:31.000 --> 01:44.000]  The most important thing we can do is remember just to do the right thing and tell the truth and be moral and no matter how the chips fall down the road, things almost always end up ending up good for decent people.
[01:44.000 --> 01:56.000]  But yes, there is massive unprecedented voter fraud, election fraud by the Democrats, there is massive suppression of people's free speech in America, unprecedented.
[01:56.000 --> 02:08.000]  There is incredible outside foreign globalist funding pouring in. This is the most highly funded campaign ever they're now reporting.
[02:08.000 --> 02:23.000]  Yes, there is a giant seawall they've built, a blue seawall to stop the red wave. I still at a gut level believe that Republicans are going to hold on to the House and Senate but just barely because of the fraud.
[02:23.000 --> 02:28.000]  This is a absolute down-to-the-wire situation.
[02:28.000 --> 02:41.000]  I shot a live special report about an hour and a half ago titled Emergency Alert to Trump concerning foreign election meddling voter fraud and censorship. So here's what I want to get out of the gates right away.
[02:41.000 --> 02:53.000]  And I had this epiphany as we were going live because I was permutating the answer. The election fraud and the suppression of free speech is more important than these midterms.
[02:53.000 --> 03:06.000]  And allowing the suppression of free speech and the election fraud is the only hope Democrats had of winning via fraud. So the fact that they let that happen is the only reason they have a shot of winning.
[03:06.000 --> 03:22.000]  And so after this election, no matter what happens, we need to force the investigation of the fact that it is a federal elections violation for the Democrats to block tens of thousands of conservative Christian pro-military groups,
[03:22.000 --> 03:33.000]  pro-gun groups from Facebook, from Twitter, from Google and admit they're doing it and then let Democrats operate out in the open and let Democrats even direct what Twitter and Facebook pages are taking down.
[03:33.000 --> 03:38.000]  That was on CNBC this Friday.
[03:38.000 --> 03:54.000]  So it's the criminal actions they're involved in in and around this historic campaign, the fact that they've been so desperate to go for broke, try to steal back power before America can get its recovery going and prove that they've been suppressing us.
[03:54.000 --> 04:00.000]  That's why they're so desperate.
[04:00.000 --> 04:19.000]  So as they say, a lot of times it's not the destination, it's the journey. I still believe we're going to win, but the fraud is so over the top, so evil that it's almost like if we squeak it out and win, then the blue blood Republicans and the senile Republican leadership that doesn't
[04:19.000 --> 04:36.000]  understand election fraud or voter fraud or massive high tech, big tech suppression, they'll go to sleep even more and allow even more draconian censorship and control into the next election two years from now.
[04:36.000 --> 04:46.000]  So it really hit me that the number one thing is not even this midterm. It's defining that Democrats hate America and are not Americans. That's now their official ideology.
[04:46.000 --> 04:57.000]  That's not rhetoric. It's really true. It's a sickening realization. I wish that wasn't the case and that they're engaged in total criminal activity and are organizing, getting even more radical and must be dealt with.
[04:57.000 --> 05:00.000]  That's the real takeaway here.
[05:00.000 --> 05:19.000]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromide, you name it, that it lowers IQ, it literally dumps the population down. And on our quest to bring our listeners and viewers, the best iodine in the world, we've gone through two permutations.
[05:19.000 --> 05:31.000]  First seaweed based iodine that was pretty good, but hard to source and the globalists tried to block us getting a supply of it. So we discovered deep earth crystals of pure nascent iodine and brought you X2. That's been incredible.
[05:31.000 --> 05:39.000]  Now, due to the establishment trying to block that, we did more research and secured more of the deep earth crystals of nascent iodine.
[05:39.000 --> 05:52.000]  Chemists, scientists and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[05:52.000 --> 06:16.000]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery. X3, now available at m4slife.com.
[06:16.000 --> 06:23.000]  The Alex Jones show because there is a war on your mind.
[06:23.000 --> 06:32.000]  We're not even two days out from the kickoff of the 2018 incredible midterm elections. We're 36 hours out.
[06:32.000 --> 06:51.000]  And we're live Sunday at 406 central time from central Texas as loyal Americans broadcasting worldwide trying to save our Republic from foreign mega banks and a cartel of corporations allied with the unelected EU dictator,
[06:51.000 --> 07:02.000]  and the Chinese Communist unelected dictator, Xi. They have been suppressing and bleeding off our jobs, our industry and one sided deals for decades.
[07:02.000 --> 07:09.000]  They've been showing the seeds of racial and cultural and sexual division in this nation.
[07:09.000 --> 07:13.000]  They have been trying to demoralize this country and break our will.
[07:13.000 --> 07:28.000]  And all over the world, there is a populist awakening, a red wave of red blooded people of every race, color and creed that realize big multinational corporations and banks are working in concert to suppress their populations and enslave them and consolidate wealth.
[07:28.000 --> 07:33.000]  And so from Brazil to Germany, the globalists were voted out last week.
[07:33.000 --> 07:44.000]  From England to Italy to the United States in the last few years, the globalists were voted out. In every major election that's free around the world, populist capitalists are being elected.
[07:44.000 --> 07:55.000]  And like day following night, like the sun rising, suddenly the floodgates of prosperity open.
[07:55.000 --> 08:07.000]  I have an emergency message as the president. I have an emergency message as the American people. And I have my view and my breakdown of what's about to happen.
[08:07.000 --> 08:22.000]  If you look at the red wave globally, the populist nationalist conservative Christian wave worldwide, it's in a response to globalist policies that are meant to make you poor and meant to overrun you with third world populations that are brought in to deindustrialize,
[08:22.000 --> 08:39.000]  drive down wages and to be a client group that goes on welfare that the local socialist manage and feed off of and skim off of and uses a permanent underclash and as a political time bomb.
[08:39.000 --> 08:46.000]  All over Europe, hundreds and hundreds of fires a night every day as the Islamic chords burn down the cities.
[08:46.000 --> 08:55.000]  The French Interior Minister on Thursday said most of our major cities are now failed states. Tourism is non-existent.
[08:55.000 --> 09:08.000]  Within five years, if we don't act now, France will be no more. You ask why with the UN Refugee Agency, why would the UN, why would they build refugee centers up against Europe's borders?
[09:08.000 --> 09:18.000]  Why would they pay to bring in military aged men of the worst type and then let 15 million in and then let them burn and kill and rape?
[09:18.000 --> 09:31.000]  Because the mega corporations don't want opposition out of Europe or the United States or Australia to form to their global corporate takeover plan like we did in World War II.
[09:31.000 --> 09:38.000]  They don't want any opposition, any industrialized countries, any powerful governments that can organize and fight them.
[09:38.000 --> 09:44.000]  The big mega cores are allied with the unelected head of the EU giving you the access of evil here folks, the real one.
[09:44.000 --> 10:00.000]  Radical Islam, the communist Chinese, Hollywood, the big banks, the globalist and now they're brainwashing giant third world hordes out of Venezuela and marching them up through northern South America and the Central America and the United States
[10:00.000 --> 10:03.000]  and slamming in to the border.
[10:03.000 --> 10:12.000]  A third migrant caravan of over 7,000 people it's estimated smashed through Mexican defenses in Guatemala Friday.
[10:12.000 --> 10:16.000]  That footage is there. It's unbelievable.
[10:16.000 --> 10:24.000]  But don't worry, the national news doesn't show you the images just like similar things that started six years ago in Europe and led to 15 million.
[10:24.000 --> 10:36.000]  No, ladies and gentlemen, they don't show you that. They tell you it's made up or they're peaceful women and children, even though less than 2% are children.
[10:36.000 --> 10:47.000]  About 16% are women and they're hardcore communist, trained in Venezuela and other areas, living in UN camps for up to a year, giving $1,000 master cards per leg.
[10:47.000 --> 10:49.000]  This is Reuters.
[10:49.000 --> 10:59.000]  They're in Reuters and AP and New York Times saying George Soros isn't involved in anything. The UN's not involved, but they'll have a separate article going, look how sweet George Soros is giving $1,000 of U.S. taxpayer money.
[10:59.000 --> 11:06.000]  He gets it through USAID, the State Department, to them and then how they give them the training, everything else. It's incredible.
[11:06.000 --> 11:11.000]  I'm going to show you and radio listeners all read it off coming up.
[11:11.000 --> 11:27.000]  But then they then dispatch out John Stewart. He comes out from under a rock and he attacks Trump on CNN Thursday saying, you'd think it's road warrior beyond Thunderdome.
[11:27.000 --> 11:37.000]  And then I just show maybe a minute of the fires and the burnings and the shootings and the rapings in just the last week or so.
[11:37.000 --> 11:44.000]  So again, you ask, what is this about allowing total chaos? We've already got 35 million illegal aliens in this country.
[11:44.000 --> 11:49.000]  And again, you say, oh, bring them in. They're hardworking. They're put on welfare. They're taught to have a chip on their soldier about the country.
[11:49.000 --> 12:01.000]  They're organized for the Democrats. It's all admitted. Democratic quote charities that get taxpayer money, they meet at the border in McAllen, in other cities,
[12:01.000 --> 12:10.000]  and they put them on buses and ship them in to different cities to be managed by Democrats who house them and control their identities and skim off them.
[12:10.000 --> 12:19.000]  This is a giant refugee skimming business. It's organized crime.
[12:19.000 --> 12:25.000]  Even the Washington Post admits many of the little girls taken across into insect slavery. Washington Post.
[12:25.000 --> 12:29.000]  So here is John Stewart sticking his foot in his mouth.
[12:29.000 --> 12:35.000]  I'm watching the midterms. Men, you would think our country is Mad Max Thunderdome.
[12:35.000 --> 12:43.000]  This guy is like, they're coming from Guatemala. They're coming from Mexico.
[12:43.000 --> 12:46.000]  There's a liberal mob that's coming.
[12:46.000 --> 13:01.000]  Good morning, Trump! Good morning, Trump! Who in the president?
[13:01.000 --> 13:22.000]  This boy is muzzled.
[13:22.000 --> 13:30.000]  And you would think everybody in the country is just like to the bunker.
[13:30.000 --> 13:44.000]  The U.N. and the big multinationals literally using the 6 billion third world population as a weapon, using our social safety net to bring them in and literally, literally own and control them.
[13:44.000 --> 13:53.000]  They admit that six years after the first illegal aliens were brought in by the E.U. to Germany and Sweden, 90 plus percent don't have jobs because they're not supposed to.
[13:53.000 --> 13:59.000]  They live on welfare and they're managed in buildings owned by socialists and Democrats and others.
[13:59.000 --> 14:03.000]  They are using these people as their slaves.
[14:03.000 --> 14:13.000]  Meanwhile, CNN refused to run an ad produced by the Trump campaign showing a famous illegal alien cop killer that is sentencing, laughing, saying,
[14:13.000 --> 14:31.000]  I wish I only would have killed more and CNN didn't air it, won't let you pay for advertising, which is a form of campaign violation, claiming it's racist.
[14:31.000 --> 14:44.000]  The 7,000 migrant caravan crossing Mexico marching toward our border. Dangerous illegal criminals like cop killer Luis Braga Montez don't care about our laws.
[14:44.000 --> 14:54.000]  America cannot allow this invasion. The migrant caravan must be stopped. President Trump and his allies will protect our border and keep our families safe.
[14:54.000 --> 14:59.000]  America's future depends on you. Stop the caravan. Vote Republican.
[14:59.000 --> 15:02.000]  I'm Donald Trump and I approve this message.
[15:02.000 --> 15:09.000]  Now, illegal aliens commit double the amount of crime of an average American. It's just a statistical fact.
[15:09.000 --> 15:18.000]  But again, CNN that helped fund the year of spring and that produces propaganda for the Communist Chinese here in America, they tell you you're bad if you point that out.
[15:18.000 --> 15:22.000]  But you don't see CNN living down in Mexico or living in Guatemala or Venezuela.
[15:22.000 --> 15:29.000]  Venezuela is a failed state. All the other countries around it have built walls and fences to stop their collapse.
