[00:00.000 --> 00:19.000]  Infowars, tomorrow's news, today.
[01:00.000 --> 01:26.000]  It's Sunday, February 19th, 2023.
[01:26.000 --> 01:30.000]  I'm your host Alex Jones, I'll be here for the next two hours.
[01:30.000 --> 01:34.000]  I know Troy has a very special broadcast with three guests,
[01:34.000 --> 01:37.000]  joining him on a host of topics including the big anti-war,
[01:37.000 --> 01:42.000]  bipartisan demonstrations at DC, the ongoing disaster,
[01:42.000 --> 01:50.000]  unfolding in Ohio and the train derailment.
[01:50.000 --> 01:56.000]  I'm going to be covering World War III that has already begun.
[01:56.000 --> 01:59.000]  I want to thank you all for joining us.
[01:59.000 --> 02:05.000]  Everything we witness by the ruling globalist is an attempt
[02:05.000 --> 02:09.000]  to demoralize us and break our will and condition us
[02:09.000 --> 02:16.000]  to accept successive increases in horror and to give up hope,
[02:16.000 --> 02:18.000]  but we cannot do that.
[02:18.000 --> 02:20.000]  I saw this clip this morning and I thought,
[02:20.000 --> 02:23.000]  surely it's out of context and it's not.
[02:23.000 --> 02:27.000]  I have the transcript here where he says,
[02:27.000 --> 02:29.000]  why don't we just start eating babies?
[02:29.000 --> 02:33.000]  We've got all this extra baby parts, millions we kill every year.
[02:33.000 --> 02:35.000]  Why don't we just eat them?
[02:35.000 --> 02:38.000]  So that's the next evolution and you will eat the bugs
[02:38.000 --> 02:42.000]  as you will eat the dead babies.
[02:42.000 --> 02:47.000]  The example I often use is if we want to get to ethical bedrock,
[02:47.000 --> 02:52.000]  we should be able to say things like, why can't we eat babies?
[02:52.000 --> 02:54.000]  There are sometimes extra babies in the world.
[02:54.000 --> 02:56.000]  They're full of protein.
[02:56.000 --> 02:57.000]  Can't we eat them?
[02:57.000 --> 02:59.000]  It's not a conversation about eating babies.
[02:59.000 --> 03:03.000]  It's a conversation about how you can close the door to this idea
[03:03.000 --> 03:07.000]  that we both recognize as repellent and well,
[03:07.000 --> 03:10.000]  we recognize that it's the way.
[03:10.000 --> 03:12.000]  There are people out there who will say,
[03:12.000 --> 03:17.000]  hey, Sam Harris is a guy who wonders, can we eat babies?
[03:17.000 --> 03:22.000]  But isn't that what this whole system is?
[03:22.000 --> 03:24.000]  It's a system where we don't value others around us.
[03:24.000 --> 03:27.000]  We don't value ourselves and we don't stand up for others.
[03:27.000 --> 03:31.000]  Nobody stands up for us and then we're isolated,
[03:31.000 --> 03:34.000]  atomized, alone individuals that this predatory system
[03:34.000 --> 03:37.000]  can have its way with.
[03:37.000 --> 03:39.000]  And that's what the New World Order is setting up.
[03:39.000 --> 03:42.000]  Here's a short clip of us seeing Harris on the young turds
[03:42.000 --> 03:45.000]  talking about eating the babies.
[03:45.000 --> 03:46.000]  You know, why can't we eat babies?
[03:46.000 --> 03:47.000]  What's wrong with eating babies?
[03:47.000 --> 03:49.000]  If we've got extra babies around that nobody wants,
[03:49.000 --> 03:51.000]  why can't we eat them?
[03:51.000 --> 03:55.000]  And then he goes on as I read you the full quote.
[03:55.000 --> 03:56.000]  Extra babies.
[03:56.000 --> 03:58.000]  Remember when I sat on Joe Rogan like four years ago?
[03:58.000 --> 04:02.000]  The governor of Virginia at the time said,
[04:02.000 --> 04:06.000]  we're going to get rid of the baby after they're born.
[04:06.000 --> 04:11.000]  And I made the satirical line that,
[04:11.000 --> 04:16.000]  why are we wasting seven pounds of meat?
[04:16.000 --> 04:18.000]  But they are using every part of the baby
[04:18.000 --> 04:21.000]  for medical experiments and for the medical industry.
[04:21.000 --> 04:27.000]  And when we allow ourselves to be defiled and degraded like that,
[04:27.000 --> 04:29.000]  we're made the image of God.
[04:29.000 --> 04:33.000]  And we allow these sick abortionists to do horrible things
[04:33.000 --> 04:37.000]  to the dead and dying babies even after they're out of the womb.
[04:37.000 --> 04:40.000]  We all die inside.
[04:40.000 --> 04:43.000]  All right, we got a hell of a broadcast lined up.
[04:43.000 --> 04:47.000]  I had prepared a lot yesterday and a lot today.
[04:47.000 --> 04:50.000]  And so this is going to be a broadcast you're not going to want to miss
[04:50.000 --> 04:53.000]  because we have to face the full horror
[04:53.000 --> 04:55.000]  and not make a friend of that horror
[04:55.000 --> 04:57.000]  but make an enemy of that horror to defeat it.
[04:57.000 --> 05:01.000]  Stay with us.
[05:01.000 --> 05:05.000]  I talk a lot about the great successes Info Wars has had.
[05:05.000 --> 05:07.000]  I don't think anybody can deny it.
[05:07.000 --> 05:11.000]  And it is because of Lister's viewers supporting us.
[05:11.000 --> 05:13.000]  When we talk about the crew at Info Wars,
[05:13.000 --> 05:16.000]  people behind the scenes, the researchers, the writers,
[05:16.000 --> 05:20.000]  they really have been the MVPs in this fight.
[05:20.000 --> 05:22.000]  And we look at Harrison Smith and Owen Schreuer
[05:22.000 --> 05:24.000]  and the hard work they engage in every day,
[05:24.000 --> 05:27.000]  five, six, seven days a week.
[05:27.000 --> 05:29.000]  It's really just incredible.
[05:29.000 --> 05:32.000]  For myself, the whole Info Wars crew, I thank you for your past support.
[05:32.000 --> 05:35.000]  I only encourage you now to realize that Info Wars
[05:35.000 --> 05:38.000]  cannot stay on air if you do not support us.
[05:38.000 --> 05:40.000]  I know you spread the word, I know you pray for us,
[05:40.000 --> 05:42.000]  and that's wonderful, keep doing it.
[05:42.000 --> 05:45.000]  But most viewers and listeners never go to InfoWarsTour.com
[05:45.000 --> 05:48.000]  and you never buy great products that enrich and empower your life
[05:48.000 --> 05:50.000]  all at the same time, keep us on air.
[05:50.000 --> 05:52.000]  I know that less than one percent of our listeners
[05:52.000 --> 05:54.000]  actually go buy products at InfoWarsTour.com.
[05:54.000 --> 05:56.000]  If just one percent more of you took action
[05:56.000 --> 05:59.000]  and went to InfoWarsTour.com, our funding problems will be over.
[05:59.000 --> 06:28.000]  Please take action now.
[06:29.000 --> 06:37.000]  It's Sunday, February 19th, 2023.
[06:37.000 --> 06:39.000]  We're alive.
[06:39.000 --> 06:42.000]  Defiance of the enemy's attempts to silence us.
[06:42.000 --> 06:45.000]  We're here because of you, the viewers and listeners,
[06:45.000 --> 06:47.000]  your great support and your will.
[06:47.000 --> 06:50.000]  And I salute you and I thank you.
[06:50.000 --> 06:52.000]  I have to cover all this tonight
[06:52.000 --> 06:55.000]  and we have an amazing guest, Chris Sky, joining us the second hour.
[06:55.000 --> 06:57.000]  So I'm going to try to be as calm as possible
[06:57.000 --> 07:00.000]  and at least get through the headlines on this
[07:00.000 --> 07:03.000]  and dig into quite a few of these stories in depth.
[07:03.000 --> 07:07.000]  We have a large World War III escalation of stacks,
[07:07.000 --> 07:10.000]  four stacks, dealing with that.
[07:10.000 --> 07:12.000]  I'll hit that first.
[07:12.000 --> 07:16.000]  And we have a massive stack on the mainlining of woke culture
[07:16.000 --> 07:20.000]  and the main pillars of it being pedophilia and race war.
[07:20.000 --> 07:25.000]  So we're going to be looking at that in great detail.
[07:25.000 --> 07:28.000]  Also, I came across a compilation
[07:28.000 --> 07:30.000]  of the government blowing up Building 7.
[07:30.000 --> 07:34.000]  And I haven't talked about this very much in the recent years.
[07:34.000 --> 07:39.000]  I thought we'd go back to the smoking gun of 9-11 being an inside job.
[07:39.000 --> 07:42.000]  That is coming up.
[07:42.000 --> 07:45.000]  Also, the Gateway Pundit has the same sources I have
[07:45.000 --> 07:48.000]  and they've done a better job than anybody
[07:48.000 --> 07:50.000]  when it comes to exposing January 6th
[07:50.000 --> 07:53.000]  and how that was a false flag setup.
