[00:00.000 --> 00:07.000]  Mainstream media, government cover-ups. You want answers? Well, so does he.
[00:07.000 --> 00:16.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:16.000 --> 00:32.000]  Ladies and gentlemen, we have another incredibly important jam-packed worldwide broadcast for you.
[00:32.000 --> 00:40.000]  Coming up today on this Wednesday, the 27th day of March 2013 worldwide broadcast.
[00:40.000 --> 00:49.000]  The news websites are infowars.com, and of course, we're also streaming video at prisonplanet.tv.
[00:49.000 --> 00:54.000]  And again, we are going to be taking your phone calls today.
[00:54.000 --> 00:59.000]  Professor Griff, one of the founders of Public Enemy, was on with us a few weeks ago,
[00:59.000 --> 01:07.000]  and he promised to come back just to take phone calls for an hour on hip-hop, rap, and government media control
[01:07.000 --> 01:14.000]  and not just it, but rock and roll and other systems that are used to dominate and steer culture.
[01:14.000 --> 01:24.000]  Now, we are also going to be talking to Steve Pacinek today, if we can get him on.
[01:24.000 --> 01:28.000]  Rob Doo ran in here during a break yesterday and said,
[01:28.000 --> 01:33.000]  have you seen all the mainstream news articles where more and more Navy SEALs are coming out
[01:33.000 --> 01:37.000]  and saying the official story of the bin Laden raid is not true?
[01:37.000 --> 01:42.000]  And I already know the whole thing's a fable, and I've talked to Navy SEALs that have told me it's a fable
[01:42.000 --> 01:51.000]  and that they believe that much of SEAL Team 6 was killed in that, quote, helicopter explosion months later to cover that up.
[01:51.000 --> 01:56.000]  And that they don't know the details, they just know it's highly classified and the official story isn't true.
[01:56.000 --> 02:01.000]  That's the SEAL source I have that was not in SEAL Team 6 but is a current SEAL.
[02:01.000 --> 02:04.000]  And I'll just be honest with you, when I get this type of information,
[02:04.000 --> 02:08.000]  I have a moral responsibility to give it to you, but I don't even like covering things like this
[02:08.000 --> 02:11.000]  because this type of stuff is what could bring them down.
[02:11.000 --> 02:17.000]  You see, they can just put out an official story and they get everybody to accept it.
[02:17.000 --> 02:24.000]  And more and more, though, the public is not buying into that, so the power structure is losing their control.
[02:24.000 --> 02:26.000]  But here's the Huffington Post reporting it.
[02:26.000 --> 02:37.000]  From a bin Laden death, new details from third SEAL Team 6 member questions previous account, CNN's Peter Bergen reports.
[02:37.000 --> 02:41.000]  And the whole thing's fake, the whole thing's a lie.
[02:41.000 --> 02:44.000]  So we can't get pachinik on today because I just told my producer to try to get him
[02:44.000 --> 02:52.000]  because he subsequently sent me an email with a breakdown that I've got here in the stack
[02:52.000 --> 02:58.000]  where he said the whole thing is unraveling and that's why they've been kicking so many people out of the top Pentagon positions
[02:58.000 --> 03:03.000]  because they just realized that completely out of control nuts are running things.
[03:03.000 --> 03:11.000]  And the same thing went on, of course, with Hitler.
[03:11.000 --> 03:16.000]  His general staff the last few years were really going, this guy's going to destroy Germany
[03:16.000 --> 03:20.000]  and he's doing things that will bring the country down.
[03:20.000 --> 03:24.000]  And they were evil, corrupt, authoritarian Nazis.
[03:24.000 --> 03:26.000]  They just weren't self-destructive.
[03:26.000 --> 03:29.000]  And people get on power trips.
[03:29.000 --> 03:33.000]  It isn't just the high and mighty, it happens with media people, you name it.
[03:33.000 --> 03:38.000]  The culture has become narcissistic and really delusional.
[03:38.000 --> 03:47.000]  Not the entire culture, but larger and larger portions of the culture have done that.
[03:47.000 --> 03:50.000]  And it's a time of insanity.
[03:50.000 --> 03:56.000]  I mean the establishment has the tools of control and they're in control to a great extent, but not in control of themselves, you see.
[03:56.000 --> 04:02.000]  They're trying to get full control globally with global governance, but they haven't gotten there yet.
[04:02.000 --> 04:04.000]  There's a bunch of news we'll cover when we come back from break.
[04:04.000 --> 04:13.000]  And then I really do, I really do want to open both phone systems so that we can take a lot of phone calls this hour.
[04:13.000 --> 04:19.000]  I'm going to give the number out when we come back for any news item, any issue you wish to discuss.
[04:19.000 --> 04:25.000]  The fallout of the attack on Charlton Heston, which again you're like, what's the big deal with the attack on Charlton Heston?
[04:25.000 --> 04:32.000]  It just shows the duplicity and the corruption and the venom they have.
[04:32.000 --> 04:37.000]  They worship the state being armed, they want to be armed, they have bodyguards, the ruling class, the Hollywood people.
[04:37.000 --> 04:39.000]  But then we can't be.
[04:39.000 --> 04:49.000]  I mean it's just a breaking point for me that these people are the unmitigated scum of the earth and are enemies of free people everywhere.
[04:49.000 --> 04:54.000]  They are our enemies. They are our enemies. They've already declared war on us.
[04:54.000 --> 05:01.000]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[05:01.000 --> 05:08.000]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[05:08.000 --> 05:19.000]  Our most popular silver-based products are the 32-ounce nano silver solutions, our 2-ounce nano silver nasal applicators, as well as our all-natural silver soaps.
[05:19.000 --> 05:23.000]  Just released is our 100% natural silver gel.
[05:23.000 --> 05:30.000]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[05:30.000 --> 05:41.000]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[05:41.000 --> 05:50.000]  Visit www.silverlungs.com and click on our store page to find what silver-based products are best for you.
[05:50.000 --> 05:54.000]  That's www.silverlungs.com.
[05:54.000 --> 06:00.000]  Introducing Pro One. All of your filtration in one system, portable, on the go.
[06:00.000 --> 06:04.000]  No more do you have two or three filters to just reduce sodium fluoride.
[06:04.000 --> 06:10.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid.
[06:10.000 --> 06:21.000]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[06:21.000 --> 06:28.000]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
