[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[00:11.000 --> 00:26.000]  Alex Jones, the four-way conspiracy theorist who was a parent.
[00:26.000 --> 00:35.000]  Alex Jones, scum, Russian scum.
[00:35.000 --> 00:41.000]  Until war comes to mind.
[00:41.000 --> 00:51.000]  Reputation's amazing. I will not let you down. You will be very, very impressed, I hope.
[00:51.000 --> 00:57.000]  It's Sunday, the 18th of March, 2018. I'm your host, Alex Jones. We'll be live here for the next two hours.
[00:57.000 --> 01:02.000]  Then we're back with a weekday transmission. David Knight, 8 a.m., myself at 11 a.m.
[01:02.000 --> 01:07.000]  And of course, 3 o'clock, Owen Schroyer, Roger Stone, and others, the War Room.
[01:07.000 --> 01:13.000]  Certainly not a boring time to be alive, and there's never a slow news day, as some people would like to say.
[01:13.000 --> 01:17.000]  Sometimes mainstream media doesn't have its talking points out, and they take a vacation,
[01:17.000 --> 01:23.000]  but we never sleep here when it comes to defending, not just this Republic, but the future of humanity
[01:23.000 --> 01:29.000]  and the defense of free will and our own chance to govern our own destiny.
[01:29.000 --> 01:36.000]  There's so much I want to get to here. The Justice Department is moving with indictments against McCabe, Comey,
[01:36.000 --> 01:40.000]  and Hillary Clinton, finally, along with others in their crime network.
[01:40.000 --> 01:45.000]  I have that from sources very high up, and the sources have been telling me this for a month.
[01:45.000 --> 01:50.000]  I'm seeing people, very prominent former deputy directors and others, saying exactly what I've been told.
[01:50.000 --> 01:55.000]  So I've been kind of sitting on this because folks know I'm not a wishful thinker.
[01:55.000 --> 01:58.000]  I don't tell you something's going away until it's going that way.
[01:58.000 --> 02:04.000]  Mines might get changed. The Democrats might roll over and back off and let us make the country great again.
[02:04.000 --> 02:10.000]  And then maybe there could be some daytime, because I don't want to have the big train wreck that's going to come from this,
[02:10.000 --> 02:17.000]  but it's better than going into the long night of tyranny and letting the Clinton crime combo continue to stay in power
[02:17.000 --> 02:21.000]  and sell us out of the communist, Chinese, and others.
[02:21.000 --> 02:29.000]  And Trump tried to give them a chance to go quietly, you know, out to pasture, not into the dark night,
[02:29.000 --> 02:32.000]  but just take their stolen loot and go.
[02:32.000 --> 02:37.000]  They put Napoleon on Alba than another island, not because they didn't hate the guy,
[02:37.000 --> 02:43.000]  but because he had a lot of networks, a lot of people, and they wanted him to make a deal and give up for everybody's greater good.
[02:43.000 --> 02:48.000]  Well, he snuck back a few years later, as everybody knows, and then had to be finally completely locked up,
[02:48.000 --> 02:52.000]  not just giving his own island and, you know, a few hundred of his own troops,
[02:52.000 --> 02:55.000]  because with that little network, he launched attacks again.
[02:55.000 --> 03:01.000]  And it's the same thing here. They're not going to give up. They're not going to go away. They're crazy.
[03:01.000 --> 03:08.000]  So huge news on that front. Also, Vladimir Putin re-elected. There were globalists trying to hack in and block that.
[03:08.000 --> 03:10.000]  A lot of craziness there. That's all coming up.
[03:10.000 --> 03:16.000]  And I'm going to spend some time on this. You know, I normally check Drudge Report five, six, ten times a day.
[03:16.000 --> 03:23.000]  I didn't today. I was watching my wife on her iPad, and I saw some of the stuff she was looking at,
[03:23.000 --> 03:27.000]  so I kind of got it away from her when she started cooking lunch.
[03:27.000 --> 03:32.000]  I'm just explaining how my surfing habits, and I went down the rabbit hole to London Guardian.
[03:32.000 --> 03:35.000]  I didn't know that Drudge had it as well as his top story.
[03:35.000 --> 03:41.000]  The Cambridge Analytica files meet the whistleblower.
[03:41.000 --> 03:44.000]  I created CBET and psychological warfare tool.
[03:44.000 --> 03:48.000]  Staff claim Analytica ignored ban on foreigners working elections.
[03:48.000 --> 03:52.000]  Facebook suspends. Zuckerberg detests them out before Senate committee.
[03:52.000 --> 03:58.000]  Socials weaponized, data harvested, behaviors predicted, manipulated.
[03:58.000 --> 04:07.000]  This is like in 2018 saying, this young man invented the automobile in 2014.
[04:07.000 --> 04:10.000]  He was the first ever to have an automobile.
