[00:00.000 --> 00:24.000]  This is an emergency transmission from FEMA Region 6 in Occupied, North America.
[00:24.000 --> 00:30.000]  There is a war. It's happening now. It will decide the fate of humanity.
[00:30.000 --> 00:37.000]  The time to choose sides has come. We are the resistance. We are the Info War.
[00:37.000 --> 00:43.000]  It's now November 2, 2015.
[00:43.000 --> 00:58.000]  You may have noticed, CISA, a version of the cybersecurity bill passed in Congress with the Senate voting 74-21 to pass all in the name of a cyber defense to protect the American people and more importantly, big business from hackers.
[00:58.000 --> 01:01.000]  And that's all you need to know, America. Go back to sleep.
[01:01.000 --> 01:10.000]  What they didn't tell you was the NSA and big business slipped a Trojan horse past the American people once again to allow them to spy on you.
[01:10.000 --> 01:28.000]  Wired Magazine reports, privacy advocates in civil liberties groups see CISA as a free pass that allows companies to monitor users and share their information with the government without a warrant while offering a back door that circumvents any laws that might protect users' privacy.
[01:28.000 --> 01:41.000]  The incentive and the framework it creates is for companies to quickly and massively collect user information and ship it to the government, says Mark Jacobs, legislative analyst for the Electronic Frontier Foundation.
[01:41.000 --> 01:48.000]  As soon as you do, he continues, you obtain broad immunity, even if you violated privacy law.
[01:48.000 --> 02:05.000]  The Department of Homeland Security agrees that the latest CISA bill could sweep away many important privacy protections. Breitbart reports, Senator Ron Wyden, Democrat of Oregon, a Democrat who recently allied with Senator Rand Paul to water down provisions of the Patriot Act,
[02:05.000 --> 02:17.000]  said the bill virtually guarantees that private information unrelated to cybersecurity will be shared with the government and said that the bill was a direct pipeline to the NSA.
[02:17.000 --> 02:26.000]  Even with the manager's amendment, the core privacy issues are not being dealt with.
[02:26.000 --> 02:55.000]  The fact is, it is voluntary for companies. It will be mandatory for their customers. And the fact is, the companies can participate without the knowledge and consent of their customers, and they are immune from customer oversight and lawsuits if they do so.
[02:55.000 --> 03:05.000]  During the voting process of CISA, the Senate rejected all of the privacy amendments that would have protected average citizens' right to privacy. But how exactly did they do that?
[03:05.000 --> 03:15.000]  TechDirt breaks down the geek speak detailing the NSA's unconstitutional desperation to collect data related to innocent law-abiding Americans.
[03:15.000 --> 03:25.000]  The NSA and FBI and CIA, for that matter, frequently make use of backdoor searches of the upstream data, a capability that was approved in 2011.
[03:25.000 --> 03:41.000]  Basically, the rules change so that the intelligence community could sniff through data that was deemed collected incidentally. And that includes basically anything that is picked up in the upstream collection of data under Section 702 of the FISA Amendments Act.
[03:41.000 --> 03:52.000]  CISA is likely to be the key piece for letting the NSA and FBI warrantlessly spy on Americans after the FISA court limited that ability a few years ago.
[03:52.000 --> 04:08.000]  Is it any wonder when a $2.8 billion taxpayer-funded JLIN surveillance blimp becomes headline news as the average American citizen shirks when they clearly witness a criminal surveillance state goliath growing far too big to control?
[04:08.000 --> 04:16.000]  The NSA grows stronger as it collects more of our personal information. The U.S. Constitution grows weaker.
[04:16.000 --> 04:39.000]  John Bowne for Infowars.com.
[04:46.000 --> 05:00.000]  There are also huge developments dealing with the abolition of our borders and our sovereignty and with the radicalized Islamic invasion, not just of Europe, the United States being expanded as well. Stay with us.
[05:16.000 --> 05:26.000]  The government has even hired a data security firm to create large numbers of fake social media profiles that could be used to spread propaganda while also encountering anti-establishment viewpoints online.
[05:26.000 --> 05:34.000]  Also, an increasing number of mainstream news outlets are disabling or severely restricting comment sections to silent out critics that challenge the prevailing status quo pushed by the media.
[05:34.000 --> 05:44.000]  For example, Popular Science said it was killing its comment section to silence global warming skeptics. In other words, they don't want readers to have the ability to sway public opinion against their agenda.
[05:44.000 --> 05:51.000]  The aim is to both eradicate free speech on the Internet and to turn the Internet into a tightly controlled medium where only government-approved viewpoints are allowed.
[05:51.000 --> 05:55.000]  In other words, governments want to bury the truth found on the Internet in favor of government lies.
[05:55.000 --> 06:22.000]  You can find out more about the war on the Internet at infowars.com. This is Kit Daniels reporting.
[06:26.000 --> 06:36.000]  Bolt Carrier Group for 308 and 556 ARs. Custom Kydex Holsters. Ideal for concealed carry with.080 thick Kydex to ensure durability.
[06:36.000 --> 06:47.000]  Most competitors' material use.060. Configure yours today at hdfirearms.com. And my favorite, Single Stage Trigger, a home run upgrade for your AR-15 and AR-10 platforms.
[06:47.000 --> 06:59.000]  Find out more at hdfirearms.com today or call 770-485-7015. That's hdfirearms.com or call 770-485-7015.
[07:18.000 --> 07:26.000]  InfowarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B-12 that has been developed with our exclusive, perfected process.
[07:26.000 --> 07:37.000]  Secret 12 is a binary of nutrimentical grade, bioavailable, coenzyme forms of B-12, methylcobalamin, the same kind used in B-12 injections, and adenosylcobalamin.
[07:37.000 --> 07:48.000]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed. No needles, no injections. Don't take my word for it. Try it for yourself. Discover the secret. Secret 12.
[07:48.000 --> 08:10.000]  Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139. InfowarsLife. Secret 12.
[08:10.000 --> 08:19.000]  The Alex Jones Show because there is a war on for your mind.
[08:40.000 --> 08:51.000]  And his new book, Government Zero, No Borders, No Language, No Culture, which is the globalist stated plan for no culture but one world corporate socialism.
[08:51.000 --> 09:07.000]  Socialism for us on the bottom, total corporate fascism, the new royalty on top, the diplomatic community, tax immunity, you name it, Michael Savage will be joining us, I believe via video Skype, coming up at the bottom of the next hour.
[09:07.000 --> 09:20.000]  Total overwhelming news today, everything we've been warning of happening worse than we thought it would. So actually I've been inaccurate, things are moving quicker and are more horrible than I thought.
[09:20.000 --> 09:29.000]  There you go. Our worst nightmares are coming true. Now at the same time, there's always the opposite reaction under Newtonian physics, equal and opposite reaction.
[09:29.000 --> 09:37.000]  There is a lot of people waking up, there's a lot of good things happening as well, but it is certainly a crazy time to be alive.
[09:37.000 --> 09:44.000]  First off, Obama promised no boots on the ground four years ago in Syria. There have always been U.S. troops on the ground.
[09:44.000 --> 09:57.000]  In fact, it was Nemo wrote an article, and I meant to send it to you guys this weekend, where he had a map put out by the State Department of Who Controls What, and it's pretty accurate, in Iraq.
[09:57.000 --> 10:13.000]  You guys just pull up a map of who controls what areas or the war in Syria, a map of the battles, so that we can show how there's that conduit coming up out of Iraq all the way up into the north, up to Turkey.
[10:13.000 --> 10:25.000]  And if you look at that, you've got al-Qaeda, quote, al-Nuzra slash ISIS coming in out of the East and Iraq, and that conduit in the gray area you can see on screen.
[10:25.000 --> 10:34.000]  That was quick, guys, film that in 10 seconds. And then they go up to the north, up by Aleppo, and then that branches out into several different countries up there.
[10:34.000 --> 10:50.000]  And that's how the Islamic State has been taking over the country, and it's being funded by Western groups in Saudi Arabia, out of Iraq in the south and the east, and then by, obviously, Turkey and others in the north.
[10:50.000 --> 11:06.000]  And Turkey's been giving them artillery support, I mean, you name it, it is a major war, hundreds of thousands of jihad troops. And I've talked to Colonel Schaefer years ago confirming that he was at Capitol Hill in secret briefings, and that it would be coming out in the next few months,
[11:06.000 --> 11:25.000]  that 90-plus percent of the, quote, rebels are al-Nuzra slash al-Qaeda. And, of course, it's still those numbers today. So there really are no non-radicals. They say they spent $600 million to train 1,000 rebels, and they trained six of them.
[11:25.000 --> 11:40.000]  Well, that isn't a failed operation. It's that those are the pass-through to fence the weapons to Islamic State that is a caliphate being set up by Saudi Arabia. I mean, Saudi Arabia has conquered Syria before.
[11:40.000 --> 11:54.000]  So this is a same old war yet again, and you've got poll numbers with international groups that have gone and pulled people on the street in different cities, and over 80 percent support for Assad. He was democratizing the country.
[11:54.000 --> 12:04.000]  He was working with the West, was coming a major tourist destination, and they used him lowering his guard, like with Qaddafi, to send in the jihadists. And I'm not saying Qaddafi was a good guy.
[12:04.000 --> 12:16.000]  Assad is a good guy compared to Qaddafi. Qaddafi is a good guy, if you really study it, compared to Islamic State. They are the worst of the worst, and Qaddafi was working with the West for seven, eight years.
[12:16.000 --> 12:33.000]  He invested tens of billions of dollars with Western companies. He let Halliburton and the French and just everybody else in, Slumberger, you name it, he totally nationalized, he took the nationalized system and just gave it to the West and then privatized it.
[12:33.000 --> 12:42.000]  And they stabbed him in the back and stole the living and money as well, mainly the French. The French government stole tens of billions, he invested with France.
[12:42.000 --> 12:56.000]  He went and had dinner and hung out with the French president. He really got sucked in and set up and said nice things about George Bush and nice things about Obama and met Obama and they just totally stabbed him in the back.
[12:56.000 --> 13:04.000]  And people say, well, he's a scumbag, let's stab him in the back. But who's even worse? The people that go in there and create a failed state.
[13:04.000 --> 13:24.000]  Now, that said, I've got so much news to cover here today. I was building up to some clips we're going to play in a few minutes of Obama saying that he would never, ever, ever, he said it over and over again, put boots on the ground.
[13:24.000 --> 13:41.000]  And that that would never happen. And now Obama is coming out saying basically that he never said that and they've got Kirby, one of their spokesman saying, I don't know that Obama ever ruled on boots on the ground in Syria.
[13:41.000 --> 13:56.000]  So this is the type of spin they're engaged in. And we've got the White House press secretary trying to say he didn't break his promise, just like saying we never said that you could keep your doctor.
[13:56.000 --> 14:07.000]  We never said it was free. We never said it cut the price in half. Just as they break the promises, they walk them back in a more and more really outrageous way.
[14:07.000 --> 14:17.000]  And so we've got links to on info wars.com and a zero hedge article, 16 times Obama promised no boots on the ground in Syria.
[14:17.000 --> 14:30.000]  And there's this attitude by people that, well, that's just what they do. They lie. Yes, we've reached a new level of constitutional fraud, of constitutional usurpation, of constitutional trampling and of lying.
[14:30.000 --> 14:39.000]  And again, even liberal professors say Obama is three times worse than Bush on the Constitution on freedom of the press and on persecuting whistleblowers.
[14:39.000 --> 14:49.000]  There's no doubt that this country had political cancer. Now it's metastasized and Obama is basically above the law.
[14:49.000 --> 15:04.000]  So I want to play some of these clips first, then coming up. For first time ever, majority of Democrats now view socialism favorably. That's been the goal. Bill Gates, only socialism can save the planet. This is just today.
[15:04.000 --> 15:12.000]  And that ties into this report. The UN plans to implement universal biometric identification for all worldwide.
[15:12.000 --> 15:20.000]  And that ties into last week's article. No bank card required city group testing eye scanners at ATMs, NBC News.
