[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[00:30.000 --> 00:52.000]  Ladies and Gentlemen, I've been gone for two days, took off most of the time, but boy I tell you wild horses couldn't drag me away. I've been researching quite a bit and we are the middle of incredible history right now.
[00:52.000 --> 01:05.000]  Let me just try to be calm here and then tell you what's coming up in this devastatingly important first hour of the broadcast that no one needs to miss. It's essential.
[01:05.000 --> 01:18.000]  The Globalists are launching a worldwide planetary destabilization program to collapse western nations using weaponized third world populations in countries they've already collapsed by design. This is all declassified, admitted.
[01:18.000 --> 01:33.000]  There's major resistance forming all over the planet and counter striking. Globalism in its current system is in major death rows, but attempting to claw back victory from the grave.
[01:33.000 --> 01:46.000]  I said last week that the Democrats were going to crescendo level calling for civil war, in their words, violence, burning down government buildings, killing the president, kidnapping his son, raping him.
[01:46.000 --> 02:02.000]  People are getting shot at, attacked, killed, record arrest of people trying to kill Republicans. You've heard the clips of surround the White House with a million people, overthrow Trump, full page ads, New York Times, Michael Moore, so much of it I can't even keep track of it.
[02:02.000 --> 02:14.000]  I spent an hour this morning just search-engineering the last week of them calling for civil war. And why is that so important? Because they're such deceivers.
[02:14.000 --> 02:27.000]  They came out in hundreds of publications yesterday, major publications and said, Jones said there was going to be a civil war and shooting and death in the streets on July 4th. It didn't happen.
[02:27.000 --> 02:51.000]  No, in the video they showed, I simply pointed out that I see July 4th as a demarcation line with their chatter intensifying of when we look back in history, we'll see this as the period in the summer of 2018, the summer of rage that launched into a potential civil war and I see it as the demarcation line that they are announcing that they're launching it.
[02:51.000 --> 03:08.000]  I mean, heavens, I'm the one popularizing the last two years they're planning this since he was president-elect. And now it was in hundreds, USA Today, Reuters, everywhere last week saying we are in a civil war.
[03:08.000 --> 03:28.000]  That's USA Today. America is headed to civil war? No, we're already in it, it says. USA Today, we are in a civil war. I say, well, I think we're in a soft civil war, but the Democrats intend to go into overdrive by August.
[03:28.000 --> 03:40.000]  They're saying it. They're announcing it. Your enemy's announcing we will launch the civil war and surround and overthrow them, target all Republicans, hit them in the head, burn their houses down. Here's where they live.
[03:40.000 --> 03:50.000]  I've experienced the physical attacks. I've experienced them throwing beverages on me and knocking my drinks over at restaurants and saying, we hate your family.
[03:50.000 --> 04:01.000]  After your family. And then two gay guys trying to start a fight with my son at the airport, flying back from Colorado a few months ago.
[04:01.000 --> 04:12.000]  They were pretty big guys too, but they were saying threatening things to me. I just laughed them off. But then as soon as I turned my phone off, I've got the video, they go over to get him because he'd already got his bags and was leaving.
[04:12.000 --> 04:28.000]  I said, you want some? You want some to 15 year old person? Look, cowards. And over the week, especially on July 4, people were beaten up, drugged by vehicles, attacked, drinks thrown on them, they're hatched torn away, punched in the head, houses vandalized.
[04:28.000 --> 04:38.000]  It boomed July 4. Boom. It got, it just jumped. Just like I said, exactly. But then how do they grab the fact that we're right and turn into a defeat?
[04:38.000 --> 04:54.000]  They go, Jones claimed the North versus the South would line up again in all the articles and show Confederate soldiers versus blue saying I said that was going to happen as if their readers are so dumb that I'm saying it's the Civil War of the 1860s, not the new Civil War we're in that's global against globalism.
[04:54.000 --> 05:00.000]  See how dumb they think you are? It's all coming up straight ahead.
[05:00.000 --> 05:08.000]  Fueling your body is hard work. That's why we've introduced the Info Wars Life Daily Digestive Pack to help you fuel it right.
[05:08.000 --> 05:19.000]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive. There's no better way to power your body.
[05:19.000 --> 05:31.000]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[05:31.000 --> 05:45.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day. These incredible formulas can help keep your body in tip top shape in the fight against stress, age and outside toxins.
[05:45.000 --> 05:51.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[05:51.000 --> 06:16.000]  Don't miss out on the chance to fuel your body and support recovery. Try the Info Wars Life Daily Digestive Pack today.
[06:22.000 --> 06:31.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide its Alex Jones.
[06:31.000 --> 06:57.000]  Everyone thinks so, but I wouldn't have to say it. You know what I want to do? I want to get it finished. The prize I want is victory for the world.
[06:57.000 --> 07:02.000]  This is the heart of 1776. You white man!
[07:02.000 --> 07:07.000]  It's also what happens when you listen to the radio host, Alex Jones.
[07:07.000 --> 07:11.000]  Move, bitch! Get out of the way!
[07:11.000 --> 07:17.000]  We pledge allegiance to one flag and that flag is the American flag.
[07:17.000 --> 07:22.000]  Info Wars helped fuel the rumor that President Obama is an ISIS supporter.
[07:22.000 --> 07:32.000]  It's been a cozy relationship from the beginning. I will not let you down. You'll be very, very impressed, I hope, and I think we'll be speaking a lot.
[07:32.000 --> 07:40.000]  Donald Trump and Alex Jones. This means that Donald Trump will be the 45th President of the United States.
[07:40.000 --> 07:46.000]  Waging war on corruption. It's Alex Jones.
[07:46.000 --> 08:01.000]  Since yesterday, I have had two of the Info Wars researchers culling the Internet of just the last two weeks from mainstream news, Democratic Party statements, you name it.
[08:01.000 --> 08:16.000]  We should put together all the threats against the President, his family, against free speech, calls for his family to be kidnapped, raped, murdered, calls for Rand Paul to be kidnapped, raped, murdered, his family's intestines strewn around their house, the arrests that were made over that.
[08:16.000 --> 08:20.000]  Rob Reiner saying we're in a civil war.
[08:20.000 --> 08:27.000]  Michael Moore saying it's kind of a million people surrounded the Capitol and then overthrow Trump.
[08:27.000 --> 08:36.000]  Alan Darshowitz saying that at parties in Martha's Vineyard, people say get out of here. I'm going to stab you through the heart.
[08:36.000 --> 08:45.000]  Told Tucker Carlson that last night. There's so many of these reports. Rob Dude just walked in. He said, I don't know if I can have this for you today.
[08:45.000 --> 08:49.000]  And I went, what do you mean? You can get me 10 clips in an hour.
[08:49.000 --> 08:58.000]  He goes, we hadn't done research. We didn't even know. He goes, there's so much of it that this is a whole other story in and of itself.
[08:58.000 --> 09:11.000]  And see, that's what they've done. They've hit us with such saturation of muggings and violence and people getting shot and beat up and stabbed and drugged by cars and hot coffee dumped on them.
[09:11.000 --> 09:23.000]  That there's like 50 cases a day that we know of and generally for something to get politically reported, maybe 100 times more happening we don't know about.
[09:23.000 --> 09:35.000]  So here's what's happening. Democrats are running around ramming people with cars, shooting them, beating them up, dragging with cars, dumping coffee on their heads, grabbing their mega hats, threatening to stab them in the chest,
[09:35.000 --> 09:48.000]  threatening to beat up my son at the airport. I didn't report that. That wasn't on the news. I mentioned it here. It's just crazy.
[09:48.000 --> 10:00.000]  It's absolutely crazy how crazy these people are. And I've even had things happen to my family this week that I can't get into on air yet.
[10:00.000 --> 10:16.000]  But let's just say this. I've had medical providers activate against us and literally start trying to get involved in my life because I'm Alex Jones.
[10:16.000 --> 10:37.000]  Like your family goes to the pediatrician, your family goes to a doctor, some family goes to a psychologist and they say, Alex is bad. You got to get him. I mean, it's so cult like that and they've all activated and they're so crazy and they really believe we're the enemy and they're going completely insane.
[10:37.000 --> 10:51.000]  They believe it's their absolute right and there's one unifying thing about these people. They are super ultra stupid. They are the dumbest of the dumb like the guy last week that called up a bunch of people in the state house and said,
[10:51.000 --> 11:08.000]  I'm coming to murder you and don't try to come get me. And of course they had his caller ID and went and arresting. And the guy has like an ADIQ. It turns out, but he's a Democratic Party volunteer. They really believe we're these Nazis. They really believe we're trying to hurt the country.
[11:08.000 --> 11:24.000]  And they're being told this by the media. They're being told this, that this is how they're good and this is how they're pure. I mean, when they're online, mainline Democratic Party individuals with millions of followers are tweeting out last week.
[11:24.000 --> 11:38.000]  From the great escape with Steve McQueen, when Nazis are at a French cafe and the French resistance mows them down and they say, Sarah Huckabee Sanders is lucky. This didn't happen to her. This is what we're going to start doing.
[11:38.000 --> 11:48.000]  And Twitter doesn't even sanction them. They say, hey, you're lucky. Next we're going to start machine gunning you in cafes.
[11:48.000 --> 12:05.000]  Then some deranged guy with a seven year beef in Maryland over a girl he reportedly stalked goes in and shoots five people in a newspaper. Turns out he was a liberal, by the way.
[12:05.000 --> 12:13.000]  And they turn that into Trump made him go do it. No, that was a seven year lawsuit and beef.
[12:13.000 --> 12:20.000]  It's crap. So like they seize on one thing. Oh, look, look, you're causing violence. Oh, look, you're bad. Meanwhile, Trump saying we shouldn't be violent. We should be peaceful.
[12:20.000 --> 12:29.000]  And then they spin that as if we're the ones wanting violence. And then it gets worse. We're going to have, I told him, just go with what you've got at the end of the shower.
[12:29.000 --> 12:35.000]  Bring me what you've got. We'll air it later in the next hour. All these different clips and things of them calling for violence.
[12:35.000 --> 12:44.000]  But what's even crazier is on the fourth of July, they had the Washington Post, the New York Times, so many publications.
[12:44.000 --> 12:52.000]  I couldn't even keep track of it. So I just ignored it, but it's in the hundreds and then hundreds more yesterday saying, oh, Jones said there'd be a civil war.
[12:52.000 --> 12:56.000]  Didn't happen on July 4. He's crazy. Here's the article of the Washington Post.
[12:56.000 --> 13:06.000]  A short history of Alex Jones claiming that the left is about to start a civil war. And see, this is me actually being proven right.
[13:06.000 --> 13:12.000]  Starting about a year and a half ago saying, look, they want to overthrow the government. They want a civil emergency.
[13:12.000 --> 13:21.000]  They want to slowly increase the riots until they finally get a catalyst point so that when there's a major uprising, it overwhelms the country.
[13:21.000 --> 13:28.000]  The borders collapse. The UN has to come in. That's what Soros and the UN are saying. That's what they're doing in Europe with the giant migrant waves.
[13:28.000 --> 13:34.000]  We're 10 million. Now they're saying it's going to be 20 million, then 50 million. This is all being announced.
[13:34.000 --> 13:38.000]  Austria-Hungary have joined forces. They're putting up emergency walls.
[13:38.000 --> 13:44.000]  They're already seeing numbers hitting that were worse than the migrant crisis at its peak in 2016 in Europe.
[13:44.000 --> 13:55.000]  You know, the giant snakes of millions of people coming in, it's on. They are seeing waves at least as big or bigger.
[13:55.000 --> 14:04.000]  One report out of Macedonia with people screaming Allah Akbar climbing the fence was five times the previous record numbers.
[14:04.000 --> 14:09.000]  And Soros has ships coming across doing it.
[14:09.000 --> 14:15.000]  So here it is, a short list, a history of Alex Jones claiming that the left is about to start a civil war.
[14:15.000 --> 14:23.000]  So there old Rob Reiner says we're in a civil war. Michael Moore says rise up, surround the capital, throw Trump out, full page ads, New York Times.
[14:23.000 --> 14:29.000]  Antifa says rise up. They're attacking people that try to have prayer vigils anywhere in the country, in any blue city.
[14:29.000 --> 14:34.000]  Christians can't even have demonstrations in America with these monster authoritarians.
[14:34.000 --> 14:40.000]  And then they spin it all over the news saying I said the north versus the south.
[14:40.000 --> 14:47.000]  That's what they put on these articles in blue and gray uniforms are going to line up in the battle, you know, that starts in Virginia.
[14:47.000 --> 14:52.000]  This is a totally new world hundreds of years later, and I'm talking clearly about what they're doing.
[14:52.000 --> 14:57.000]  They spin it and they go, oh, where's the civil war? Well, there were increased attacks all over the country that you called for.
[14:57.000 --> 15:03.000]  We're going to go over. But that's how dumb they think their viewers and listeners and readers are. It's also on TV.
[15:03.000 --> 15:07.000]  Misdirecting the reality.
[15:07.000 --> 15:14.000]  When in truth, it was USA Today and everybody last week that said we're already in a civil war.
