[00:00:00.000 --> 00:00:19.000]  InfoWars, tomorrow's news, today.
[00:00:19.000 --> 00:00:24.000]  My dad had an expression, he used to say,
[00:00:24.000 --> 00:00:33.000]  You know your success as a parent when you turn and look at your child and realize they turned out better than you.
[00:00:33.000 --> 00:00:43.000]  There's no way of knowing how it got there or whose it is, but it appears that cocaine has been found at the White House.
[00:00:43.000 --> 00:00:48.000]  We have a yellow bar stating cocaine, hydrochloride.
[00:00:48.000 --> 00:00:51.000]  Yes!
[00:00:51.000 --> 00:00:55.000]  I would like to know blow by blow who was responsible for this.
[00:00:55.000 --> 00:01:01.000]  Too soon.
[00:01:01.000 --> 00:01:05.000]  Indeed, cocaine. Now again, this is part of an ongoing investigation.
[00:01:05.000 --> 00:01:13.000]  I can't even fathom anything like this having been found before in the West Wing and I go back to the 70s at the White House.
[00:01:13.000 --> 00:01:21.000]  A piece of crack cocaine, no bigger than this quarter that I'm holding in my hand.
[00:01:21.000 --> 00:01:28.000]  One quarter of one dollar. We passed a law that says you're caught with that, you go to jail.
[00:01:28.000 --> 00:01:40.000]  I spent more time on my hands and knees picking through rugs, smoking anything that even remotely resembled crack cocaine.
[00:01:40.000 --> 00:01:45.000]  I think there's a lot of cheap shots taken at Hunter Biden. He's a recovering addict. It's not funny.
[00:01:45.000 --> 00:01:47.000]  I like it.
[00:01:47.000 --> 00:01:51.000]  She don't lie, she don't lie, she don't lie.
[00:01:51.000 --> 00:01:53.000]  Cocaine is a serious drug.
[00:01:53.000 --> 00:02:01.000]  The big question, Andrea, is for how long had this item, which was described as a small dime-sized bag, been in this location?
[00:02:01.000 --> 00:02:07.000]  That's like saying you, before you got in this program, you take a test where you're taking cocaine or not. What do you think, huh?
[00:02:07.000 --> 00:02:12.000]  The president is proud to have restored the rule of law.
[00:02:12.000 --> 00:02:14.000]  No dimes!
[00:02:37.000 --> 00:02:51.000]  There is a super viral video of a woman flying out of a flight in Dallas who believes she saw a man turn into a reptoid.
[00:02:51.000 --> 00:02:57.000]  She's a good-looking woman, comes off as very credible, doesn't look like your classic schizophrenic.
[00:02:57.000 --> 00:03:03.000]  And other people on the plane said that the guy's face was glitching out and doing weird stuff.
[00:03:03.000 --> 00:03:06.000]  Now, there's obviously crazy people that see things that don't exist.
[00:03:06.000 --> 00:03:13.000]  But I know a lot of really prominent people, and I've alluded to this the last few months, that are seeing similar things.
[00:03:13.000 --> 00:03:16.000]  And that's kind of one reason we're having this big awakening happening.
[00:03:16.000 --> 00:03:26.000]  It's very cogent, very serious, very successful, well-known people are basically seeing other people glitch out and turn into basically demons or reptile-like creatures.
[00:03:26.000 --> 00:03:30.000]  And it's a big phenomenon. It's gone on for a long time.
[00:03:30.000 --> 00:03:33.000]  I've been trying to get David Icahn for a month. He's a very busy guy.
[00:03:33.000 --> 00:03:36.000]  He agreed to come on last week, today.
[00:03:36.000 --> 00:03:42.000]  So we're lucky and blessed to have David Icahn when this is such a huge story.
[00:03:42.000 --> 00:03:45.000]  I don't know what's going on.
[00:03:45.000 --> 00:03:50.000]  There's also weird hologram-type systems out there where people can wear hologram belts, or you can be in a room,
[00:03:50.000 --> 00:03:56.000]  and then a hologram can make somebody's face do that to mess with folks, basically magician-type stuff.
[00:03:56.000 --> 00:04:00.000]  But this is happening more and more and more and more.
[00:04:00.000 --> 00:04:04.000]  And at some point, some of these prominent people are going to start going public.
[00:04:04.000 --> 00:04:06.000]  But it's just super weird.
[00:04:06.000 --> 00:04:11.000]  Now, I don't normally get into conspiracy theories. I cover real stuff they call conspiracy theories.
[00:04:11.000 --> 00:04:14.000]  We're going to be hitting plenty of that today.
[00:04:14.000 --> 00:04:17.000]  But David Icahn does join us in the second and third hour.
[00:04:17.000 --> 00:04:25.000]  So we'll get to hear about a lot more of this, obviously, with him.
[00:04:25.000 --> 00:04:30.000]  But he's going to want to get into the Russia situation and the global government and the global currencies
[00:04:30.000 --> 00:04:34.000]  and what's happening with Biden, what's happening with 5G.
[00:04:34.000 --> 00:04:38.000]  I want to get his take on Elon Musk and so much more.
[00:04:38.000 --> 00:04:40.000]  This is a big broadcast.
[00:04:40.000 --> 00:04:44.000]  Every broadcast is big, but this one is big, big, big.
[00:04:44.000 --> 00:04:51.000]  Every broadcast is on fire, but this is fire on fire on fire!
[00:04:51.000 --> 00:04:54.000]  Infowars.com, newswars.com, band.videos.
[00:04:54.000 --> 00:04:58.000]  We are tomorrow's news today.
[00:05:22.000 --> 00:05:24.000]  Millions and millions are coming across here.
[00:05:24.000 --> 00:05:26.000]  Many of them kidnap children.
[00:05:26.000 --> 00:05:29.000]  Fentanyl deaths for over 100,000 a year.
[00:05:29.000 --> 00:05:31.000]  GMO products have been forced on the public.
[00:05:31.000 --> 00:05:35.000]  5G is being erected in every major industrialized country.
[00:05:35.000 --> 00:05:37.000]  Cancer rates are exploding.
[00:05:37.000 --> 00:05:40.000]  Heart attacks, strokes, neurological disorders.
[00:05:40.000 --> 00:05:43.000]  About 25-year-olds are, quote, getting Alzheimer's.
[00:05:44.000 --> 00:05:52.000]  Inside the mRNA injections are the programming for spike protein of the HIV delivery system growing in our brains.
[00:05:52.000 --> 00:05:54.000]  That's just the start of the new world order.
