[00:00.000 --> 00:25.000]  Infowars, tomorrow's news, today.
[00:25.000 --> 00:29.000]  Ladies and gentlemen, it is Thursday, October 20, 2020.
[00:29.000 --> 00:34.000]  I'm Alex Shownes, your host, and I'm going to take a few days off.
[00:34.000 --> 00:36.000]  I'm working seven days a week, just like you said.
[00:36.000 --> 00:38.000]  I always know when I hit a wall.
[00:38.000 --> 00:40.000]  So now's the time for me to take off a few days.
[00:40.000 --> 00:41.000]  I'll enjoy her.
[00:41.000 --> 00:43.000]  I'll do more than fill in.
[00:43.000 --> 00:46.000]  He brings his own great insight, analysis, and amazing calls.
[00:46.000 --> 00:49.000]  Yeah, so I was going to be really at the helm and ask everybody to get behind
[00:49.000 --> 00:53.000]  Ellen even more and promote the war room and the other great shows here on
[00:53.000 --> 00:54.000]  Infowars.
[00:54.000 --> 00:57.000]  But I am going to be filing reports from the road.
[00:57.000 --> 01:00.000]  On one subject to try to get people's attention focused in on him.
[01:00.000 --> 01:03.000]  When I sit here and I look at my five-year-old daughter playing in the
[01:03.000 --> 01:06.000]  backyard right now through the window I'm looking at.
[01:06.000 --> 01:09.000]  It doesn't enrage me how much danger she's in.
[01:09.000 --> 01:11.000]  It gives me determination.
[01:11.000 --> 01:13.000]  But she's in danger.
[01:13.000 --> 01:15.000]  Your children and grandchildren are in danger.
[01:15.000 --> 01:16.000]  We're all in danger.
[01:16.000 --> 01:18.000]  Psychotic depopulation is too on record.
[01:18.000 --> 01:22.000]  So they want to get rid of at least 80% of the whole population publicly.
[01:22.000 --> 01:25.000]  Other stages down to 500 million, that's 90 plus percent.
[01:25.000 --> 01:29.000]  They are producing admittedly at labs all over the U.S., all over Europe,
[01:29.000 --> 01:33.000]  all over Ukraine, all over Asia, all over Latin America.
[01:33.000 --> 01:39.000]  Super weapons like Boston University admittedly with Fauci and Dazik,
[01:39.000 --> 01:41.000]  all in regular crooks.
[01:41.000 --> 01:47.000]  Psycho, just absolute villains of all time producing weapons that kill 80% of humans.
[01:47.000 --> 01:52.000]  They have humanized minds that have the exact same effect as humans when they're
[01:52.000 --> 01:58.000]  given these pathogens, 80% kill rate on an airborne COVID.
[01:58.000 --> 02:02.000]  They created a super variant and they have it there and they tell you it in your face,
[02:02.000 --> 02:05.000]  literally holding a gun to all of our heads.
[02:05.000 --> 02:07.000]  So everything else is a diversion.
[02:07.000 --> 02:09.000]  Everything else is a distraction.
[02:09.000 --> 02:12.000]  Yes, it's all important that we have footage out of Texas at a directly
[02:12.000 --> 02:16.000]  story time with two, three, four, five-year-old kids with a madness of
[02:16.000 --> 02:20.000]  like a woman telling the children that he is going to have sex with them in the
[02:20.000 --> 02:22.000]  most grotesque fashion.
[02:22.000 --> 02:26.000]  We can't even play these clips on air, okay?
[02:26.000 --> 02:28.000]  And they're only going to ramp up.
[02:28.000 --> 02:29.000]  They're assaulting our children.
[02:29.000 --> 02:30.000]  They're creating bio weapons.
[02:30.000 --> 02:34.000]  If they can't kill them in the womb, they want to sterilize them afterwards
[02:34.000 --> 02:35.000]  with a transgender cult.
[02:35.000 --> 02:37.000]  This is what a satanic assault looks like.
[02:37.000 --> 02:41.000]  It looks like, again, our government is completely out of control and lawless,
[02:41.000 --> 02:43.000]  endangering all of themselves as well.
[02:43.000 --> 02:45.000]  They're totally compartmentalized.
[02:45.000 --> 02:50.000]  99% of the corporate leaders and government leaders are just go along,
[02:50.000 --> 02:52.000]  get along people that follow orders.
[02:52.000 --> 02:55.000]  But it's on record that they have gain of function weapons.
[02:55.000 --> 02:59.000]  They've lied to Congress and I'm just demanding people wake up.
[02:59.000 --> 03:03.000]  I'm demanding the establishment wake up because I know most people in the
[03:03.000 --> 03:07.000]  establishment do not want to have hundreds of labs everywhere with stuff
[03:07.000 --> 03:09.000]  that kills 80 to 90% of humans.
[03:09.000 --> 03:12.000]  The mousepox they develop kills over 90% of humans.
[03:12.000 --> 03:16.000]  So I am simply sitting here explaining to everybody that these people are the criminals.
[03:16.000 --> 03:19.000]  They say Kanye is a criminal for his spot crimes.
[03:19.000 --> 03:21.000]  I'm a criminal for questioning things.
[03:21.000 --> 03:22.000]  No, we're not criminals.
[03:22.000 --> 03:26.000]  We are sane people, challenging the power structure and everybody should take the links now.
[03:26.000 --> 03:30.000]  www.TheM4Wars.com for a live show and share it like never before.
[03:30.000 --> 03:35.000]  We are the forbidden broadcasts because we are exposing the enemies of humanity.
[03:35.000 --> 03:38.000]  I want to salute the hardcore listeners in the earth of the vault.
[03:38.000 --> 03:41.000]  Absolute heart of the worldwide resistance.
[03:41.000 --> 03:44.000]  The globalists hate to me because they hate you.
[03:44.000 --> 03:45.000]  They hate the fact we're awake.
[03:45.000 --> 03:47.000]  We hate the fact that we're warning people.
[03:47.000 --> 03:48.000]  They hate the fact people are listening.
[03:48.000 --> 03:51.000]  And yes, we are beginning to win politically and culturally.
[03:51.000 --> 03:55.000]  That's why the globalists have said they will start wars or release bio-weapons.
[03:55.000 --> 03:56.000]  And here's the key.
[03:56.000 --> 03:59.000]  They release COVID, which is weak compared to what they've got.
[03:59.000 --> 04:03.000]  There's a beta test of lockdown to see if you'll submit when they actually launch the real attack.
[04:03.000 --> 04:05.000]  So you stay in your houses and die.
[04:05.000 --> 04:08.000]  We're in a race against these people before they release it.
[04:08.000 --> 04:12.000]  Two years ago, they said after the first release of COVID, they would then have cyber attacks,
[04:12.000 --> 04:14.000]  bringing out World ID cards and more, and the new currency.
[04:14.000 --> 04:18.000]  After that, they release the next bio-weapon, or they may do it sooner.
[04:18.000 --> 04:20.000]  But they're scripting and all like we're idiots.
[04:20.000 --> 04:21.000]  Like we're fools.
[04:21.000 --> 04:23.000]  I don't want to be proven right again.
[04:23.000 --> 04:24.000]  I know I'm right.
[04:24.000 --> 04:26.000]  These people must be stopped.
[04:26.000 --> 04:27.000]  Where is the FBI?
[04:27.000 --> 04:28.000]  Where is the Justice Department?
[04:28.000 --> 04:29.000]  Where is MI5?
