[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:32.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:32.000 --> 00:34.000]  Welcome, ladies and gentlemen.
[00:34.000 --> 00:36.000]  Welcome and thank you for joining us.
[00:36.000 --> 00:42.000]  It is December 4, 2008, on this Thursday edition.
[00:42.000 --> 00:46.000]  I will tell you, we have a surprise guest in studio tomorrow, and just leave it at that.
[00:46.000 --> 00:49.000]  You know how I love surprises.
[00:49.000 --> 00:55.000]  We have several informative guests joining us, coming up later in the day.
[00:55.000 --> 00:59.000]  Professor Jeffrey F. Atticott, remember about a year ago?
[00:59.000 --> 01:08.000]  I debated him on CBS TV in San Antonio about how, well, there's not really a plan to put troops on the streets of America for law enforcement.
[01:08.000 --> 01:15.000]  No, and there's not a plan to get rid of the National Guard and federalize them, and no, everything's fine.
[01:15.000 --> 01:18.000]  Mr. Jones is paranoid.
[01:18.000 --> 01:20.000]  Now, it's all been announced.
[01:20.000 --> 01:27.000]  So, Professor Jeffrey F. Atticott is bravely joining us, coming up in 30 minutes here on the show,
[01:27.000 --> 01:32.000]  because he is at St. Mary's University School of Law in San Antonio,
[01:32.000 --> 01:38.000]  and his name is Professor of Director of the Center for Terrorism Law.
[01:38.000 --> 01:42.000]  And he is very, very prominent in all of this new form of law that really isn't new.
[01:42.000 --> 01:50.000]  It's quite Napoleonic, practice similar law in China, and in Stalinist Russia.
[01:50.000 --> 01:58.000]  So, we'll be going over all of that today with him, here on the air.
[01:58.000 --> 02:05.000]  And if you don't think secret military commissions and waterboarding and troops on the streets isn't Napoleonic,
[02:05.000 --> 02:07.000]  you don't know what Napoleonic law is.
[02:07.000 --> 02:10.000]  It's guilty until proven innocence.
[02:10.000 --> 02:14.000]  It is the state is God.
[02:14.000 --> 02:20.000]  Just dressed up in neocon and Obama-esque neo-lib clothing.
[02:20.000 --> 02:33.000]  And then we do have Major General Stubblebine joining us from Central America, along with his wife, Dr. Lebo, today.
[02:33.000 --> 02:36.000]  So, that is coming up.
[02:36.000 --> 02:40.000]  Also, for 30 minutes, coming up at the bottom of the next hour,
[02:40.000 --> 02:50.000]  we're going to have our weekly report on the economy from Bob Chapman and the international forecaster.
[02:50.000 --> 02:57.000]  It turns out that anti-terror police in London last week arrested, detained, kidnapped.
[02:57.000 --> 03:00.000]  They didn't have a warrant under common law.
[03:00.000 --> 03:06.000]  That was a kidnapping, official oppression, and that's not Alex Jones saying that.
[03:06.000 --> 03:12.000]  It's the Speaker of the Parliament now saying that.
[03:12.000 --> 03:18.000]  And they arrested him under terrorism auspices for what?
[03:18.000 --> 03:26.000]  Exposing that the government was secretly legalizing all of the illegal aliens in England while lying to the public
[03:26.000 --> 03:32.000]  and telling them they had to accept national ID cards to stop the illegal aliens.
[03:32.000 --> 03:39.000]  So, that's what they do. They went and busted into his house and stole all his computers and files
[03:39.000 --> 03:46.000]  and interrogated him for nine hours before even letting anyone know that he'd been grabbed.
[03:46.000 --> 03:54.000]  Of course, he was the shadow secretary of immigration.
[03:54.000 --> 03:56.000]  What is a shadow secretary?
[03:56.000 --> 04:00.000]  In the parliamentary system, the second strongest party, the conservatives, which he's a member of,
[04:00.000 --> 04:05.000]  then get a shadow secretary. They get representation.
[04:05.000 --> 04:11.000]  They're in the office, so he witnessed all these criminal activities going on, and they are criminal, violating all these laws.
[04:11.000 --> 04:19.000]  I mean, it came out, what, six years ago in the BBC even that Tony Blair had secretly legalized
[04:19.000 --> 04:23.000]  over a million immigrants in the first couple years of his administration?
[04:23.000 --> 04:29.000]  It's been in since 1996, been out since last year. Gordon Brown's in now.
[04:29.000 --> 04:37.000]  It's the same policies. Secret deals with the European Union to load the illegal aliens on the trains to bring them in.
[04:37.000 --> 04:42.000]  I mean, that's a big deal when governments are grabbing government officials without even warrants.
[04:42.000 --> 04:49.000]  I mean, powerful government officials. See, the illegitimate paramilitary government under the Queen's control
[04:49.000 --> 04:52.000]  out grabbing people, and that's who runs MI5 and MI6.
[04:52.000 --> 04:55.000]  That's just one of the stories. Literally, the news is off the charts.
[04:55.000 --> 05:01.000]  We'll cover it all when we get back. I'm Alex Jones. This is the GCN Radio Network, the WebcicerInfoWars.com.
[05:01.000 --> 05:07.000]  Hello, friends. This is Alex Jones. I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[05:07.000 --> 05:13.000]  We need to be independent, and food and water is the key. You'll never have to stand in a bread line if you have your own bread.
[05:13.000 --> 05:19.000]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[05:19.000 --> 05:25.000]  Our elected representatives wanted a good old boy bailout for a special interest, so they ignored your screams not to do it.
[05:25.000 --> 05:31.000]  They turned off the telephones and emailed. They voted to print $850 billion at least out of thin air.
[05:31.000 --> 05:34.000]  This money now owns the American and European banks.
[05:34.000 --> 05:40.000]  The exploding inflation that is now guaranteed will slash your life savings to nothing and blast the cost of necessities,
[05:40.000 --> 05:43.000]  particularly food beyond many Americans' reach.
[05:43.000 --> 05:50.000]  In pre-Nazi Germany's superinflation, the cost of a loaf of bread doubled every two days, until it reached over 4 billion marks.
[05:50.000 --> 05:54.000]  Food prices are skyrocketing so fast, there seems as if there may be no end in sight.
[05:54.000 --> 06:00.000]  The private banks, merging with our government, are refusing to loan grocery stores enough money to restock their shelves.
[06:00.000 --> 06:07.000]  The stores have less food, but jack up prices to stay in business. Whatever happens in America, we need to be prepared and be ready.
[06:07.000 --> 06:12.000]  Everything is zeroing in on food. One third of Americans have to choose between buying food and paying for other necessities.
[06:12.000 --> 06:16.000]  My friends, whatever it takes, get prepared, get self-sufficient, get food.
[06:16.000 --> 06:21.000]  For everybody out there listening, it's very important for you to understand that by having a supply of storable food,
[06:21.000 --> 06:28.000]  the government, the new-old order has a lot less control over you, and so it's a mindset, a mindset of self-sufficiency and preparedness.
[06:28.000 --> 06:31.000]  No one is going to take care of your family in the final equation but you.
[06:31.000 --> 06:38.000]  You know, eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports,
