[00:00:11.354 --> 00:00:14.416]  Waging war on corruption.
[00:00:14.416 --> 00:00:24.902]  Alex Jones.
[00:00:24.902 --> 00:00:28.805]  Ladies and gentlemen, it is Monday, the 14th day of May 2018.
[00:00:28.805 --> 00:00:32.707]  We're going to be live here for the next four hours.
[00:00:32.707 --> 00:00:36.790]  And then Roger Stone and Owen Troyer are going to knock it out of the park yet again.
[00:00:38.527 --> 00:00:47.013]  We've got 43 dead, thousands injured in Islamicist rioting outside of Israel.
[00:00:47.013 --> 00:00:50.155]  And that's what it is.
[00:00:50.155 --> 00:00:58.461]  Doesn't mean I don't feel for some of those people locked out of all the other Muslim countries, who won't take a single one of them, but only blame Israel.
[00:00:58.461 --> 00:00:59.923]  It's just not reality-based.
[00:00:59.923 --> 00:01:02.064]  And I'm going to break it all down.
[00:01:02.064 --> 00:01:03.485]  Jared Kushner can speak.
[00:01:03.485 --> 00:01:04.406]  He actually talks.
[00:01:04.406 --> 00:01:05.787]  He says Trump's kept his promises.
[00:01:08.388 --> 00:01:11.372]  Amazing footage, drones dropping tear gas on people.
[00:01:11.372 --> 00:01:13.035]  I remember I told folks about that 10 years ago.
[00:01:13.035 --> 00:01:15.558]  They said it was a conspiracy theory, but now it's all there.
[00:01:15.558 --> 00:01:21.346]  But first, a John Bowne report, because we have to understand where leftist ideology takes us 1,000% of the time.
[00:01:24.181 --> 00:01:39.797]  California, with its bankrupt economy, culture of unemployment, madcap representatives, crumbling power grid, crippling taxes, and unattainable real estate prices, has created an exodus of Californians heading east.
[00:01:39.797 --> 00:01:44.322]  But California has always claimed to be at the heart of the American future.
[00:01:44.322 --> 00:01:46.805]  So why is everyone leaving, curbed,
[00:01:47.865 --> 00:02:02.571]  California is seeing a net gain in high earners, making $110,000 or more, and the highly educated graduate degrees are higher, while losing those representing the other end of the socioeconomic spectrum.
[00:02:02.571 --> 00:02:04.672]  Families with kids are headed for Texas.
[00:02:04.912 --> 00:02:07.453]  Blue State College graduates are moving in.
[00:02:07.453 --> 00:02:13.035]  In other words, California's experiencing what looks like statewide gentrification.
[00:02:13.035 --> 00:02:22.838]  Maybe it's also because of the leftist madness gleaned from reports like these, as the LA Times asked, is systematic racism to blame for STDs?
[00:02:22.838 --> 00:02:28.600]  They write, poverty or lack of opportunity may be forcing women to exchange sex for resources.
[00:02:28.880 --> 00:02:30.960]  Leading to the spread of STDs.
[00:02:30.960 --> 00:02:37.502]  There also tends to be a mistrust of the medical system among African Americans, making them reluctant to seek care.
[00:02:37.502 --> 00:02:42.623]  Lately, scapegoating racism has been the Trojan horse for all of society's ills.
[00:02:42.623 --> 00:02:51.265]  What else could explain as the Washington Times reported over half of Americans now live in sanctuaries protecting illegal non-taxpaying immigrants.
[00:02:51.265 --> 00:02:57.026]  And as the wealth gap increases, is this what you can expect coming soon to a city near you?
[00:02:57.646 --> 00:03:03.872]  New at 5, we have shocking video of what's going on in one of the busiest BART stations in the Bay Area.
[00:03:03.872 --> 00:03:07.576]  Several junkies blatantly shooting up out in the open.
[00:03:07.576 --> 00:03:10.018]  Others slumped along the corridors.
[00:03:10.018 --> 00:03:12.741]  This is San Francisco's Civic Center station.
[00:03:12.741 --> 00:03:18.667]  We sent KPIX5's Wilson Walker to ask the mayor and BART, what are you doing about all of this?
[00:03:19.287 --> 00:03:21.290]  You can see there's dozens of them.
[00:03:21.290 --> 00:03:23.993]  Needles everywhere, crack, heroin.
[00:03:23.993 --> 00:03:27.197]  It's a real concern for our riders and we appreciate that.
[00:03:27.197 --> 00:03:31.342]  What we have to do is make the most of the resources, the limited resources that we have.
[00:03:34.207 --> 00:03:43.179]  BART, which has been pledging to address these problems, says it's recruiting more community service officers, more than 30 new sworn officers, and 20 new station cleaners.
[00:03:43.179 --> 00:03:45.101]  But will that be enough?
[00:03:45.101 --> 00:03:50.348]  If San Francisco spends nearly a quarter of a billion dollars on the homeless every year,
[00:03:51.189 --> 00:03:54.370]  Why are there still thousands of people living on the street?
[00:03:54.370 --> 00:04:00.093]  Where does that money go and how does the system work or not work?
[00:04:00.093 --> 00:04:01.594]  241 million dollars.
[00:04:01.594 --> 00:04:08.116]  Now of that, 50 million funds shelters and another 50 million fund health services for the truly homeless.
[00:04:08.116 --> 00:04:16.220]  But the single most important thing to know about that 241 million dollars is that most of it has absolutely nothing to do
[00:04:17.081 --> 00:04:21.444]  That is a great observation.
[00:04:21.444 --> 00:04:23.686]  I think it's missed by many in the city.
[00:04:23.686 --> 00:04:30.092]  We're not spending $241 million a year on the 7 or 8,000 people who are homeless in San Francisco.
[00:04:30.092 --> 00:04:35.096]  We're spending more than half of that money, actually, to keep people in permanent housing.
[00:04:35.416 --> 00:04:42.858]  That's right, $140 million worth of the entire homeless budget houses approximately 9,000 people.
[00:04:42.858 --> 00:04:47.679]  California should be the prime example of what not to do.
[00:04:47.679 --> 00:04:52.680]  John Bowne reporting for Infowars.com.
[00:04:52.680 --> 00:04:56.241]  We'll be back on this Live Monday Global Transmission.
[00:04:56.241 --> 00:04:59.162]  Please spread all the live links and tell folks about your local station.
[00:05:00.555 --> 00:05:02.896]  Fueling your body is hard work.
[00:05:02.896 --> 00:05:08.659]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:05:08.659 --> 00:05:17.103]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:05:17.103 --> 00:05:19.324]  There's no better way to power your body.
[00:05:19.844 --> 00:05:26.727]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:05:26.727 --> 00:05:37.893]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:05:37.893 --> 00:05:44.796]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:05:45.336 --> 00:05:51.479]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:05:51.479 --> 00:05:55.320]  Don't miss out on the chance to fuel your body and support recovery.
[00:05:55.320 --> 00:05:58.462]  Try the InfoWars Life Daily Digestive Pack today!
[00:06:33.281 --> 00:06:40.065]  You know, I've had the Islamicist groups, I've had the white supremacist, I've had the Hollywood crowd.
[00:06:41.081 --> 00:06:54.711]  I've had mainstream media bully me for 20 plus years that I've been on air with litmus tests about do I support Israel or don't I?
[00:06:54.711 --> 00:07:00.076]  And I've been very, very clear that I do support Israel.
[00:07:00.076 --> 00:07:05.059]  There's videos on YouTube that have been re-uploaded where I said that in 1997.
[00:07:10.208 --> 00:07:18.170]  And the reason I do is very simple.
[00:07:18.170 --> 00:07:36.554]  None of the Muslim countries like Egypt, or Jordan, or Saudi Arabia, that surround the Palestinian lands, close quote, will take any of them.
[00:07:36.554 --> 00:07:39.415]  And I've gone and looked at the demographics of most of those people,
[00:07:40.947 --> 00:07:52.912]  They're basically nomadic groups that have come into the area as part of a hajj or part of some type of jihad.
[00:07:52.912 --> 00:07:57.653]  Now let's explain this.
[00:07:57.653 --> 00:07:59.354]  Israel's this little bitty tiny country.
[00:08:04.640 --> 00:08:07.562]  All around it are these Muslim countries.
[00:08:07.562 --> 00:08:17.527]  And if you look at maps going back a hundred years ago, time-lapse through today, big magazines have done them, TV stations have done them, news programs have done them.
[00:08:17.527 --> 00:08:27.133]  They generally show Islam spreading as green, because that's the color of Islam, and you see it expanding, never contracting.
[00:08:27.133 --> 00:08:30.835]  And you've got one point almost four billion.
[00:08:33.021 --> 00:08:37.544]  Muslims having six children on average, that means three billion by 2030.
[00:08:37.544 --> 00:08:37.604]  2030.
[00:08:37.604 --> 00:08:44.348]  So within about 12 years.
[00:08:44.348 --> 00:08:46.890]  Hard to believe 2030 is only 12 years away.
[00:08:46.890 --> 00:08:47.330]  Wow!
[00:08:47.330 --> 00:08:49.151]  Isn't that incredible?
[00:08:49.151 --> 00:08:50.312]  We're living in the future here.
[00:08:54.232 --> 00:09:19.487]  And the left and the globalists have allied themselves with radical Islam, and they've backed the takeover, non-radical Islam, and persecute Muslims, and then persecute Christians, and persecute animists, and persecute Zoroastrians, and Hindus, and Buddhists, and atheists, and straight, and gay.
[00:09:19.487 --> 00:09:22.069]  All over the world, Islam comes in, sets up,
[00:09:23.186 --> 00:09:29.728]  And then once it hits about 20%, it does not tolerate anybody else.
[00:09:29.728 --> 00:09:33.709]  In fact, it doesn't tolerate more moderate Islamic groups.
[00:09:33.709 --> 00:09:35.649]  It's a scourge.
[00:09:35.649 --> 00:09:41.751]  And you read the WikiLeaks from two years ago, Jerusalem Post even had a report on it.
[00:09:41.751 --> 00:09:52.674]  Boy, the Israeli media is just as leftist as ours, tries to cover stuff up, that George Soros basically wants to break up Israel and end it.
[00:09:52.674 --> 00:09:53.074]  Get rid of it.
[00:09:56.755 --> 00:09:58.836]  What are you going to do with those millions of Jews that are there?
[00:09:58.836 --> 00:10:03.078]  Just push them into the ocean like Iran says?
[00:10:03.078 --> 00:10:12.924]  And you've got the 13th tribe, you know, Kessler arguments that have been proven not to be completely accurate and say, well, most of them are European Jews, so they don't really have some genetic background.
[00:10:12.924 --> 00:10:14.265]  Oh, yes, they do.
