[00:00.000 --> 00:08.800]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08.800 --> 00:13.000]  It's Alex Jones and the GCN Radio Network.
[00:13.000 --> 00:22.200]  Out of the gates, ladies and gentlemen, Judge Napolitano is our guest, Andrew Napolitano.
[00:22.200 --> 00:24.920]  It really doesn't need any introduction here, but I'll go ahead and give it.
[00:24.920 --> 00:29.960]  He's the honorable Andrew P. Napolitano, of course Fox News contributor, Fox News host,
[00:29.960 --> 00:33.360]  and I believe the best person on that popular channel.
[00:33.360 --> 00:38.960]  I believe he's the only real, bona fide, libertarian, constitutionalist, conservative.
[00:38.960 --> 00:44.360]  Because I've never seen him engage in bait and switches or betrayals of Ron Paul or anybody else.
[00:44.360 --> 00:47.160]  I would love to get behind some of the other guys.
[00:47.160 --> 00:48.160]  I'm not going to attack them.
[00:48.160 --> 00:51.360]  I just want them to try to be more like Judge Napolitano.
[00:51.360 --> 00:53.160]  You're welcome, Alex.
[00:53.160 --> 01:00.760]  And I mean, people know your bio, so I won't get into it. Freedom watch on Fox as well.
[01:00.760 --> 01:01.960]  So much is going on.
[01:01.960 --> 01:04.160]  I want to move quick here with you today.
[01:04.160 --> 01:08.960]  Last week, you openly said that he could be indicted for this.
[01:08.960 --> 01:17.360]  It surprised me, even some of the MSNBC host, like Mr. Schultz, said that the White House is in deep trouble.
[01:17.360 --> 01:20.160]  Congress is subpoenaing AIG.
[01:20.160 --> 01:27.160]  Now we learn that they tucked into a bill, as you know, that much of this is secret till 2018,
[01:27.160 --> 01:30.360]  which again shows evidence of the attempt to cover up.
[01:30.360 --> 01:36.760]  You have Geithner and others trying to cover up the fact that they transferred money to themselves.
[01:36.760 --> 01:39.960]  And of course, to former Treasury Secretary Henry Paulson.
[01:39.960 --> 01:42.160]  This is huge.
[01:42.160 --> 01:46.160]  You know, we don't exactly know what Geithner himself personally knew,
[01:46.160 --> 01:54.360]  but there's a couple of things that we do know, and I have read the emails that were released by Congressman Darrell Issa,
[01:54.360 --> 01:58.360]  who obtained them in his capacity as an American under the Freedom of Information Act.
[01:58.360 --> 02:01.360]  He didn't use any particular government authority to get them.
[02:01.360 --> 02:08.360]  And the emails are between and among lawyers for the New York Fed, lawyers for the Treasury Department,
[02:08.360 --> 02:14.960]  lawyers for AIG, and lawyers for JP Morgan Chase, which was the intermediary bank that the Fed was using,
[02:14.960 --> 02:17.160]  for which the funnel its money.
[02:17.160 --> 02:27.160]  And basically, it is an instruction from the government to AIG, which was about to receive 185 billion,
[02:27.160 --> 02:34.160]  some from the government and some from the Federal Reserve, the largest single bailout by a government in the history of the world.
[02:34.160 --> 02:39.160]  And it was an instruction to AIG that in its applications for this money,
[02:39.160 --> 02:51.160]  it not list truthfully the identity of all of its creditors, and it especially not list its intention to pay some of those creditors a hundred cents on the dollar.
[02:51.160 --> 02:59.160]  We now know that the principal creditor that the Fed lawyers wanted to keep from public awareness was Goldman Sachs.
[02:59.160 --> 03:05.160]  And of course at the time, the Treasury Secretary Henry Paulson was the recently retired chair of Goldman Sachs.
[03:05.160 --> 03:14.160]  We know now that AIG owed Goldman Sachs 13 billion that a pen planned to pay a hundred cents on the dollar and that in fact it did.
[03:14.160 --> 03:19.160]  So question, what did Tim Geithner know and when did he know it?
[03:19.160 --> 03:25.160]  Well, he was the president and CEO of the Federal Reserve Bank of New York at the time.
[03:25.160 --> 03:35.160]  His in-house lawyers were telling AIG to hide from the SEC the existence of the debt to Goldman Sachs.
[03:35.160 --> 03:42.160]  Now, a little bit of basic law. You go to buy a hundred dollar savings bond and you give the wrong zip code, no problem.
[03:42.160 --> 03:49.160]  But if you intentionally give the wrong address, you falsify the federal document and you can be prosecuted.
[03:49.160 --> 04:01.160]  Can you imagine what the law would say about falsifying a document, not for a hundred dollar savings bond, but for a hundred and eighty-five billion dollar bailout of taxpayer dollars?
[04:01.160 --> 04:05.160]  That is what is confronting Tim Geithner.
[04:05.160 --> 04:12.160]  Now, clearly he's the head of the New York Fed at the time working with his former boss, the former head of Goldman Sachs,
[04:12.160 --> 04:19.160]  who was the Treasury Secretary in the fall and winter of 2008, Henry Paulson.
[04:19.160 --> 04:28.160]  And we have Paulson, we have Geithner, we have Bernanke, all in countless House and Senate banking committee meetings,
[04:28.160 --> 04:33.160]  repeating what's in the emails saying, we won't tell you who got the money.
[04:33.160 --> 04:38.160]  We won't tell you, telling Congress, who under the Constitution, as you know, but for some of the audience,
[04:38.160 --> 04:42.160]  has full control over the issuance of currency and credit and the banks.
[04:42.160 --> 04:50.160]  And so, for him to now say, oh, as the head of the Fed, I had no idea what was going on with a hundred and eighty-five billion dollar payout
[04:50.160 --> 04:56.160]  to my own former company and to the current Treasury Secretary of 2008.
[04:56.160 --> 05:00.160]  I mean, this is asinine.
[05:00.160 --> 05:03.160]  Hello, this is Alex Jones with some important questions.
[05:03.160 --> 05:09.160]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[05:09.160 --> 05:14.160]  My answer would be all I can get in the battle for freedom and the lives of your loved ones.
[05:14.160 --> 05:18.160]  Food is your only ammunition. How much do you want? When do you want it?
[05:18.160 --> 05:21.160]  Now or after the battle starts? When will you need it?
[05:21.160 --> 05:26.160]  Can you buy it without proper identification? Will there be any food? Will it make your children sick?
[05:26.160 --> 05:31.160]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[05:31.160 --> 05:35.160]  You wipe out all these problems if you have a good food supply.
[05:35.160 --> 05:39.160]  Food is your ammunition to fight for your freedom and your life.
[05:39.160 --> 05:43.160]  How much will you need? We don't know. How much do you want? All you can get.
[05:43.160 --> 05:47.160]  I'm Alex Jones. I want all of you good guys to live to fight another day.
[05:47.160 --> 05:55.160]  Call 1-800-409-5633 or check it out on the web at eFoodsDirect.com.
[05:55.160 --> 06:01.160]  Again, that number, 1-800-409-5633.
[06:01.160 --> 06:08.160]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[06:08.160 --> 06:12.160]  It's Alex Jones and the GCN Radio Network.
[06:12.160 --> 06:22.160]  Now, Judge, isn't it an oxymoron to have Geithner and the rest of the crew who are in this revolving door
[06:22.160 --> 06:26.160]  carrying powers with each other in the private corporate banks and then in government,
[06:26.160 --> 06:33.160]  clearly stating our official policy is who gets these trillions of dollars that have been served out,
[06:33.160 --> 06:36.160]  180 plus billion of themselves.
[06:36.160 --> 06:41.160]  Their official policy before Congress in the last two years is that it's all secret.
