[00:00:01.070 --> 00:00:07.722]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:07.722 --> 00:00:10.687]  It's Alex Jones and the GCN Radio Network.
[00:00:13.573 --> 00:00:14.733]  Alright, we're back live.
[00:00:14.733 --> 00:00:19.875]  There have been bombings in Morocco, Israel, and of course Saudi Arabia.
[00:00:19.875 --> 00:00:23.516]  The boogeyman, the CIA creation, has been protected.
[00:00:23.516 --> 00:00:27.557]  Used to attack the Serbs, so they would strike back to destabilize that area.
[00:00:27.557 --> 00:00:32.679]  Used to go after the Russians, now being used against us to destabilize this country and Saudi Arabia and the world.
[00:00:32.679 --> 00:00:35.860]  So the globalists can come in and take over entire regions.
[00:00:35.860 --> 00:00:40.721]  And so it'll be a war, so you'll be patriotic while they take your pension funds, take the benefits from the veterans.
[00:00:42.398 --> 00:00:46.944]  Wholesale, destroy the economy, shut down the factories, drive down the dollar.
[00:00:46.944 --> 00:00:47.684]  It's amazing.
[00:00:47.684 --> 00:00:50.428]  And Dr. Dennis Cuddy is an author, a prolific author.
[00:00:51.536 --> 00:00:56.058]  He has several degrees and worked at a high level in the Department of Education.
[00:00:56.058 --> 00:00:57.158]  He'll tell us more about himself.
[00:00:57.158 --> 00:01:01.199]  I had him on a re-aired show I did with him a few weeks ago, Friday, when I was out of town.
[00:01:01.199 --> 00:01:02.820]  And I wanted to have him back on.
[00:01:02.820 --> 00:01:05.221]  We didn't have time to take the calls we wanted to last time.
[00:01:05.221 --> 00:01:10.443]  There's so much to discuss with the New World Order, and I was impressed by his understanding of it.
[00:01:10.443 --> 00:01:18.666]  Dr. Cuddy, tell us a little bit about yourself, and I want to get your take on the dropping dollar, the bombings, and this escalation of crises worldwide.
[00:01:18.666 --> 00:01:19.126]  Go ahead, sir.
[00:01:20.830 --> 00:01:22.451]  Okay.
[00:01:22.451 --> 00:01:36.798]  Regarding myself, many years ago, I think I was about to be groomed to be one of the, as I call them, power elite people, because I had a sort of inquisitive mind.
[00:01:36.798 --> 00:01:41.180]  The first governor's school, as they call it in the nation, funded by Carnegie at the time,
[00:01:42.388 --> 00:01:47.570]  Uh, was set up, and they asked us, I thought, a bunch of mysterious questions.
[00:01:47.570 --> 00:02:03.295]  They gave us the Minnesota Multiphasic Personality Inventory, and so later on I obtained the private correspondence between the tester and what was called the Psychological Corporation of New York, and found out that they had wanted to keep tabs on us, and filed, and whatever.
[00:02:03.295 --> 00:02:09.397]  And so I began a lot of inquiries, and doors that had been opened to me suddenly started shutting.
[00:02:09.397 --> 00:02:11.418]  Nobody came out overtly and said,
[00:02:12.122 --> 00:02:17.368]  We've found out what you're up to and your persona non grata.
[00:02:17.368 --> 00:02:18.970]  They don't work like that.
[00:02:18.970 --> 00:02:22.193]  They just, you know, doors start closing that hadn't been opened.
[00:02:22.193 --> 00:02:29.862]  So anyway, I got into graduate school and one of the things that impressed me was the muckrakers.
[00:02:29.862 --> 00:02:32.345]  We were reading them a hundred or so years ago.
[00:02:33.175 --> 00:03:00.682]  And I remember reading in everybody's magazine back in 1904 where this really investigative reporter, not like these phony ones today, would camp outside of the headquarters of the Rockefeller building and he would notice when John D. Rockefeller walks in the dorm and this blight opens the door, but when Henry Rogers, his second in command comes in, the guy really snaps to attention because oftentimes there's sort of these behind-the-scenes people that
[00:03:01.520 --> 00:03:01.800]  I think so.
[00:03:21.432 --> 00:03:21.753]  I don't
[00:03:41.736 --> 00:03:59.574]  And so what I had done, you have to make a living at the time, I had been teaching a little bit at UNC Chapel Hill, American History, Political Science, the early courses, and then went up to the Federal Department of Education where I actually found out how this really worked in practice.
[00:03:59.574 --> 00:04:01.096]  It was like a battle every day.
[00:04:01.696 --> 00:04:04.257]  Between the bureaucrats, it was a revolving door.
[00:04:04.257 --> 00:04:08.638]  When their people were in power, they would flood into the federal agencies.
[00:04:08.638 --> 00:04:14.239]  But then when somebody of a different party comes into power, they would go back to Carnegie, Ford, Rockefeller, whatever.
[00:04:14.239 --> 00:04:16.760]  And it was like this revolving door.
[00:04:16.760 --> 00:04:22.741]  And so I had done a lot of writing, got to know a lot of people around the country, and after I left, continued this research.
[00:04:23.763 --> 00:04:24.584]  What is the New World Order?
[00:04:24.584 --> 00:04:25.284]  I mean, what's its goal?
[00:04:48.698 --> 00:04:50.218]  Well, there are different theories.
[00:04:50.218 --> 00:05:02.902]  My particular theory is that what they're using is a dialectical process over many, many years to eventually wind up with a synthesis of Eastern Communism and Western Capitalism into a world socialist government.
[00:05:02.902 --> 00:05:05.343]  What you have is our wealth is socialized.
[00:05:05.703 --> 00:05:21.378]  Put into the government pot, then it's privatized into their hands, they set up a militarized police force, they blow out the economy, then we're all employed slash through the government though, and the profits and control go to private select corporations that are not free market, but operate as organized crime syndicates.
[00:05:24.121 --> 00:05:27.764]  Eventually, they have what they would call intermediate stages.
[00:05:27.764 --> 00:05:35.872]  The intermediate stage between what you're saying and what was recently is what they would call public-private partnerships.
[00:05:35.872 --> 00:05:47.903]  They try and have these little steps in between, so it's gradualistic, moving towards this, I guess you'd call it the new feudalism of the old days, gradually a sort of techno-feudal
[00:05:48.863 --> 00:05:53.785]  Socialistic, corporate fascism of the future, but there's these little stages they go through.
[00:05:53.785 --> 00:06:01.488]  This weekend, watching the globalists say, a low dollar is good, let's drive down the value.
[00:06:01.488 --> 00:06:10.092]  I remember the day of the Switzerland Forum, almost four years ago, where they said they were going to plunge the dollar, but incrementally, so that we didn't wake up to it, it was public.
[00:06:10.092 --> 00:06:14.674]  Now they're doing it, they're telling us it's so wonderful to have a weak dollar, your response to that?
[00:06:15.735 --> 00:06:16.215]  Oh, sure.
[00:06:16.215 --> 00:06:31.910]  I mean, this is the same principle that JFK used when we had about 60 or so percent of the world's gold supply in the early 60s, and he was very proud that he said he just practically gave away 20 percent, lowering us down to 40 percent of the world's gold supply, because that would
[00:06:32.350 --> 00:06:35.893]  That's not what was really happening.
[00:06:35.893 --> 00:06:44.680]  The locals own the third world countries and were transferring it themselves.
[00:06:44.680 --> 00:06:52.626]  I remember telling you what happened to Colonel House's daughter when she sort of spilled the beans on that later.
[00:06:52.626 --> 00:06:54.628]  But it's always presented as such.
[00:06:54.628 --> 00:06:57.590]  And then what you have is what you also indicated, a crisis.
[00:06:57.810 --> 00:06:59.492]  Well, it must have been another show, Dr. Cuddy, because
[00:07:23.832 --> 00:07:26.454]  Tell us about, I know about House's daughter, but we didn't discuss that.
[00:07:26.454 --> 00:07:31.538]  Tell us about Mandel House, and tell us about that, the CFR structure, and tell us what happened to his daughter.
[00:07:32.688 --> 00:07:39.533]  Well, Edwin Mandelhouse had gone to school in Texas in the middle 1800s.
[00:07:39.533 --> 00:07:45.598]  His father was practically the only one who came out making a lot of money out of the Civil War.
[00:07:45.598 --> 00:07:49.061]  And he was fairly well-connected.
[00:07:49.061 --> 00:07:51.202]  He went over to England to school.
[00:07:51.202 --> 00:07:52.503]  British agent?
[00:07:52.503 --> 00:07:53.724]  Well, yeah.
[00:07:53.724 --> 00:07:54.705]  And his father.
[00:07:54.705 --> 00:07:56.026]  Both were British agents.
[00:07:56.565 --> 00:08:08.453]  And then, when he came back, he was very agile at getting together with very key people through others, Bernard Baruch and others, which set him up with Woodrow Wilson.
[00:08:08.453 --> 00:08:11.615]  He became his chief advisor, to make a long story short.
[00:08:11.615 --> 00:08:17.038]  In 1912, he wrote a book, Philip Drew Administrator, which was under a pseudonym.
[00:08:17.038 --> 00:08:20.020]  But he, in there, said it was Karl Marx's socialism.
[00:08:20.020 --> 00:08:22.382]  Socialism was dreamed of by Karl Marx, that he wanted.
[00:08:23.007 --> 00:08:23.087]  Yes.
[00:08:39.286 --> 00:08:57.222]  Where House, and I put this in my book, The Globalist, where House, literally in his diary, is writing that he's lied to Orlando, Clemenceau, the leaders of Europe, toward the end of the Second World War, telling them that you can't do anything about these Bolsheviks and their revolution.
[00:08:57.222 --> 00:09:03.348]  And then House writes in his diary, he says, of course, I really knew that we could have, one division could have put it all down.
[00:09:03.348 --> 00:09:04.709]  The point is, here's one man,
[00:09:05.310 --> 00:09:15.476]  Who allowed the Bolshevik Revolution to spread when it could have been stopped, and therefore, had he not done that, you may not have had a Second World War, a Vietnam, Korea, whatever.
[00:09:15.476 --> 00:09:16.997]  He changed the entire course of history.
[00:09:16.997 --> 00:09:24.581]  A few years later, of course, he's very close to FDR, and FDR writes him saying to Colonel House, I've just talked to Jack Morgan, that's J.P.
[00:09:24.581 --> 00:09:27.843]  Morgan's son, Jack Morgan, who is very instrumental in setting up the CFR.
[00:09:28.715 --> 00:09:32.678]  Part of House's inquiry group after the Second World War.
[00:09:32.678 --> 00:09:42.585]  And he says to House, he says, the real truth of the matter is, as you and I know, that the financial element in the larger centers has owned our government ever since the days of Andrew Jackson.
[00:09:42.585 --> 00:09:45.507]  They speak very freely among themselves to this extent.
[00:09:45.507 --> 00:09:46.568]  Of course, he has a daughter.
[00:09:46.568 --> 00:09:48.449]  Later on, she's hooked up with the Rockefellers.
[00:09:49.230 --> 00:09:58.353]  And she says, according to reports, that they had been siphoning off the pure gold from Fort Knox, so that what you have there is now sort of a copper gold.
[00:09:58.353 --> 00:10:11.077]  And right after she led on that what they had done is gotten their European agents to buy up this gold, but really to keep control of it, she, quote, accidentally fell out of a six-story window of a building.
[00:10:11.077 --> 00:10:13.658]  That's the way the story goes.
[00:10:13.658 --> 00:10:16.159]  And I've got the newspaper articles on that.
[00:10:18.559 --> 00:10:23.722]  The globalists are now public about their new world order, but oh, we've got to have it to keep us safe from terrorists.
[00:10:23.722 --> 00:10:30.205]  It's like, oh, we've got to have League of Nations to stop another World War I. We've got to have a UN to stop another World War II.
[00:10:30.205 --> 00:10:35.047]  For those that get confused between communism and fascism, it's all command and control, different flavors of it.
[00:10:35.047 --> 00:10:41.751]  The bankers created hit teams of revolutionaries they funded to bring down existing governments, good or bad,
[00:10:42.782 --> 00:10:55.167]  As puppets, and then always funded and controlled them, and they had a new type of neo-feudalism or serfdom that they quote, put a window dressing on for the people using class envy to target the middle class.
[00:10:55.167 --> 00:11:02.050]  Is that an accurate summation of why the bankers, the richest people in the world, fund communism?
[00:11:02.050 --> 00:11:06.312]  Uh, yeah, with one little additional... Sorry, I think your phone may have just got a problem.
